Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.79,3.79,3.79,3.79,000,3.61398
2015-01-02,3.72,3.87,3.72,3.82,1173800,3.64259
2015-01-05,3.82,3.87,3.75,3.78,1789100,3.60445
2015-01-06,3.75,3.83,3.75,3.82,2095100,3.64259
2015-01-07,3.80,3.84,3.71,3.77,1584000,3.59491
2015-01-08,3.79,3.86,3.77,3.81,3300300,3.63305
2015-01-09,3.82,3.84,3.72,3.74,4032400,3.5663
2015-01-12,3.71,3.81,3.71,3.79,2952000,3.61398
2015-01-13,3.75,3.825,3.75,3.80,1872900,3.62352
2015-01-14,3.78,3.82,3.75,3.80,2497200,3.62352
2015-01-15,3.77,3.82,3.76,3.80,2458900,3.62352
2015-01-16,3.72,3.78,3.66,3.67,1473600,3.49955
2015-01-19,3.64,3.68,3.56,3.56,2416500,3.39466
2015-01-20,3.53,3.575,3.48,3.49,3183300,3.32791
2015-01-21,3.47,3.70,3.46,3.70,4313200,3.52816
2015-01-22,3.77,3.83,3.73,3.80,6919200,3.62352
2015-01-23,3.87,3.99,3.86,3.94,3578900,3.75702
2015-01-26,3.94,3.94,3.94,3.94,000,3.75702
2015-01-27,3.92,4.07,3.92,4.07,2726900,3.88098
2015-01-28,4.05,4.05,3.93,3.97,4444300,3.78562
2015-01-29,3.93,4.06,3.92,4.00,3170200,3.81423
2015-01-30,4.04,4.10,3.99,4.05,2661800,3.86191
2015-02-02,4.00,4.06,3.97,4.03,2331000,3.84284
2015-02-03,4.02,4.35,4.02,4.23,5748900,4.03355
2015-02-04,4.35,4.39,3.98,4.14,5426600,3.94773
2015-02-05,4.20,4.40,4.20,4.35,5949400,4.14797
2015-02-06,4.39,4.40,4.34,4.39,5525400,4.18612
2015-02-09,4.39,4.39,4.33,4.39,5055700,4.25535
2015-02-10,4.42,4.57,4.37,4.52,6190400,4.38137
2015-02-11,4.59,4.59,4.41,4.44,2895100,4.30382
2015-02-12,4.42,4.46,4.26,4.36,6270500,4.22627
2015-02-13,4.38,4.455,4.37,4.39,3009100,4.25535
2015-02-16,4.35,4.395,4.29,4.30,3301700,4.16811
2015-02-17,4.30,4.34,4.26,4.30,3467500,4.16811
2015-02-18,4.40,4.40,4.26,4.34,3751500,4.20689
2015-02-19,4.46,4.485,4.34,4.40,4916300,4.26505
2015-02-20,4.45,4.47,4.38,4.41,2442400,4.27474
2015-02-23,4.45,4.48,4.41,4.43,1651100,4.29413
2015-02-24,4.48,4.54,4.41,4.44,4452200,4.30382
2015-02-25,4.45,4.48,4.40,4.42,2134700,4.28443
2015-02-26,4.45,4.45,4.29,4.34,1461400,4.20689
2015-02-27,4.33,4.45,4.32,4.38,2630700,4.24566
2015-03-02,4.42,4.45,4.34,4.36,1634600,4.22627
2015-03-03,4.36,4.45,4.35,4.43,7095500,4.29413
2015-03-04,4.43,4.44,4.35,4.40,2898700,4.26505
2015-03-05,4.43,4.43,4.31,4.33,3895900,4.19719
2015-03-06,4.35,4.405,4.33,4.39,1617800,4.25535
2015-03-09,4.38,4.42,4.36,4.40,1667500,4.26505
2015-03-10,4.41,4.42,4.365,4.40,1950100,4.26505
2015-03-11,4.37,4.53,4.35,4.51,4135500,4.37167
2015-03-12,4.57,4.67,4.54,4.57,7366200,4.42983
2015-03-13,4.56,4.565,4.48,4.55,1835600,4.41045
2015-03-16,4.48,4.51,4.45,4.50,1130900,4.36198
2015-03-17,4.50,4.50,4.40,4.43,1729300,4.29413
2015-03-18,4.44,4.45,4.34,4.45,2326500,4.31351
2015-03-19,4.50,4.55,4.44,4.51,2781500,4.37167
2015-03-20,4.47,4.54,4.43,4.50,2491800,4.36198
2015-03-23,4.47,4.49,4.40,4.41,2466600,4.27474
2015-03-24,4.41,4.48,4.39,4.47,2558500,4.3329
2015-03-25,4.49,4.49,4.35,4.42,2391800,4.28443
2015-03-26,4.40,4.515,4.36,4.50,3101300,4.36198
2015-03-27,4.44,4.61,4.44,4.57,2250800,4.42983
2015-03-30,4.55,4.55,4.445,4.53,1827700,4.39106
2015-03-31,4.53,4.64,4.51,4.52,2023100,4.38137
2015-04-01,4.50,4.59,4.47,4.56,3653600,4.42014
2015-04-02,4.53,4.62,4.53,4.57,3620500,4.42983
2015-04-03,4.57,4.57,4.57,4.57,000,4.42983
2015-04-06,4.57,4.57,4.57,4.57,000,4.42983
2015-04-07,4.57,4.68,4.57,4.64,2472300,4.49769
2015-04-08,4.65,4.65,4.57,4.62,1515200,4.4783
2015-04-09,4.63,4.66,4.57,4.64,3704800,4.49769
2015-04-10,4.69,4.72,4.64,4.71,1447800,4.56554
2015-04-13,4.76,4.775,4.72,4.76,4324600,4.61401
2015-04-14,4.72,4.735,4.67,4.72,1762700,4.57523
2015-04-15,4.70,4.70,4.595,4.64,2623200,4.49769
2015-04-16,4.64,4.75,4.64,4.72,1798300,4.57523
2015-04-17,4.64,4.66,4.52,4.60,3490000,4.45891
2015-04-20,4.50,4.53,4.44,4.52,3455600,4.38137
2015-04-21,4.50,4.57,4.50,4.55,2880200,4.41045
2015-04-22,4.51,4.55,4.46,4.50,4496300,4.36198
2015-04-23,4.44,4.52,4.41,4.48,1728200,4.34259
2015-04-24,4.53,4.58,4.49,4.51,2363300,4.37167
2015-04-27,4.42,4.60,4.37,4.60,2252600,4.45891
2015-04-28,4.60,4.63,4.54,4.59,1653300,4.44922
2015-04-29,4.56,4.585,4.51,4.52,2795200,4.38137
2015-04-30,4.45,4.56,4.44,4.54,2008400,4.40075
2015-05-01,4.50,4.53,4.455,4.53,3004100,4.39106
2015-05-04,4.54,4.65,4.51,4.60,1892500,4.45891
2015-05-05,4.65,4.72,4.61,4.68,6285400,4.53646
2015-05-06,4.51,4.61,4.48,4.50,2328900,4.36198
2015-05-07,4.41,4.49,4.32,4.41,3232000,4.27474
2015-05-08,4.33,4.44,4.33,4.41,1865600,4.27474
2015-05-11,4.42,4.46,4.37,4.39,1787600,4.25535
2015-05-12,4.33,4.43,4.33,4.40,4636500,4.26505
2015-05-13,4.40,4.46,4.37,4.43,3565100,4.29413
2015-05-14,4.36,4.50,4.36,4.49,1705400,4.35229
2015-05-15,4.52,4.55,4.48,4.51,973700,4.37167
2015-05-18,4.53,4.545,4.36,4.38,2008000,4.24566
2015-05-19,4.35,4.40,4.27,4.36,3145800,4.22627
2015-05-20,4.32,4.38,4.31,4.34,2907100,4.20689
2015-05-21,4.41,4.43,4.37,4.40,2545500,4.26505
2015-05-22,4.42,4.43,4.325,4.40,3100900,4.26505
2015-05-25,4.38,4.50,4.36,4.49,2830600,4.35229
2015-05-26,4.47,4.57,4.47,4.54,2243000,4.40075
2015-05-27,4.58,4.62,4.42,4.47,6902600,4.3329
2015-05-28,4.58,4.61,4.47,4.60,2492100,4.45891
2015-05-29,4.58,4.74,4.58,4.68,3313500,4.53646
2015-06-01,4.60,4.68,4.55,4.67,2476700,4.52677
2015-06-02,4.64,4.67,4.52,4.54,2116900,4.40075
2015-06-03,4.50,4.54,4.41,4.47,6689400,4.3329
2015-06-04,4.52,4.55,4.40,4.42,2202200,4.28443
2015-06-05,4.43,4.50,4.41,4.46,1400000,4.32321
2015-06-08,4.46,4.46,4.46,4.46,000,4.32321
2015-06-09,4.41,4.50,4.40,4.43,2862800,4.29413
2015-06-10,4.38,4.45,4.36,4.41,907300,4.27474
2015-06-11,4.40,4.47,4.37,4.41,1810400,4.27474
2015-06-12,4.36,4.43,4.36,4.38,1447400,4.24566
2015-06-15,4.36,4.43,4.35,4.36,1972500,4.22627
2015-06-16,4.41,4.44,4.345,4.35,770500,4.21658
2015-06-17,4.36,4.45,4.34,4.40,1785200,4.26505
2015-06-18,4.35,4.405,4.34,4.37,3148200,4.23597
2015-06-19,4.39,4.47,4.37,4.38,2516500,4.24566
2015-06-22,4.39,4.41,4.34,4.37,3573100,4.23597
2015-06-23,4.40,4.47,4.39,4.46,3098800,4.32321
2015-06-24,4.47,4.47,4.40,4.45,1240500,4.31351
2015-06-25,4.46,4.48,4.39,4.48,5227700,4.34259
2015-06-26,4.41,4.43,4.36,4.40,3158900,4.26505
2015-06-29,4.36,4.39,4.29,4.33,3195200,4.19719
2015-06-30,4.31,4.36,4.27,4.36,3331000,4.22627
2015-07-01,4.32,4.42,4.31,4.35,2079800,4.21658
2015-07-02,4.40,4.68,4.395,4.64,9448200,4.49769
2015-07-03,4.55,4.75,4.55,4.75,3923700,4.60431
2015-07-06,4.62,4.78,4.62,4.76,2502900,4.61401
2015-07-07,4.77,4.905,4.71,4.72,7047900,4.57523
2015-07-08,4.65,4.78,4.57,4.57,3498700,4.42983
2015-07-09,4.51,4.605,4.44,4.55,2512200,4.41045
2015-07-10,4.63,4.68,4.60,4.61,3231700,4.46861
2015-07-13,4.61,4.73,4.59,4.65,3503900,4.50738
2015-07-14,4.70,4.76,4.68,4.71,2113600,4.56554
2015-07-15,4.76,4.88,4.745,4.79,3631800,4.64309
2015-07-16,4.87,4.87,4.75,4.78,2011700,4.63339
2015-07-17,4.78,4.87,4.76,4.80,2740700,4.65278
2015-07-20,4.85,4.86,4.77,4.84,1523800,4.69155
2015-07-21,4.88,5.07,4.72,4.87,12544000,4.72063
2015-07-22,4.85,4.96,4.83,4.86,6976000,4.71094
2015-07-23,4.87,4.93,4.85,4.87,1982700,4.72063
2015-07-24,4.89,4.905,4.83,4.90,2523000,4.74971
2015-07-27,4.90,4.90,4.83,4.90,2474300,4.74971
2015-07-28,4.86,4.90,4.77,4.81,6020100,4.66247
2015-07-29,4.91,4.99,4.83,4.97,3908300,4.81756
2015-07-30,4.95,4.97,4.91,4.94,2439600,4.78849
2015-07-31,5.00,5.06,4.98,5.02,7464400,4.86603
2015-08-03,5.08,5.12,5.03,5.12,3382700,4.96296
2015-08-04,5.11,5.18,5.08,5.10,4766100,4.94358
2015-08-05,5.08,5.085,4.95,4.98,3812200,4.82726
2015-08-06,4.95,5.05,4.925,4.96,5156900,4.80787
2015-08-07,4.93,4.99,4.89,4.89,2200900,4.74002
2015-08-10,4.87,5.01,4.86,4.97,2759600,4.81756
2015-08-11,5.02,5.12,4.97,5.10,4572000,4.94358
2015-08-12,4.94,5.07,4.85,4.98,5377500,4.82726
2015-08-13,5.13,5.20,5.08,5.15,8330100,4.99204
2015-08-14,5.16,5.245,5.115,5.15,5405800,4.99204
2015-08-17,5.21,5.23,5.13,5.22,6940500,5.14554
2015-08-18,5.20,5.25,5.14,5.20,6342900,5.12582
2015-08-19,5.19,5.205,5.035,5.10,4489600,5.02725
2015-08-20,5.13,5.16,5.065,5.08,3758200,5.00753
2015-08-21,4.94,5.02,4.93,4.96,4577900,4.88925
2015-08-24,4.86,4.91,4.78,4.79,4230900,4.72167
2015-08-25,4.70,4.95,4.67,4.91,4529400,4.83996
2015-08-26,4.76,4.955,4.75,4.95,3829400,4.87939
2015-08-27,4.95,5.00,4.92,4.95,3750800,4.87939
2015-08-28,5.05,5.05,4.90,4.91,3249000,4.83996
2015-08-31,4.86,4.92,4.81,4.92,2966700,4.84982
2015-09-01,4.85,4.91,4.75,4.78,3783400,4.71181
2015-09-02,4.68,4.80,4.68,4.80,2607500,4.73153
2015-09-03,4.80,4.86,4.63,4.64,3469900,4.57381
2015-09-04,4.78,4.80,4.69,4.74,2840100,4.67238
2015-09-07,4.69,4.87,4.69,4.83,2808500,4.7611
2015-09-08,4.89,4.89,4.76,4.81,2219800,4.74139
2015-09-09,4.90,4.965,4.85,4.91,4959400,4.83996
2015-09-10,4.78,4.86,4.78,4.83,2864200,4.7611
2015-09-11,4.83,4.83,4.73,4.77,2227100,4.70196
2015-09-14,4.80,4.83,4.735,4.81,1981300,4.74139
2015-09-15,4.80,4.86,4.73,4.83,3466400,4.7611
2015-09-16,4.85,4.88,4.72,4.75,3916600,4.68224
2015-09-17,4.85,4.88,4.82,4.84,4130500,4.77096
2015-09-18,4.82,4.94,4.79,4.88,3149300,4.81039
2015-09-21,4.78,4.81,4.725,4.75,2640400,4.68224
2015-09-22,4.80,4.84,4.72,4.74,3756600,4.67238
2015-09-23,4.73,4.77,4.68,4.72,4163100,4.65267
2015-09-24,4.80,4.88,4.77,4.82,4716600,4.75124
2015-09-25,4.86,4.90,4.825,4.84,3959700,4.77096
2015-09-28,4.84,4.96,4.82,4.95,1633700,4.87939
2015-09-29,4.86,4.88,4.82,4.84,2672400,4.77096
2015-09-30,4.75,4.87,4.75,4.84,3035300,4.77096
2015-10-01,4.84,4.95,4.83,4.91,3378800,4.83996
2015-10-02,4.85,4.93,4.85,4.87,1593700,4.80053
2015-10-05,4.89,4.98,4.88,4.95,1682200,4.87939
2015-10-06,4.98,5.08,4.98,5.03,4769700,4.95825
2015-10-07,5.02,5.04,4.97,5.01,2391200,4.93853
