Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,3.69,3.69,3.69,3.69,000,3.45429
2015-01-02,3.70,3.70,3.59,3.65,40400,3.41685
2015-01-05,3.66,3.68,3.61,3.64,98500,3.40749
2015-01-06,3.61,3.67,3.61,3.65,208800,3.41685
2015-01-07,3.65,3.70,3.65,3.69,762100,3.45429
2015-01-08,3.69,3.78,3.68,3.75,359800,3.51046
2015-01-09,3.78,3.83,3.78,3.82,323600,3.57599
2015-01-12,3.82,3.82,3.79,3.80,301300,3.55726
2015-01-13,3.78,3.80,3.74,3.75,115000,3.51046
2015-01-14,3.75,3.82,3.75,3.79,219200,3.5479
2015-01-15,3.76,3.78,3.74,3.75,530000,3.51046
2015-01-16,3.74,3.76,3.67,3.71,198100,3.47301
2015-01-19,3.71,3.73,3.68,3.69,350800,3.45429
2015-01-20,3.71,3.73,3.67,3.72,168800,3.48237
2015-01-21,3.70,3.83,3.70,3.83,326700,3.58535
2015-01-22,3.80,3.81,3.75,3.80,1045200,3.55726
2015-01-23,3.80,3.84,3.79,3.81,183900,3.56663
2015-01-26,3.81,3.81,3.81,3.81,000,3.56663
2015-01-27,3.81,3.86,3.80,3.86,268300,3.61343
2015-01-28,3.80,3.80,3.73,3.80,179600,3.55726
2015-01-29,3.76,3.76,3.69,3.70,193900,3.46365
2015-01-30,3.74,3.75,3.66,3.70,143700,3.46365
2015-02-02,3.66,3.66,3.61,3.63,239100,3.39812
2015-02-03,3.62,3.71,3.61,3.71,347900,3.47301
2015-02-04,3.72,3.72,3.58,3.65,353800,3.41685
2015-02-05,3.60,3.65,3.56,3.64,235100,3.40749
2015-02-06,3.62,3.65,3.57,3.65,157800,3.41685
2015-02-09,3.57,3.62,3.56,3.61,193600,3.3794
2015-02-10,3.60,3.71,3.59,3.70,174500,3.46365
2015-02-11,3.66,3.81,3.66,3.78,852100,3.53854
2015-02-12,3.78,3.79,3.72,3.75,570500,3.51046
2015-02-13,3.72,3.77,3.71,3.73,1148400,3.49174
2015-02-16,3.70,3.77,3.67,3.74,246500,3.5011
2015-02-17,3.75,3.81,3.75,3.80,2118200,3.55726
2015-02-18,3.80,3.87,3.79,3.84,1991100,3.59471
2015-02-19,3.87,3.90,3.83,3.86,748300,3.61343
2015-02-20,3.86,3.86,3.83,3.85,138200,3.60407
2015-02-23,3.85,3.87,3.79,3.86,705000,3.61343
2015-02-24,3.86,3.89,3.84,3.89,227300,3.64152
2015-02-25,3.86,3.90,3.86,3.89,426000,3.64152
2015-02-26,3.89,3.90,3.85,3.87,188500,3.62279
2015-02-27,3.89,3.90,3.85,3.86,312900,3.61343
2015-03-02,3.86,3.89,3.84,3.86,587800,3.61343
2015-03-03,3.88,3.90,3.85,3.88,183000,3.63215
2015-03-04,3.89,3.95,3.87,3.90,316100,3.65088
2015-03-05,3.91,3.95,3.90,3.92,138500,3.6696
2015-03-06,3.91,3.97,3.89,3.97,575900,3.71641
2015-03-09,3.94,3.96,3.91,3.94,371400,3.68832
2015-03-10,3.93,4.00,3.92,3.92,527300,3.6696
2015-03-11,3.92,3.96,3.88,3.91,837400,3.66024
2015-03-12,3.92,4.03,3.91,3.98,978400,3.72577
2015-03-13,3.97,3.99,3.94,3.97,500300,3.71641
2015-03-16,3.96,4.00,3.94,3.99,127000,3.73513
2015-03-17,4.02,4.05,3.99,4.00,267200,3.74449
2015-03-18,3.89,3.89,3.86,3.88,1320600,3.71509
2015-03-19,3.93,3.99,3.91,3.99,1302300,3.82042
2015-03-20,3.99,4.01,3.92,3.93,988300,3.76297
2015-03-23,3.93,3.935,3.86,3.92,438700,3.75339
2015-03-24,3.90,3.92,3.88,3.91,367600,3.74382
2015-03-25,3.90,3.94,3.87,3.91,463700,3.74382
2015-03-26,3.88,3.91,3.86,3.89,555600,3.72467
2015-03-27,3.91,3.97,3.90,3.94,409500,3.77254
2015-03-30,3.95,4.00,3.94,3.96,448500,3.79169
2015-03-31,3.99,4.055,3.99,4.05,588500,3.87787
2015-04-01,4.01,4.05,4.00,4.01,271200,3.83957
2015-04-02,4.01,4.06,3.98,4.05,253700,3.87787
2015-04-03,4.05,4.05,4.05,4.05,000,3.87787
2015-04-06,4.05,4.05,4.05,4.05,000,3.87787
2015-04-07,4.09,4.14,3.99,4.01,430800,3.83957
2015-04-08,4.02,4.07,4.01,4.06,962400,3.88744
2015-04-09,4.06,4.06,4.02,4.03,102900,3.85872
2015-04-10,4.03,4.07,4.00,4.07,794500,3.89702
2015-04-13,4.04,4.09,4.02,4.08,228000,3.90659
2015-04-14,4.08,4.13,4.06,4.10,248700,3.92574
