Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.18,0.18,0.18,0.18,000,0.18
2015-01-02,0.18,0.18,0.18,0.18,000,0.18
2015-01-05,0.18,0.18,0.18,0.18,000,0.18
2015-01-06,0.19,0.19,0.19,0.19,10200,0.19
2015-01-07,0.195,0.195,0.19,0.195,48000,0.195
2015-01-08,0.195,0.195,0.195,0.195,21300,0.195
2015-01-09,0.195,0.195,0.195,0.195,000,0.195
2015-01-12,0.195,0.195,0.195,0.195,000,0.195
2015-01-13,0.195,0.195,0.195,0.195,000,0.195
2015-01-14,0.185,0.185,0.185,0.185,11000,0.185
2015-01-15,0.19,0.195,0.19,0.195,122000,0.195
2015-01-16,0.20,0.21,0.20,0.21,80000,0.21
2015-01-19,0.21,0.21,0.21,0.21,000,0.21
2015-01-20,0.21,0.21,0.19,0.195,47700,0.195
2015-01-21,0.20,0.20,0.20,0.20,42600,0.20
2015-01-22,0.20,0.20,0.20,0.20,000,0.20
2015-01-23,0.20,0.20,0.20,0.20,000,0.20
2015-01-26,0.20,0.20,0.20,0.20,000,0.20
2015-01-27,0.19,0.19,0.185,0.185,40000,0.185
2015-01-28,0.19,0.19,0.19,0.19,14400,0.19
2015-01-29,0.185,0.195,0.185,0.195,106400,0.195
2015-01-30,0.195,0.195,0.195,0.195,000,0.195
2015-02-02,0.18,0.18,0.18,0.18,5500,0.18
2015-02-03,0.18,0.18,0.18,0.18,000,0.18
2015-02-04,0.19,0.19,0.185,0.185,129100,0.185
2015-02-05,0.185,0.185,0.18,0.18,96300,0.18
2015-02-06,0.175,0.175,0.175,0.175,54000,0.175
2015-02-09,0.18,0.18,0.17,0.17,152400,0.17
2015-02-10,0.16,0.16,0.155,0.155,31000,0.155
2015-02-11,0.155,0.155,0.155,0.155,000,0.155
2015-02-12,0.15,0.155,0.15,0.15,105000,0.15
2015-02-13,0.18,0.195,0.18,0.195,184800,0.195
2015-02-16,0.195,0.195,0.19,0.19,55200,0.19
2015-02-17,0.19,0.19,0.19,0.19,10000,0.19
2015-02-18,0.19,0.19,0.19,0.19,5200,0.19
2015-02-19,0.19,0.19,0.19,0.19,300,0.19
2015-02-20,0.185,0.185,0.17,0.17,37500,0.17
2015-02-23,0.17,0.17,0.17,0.17,5000,0.17
2015-02-24,0.20,0.20,0.17,0.17,64000,0.17
2015-02-25,0.17,0.19,0.17,0.19,52300,0.19
