Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-02,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-05,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-06,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-07,0.00968,0.00968,0.00968,0.00968,516700,0.00968
2015-01-08,0.00968,0.01064,0.00871,0.00968,555200,0.00968
2015-01-09,0.00968,0.00968,0.00968,0.00968,202600,0.00968
2015-01-12,0.00968,0.01064,0.00871,0.01064,13363600,0.01064
2015-01-13,0.01064,0.01064,0.01064,0.01064,000,0.01064
2015-01-14,0.01064,0.01064,0.01064,0.01064,000,0.01064
2015-01-15,0.00968,0.00968,0.00968,0.00968,11751400,0.00968
2015-01-16,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-19,0.00968,0.00968,0.00968,0.00968,1436500,0.00968
2015-01-20,0.00968,0.00968,0.00968,0.00968,2186100,0.00968
2015-01-21,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-22,0.00968,0.00968,0.00968,0.00968,2975300,0.00968
2015-01-23,0.00968,0.00968,0.00968,0.00968,2095400,0.00968
2015-01-26,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-01-27,0.00968,0.00968,0.00968,0.00968,3823900,0.00968
2015-01-28,0.01064,0.01258,0.01064,0.01064,49807900,0.01064
2015-01-29,0.01161,0.01161,0.01064,0.01064,6237100,0.01064
2015-01-30,0.00968,0.01064,0.00968,0.00968,1875600,0.00968
2015-02-02,0.01064,0.01064,0.00968,0.00968,3316400,0.00968
2015-02-03,0.01064,0.01064,0.01064,0.01064,1849700,0.01064
2015-02-04,0.01064,0.01064,0.00968,0.00968,5885100,0.00968
2015-02-05,0.00968,0.00968,0.00871,0.00968,4609100,0.00968
2015-02-06,0.01064,0.01064,0.00968,0.00968,2067900,0.00968
2015-02-09,0.00968,0.00968,0.00871,0.00968,2961900,0.00968
2015-02-10,0.00968,0.00968,0.00968,0.00968,2742900,0.00968
2015-02-11,0.00968,0.00968,0.00968,0.00968,000,0.00968
2015-02-12,0.00968,0.00968,0.00968,0.00968,4069500,0.00968
2015-02-13,0.00968,0.01064,0.00968,0.00968,925500,0.00968
2015-02-16,0.00968,0.00968,0.00968,0.00968,60900,0.00968
2015-02-17,0.00968,0.00968,0.00968,0.00968,2428700,0.00968
2015-02-18,0.00968,0.00968,0.00968,0.00968,3418700,0.00968
2015-02-19,0.00968,0.00968,0.00871,0.00871,2127600,0.00871
2015-02-20,0.00968,0.01064,0.00968,0.00968,1943000,0.00968
2015-02-23,0.00968,0.01064,0.00968,0.00968,1870700,0.00968
2015-02-24,0.01064,0.01064,0.00968,0.00968,3649300,0.00968
2015-02-25,0.00968,0.00968,0.00968,0.00968,2574100,0.00968
2015-02-26,0.00968,0.00968,0.00968,0.00968,279100,0.00968
2015-02-27,0.00968,0.00968,0.00968,0.00968,3240100,0.00968
2015-03-02,0.00968,0.01064,0.00968,0.00968,3158800,0.00968
2015-03-03,0.00968,0.00968,0.00968,0.00968,123800,0.00968
2015-03-04,0.00968,0.00968,0.00871,0.00968,715100,0.00968
2015-03-05,0.00968,0.00968,0.00968,0.00968,11620000,0.00968
2015-03-06,0.00968,0.00968,0.00968,0.00968,1653500,0.00968
2015-03-09,0.00968,0.00968,0.00968,0.00968,1493300,0.00968
2015-03-10,0.01064,0.01258,0.01064,0.01064,29263900,0.01064
2015-03-11,0.01161,0.01161,0.00968,0.01064,6109200,0.01064
2015-03-12,0.01064,0.01113,0.01064,0.01064,2313200,0.01064
2015-03-13,0.01064,0.01064,0.01064,0.01064,1781300,0.01064
2015-03-16,0.01064,0.01064,0.01064,0.01064,1264000,0.01064
2015-03-17,0.01064,0.01161,0.01064,0.01064,10099700,0.01064
2015-03-18,0.01161,0.01161,0.01064,0.01064,1632900,0.01064
2015-03-19,0.01161,0.01161,0.01161,0.01161,6925100,0.01161
2015-03-20,0.01161,0.01258,0.01161,0.01258,4279600,0.01258
2015-03-23,0.01258,0.01355,0.01161,0.01161,5602800,0.01161
2015-03-24,0.01258,0.01548,0.01161,0.01548,24110100,0.01548
2015-03-25,0.01548,0.01645,0.01548,0.01548,26373900,0.01548
2015-03-26,0.01548,0.01548,0.01548,0.01548,3812600,0.01548
2015-03-27,0.01548,0.01548,0.01451,0.01548,3126300,0.01548
2015-03-30,0.01451,0.01451,0.01451,0.01451,6106600,0.01451
2015-03-31,0.01451,0.01742,0.01451,0.01742,23868500,0.01742
2015-04-01,0.01742,0.0179,0.01645,0.01645,17888200,0.01645
2015-04-02,0.01742,0.02129,0.01645,0.02032,39113600,0.02032
2015-04-03,0.02032,0.02032,0.02032,0.02032,000,0.02032
2015-04-06,0.02032,0.02032,0.02032,0.02032,000,0.02032
2015-04-07,0.02129,0.02129,0.01742,0.01742,25853200,0.01742
2015-04-08,0.01838,0.02129,0.01742,0.02129,18187400,0.02129
2015-04-09,0.02225,0.02516,0.01935,0.01935,77098600,0.01935
2015-04-10,0.02032,0.02129,0.01742,0.01935,18212600,0.01935
2015-04-13,0.02032,0.02129,0.02032,0.02129,7546200,0.02129
2015-04-14,0.02129,0.02129,0.01935,0.02032,4381200,0.02032
2015-04-15,0.02032,0.02032,0.02032,0.02032,3345500,0.02032
2015-04-16,0.02129,0.02322,0.02129,0.02322,9647500,0.02322
2015-04-17,0.02322,0.02322,0.02225,0.02225,7288500,0.02225
2015-04-20,0.02225,0.02225,0.02032,0.02032,9492400,0.02032
2015-04-21,0.02225,0.02322,0.02225,0.02225,16042500,0.02225
