Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.032,0.032,0.032,0.032,000,0.032
2015-01-02,0.032,0.032,0.032,0.032,000,0.032
2015-01-05,0.032,0.032,0.032,0.032,000,0.032
2015-01-06,0.03,0.03,0.03,0.03,90000,0.03
2015-01-07,0.029,0.029,0.029,0.029,2500,0.029
2015-01-08,0.029,0.029,0.029,0.029,28800,0.029
2015-01-09,0.029,0.029,0.029,0.029,000,0.029
2015-01-12,0.029,0.029,0.029,0.029,48600,0.029
2015-01-13,0.029,0.029,0.029,0.029,000,0.029
2015-01-14,0.026,0.026,0.025,0.025,400000,0.025
2015-01-15,0.025,0.025,0.025,0.025,000,0.025
2015-01-16,0.025,0.025,0.025,0.025,000,0.025
2015-01-19,0.025,0.025,0.025,0.025,000,0.025
2015-01-20,0.026,0.026,0.025,0.025,600000,0.025
2015-01-21,0.025,0.025,0.025,0.025,168100,0.025
2015-01-22,0.026,0.027,0.026,0.027,206600,0.027
2015-01-23,0.027,0.027,0.027,0.027,000,0.027
2015-01-26,0.027,0.027,0.027,0.027,000,0.027
2015-01-27,0.026,0.026,0.026,0.026,125000,0.026
2015-01-28,0.026,0.026,0.026,0.026,000,0.026
2015-01-29,0.026,0.026,0.026,0.026,000,0.026
2015-01-30,0.026,0.026,0.026,0.026,000,0.026
2015-02-02,0.026,0.026,0.026,0.026,000,0.026
2015-02-03,0.026,0.026,0.026,0.026,000,0.026
2015-02-04,0.026,0.026,0.026,0.026,48200,0.026
2015-02-05,0.026,0.026,0.026,0.026,000,0.026
2015-02-06,0.026,0.026,0.026,0.026,000,0.026
2015-02-09,0.026,0.026,0.026,0.026,000,0.026
2015-02-10,0.026,0.026,0.026,0.026,000,0.026
2015-02-11,0.026,0.026,0.026,0.026,000,0.026
2015-02-12,0.026,0.026,0.026,0.026,000,0.026
2015-02-13,0.026,0.026,0.026,0.026,000,0.026
2015-02-16,0.026,0.026,0.026,0.026,000,0.026
2015-02-17,0.026,0.026,0.026,0.026,000,0.026
2015-02-18,0.026,0.026,0.026,0.026,000,0.026
2015-02-19,0.025,0.025,0.025,0.025,20500,0.025
2015-02-20,0.025,0.025,0.025,0.025,000,0.025
2015-02-23,0.025,0.025,0.025,0.025,000,0.025
2015-02-24,0.025,0.025,0.025,0.025,000,0.025
2015-02-25,0.025,0.025,0.025,0.025,000,0.025
2015-02-26,0.026,0.026,0.026,0.026,1300,0.026
2015-02-27,0.027,0.027,0.026,0.026,30000,0.026
2015-03-02,0.026,0.026,0.026,0.026,33000,0.026
2015-03-03,0.026,0.026,0.025,0.025,407000,0.025
2015-03-04,0.025,0.025,0.025,0.025,250000,0.025
2015-03-05,0.025,0.025,0.025,0.025,000,0.025
2015-03-06,0.025,0.025,0.024,0.024,172200,0.024
2015-03-09,0.024,0.024,0.024,0.024,000,0.024
2015-03-10,0.024,0.024,0.024,0.024,000,0.024
2015-03-11,0.024,0.024,0.024,0.024,000,0.024
2015-03-12,0.024,0.024,0.024,0.024,000,0.024
2015-03-13,0.024,0.024,0.024,0.024,000,0.024
2015-03-16,0.024,0.024,0.024,0.024,000,0.024
2015-03-17,0.024,0.025,0.024,0.025,667200,0.025
2015-03-18,0.021,0.021,0.02,0.02,1100000,0.02
2015-03-19,0.02,0.02,0.02,0.02,000,0.02
2015-03-20,0.02,0.02,0.02,0.02,000,0.02
2015-03-23,0.02,0.02,0.02,0.02,33000,0.02
2015-03-24,0.02,0.02,0.02,0.02,10000,0.02
2015-03-25,0.02,0.02,0.02,0.02,000,0.02
2015-03-26,0.02,0.02,0.02,0.02,000,0.02
2015-03-27,0.02,0.02,0.02,0.02,000,0.02
2015-03-30,0.02,0.02,0.02,0.02,000,0.02
2015-03-31,0.02,0.02,0.019,0.019,1064200,0.019
2015-04-01,0.019,0.019,0.019,0.019,000,0.019
2015-04-02,0.019,0.019,0.019,0.019,000,0.019
2015-04-03,0.019,0.019,0.019,0.019,000,0.019
2015-04-06,0.019,0.019,0.019,0.019,000,0.019
2015-04-07,0.022,0.022,0.022,0.022,183000,0.022
2015-04-08,0.022,0.023,0.022,0.023,237000,0.023
2015-04-09,0.023,0.023,0.023,0.023,26600,0.023
2015-04-10,0.02,0.02,0.02,0.02,73300,0.02
2015-04-13,0.02,0.02,0.02,0.02,000,0.02
2015-04-14,0.02,0.02,0.02,0.02,100000,0.02
2015-04-15,0.02,0.02,0.02,0.02,000,0.02
2015-04-16,0.02,0.02,0.02,0.02,000,0.02
2015-04-17,0.02,0.02,0.02,0.02,187500,0.02
2015-04-20,0.02,0.02,0.02,0.02,000,0.02
