Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.41,2.41,2.41,2.41,000,2.37
2015-01-02,2.41,2.41,2.41,2.41,000,2.37
2015-01-05,2.41,2.41,2.41,2.41,000,2.37
2015-01-06,2.41,2.41,2.41,2.41,000,2.37
2015-01-07,2.41,2.41,2.41,2.41,000,2.37
2015-01-08,2.41,2.41,2.41,2.41,000,2.37
2015-01-09,2.41,2.41,2.41,2.41,000,2.37
2015-01-12,2.75,2.85,2.75,2.85,11300,2.80
2015-01-13,2.85,2.85,2.85,2.85,000,2.80
2015-01-14,2.85,2.85,2.85,2.85,000,2.80
2015-01-15,2.95,2.95,2.95,2.95,5000,2.90
2015-01-16,2.95,2.95,2.95,2.95,000,2.90
2015-01-19,2.95,2.95,2.95,2.95,000,2.90
2015-01-20,2.95,2.95,2.95,2.95,000,2.90
2015-01-21,2.95,2.95,2.95,2.95,000,2.90
2015-01-22,2.95,2.95,2.95,2.95,000,2.90
2015-01-23,2.95,2.95,2.95,2.95,000,2.90
2015-01-26,2.95,2.95,2.95,2.95,000,2.90
2015-01-27,2.95,2.95,2.95,2.95,000,2.90
2015-01-28,2.95,2.95,2.95,2.95,000,2.90
2015-01-29,2.95,2.95,2.95,2.95,000,2.90
2015-01-30,2.95,2.95,2.95,2.95,000,2.90
2015-02-02,2.95,2.95,2.95,2.95,000,2.90
2015-02-03,2.95,2.95,2.95,2.95,000,2.90
2015-02-04,2.95,2.95,2.95,2.95,000,2.90
2015-02-05,2.95,2.95,2.95,2.95,000,2.90
2015-02-06,2.95,2.95,2.95,2.95,000,2.90
2015-02-09,2.95,2.95,2.95,2.95,000,2.90
2015-02-10,2.95,2.95,2.95,2.95,000,2.90
2015-02-11,2.95,2.95,2.95,2.95,000,2.90
2015-02-12,2.95,2.95,2.95,2.95,000,2.90
2015-02-13,2.95,2.95,2.95,2.95,000,2.90
2015-02-16,2.95,2.95,2.95,2.95,000,2.90
2015-02-17,2.95,2.95,2.95,2.95,000,2.90
2015-02-18,2.95,2.95,2.95,2.95,000,2.90
2015-02-19,2.95,2.95,2.95,2.95,000,2.90
2015-02-20,2.95,2.95,2.95,2.95,000,2.90
2015-02-23,2.95,2.95,2.95,2.95,000,2.90
