Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.91,1.91,1.91,1.91,000,1.7646
2015-01-02,1.95,1.955,1.905,1.94,497300,1.7924
2015-01-05,1.93,1.97,1.91,1.95,1050100,1.8016
2015-01-06,1.91,1.94,1.902,1.915,1238400,1.7693
2015-01-07,1.91,1.95,1.895,1.935,1105500,1.7877
2015-01-08,1.945,1.96,1.93,1.96,2693100,1.8108
2015-01-09,1.965,1.985,1.935,1.96,2238200,1.8108
2015-01-12,1.945,1.955,1.93,1.94,1010500,1.7924
2015-01-13,1.91,1.935,1.905,1.91,767700,1.7646
2015-01-14,1.91,1.92,1.86,1.87,1367700,1.7277
2015-01-15,1.87,1.89,1.845,1.87,3168400,1.7277
2015-01-16,1.835,1.865,1.83,1.85,1158600,1.7092
2015-01-19,1.845,1.875,1.84,1.85,744700,1.7092
2015-01-20,1.845,1.86,1.835,1.84,1201400,1.70
2015-01-21,1.85,1.895,1.84,1.89,1053700,1.7462
2015-01-22,1.93,1.93,1.85,1.85,2215400,1.7092
2015-01-23,1.865,1.885,1.85,1.87,862500,1.7277
2015-01-26,1.87,1.87,1.87,1.87,000,1.7277
2015-01-27,1.875,1.90,1.865,1.88,1477500,1.7369
2015-01-28,1.865,1.88,1.84,1.87,1321700,1.7277
2015-01-29,1.865,1.8825,1.86,1.88,1282500,1.7369
2015-01-30,1.88,1.8825,1.855,1.865,1682900,1.7231
2015-02-02,1.86,1.915,1.86,1.89,1638400,1.7462
2015-02-03,1.94,1.98,1.935,1.95,4149200,1.8016
2015-02-04,2.00,2.03,1.98,1.99,2429200,1.8385
2015-02-05,1.99,2.00,1.965,1.975,1926100,1.8247
2015-02-06,1.99,2.02,1.98,2.00,1532900,1.8478
2015-02-09,2.00,2.01,1.975,1.995,1141900,1.8432
2015-02-10,1.995,2.00,1.97,1.98,1608700,1.8293
2015-02-11,1.98,1.985,1.96,1.975,1337500,1.8247
2015-02-12,1.98,1.99,1.965,1.97,2232600,1.8201
2015-02-13,2.00,2.00,1.975,1.98,1155500,1.8293
2015-02-16,1.98,2.00,1.97,1.99,1243000,1.8385
2015-02-17,1.985,2.00,1.985,1.995,465300,1.8432
2015-02-18,2.01,2.03,1.98,2.00,3375100,1.8478
2015-02-19,2.02,2.03,1.99,2.02,2026600,1.8663
2015-02-20,2.05,2.07,2.02,2.05,2303000,1.894
2015-02-23,2.06,2.07,2.03,2.05,629100,1.894
2015-02-24,2.04,2.055,1.947,2.02,3709000,1.8663
2015-02-25,2.01,2.01,1.99,2.00,2661400,1.8478
2015-02-26,1.995,2.01,1.98,2.01,1768700,1.857
2015-02-27,2.05,2.15,2.05,2.09,5638900,1.9309
2015-03-02,2.09,2.13,2.08,2.09,3413200,1.9309
2015-03-03,2.09,2.12,2.05,2.08,2374700,1.9217
2015-03-04,2.08,2.10,2.07,2.08,5026100,1.9217
