Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.025,0.025,0.025,0.025,000,0.025
2015-01-02,0.026,0.026,0.026,0.026,122600,0.026
2015-01-05,0.026,0.026,0.026,0.026,000,0.026
2015-01-06,0.026,0.026,0.026,0.026,190200,0.026
2015-01-07,0.026,0.026,0.026,0.026,000,0.026
2015-01-08,0.026,0.026,0.026,0.026,000,0.026
2015-01-09,0.029,0.029,0.029,0.029,500000,0.029
2015-01-12,0.029,0.03,0.029,0.03,1599000,0.03
2015-01-13,0.03,0.032,0.03,0.032,482000,0.032
2015-01-14,0.032,0.032,0.032,0.032,000,0.032
2015-01-15,0.032,0.032,0.03,0.03,482900,0.03
2015-01-16,0.031,0.032,0.028,0.028,178500,0.028
2015-01-19,0.028,0.028,0.028,0.028,000,0.028
2015-01-20,0.027,0.028,0.027,0.027,246500,0.027
2015-01-21,0.027,0.027,0.025,0.025,617700,0.025
2015-01-22,0.025,0.025,0.025,0.025,000,0.025
2015-01-23,0.022,0.022,0.022,0.022,62400,0.022
2015-01-26,0.022,0.022,0.022,0.022,000,0.022
2015-01-27,0.022,0.022,0.021,0.021,160000,0.021
2015-01-28,0.02,0.02,0.019,0.019,1158100,0.019
2015-01-29,0.019,0.019,0.016,0.019,455300,0.019
2015-01-30,0.019,0.019,0.019,0.019,20000,0.019
2015-02-02,0.02,0.022,0.02,0.021,98600,0.021
2015-02-03,0.022,0.022,0.021,0.021,79800,0.021
2015-02-04,0.022,0.022,0.022,0.022,550000,0.022
2015-02-05,0.021,0.021,0.021,0.021,12500,0.021
2015-02-06,0.021,0.021,0.02,0.02,480000,0.02
2015-02-09,0.02,0.02,0.02,0.02,000,0.02
2015-02-10,0.024,0.024,0.02,0.02,2570000,0.02
2015-02-11,0.02,0.02,0.02,0.02,000,0.02
2015-02-12,0.02,0.021,0.02,0.02,587600,0.02
2015-02-13,0.018,0.02,0.016,0.02,489500,0.02
2015-02-16,0.02,0.024,0.017,0.019,963700,0.019
2015-02-17,0.024,0.026,0.024,0.025,573500,0.025
2015-02-18,0.022,0.025,0.022,0.025,129200,0.025
2015-02-19,0.025,0.025,0.025,0.025,000,0.025
2015-02-20,0.025,0.025,0.025,0.025,000,0.025
2015-02-23,0.022,0.022,0.022,0.022,152000,0.022
2015-02-24,0.022,0.022,0.022,0.022,000,0.022
2015-02-25,0.025,0.026,0.023,0.023,227000,0.023
2015-02-26,0.025,0.025,0.023,0.023,226800,0.023
2015-02-27,0.025,0.027,0.025,0.027,610800,0.027
2015-03-02,0.026,0.027,0.025,0.025,1040000,0.025
2015-03-03,0.023,0.023,0.022,0.022,385700,0.022
2015-03-04,0.022,0.022,0.022,0.022,250000,0.022
2015-03-05,0.021,0.021,0.019,0.019,1697500,0.019
2015-03-06,0.019,0.019,0.019,0.019,458500,0.019
2015-03-09,0.019,0.019,0.016,0.018,1406700,0.018
2015-03-10,0.018,0.018,0.018,0.018,000,0.018
