Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.60,5.60,5.60,5.60,000,5.28418
2015-01-02,5.59,5.60,5.35,5.35,26000,5.04828
2015-01-05,5.35,5.62,5.35,5.35,21500,5.04828
2015-01-06,5.35,5.60,5.32,5.60,6800,5.28418
2015-01-07,5.50,5.50,5.50,5.50,000,5.18982
2015-01-08,5.41,5.50,5.35,5.35,8000,5.04828
2015-01-09,5.35,5.38,5.31,5.35,90000,5.04828
2015-01-12,5.39,5.39,5.31,5.37,43700,5.06715
2015-01-13,5.35,5.37,5.33,5.37,207100,5.06715
2015-01-14,5.38,5.50,5.37,5.50,112000,5.18982
2015-01-15,5.48,5.50,5.41,5.50,7000,5.18982
2015-01-16,5.40,5.48,5.40,5.48,204600,5.17095
2015-01-19,5.42,5.46,5.38,5.39,2500,5.08602
2015-01-20,5.35,5.35,5.32,5.32,6800,5.01997
2015-01-21,5.32,5.42,5.32,5.35,7200,5.04828
2015-01-22,5.35,5.37,5.30,5.33,40500,5.02941
2015-01-23,5.30,5.31,5.25,5.26,43200,4.96335
2015-01-26,5.26,5.26,5.26,5.26,000,4.96335
2015-01-27,5.26,5.27,5.15,5.20,26200,4.90674
2015-01-28,5.22,5.22,4.87,4.92,206500,4.64253
2015-01-29,4.91,5.04,4.91,5.03,41200,4.74633
2015-01-30,5.04,5.09,5.04,5.08,26300,4.79351
2015-02-02,5.10,5.18,5.05,5.05,80200,4.7652
2015-02-03,5.08,5.13,5.05,5.07,24800,4.78407
2015-02-04,5.09,5.27,5.07,5.27,40900,4.97279
2015-02-05,5.27,5.28,5.11,5.22,800,4.92561
2015-02-06,5.16,5.21,5.15,5.20,2800,4.90674
2015-02-09,5.19,5.29,5.19,5.28,31200,4.98223
2015-02-10,5.27,5.52,5.22,5.50,1096700,5.18982
2015-02-11,5.50,5.55,5.45,5.52,57500,5.20869
2015-02-12,5.50,5.55,5.46,5.55,79800,5.237
2015-02-13,5.56,5.83,5.48,5.75,69800,5.42572
2015-02-16,5.75,5.75,5.51,5.63,34000,5.31249
2015-02-17,5.63,5.72,5.62,5.66,10000,5.3408
2015-02-18,5.69,5.70,5.62,5.70,20800,5.37854
2015-02-19,5.75,6.05,5.75,5.99,194300,5.65218
2015-02-20,5.99,6.04,5.92,5.95,187100,5.61444
2015-02-23,6.05,6.06,5.97,6.01,79900,5.67106
2015-02-24,6.11,6.11,5.97,6.05,111500,5.7088
2015-02-25,6.05,6.07,5.99,6.05,23900,5.7088
2015-02-26,6.05,6.10,5.97,6.05,35700,5.7088
2015-02-27,6.04,6.05,5.99,6.03,139500,5.68993
2015-03-02,6.00,6.05,5.96,6.03,47300,5.68993
2015-03-03,6.04,6.10,5.75,5.87,29700,5.65087
2015-03-04,5.90,5.97,5.85,5.94,25800,5.71826
2015-03-05,5.94,5.94,5.84,5.85,37400,5.63162
2015-03-06,5.88,5.88,5.82,5.86,3200,5.64125
2015-03-09,5.85,5.94,5.85,5.90,76000,5.67975
2015-03-10,5.90,5.92,5.85,5.88,59200,5.6605
2015-03-11,5.85,5.99,5.81,5.95,100200,5.72789
2015-03-12,5.94,6.11,5.88,6.01,29800,5.78565
2015-03-13,6.06,6.54,6.06,6.38,119500,6.14183
2015-03-16,6.40,6.40,6.28,6.33,57400,6.0937
2015-03-17,6.33,6.45,6.18,6.18,45900,5.9493
2015-03-18,6.35,6.35,6.18,6.23,16800,5.99743
2015-03-19,6.31,6.40,6.30,6.35,41800,6.11295
2015-03-20,6.35,6.46,6.22,6.32,21800,6.08407
2015-03-23,6.32,6.40,6.20,6.30,10600,6.06482
2015-03-24,6.25,6.40,6.20,6.35,24300,6.11295
2015-03-25,6.32,6.40,6.30,6.35,21000,6.11295
2015-03-26,6.35,6.41,6.26,6.26,62600,6.02631
2015-03-27,6.26,6.40,6.19,6.35,22500,6.11295
2015-03-30,6.30,6.40,6.19,6.40,102600,6.16109
2015-03-31,6.36,6.55,6.36,6.55,86600,6.30549
2015-04-01,6.55,6.55,6.44,6.44,60600,6.19959
2015-04-02,6.50,6.50,6.40,6.40,16700,6.16109
2015-04-03,6.40,6.40,6.40,6.40,000,6.16109
2015-04-06,6.40,6.40,6.40,6.40,000,6.16109
2015-04-07,6.40,6.45,6.40,6.40,6000,6.16109
2015-04-08,6.40,6.45,6.37,6.40,10200,6.16109
2015-04-09,6.41,6.45,6.36,6.36,47100,6.12258
2015-04-10,6.41,6.41,6.25,6.25,10600,6.01669
2015-04-13,6.25,6.31,6.22,6.27,89100,6.03594
2015-04-14,6.22,6.30,6.21,6.25,13000,6.01669
2015-04-15,6.21,6.33,6.19,6.30,36100,6.06482
2015-04-16,6.31,6.31,6.26,6.30,11700,6.06482
2015-04-17,6.27,6.33,6.26,6.30,71300,6.06482
2015-04-20,6.30,6.32,6.20,6.20,22200,5.96855
2015-04-21,6.34,6.34,6.15,6.19,16900,5.95893
2015-04-22,6.18,6.30,6.18,6.24,30600,6.00706
2015-04-23,6.25,6.30,6.25,6.30,14400,6.06482
2015-04-24,6.30,6.32,6.28,6.28,32100,6.04557
2015-04-27,6.30,6.35,6.295,6.34,38200,6.10333
2015-04-28,6.34,6.36,6.29,6.29,10400,6.05519
2015-04-29,6.30,6.34,6.29,6.34,16000,6.10333
2015-04-30,6.34,6.43,6.32,6.36,17900,6.12258
2015-05-01,6.345,6.35,6.30,6.30,21200,6.06482
2015-05-04,6.31,6.35,6.31,6.33,7400,6.0937
2015-05-05,6.35,6.36,6.31,6.36,322400,6.12258
2015-05-06,6.33,6.34,6.30,6.30,10000,6.06482
2015-05-07,6.36,6.36,6.20,6.20,40700,5.96855
2015-05-08,6.30,6.30,6.20,6.30,25900,6.06482
2015-05-11,6.30,6.30,6.15,6.16,5400,5.93005
2015-05-12,6.20,6.20,5.95,6.00,116800,5.77602
2015-05-13,6.00,6.05,5.98,6.05,114100,5.82415
2015-05-14,6.02,6.05,5.95,5.97,71900,5.74714
2015-05-15,6.17,6.20,6.01,6.20,39800,5.96855
2015-05-18,6.20,6.25,6.00,6.13,20200,5.90117
2015-05-19,6.09,6.09,6.09,6.09,000,5.86266
2015-05-20,6.06,6.075,5.98,5.98,21400,5.75677
2015-05-21,6.06,6.06,5.96,5.96,16800,5.73751
2015-05-22,5.98,6.02,5.82,5.82,26000,5.60274
2015-05-25,5.83,5.90,5.81,5.86,243300,5.64125
2015-05-26,5.91,5.91,5.89,5.91,15300,5.68938
2015-05-27,5.91,6.02,5.82,6.02,52600,5.79527
2015-05-28,6.06,6.06,5.96,5.98,11600,5.75677
2015-05-29,6.06,6.15,6.03,6.15,32500,5.92042
2015-06-01,6.00,6.11,5.95,5.95,51300,5.72789
2015-06-02,5.98,6.00,5.95,5.95,10900,5.72789
2015-06-03,5.95,5.96,5.90,5.90,11500,5.67975
2015-06-04,5.92,5.93,5.71,5.75,46900,5.53535
2015-06-05,5.71,5.72,5.70,5.71,25400,5.49685
2015-06-08,5.71,5.71,5.71,5.71,000,5.49685
2015-06-09,5.90,5.96,5.75,5.94,48800,5.71826
2015-06-10,5.75,5.89,5.75,5.89,13300,5.67013
2015-06-11,5.89,6.06,5.82,6.00,45700,5.77602
2015-06-12,5.76,5.88,5.75,5.88,2800,5.6605
2015-06-15,5.88,5.90,5.75,5.80,11300,5.58349
2015-06-16,5.80,5.81,5.76,5.81,10000,5.59311
2015-06-17,5.85,5.95,5.76,5.95,45300,5.72789
2015-06-18,5.95,5.95,5.86,5.94,18300,5.71826
2015-06-19,5.85,6.17,5.85,6.17,183500,5.93967
2015-06-22,6.16,6.16,5.91,6.00,15000,5.77602
2015-06-23,5.96,6.00,5.78,5.87,58700,5.65087
2015-06-24,5.87,5.87,5.76,5.78,146600,5.56423
2015-06-25,5.79,5.85,5.75,5.75,23500,5.53535
2015-06-26,5.73,5.89,5.66,5.72,105100,5.50647
2015-06-29,5.88,5.90,5.75,5.84,27600,5.62199
2015-06-30,5.80,5.84,5.75,5.84,18800,5.62199
2015-07-01,5.84,5.87,5.79,5.84,9000,5.62199
2015-07-02,5.83,6.00,5.83,5.93,18000,5.70863
2015-07-03,5.90,5.90,5.81,5.81,7000,5.59311
2015-07-06,5.80,5.80,5.75,5.77,34500,5.55461
2015-07-07,5.75,5.77,5.69,5.69,14400,5.47759
2015-07-08,5.65,5.68,5.50,5.55,37600,5.34282
2015-07-09,5.55,5.61,5.355,5.40,43000,5.19842
2015-07-10,5.67,5.70,5.45,5.57,123300,5.36207
2015-07-13,5.58,5.70,5.44,5.70,13700,5.48722
2015-07-14,5.64,5.70,5.45,5.48,15500,5.27543
2015-07-15,5.50,5.70,5.50,5.70,121300,5.48722
2015-07-16,5.61,5.69,5.55,5.63,22400,5.41983
2015-07-17,5.70,5.70,5.56,5.64,12200,5.42946
2015-07-20,5.64,5.75,5.55,5.73,53400,5.5161
2015-07-21,5.71,5.92,5.71,5.82,47400,5.60274
2015-07-22,5.82,5.92,5.79,5.92,46600,5.69901
2015-07-23,5.90,6.00,5.90,6.00,31200,5.77602
2015-07-24,5.93,6.15,5.93,6.15,15100,5.92042
2015-07-27,6.08,6.10,5.93,6.04,32600,5.81453
2015-07-28,6.04,6.04,5.92,5.96,52600,5.73751
2015-07-29,5.98,6.11,5.98,6.00,35000,5.77602
2015-07-30,6.00,6.03,5.96,6.00,60000,5.77602
2015-07-31,5.94,6.11,5.94,6.03,5500,5.8049
2015-08-03,6.10,6.15,6.01,6.15,20600,5.92042
2015-08-04,6.13,6.20,6.01,6.17,608600,5.93967
2015-08-05,6.17,6.29,6.08,6.20,72500,5.96855
2015-08-06,6.16,6.20,6.10,6.14,11300,5.91079
2015-08-07,6.14,6.20,6.11,6.20,12500,5.96855
