Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.70,4.70,4.70,4.70,000,4.70
2015-01-02,4.70,4.70,4.70,4.70,000,4.70
2015-01-05,4.70,4.70,4.70,4.70,000,4.70
2015-01-06,4.70,4.70,4.70,4.70,000,4.70
2015-01-07,4.70,4.70,4.70,4.70,000,4.70
2015-01-08,4.70,4.70,4.70,4.70,000,4.70
2015-01-09,4.70,4.70,4.70,4.70,000,4.70
2015-01-12,4.70,4.70,4.70,4.70,000,4.70
2015-01-13,4.70,4.70,4.70,4.70,000,4.70
2015-01-14,4.70,4.70,4.70,4.70,000,4.70
2015-01-15,4.70,4.70,4.70,4.70,000,4.70
2015-01-16,4.70,4.70,4.70,4.70,000,4.70
2015-01-19,4.70,4.70,4.70,4.70,000,4.70
2015-01-20,4.70,4.70,4.70,4.70,000,4.70
2015-01-21,4.70,4.70,4.70,4.70,000,4.70
2015-01-22,4.70,4.70,4.70,4.70,000,4.70
2015-01-23,4.70,4.70,4.70,4.70,000,4.70
2015-01-26,4.70,4.70,4.70,4.70,000,4.70
2015-01-27,4.70,4.70,4.70,4.70,000,4.70
2015-01-28,4.70,4.70,4.70,4.70,000,4.70
2015-01-29,4.70,4.70,4.70,4.70,000,4.70
2015-01-30,4.70,4.70,4.70,4.70,000,4.70
2015-02-02,4.70,4.70,4.70,4.70,000,4.70
2015-02-03,4.70,4.70,4.70,4.70,000,4.70
2015-02-04,4.70,4.70,4.70,4.70,000,4.70
2015-02-05,4.70,4.70,4.70,4.70,000,4.70
2015-02-06,4.70,4.70,4.70,4.70,000,4.70
2015-02-09,4.70,4.70,4.70,4.70,000,4.70
2015-02-10,4.70,4.70,4.70,4.70,000,4.70
2015-02-11,4.70,4.70,4.70,4.70,000,4.70
2015-02-12,4.70,4.70,4.70,4.70,000,4.70
2015-02-13,4.70,4.70,4.70,4.70,000,4.70
2015-02-16,4.70,4.70,4.70,4.70,000,4.70
2015-02-17,4.70,4.70,4.70,4.70,000,4.70
2015-02-18,4.70,4.70,4.70,4.70,000,4.70
2015-02-19,4.70,4.70,4.70,4.70,000,4.70
2015-02-20,4.70,4.70,4.70,4.70,000,4.70
2015-02-23,4.70,4.70,4.70,4.70,000,4.70
2015-02-24,4.70,4.70,4.70,4.70,000,4.70
2015-02-25,4.70,4.70,4.70,4.70,000,4.70
2015-02-26,4.70,4.70,4.70,4.70,000,4.70
2015-02-27,4.70,4.70,4.70,4.70,000,4.70
2015-03-02,4.70,4.70,4.70,4.70,000,4.70
2015-03-03,4.70,4.70,4.70,4.70,000,4.70
2015-03-04,4.70,4.70,4.70,4.70,000,4.70
2015-03-05,4.70,4.70,4.70,4.70,000,4.70
2015-03-06,4.70,4.70,4.70,4.70,000,4.70
2015-03-09,4.70,4.70,4.70,4.70,000,4.70
2015-03-10,4.70,4.70,4.70,4.70,000,4.70
2015-03-11,4.70,4.70,4.70,4.70,000,4.70
2015-03-12,4.70,4.70,4.70,4.70,000,4.70
2015-03-13,4.70,4.70,4.70,4.70,000,4.70
2015-03-16,4.70,4.70,4.70,4.70,000,4.70
2015-03-17,4.70,4.70,4.70,4.70,000,4.70
2015-03-18,4.70,4.70,4.70,4.70,000,4.70
2015-03-19,4.70,4.70,4.70,4.70,000,4.70
2015-03-20,4.70,4.70,4.70,4.70,000,4.70
2015-03-23,4.70,4.70,4.70,4.70,000,4.70
2015-03-24,4.70,4.70,4.70,4.70,000,4.70
2015-03-25,4.70,4.70,4.70,4.70,000,4.70
2015-03-26,4.70,4.70,4.70,4.70,000,4.70
2015-03-27,5.00,5.00,4.85,4.85,3000,4.85
2015-03-30,4.85,4.85,4.85,4.85,000,4.85
2015-03-31,4.85,4.85,4.85,4.85,000,4.85
2015-04-01,4.85,4.85,4.85,4.85,000,4.85
2015-04-02,4.85,4.85,4.85,4.85,000,4.85
2015-04-03,4.85,4.85,4.85,4.85,000,4.85
2015-04-06,4.85,4.85,4.85,4.85,000,4.85
2015-04-07,4.85,4.85,4.85,4.85,000,4.85
2015-04-08,4.85,4.85,4.85,4.85,000,4.85
2015-04-09,4.85,4.85,4.85,4.85,000,4.85
2015-04-10,4.85,4.85,4.85,4.85,000,4.85
2015-04-13,4.61,4.61,4.61,4.61,7000,4.61
2015-04-14,4.61,4.61,4.61,4.61,000,4.61
2015-04-15,4.61,4.61,4.61,4.61,000,4.61
2015-04-16,4.61,4.61,4.61,4.61,000,4.61
2015-04-17,4.61,4.61,4.61,4.61,000,4.61
2015-04-20,4.61,4.61,4.61,4.61,000,4.61
2015-04-21,4.61,4.61,4.61,4.61,000,4.61
2015-04-22,4.61,4.61,4.61,4.61,000,4.61
2015-04-23,4.61,4.61,4.61,4.61,000,4.61
2015-04-24,4.61,4.61,4.61,4.61,000,4.61
2015-04-27,4.61,4.61,4.61,4.61,000,4.61
2015-04-28,4.61,4.61,4.61,4.61,000,4.61
2015-04-29,4.61,4.61,4.61,4.61,2500,4.61
2015-04-30,4.61,4.61,4.61,4.61,000,4.61
2015-05-01,4.61,4.61,4.61,4.61,000,4.61
2015-05-04,4.61,4.61,4.61,4.61,000,4.61
2015-05-05,4.61,4.61,4.61,4.61,000,4.61
2015-05-06,4.61,4.61,4.61,4.61,000,4.61
2015-05-07,4.61,4.61,4.61,4.61,000,4.61
2015-05-08,4.61,4.61,4.61,4.61,000,4.61
2015-05-11,4.61,4.61,4.61,4.61,000,4.61
2015-05-12,4.61,4.61,4.61,4.61,000,4.61
2015-05-13,4.61,4.61,4.61,4.61,000,4.61
2015-05-14,4.61,4.61,4.61,4.61,000,4.61
2015-05-15,4.61,4.61,4.61,4.61,000,4.61
2015-05-18,4.61,4.61,4.61,4.61,000,4.61
2015-05-19,4.61,4.61,4.61,4.61,000,4.61
2015-05-20,4.61,4.61,4.61,4.61,000,4.61
2015-05-21,4.61,4.61,4.61,4.61,000,4.61
2015-05-22,4.61,4.61,4.61,4.61,000,4.61
2015-05-25,4.61,4.61,4.61,4.61,000,4.61
2015-05-26,4.61,4.61,4.61,4.61,000,4.61
2015-05-27,4.61,4.61,4.61,4.61,000,4.61
2015-05-28,4.61,4.61,4.61,4.61,000,4.61
2015-05-29,4.61,4.61,4.61,4.61,000,4.61
2015-06-01,4.61,4.61,4.61,4.61,000,4.61
2015-06-02,4.61,4.61,4.61,4.61,000,4.61
2015-06-03,4.61,4.61,4.61,4.61,000,4.61
2015-06-04,4.61,4.61,4.61,4.61,000,4.61
2015-06-05,4.61,4.61,4.61,4.61,000,4.61
2015-06-08,4.61,4.61,4.61,4.61,000,4.61
2015-06-09,4.61,4.61,4.61,4.61,000,4.61
2015-06-10,4.61,4.61,4.61,4.61,000,4.61
2015-06-11,4.61,4.61,4.61,4.61,000,4.61
2015-06-12,5.05,5.05,5.05,5.05,100,5.05
2015-06-15,5.05,5.05,5.05,5.05,000,5.05
2015-06-16,5.05,5.05,5.05,5.05,000,5.05
2015-06-17,5.05,5.05,5.05,5.05,000,5.05
2015-06-18,5.05,5.05,5.05,5.05,000,5.05
2015-06-19,5.05,5.05,5.05,5.05,000,5.05
2015-06-22,5.05,5.05,5.05,5.05,000,5.05
2015-06-23,5.05,5.05,5.05,5.05,000,5.05
2015-06-24,5.50,5.50,5.50,5.50,700,5.50
2015-06-25,5.75,5.75,5.75,5.75,700,5.75
2015-06-26,5.75,5.75,5.75,5.75,000,5.75
2015-06-29,5.75,5.75,5.75,5.75,000,5.75
2015-06-30,5.75,5.75,5.75,5.75,000,5.75
2015-07-01,5.75,5.75,5.75,5.75,000,5.75
2015-07-02,5.75,5.75,5.75,5.75,000,5.75
2015-07-03,5.75,5.75,5.75,5.75,000,5.75
2015-07-06,5.75,5.75,5.75,5.75,000,5.75
2015-07-07,5.75,5.75,5.75,5.75,000,5.75
2015-07-08,5.75,5.75,5.75,5.75,000,5.75
2015-07-09,5.75,5.75,5.75,5.75,000,5.75
2015-07-10,5.75,5.75,5.75,5.75,000,5.75
2015-07-13,5.75,5.75,5.75,5.75,000,5.75
2015-07-14,5.75,5.75,5.75,5.75,000,5.75
2015-07-15,5.75,5.75,5.75,5.75,000,5.75
