Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.059,0.059,0.059,0.059,000,0.059
2015-01-02,0.055,0.059,0.054,0.058,1003200,0.058
2015-01-05,0.056,0.058,0.056,0.056,88700,0.056
2015-01-06,0.057,0.059,0.056,0.058,378500,0.058
2015-01-07,0.058,0.06,0.055,0.056,2204200,0.056
2015-01-08,0.056,0.06,0.048,0.052,10324300,0.052
2015-01-09,0.053,0.053,0.048,0.049,4380700,0.049
2015-01-12,0.044,0.044,0.038,0.043,9114700,0.043
2015-01-13,0.044,0.044,0.041,0.042,2007000,0.042
2015-01-14,0.042,0.045,0.042,0.045,1377800,0.045
2015-01-15,0.044,0.045,0.043,0.043,860200,0.043
2015-01-16,0.043,0.044,0.043,0.043,417800,0.043
2015-01-19,0.043,0.045,0.043,0.044,78600,0.044
2015-01-20,0.043,0.044,0.042,0.042,1521000,0.042
2015-01-21,0.042,0.042,0.039,0.04,3083700,0.04
2015-01-22,0.04,0.043,0.039,0.043,1005200,0.043
2015-01-23,0.04,0.042,0.04,0.042,633000,0.042
2015-01-26,0.042,0.042,0.042,0.042,000,0.042
2015-01-27,0.04,0.04,0.039,0.04,2400000,0.04
2015-01-28,0.04,0.041,0.039,0.039,483500,0.039
2015-01-29,0.039,0.039,0.037,0.038,790000,0.038
2015-01-30,0.039,0.041,0.035,0.041,1143500,0.041
2015-02-02,0.041,0.041,0.038,0.039,687400,0.039
2015-02-03,0.04,0.041,0.039,0.039,754500,0.039
2015-02-04,0.04,0.04,0.039,0.04,379400,0.04
2015-02-05,0.04,0.041,0.04,0.041,635000,0.041
2015-02-06,0.041,0.042,0.04,0.041,1111900,0.041
2015-02-09,0.041,0.045,0.041,0.042,1145800,0.042
2015-02-10,0.043,0.044,0.042,0.043,671500,0.043
2015-02-11,0.043,0.043,0.04,0.042,829200,0.042
2015-02-12,0.042,0.043,0.04,0.041,1071200,0.041
2015-02-13,0.043,0.043,0.041,0.041,169100,0.041
2015-02-16,0.041,0.043,0.04,0.043,212500,0.043
2015-02-17,0.043,0.043,0.043,0.043,000,0.043
2015-02-18,0.041,0.041,0.039,0.04,1352200,0.04
2015-02-19,0.04,0.041,0.038,0.039,1044900,0.039
2015-02-20,0.039,0.039,0.037,0.038,353900,0.038
2015-02-23,0.037,0.041,0.037,0.041,1939100,0.041
2015-02-24,0.04,0.04,0.038,0.04,2382100,0.04
2015-02-25,0.04,0.041,0.039,0.041,1835000,0.041
2015-02-26,0.041,0.041,0.04,0.04,618900,0.04
2015-02-27,0.04,0.041,0.04,0.041,329200,0.041
2015-03-02,0.04,0.0405,0.039,0.039,302900,0.039
2015-03-03,0.039,0.042,0.039,0.042,1395400,0.042
2015-03-04,0.042,0.047,0.04,0.044,2902200,0.044
2015-03-05,0.045,0.047,0.044,0.044,2548100,0.044
2015-03-06,0.044,0.044,0.043,0.043,307800,0.043
2015-03-09,0.043,0.045,0.041,0.042,1701400,0.042
2015-03-10,0.043,0.043,0.042,0.043,1605200,0.043
2015-03-11,0.043,0.044,0.043,0.043,292800,0.043
2015-03-12,0.043,0.043,0.041,0.041,1172400,0.041
2015-03-13,0.041,0.041,0.041,0.041,63900,0.041
2015-03-16,0.041,0.041,0.04,0.04,355000,0.04
2015-03-17,0.041,0.043,0.041,0.042,503100,0.042
2015-03-18,0.041,0.042,0.041,0.041,1838900,0.041
2015-03-19,0.041,0.045,0.041,0.045,4200200,0.045
2015-03-20,0.043,0.044,0.041,0.043,1362600,0.043
2015-03-23,0.044,0.044,0.042,0.042,983800,0.042
2015-03-24,0.043,0.043,0.04,0.04,2167000,0.04
2015-03-25,0.04,0.041,0.039,0.041,585000,0.041
2015-03-26,0.041,0.041,0.041,0.041,000,0.041
2015-03-27,0.041,0.041,0.038,0.04,3514500,0.04
2015-03-30,0.039,0.04,0.039,0.04,709600,0.04
2015-03-31,0.041,0.043,0.04,0.041,1247600,0.041
2015-04-01,0.042,0.043,0.042,0.042,1072800,0.042
2015-04-02,0.042,0.042,0.04,0.04,325900,0.04
2015-04-03,0.04,0.04,0.04,0.04,000,0.04
2015-04-06,0.04,0.04,0.04,0.04,000,0.04
2015-04-07,0.041,0.041,0.04,0.04,2382400,0.04
2015-04-08,0.039,0.039,0.038,0.038,2142300,0.038
2015-04-09,0.038,0.0385,0.038,0.038,555500,0.038
2015-04-10,0.038,0.038,0.037,0.038,2197600,0.038
2015-04-13,0.038,0.039,0.038,0.038,300900,0.038
2015-04-14,0.038,0.0385,0.038,0.038,35100,0.038
2015-04-15,0.038,0.038,0.038,0.038,1286100,0.038
2015-04-16,0.039,0.039,0.038,0.038,536200,0.038
2015-04-17,0.039,0.039,0.038,0.039,741100,0.039
2015-04-20,0.039,0.0395,0.038,0.039,387100,0.039
2015-04-21,0.04,0.043,0.04,0.04,1468700,0.04
2015-04-22,0.04,0.04,0.038,0.038,314700,0.038
2015-04-23,0.039,0.039,0.038,0.038,284300,0.038
2015-04-24,0.039,0.04,0.039,0.04,1162600,0.04
2015-04-27,0.04,0.04,0.039,0.039,458900,0.039
2015-04-28,0.038,0.038,0.037,0.037,5271600,0.037
2015-04-29,0.037,0.037,0.037,0.037,567700,0.037
2015-04-30,0.037,0.037,0.036,0.037,143700,0.037
2015-05-01,0.036,0.036,0.034,0.035,7805200,0.035
2015-05-04,0.034,0.035,0.033,0.035,2598300,0.035
2015-05-05,0.036,0.037,0.035,0.037,775700,0.037
2015-05-06,0.037,0.037,0.035,0.035,905400,0.035
2015-05-07,0.035,0.036,0.035,0.036,200000,0.036
2015-05-08,0.034,0.034,0.033,0.034,544400,0.034
2015-05-11,0.033,0.033,0.032,0.032,269100,0.032
2015-05-12,0.032,0.032,0.032,0.032,79200,0.032
2015-05-13,0.032,0.032,0.032,0.032,641100,0.032
2015-05-14,0.033,0.033,0.031,0.031,1257900,0.031
2015-05-15,0.031,0.031,0.031,0.031,509800,0.031
2015-05-18,0.031,0.031,0.028,0.028,2812700,0.028
2015-05-19,0.028,0.03,0.028,0.028,1416200,0.028
2015-05-20,0.031,0.034,0.031,0.031,1158400,0.031
2015-05-21,0.031,0.034,0.03,0.033,1653800,0.033
2015-05-22,0.034,0.034,0.033,0.033,1982700,0.033
2015-05-25,0.032,0.033,0.032,0.032,773200,0.032
2015-05-26,0.031,0.031,0.031,0.031,230000,0.031
2015-05-27,0.03,0.03,0.03,0.03,44000,0.03
2015-05-28,0.03,0.03,0.03,0.03,904300,0.03
2015-05-29,0.03,0.03,0.029,0.029,268200,0.029
2015-06-01,0.029,0.029,0.027,0.029,1254400,0.029
2015-06-02,0.027,0.028,0.025,0.027,1803400,0.027
2015-06-03,0.027,0.028,0.027,0.027,3290400,0.027
2015-06-04,0.028,0.028,0.025,0.025,5618900,0.025
2015-06-05,0.026,0.026,0.024,0.025,3152300,0.025
2015-06-08,0.025,0.025,0.025,0.025,000,0.025
2015-06-09,0.029,0.031,0.029,0.03,2050800,0.03
2015-06-10,0.029,0.029,0.028,0.028,1658100,0.028
2015-06-11,0.03,0.031,0.029,0.029,2750100,0.029
2015-06-12,0.031,0.031,0.029,0.029,2099600,0.029
2015-06-15,0.03,0.03,0.029,0.029,2669500,0.029
2015-06-16,0.028,0.029,0.028,0.028,2139900,0.028
2015-06-17,0.027,0.027,0.026,0.026,2010000,0.026
2015-06-18,0.026,0.026,0.026,0.026,3000,0.026
2015-06-19,0.026,0.026,0.025,0.025,1664600,0.025
2015-06-22,0.025,0.026,0.025,0.026,1839200,0.026
2015-06-23,0.027,0.027,0.026,0.026,1986100,0.026
2015-06-24,0.027,0.027,0.026,0.026,1645000,0.026
2015-06-25,0.026,0.027,0.025,0.027,13036800,0.027
2015-06-26,0.028,0.031,0.028,0.029,1498100,0.029
2015-06-29,0.03,0.03,0.028,0.028,1996400,0.028
2015-06-30,0.029,0.029,0.028,0.028,1322900,0.028
2015-07-01,0.029,0.03,0.029,0.03,760000,0.03
2015-07-02,0.03,0.031,0.03,0.03,1173300,0.03
2015-07-03,0.03,0.033,0.03,0.032,2159300,0.032
2015-07-06,0.031,0.031,0.029,0.029,1598400,0.029
2015-07-07,0.03,0.031,0.029,0.029,547800,0.029
2015-07-08,0.03,0.03,0.028,0.028,758600,0.028
2015-07-09,0.027,0.028,0.027,0.027,1846000,0.027
2015-07-10,0.029,0.029,0.026,0.026,3688800,0.026
2015-07-13,0.028,0.029,0.027,0.027,294100,0.027
2015-07-14,0.029,0.029,0.027,0.028,2247200,0.028
2015-07-15,0.027,0.028,0.027,0.028,1130000,0.028
2015-07-16,0.027,0.032,0.027,0.03,4154600,0.03
2015-07-17,0.03,0.03,0.028,0.029,393600,0.029
2015-07-20,0.029,0.029,0.029,0.029,000,0.029
2015-07-21,0.03,0.032,0.029,0.029,2607700,0.029
2015-07-22,0.031,0.035,0.03,0.03,2096000,0.03
2015-07-23,0.031,0.033,0.03,0.031,770200,0.031
2015-07-24,0.033,0.033,0.03,0.033,556400,0.033
2015-07-27,0.032,0.036,0.031,0.034,3112000,0.034
2015-07-28,0.034,0.035,0.032,0.034,1778600,0.034
2015-07-29,0.034,0.034,0.031,0.031,1284700,0.031
2015-07-30,0.031,0.032,0.03,0.03,646200,0.03
2015-07-31,0.031,0.034,0.03,0.032,1118800,0.032
2015-08-03,0.032,0.033,0.031,0.032,150200,0.032
2015-08-04,0.031,0.034,0.03,0.033,1933800,0.033
2015-08-05,0.033,0.034,0.031,0.034,2037700,0.034
2015-08-06,0.035,0.04,0.035,0.037,7653000,0.037
2015-08-07,0.038,0.038,0.034,0.035,3274600,0.035
2015-08-10,0.036,0.036,0.034,0.035,1488800,0.035
2015-08-11,0.035,0.041,0.035,0.041,8274300,0.041
2015-08-12,0.04,0.043,0.038,0.04,7797400,0.04
2015-08-13,0.04,0.044,0.04,0.042,2702500,0.042
2015-08-14,0.041,0.041,0.038,0.04,5913200,0.04
2015-08-17,0.041,0.045,0.04,0.041,8671500,0.041
2015-08-18,0.041,0.042,0.04,0.042,1765500,0.042
2015-08-19,0.041,0.041,0.036,0.038,5296100,0.038
2015-08-20,0.037,0.039,0.036,0.036,1265500,0.036
2015-08-21,0.038,0.038,0.032,0.035,3665400,0.035
2015-08-24,0.033,0.033,0.029,0.029,4644000,0.029
