Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-02,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-05,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-06,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-07,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-08,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-09,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-12,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-13,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-14,0.10542,0.10542,0.10542,0.10542,000,0.10542
2015-01-15,0.09583,0.09583,0.09583,0.09583,34700,0.09583
2015-01-16,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-01-19,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-01-20,0.09583,0.09583,0.09583,0.09583,34900,0.09583
2015-01-21,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-01-22,0.09583,0.09583,0.09583,0.09583,100,0.09583
2015-01-23,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-01-26,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-01-27,0.08625,0.08625,0.08625,0.08625,59400,0.08625
2015-01-28,0.08625,0.08625,0.08625,0.08625,000,0.08625
2015-01-29,0.08625,0.08625,0.08625,0.08625,000,0.08625
2015-01-30,0.08625,0.08625,0.08625,0.08625,41700,0.08625
2015-02-02,0.08625,0.08625,0.08625,0.08625,000,0.08625
2015-02-03,0.09104,0.09104,0.09104,0.09104,208600,0.09104
2015-02-04,0.09104,0.09104,0.09104,0.09104,000,0.09104
2015-02-05,0.09583,0.09583,0.09583,0.09583,52100,0.09583
2015-02-06,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-02-09,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-02-10,0.09583,0.09583,0.09583,0.09583,33000,0.09583
2015-02-11,0.09583,0.09583,0.09583,0.09583,41700,0.09583
2015-02-12,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-02-13,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-02-16,0.09583,0.09583,0.09583,0.09583,000,0.09583
2015-02-17,0.08625,0.08625,0.08625,0.08625,26000,0.08625
2015-02-18,0.07858,0.07858,0.07858,0.07858,22600,0.07858
2015-02-19,0.07858,0.07858,0.07858,0.07858,000,0.07858
2015-02-20,0.07858,0.07858,0.07858,0.07858,000,0.07858
