Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.82,5.82,5.82,5.82,000,5.028
2015-01-02,5.80,6.01,5.80,5.96,257000,5.149
2015-01-05,5.93,6.19,5.93,6.15,494300,5.313
2015-01-06,5.97,6.05,5.87,5.98,1242300,5.166
2015-01-07,5.96,5.96,5.81,5.86,400900,5.062
2015-01-08,5.80,5.84,5.63,5.72,488200,4.941
2015-01-09,5.88,5.99,5.72,5.87,306300,5.071
2015-01-12,5.83,5.85,5.72,5.79,222400,5.002
2015-01-13,5.66,5.75,5.62,5.71,645400,4.933
2015-01-14,5.65,5.74,5.52,5.54,425500,4.786
2015-01-15,5.54,5.54,5.34,5.44,390100,4.699
2015-01-16,5.35,5.42,5.29,5.39,369600,4.656
2015-01-19,5.46,5.635,5.45,5.48,294800,4.734
2015-01-20,5.47,5.50,5.35,5.42,220500,4.682
2015-01-21,5.44,5.53,5.36,5.39,219600,4.656
2015-01-22,5.40,5.45,5.35,5.41,239100,4.674
2015-01-23,5.45,5.59,5.42,5.55,345800,4.794
2015-01-26,5.55,5.55,5.55,5.55,000,4.794
2015-01-27,5.56,5.71,5.51,5.67,372200,4.898
2015-01-28,5.64,5.64,5.38,5.38,546600,4.648
2015-01-29,5.36,5.41,5.16,5.21,797100,4.501
2015-01-30,5.24,5.24,5.11,5.13,994400,4.432
2015-02-02,5.14,5.28,5.13,5.21,481900,4.501
2015-02-03,5.20,5.43,5.20,5.40,700300,4.665
2015-02-04,5.42,5.70,5.42,5.68,695700,4.907
2015-02-05,5.67,5.72,5.62,5.70,607800,4.924
2015-02-06,5.74,5.85,5.71,5.80,394800,5.01
2015-02-09,5.81,5.82,5.67,5.71,586400,4.933
2015-02-10,5.74,5.80,5.67,5.73,404400,4.95
2015-02-11,5.79,5.86,5.72,5.73,463700,4.95
2015-02-12,5.75,5.79,5.58,5.63,491400,4.864
2015-02-13,5.73,5.78,5.66,5.72,641200,4.941
2015-02-16,5.70,6.12,5.70,6.07,473400,5.244
2015-02-17,6.06,6.23,5.98,6.16,812800,5.321
2015-02-18,6.16,6.17,5.98,6.13,582800,5.296
2015-02-19,6.17,6.20,6.10,6.19,399400,5.347
2015-02-20,6.21,6.21,6.04,6.12,516200,5.287
2015-02-23,6.16,6.35,6.08,6.20,462500,5.356
2015-02-24,6.38,6.38,6.145,6.18,535200,5.339
2015-02-25,6.23,6.86,6.23,6.85,1425600,5.917
2015-02-26,6.70,6.98,6.70,6.95,826500,6.004
2015-02-27,6.95,7.14,6.82,7.02,689100,6.064
2015-03-02,7.00,7.37,6.98,7.34,815000,6.341
2015-03-03,7.48,7.57,7.32,7.40,771400,6.393
2015-03-04,7.40,7.42,7.32,7.35,753300,6.349
2015-03-05,7.35,7.54,7.34,7.44,529400,6.427
2015-03-06,7.45,7.53,7.40,7.45,626100,6.436
2015-03-09,7.38,7.39,7.15,7.29,534400,6.298
2015-03-10,7.30,7.38,7.18,7.33,464100,6.332
2015-03-11,7.10,7.32,7.08,7.27,621000,6.28
2015-03-12,7.27,7.40,7.20,7.28,400000,6.289
2015-03-13,7.28,7.40,7.25,7.34,251900,6.341
2015-03-16,7.26,7.30,7.15,7.27,438900,6.28
2015-03-17,7.29,7.495,7.29,7.46,517700,6.444
2015-03-18,7.54,7.67,7.39,7.50,508500,6.479
2015-03-19,7.69,7.75,7.61,7.69,901000,6.643
2015-03-20,7.64,7.65,7.37,7.46,879900,6.444
2015-03-23,7.51,7.52,7.21,7.37,553200,6.367
2015-03-24,7.41,7.60,7.35,7.52,558900,6.496
2015-03-25,7.25,7.27,7.15,7.18,482100,6.448
2015-03-26,7.12,7.14,7.00,7.09,392200,6.367
2015-03-27,7.00,7.22,6.97,7.18,348700,6.448
2015-03-30,7.01,7.16,6.92,7.12,397500,6.394
2015-03-31,7.16,7.29,7.14,7.21,880300,6.474
2015-04-01,7.21,7.27,7.06,7.13,498700,6.403
2015-04-02,7.11,7.21,7.11,7.15,338200,6.421
2015-04-03,7.15,7.15,7.15,7.15,000,6.421
2015-04-06,7.15,7.15,7.15,7.15,000,6.421
2015-04-07,7.16,7.29,7.04,7.09,351000,6.367
2015-04-08,7.09,7.32,7.09,7.29,446000,6.546
2015-04-09,7.29,7.29,7.17,7.19,224400,6.457
2015-04-10,7.21,7.34,7.18,7.32,277200,6.573
2015-04-13,7.31,7.31,6.88,6.91,406700,6.205
2015-04-14,7.00,7.17,6.80,7.13,408300,6.403
2015-04-15,7.10,7.11,6.95,7.07,415400,6.349
2015-04-16,7.10,7.35,7.02,7.31,587900,6.564
2015-04-17,7.31,7.32,7.15,7.18,486600,6.448
2015-04-20,7.16,7.16,6.94,7.04,397500,6.322
2015-04-21,7.07,7.12,7.03,7.05,202000,6.331
2015-04-22,7.03,7.22,7.00,7.17,346200,6.439
2015-04-23,7.18,7.26,7.08,7.21,210000,6.474
2015-04-24,7.29,7.48,7.29,7.45,398500,6.69
2015-04-27,7.46,7.55,7.46,7.50,386500,6.735
2015-04-28,7.53,7.65,7.52,7.56,508900,6.789
2015-04-29,7.55,7.56,7.33,7.37,378800,6.618
2015-04-30,7.19,7.40,7.19,7.36,274100,6.609
2015-05-01,7.30,7.50,7.27,7.45,182300,6.69
2015-05-04,7.39,7.64,7.31,7.61,350900,6.834
2015-05-05,7.64,7.75,7.42,7.44,475100,6.681
2015-05-06,7.32,7.555,7.27,7.28,473200,6.537
2015-05-07,7.19,7.37,7.18,7.28,419700,6.537
2015-05-08,7.26,7.38,7.18,7.20,360000,6.465
2015-05-11,7.20,7.40,7.20,7.30,451900,6.555
