Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.10,0.10,0.10,0.10,000,0.10
2015-01-02,0.10,0.10,0.10,0.10,99700,0.10
2015-01-05,0.095,0.11,0.095,0.11,101700,0.11
2015-01-06,0.11,0.11,0.11,0.11,86000,0.11
2015-01-07,0.10,0.11,0.086,0.086,106500,0.086
2015-01-08,0.094,0.115,0.094,0.115,55500,0.115
2015-01-09,0.11,0.11,0.11,0.11,39700,0.11
2015-01-12,0.11,0.11,0.11,0.11,000,0.11
2015-01-13,0.105,0.105,0.097,0.10,73000,0.10
2015-01-14,0.10,0.10,0.096,0.096,12600,0.096
2015-01-15,0.096,0.096,0.096,0.096,000,0.096
2015-01-16,0.098,0.098,0.089,0.089,20800,0.089
2015-01-19,0.089,0.089,0.089,0.089,000,0.089
2015-01-20,0.099,0.10,0.09,0.09,72500,0.09
2015-01-21,0.09,0.09,0.09,0.09,000,0.09
2015-01-22,0.09,0.09,0.09,0.09,000,0.09
2015-01-23,0.09,0.09,0.09,0.09,000,0.09
2015-01-26,0.09,0.09,0.09,0.09,000,0.09
2015-01-27,0.098,0.115,0.098,0.115,221300,0.115
2015-01-28,0.115,0.115,0.115,0.115,115000,0.115
2015-01-29,0.13,0.13,0.105,0.105,127300,0.105
2015-01-30,0.105,0.105,0.105,0.105,000,0.105
2015-02-02,0.10,0.11,0.10,0.11,206000,0.11
2015-02-03,0.11,0.12,0.11,0.115,47000,0.115
2015-02-04,0.10,0.10,0.097,0.10,313000,0.10
2015-02-05,0.10,0.10,0.10,0.10,35400,0.10
2015-02-06,0.098,0.099,0.094,0.099,284600,0.099
2015-02-09,0.099,0.10,0.099,0.10,360000,0.10
2015-02-10,0.095,0.099,0.095,0.099,110000,0.099
2015-02-11,0.095,0.095,0.09,0.09,225300,0.09
2015-02-12,0.091,0.091,0.088,0.088,190000,0.088
2015-02-13,0.092,0.095,0.092,0.095,304700,0.095
2015-02-16,0.10,0.10,0.095,0.095,91000,0.095
2015-02-17,0.096,0.099,0.096,0.096,82000,0.096
2015-02-18,0.096,0.099,0.093,0.093,344700,0.093
2015-02-19,0.093,0.096,0.091,0.091,455200,0.091
2015-02-20,0.09,0.093,0.088,0.09,275600,0.09
2015-02-23,0.09,0.09,0.09,0.09,350900,0.09
2015-02-24,0.09,0.09,0.09,0.09,139000,0.09
2015-02-25,0.09,0.09,0.09,0.09,180500,0.09
2015-02-26,0.092,0.092,0.09,0.09,169000,0.09
2015-02-27,0.094,0.094,0.09,0.09,167300,0.09
2015-03-02,0.094,0.094,0.09,0.09,103600,0.09
2015-03-03,0.091,0.091,0.09,0.09,135000,0.09
2015-03-04,0.094,0.115,0.094,0.115,234000,0.115
2015-03-05,0.11,0.115,0.105,0.105,193900,0.105
2015-03-06,0.105,0.11,0.10,0.10,352000,0.10
2015-03-09,0.10,0.10,0.10,0.10,000,0.10
2015-03-10,0.10,0.105,0.10,0.105,255600,0.105
2015-03-11,0.105,0.105,0.105,0.105,000,0.105
2015-03-12,0.10,0.10,0.096,0.096,91800,0.096
2015-03-13,0.096,0.096,0.096,0.096,000,0.096
2015-03-16,0.091,0.091,0.088,0.088,189000,0.088
2015-03-17,0.085,0.085,0.077,0.08,338900,0.08
2015-03-18,0.08,0.08,0.08,0.08,000,0.08
2015-03-19,0.08,0.08,0.08,0.08,000,0.08
2015-03-20,0.092,0.092,0.092,0.092,38100,0.092
2015-03-23,0.088,0.098,0.088,0.092,153100,0.092
2015-03-24,0.092,0.092,0.092,0.092,000,0.092
2015-03-25,0.092,0.092,0.092,0.092,000,0.092
2015-03-26,0.089,0.09,0.089,0.09,5600,0.09
2015-03-27,0.081,0.083,0.081,0.083,141400,0.083
2015-03-30,0.083,0.083,0.083,0.083,9700,0.083
2015-03-31,0.083,0.083,0.083,0.083,000,0.083
2015-04-01,0.083,0.095,0.083,0.095,320200,0.095
2015-04-02,0.086,0.086,0.086,0.086,174400,0.086
2015-04-03,0.086,0.086,0.086,0.086,000,0.086
2015-04-06,0.086,0.086,0.086,0.086,000,0.086
2015-04-07,0.086,0.095,0.086,0.095,280000,0.095
2015-04-08,0.089,0.089,0.085,0.085,252700,0.085
2015-04-09,0.085,0.085,0.081,0.081,263700,0.081
2015-04-10,0.083,0.083,0.081,0.081,204100,0.081
2015-04-13,0.081,0.081,0.08,0.081,122900,0.081
2015-04-14,0.081,0.081,0.077,0.081,197000,0.081
2015-04-15,0.08,0.08,0.075,0.076,324000,0.076
2015-04-16,0.079,0.08,0.079,0.08,91200,0.08
2015-04-17,0.09,0.09,0.09,0.09,12100,0.09
2015-04-20,0.09,0.09,0.09,0.09,108000,0.09
2015-04-21,0.09,0.09,0.09,0.09,000,0.09
2015-04-22,0.095,0.10,0.095,0.099,242000,0.099
2015-04-23,0.098,0.098,0.098,0.098,50000,0.098
2015-04-24,0.098,0.098,0.098,0.098,000,0.098
2015-04-27,0.098,0.098,0.098,0.098,000,0.098
2015-04-28,0.099,0.10,0.095,0.095,57000,0.095
2015-04-29,0.095,0.095,0.095,0.095,151500,0.095
2015-04-30,0.092,0.092,0.092,0.092,50500,0.092
2015-05-01,0.094,0.094,0.09,0.09,42000,0.09
2015-05-04,0.095,0.096,0.095,0.096,148700,0.096
2015-05-05,0.09,0.091,0.09,0.09,66500,0.09
2015-05-06,0.091,0.091,0.09,0.09,56500,0.09
2015-05-07,0.098,0.098,0.098,0.098,30000,0.098
2015-05-08,0.098,0.098,0.098,0.098,000,0.098
2015-05-11,0.095,0.095,0.095,0.095,20000,0.095
2015-05-12,0.088,0.088,0.088,0.088,20000,0.088
2015-05-13,0.095,0.098,0.095,0.098,120000,0.098
2015-05-14,0.10,0.12,0.10,0.12,247100,0.12
2015-05-15,0.115,0.115,0.10,0.105,153900,0.105
2015-05-18,0.115,0.115,0.11,0.11,33500,0.11
2015-05-19,0.115,0.115,0.105,0.105,163300,0.105
2015-05-20,0.105,0.105,0.105,0.105,101600,0.105
2015-05-21,0.10,0.10,0.10,0.10,213900,0.10
2015-05-22,0.10,0.10,0.10,0.10,000,0.10
2015-05-25,0.095,0.10,0.095,0.10,83800,0.10
2015-05-26,0.10,0.105,0.10,0.10,78100,0.10
2015-05-27,0.11,0.11,0.10,0.10,37700,0.10
2015-05-28,0.10,0.10,0.10,0.10,000,0.10
2015-05-29,0.10,0.10,0.10,0.10,000,0.10
2015-06-01,0.11,0.11,0.10,0.10,45500,0.10
2015-06-02,0.10,0.10,0.10,0.10,200000,0.10
2015-06-03,0.095,0.095,0.09,0.09,115300,0.09
2015-06-04,0.09,0.09,0.09,0.09,000,0.09
2015-06-05,0.078,0.078,0.071,0.075,576600,0.075
2015-06-08,0.075,0.075,0.075,0.075,000,0.075
2015-06-09,0.08,0.093,0.08,0.093,120000,0.093
2015-06-10,0.08,0.08,0.075,0.075,27900,0.075
2015-06-11,0.08,0.08,0.078,0.08,53300,0.08
2015-06-12,0.08,0.08,0.08,0.08,15000,0.08
2015-06-15,0.079,0.08,0.072,0.077,69700,0.077
2015-06-16,0.077,0.077,0.077,0.077,77500,0.077
2015-06-17,0.077,0.077,0.065,0.067,47700,0.067
2015-06-18,0.068,0.068,0.068,0.068,12500,0.068
2015-06-19,0.075,0.075,0.069,0.07,43000,0.07
2015-06-22,0.075,0.075,0.075,0.075,50000,0.075
2015-06-23,0.068,0.073,0.068,0.068,180000,0.068
2015-06-24,0.07,0.072,0.068,0.068,257000,0.068
2015-06-25,0.07,0.07,0.068,0.07,333700,0.07
2015-06-26,0.07,0.07,0.067,0.067,87000,0.067
2015-06-29,0.067,0.067,0.065,0.065,80400,0.065
2015-06-30,0.066,0.075,0.066,0.075,198200,0.075
2015-07-01,0.072,0.072,0.068,0.068,39500,0.068
2015-07-02,0.065,0.065,0.065,0.065,114400,0.065
2015-07-03,0.065,0.071,0.065,0.071,140000,0.071
2015-07-06,0.065,0.07,0.06,0.07,307700,0.07
2015-07-07,0.06,0.06,0.058,0.058,34600,0.058
2015-07-08,0.06,0.06,0.06,0.06,38400,0.06
2015-07-09,0.059,0.059,0.059,0.059,8500,0.059
2015-07-10,0.062,0.065,0.062,0.065,113000,0.065
2015-07-13,0.059,0.065,0.059,0.065,70000,0.065
2015-07-14,0.06,0.06,0.06,0.06,41000,0.06
2015-07-15,0.06,0.06,0.06,0.06,000,0.06
2015-07-16,0.06,0.06,0.056,0.056,132800,0.056
2015-07-17,0.056,0.056,0.056,0.056,000,0.056
2015-07-20,0.056,0.056,0.056,0.056,000,0.056
2015-07-21,0.061,0.061,0.06,0.06,92300,0.06
2015-07-22,0.06,0.06,0.06,0.06,000,0.06
2015-07-23,0.056,0.056,0.056,0.056,60000,0.056
2015-07-24,0.056,0.056,0.056,0.056,25000,0.056
2015-07-27,0.056,0.056,0.056,0.056,000,0.056
2015-07-28,0.061,0.061,0.06,0.06,270000,0.06
2015-07-29,0.057,0.057,0.052,0.052,200000,0.052
2015-07-30,0.056,0.06,0.056,0.06,437500,0.06
2015-07-31,0.06,0.06,0.06,0.06,110000,0.06
2015-08-03,0.061,0.061,0.06,0.06,133400,0.06
2015-08-04,0.055,0.055,0.053,0.054,159400,0.054
2015-08-05,0.058,0.061,0.058,0.061,160000,0.061
2015-08-06,0.061,0.061,0.061,0.061,000,0.061
2015-08-07,0.063,0.066,0.063,0.063,180000,0.063
2015-08-10,0.061,0.061,0.061,0.061,25000,0.061
2015-08-11,0.063,0.063,0.063,0.063,90000,0.063
2015-08-12,0.062,0.062,0.051,0.051,550000,0.051
2015-08-13,0.051,0.051,0.051,0.051,000,0.051
2015-08-14,0.055,0.055,0.055,0.055,46700,0.055
2015-08-17,0.055,0.055,0.055,0.055,000,0.055
2015-08-18,0.055,0.055,0.055,0.055,000,0.055
2015-08-19,0.053,0.054,0.053,0.054,71400,0.054
2015-08-20,0.052,0.055,0.052,0.055,75000,0.055
2015-08-24,0.055,0.055,0.055,0.055,000,0.055
2015-08-25,0.055,0.055,0.05,0.05,41500,0.05
2015-08-26,0.055,0.055,0.055,0.055,20000,0.055
2015-08-27,0.051,0.051,0.05,0.05,58300,0.05
2015-08-28,0.05,0.05,0.05,0.05,68800,0.05
2015-08-31,0.05,0.05,0.05,0.05,000,0.05
2015-09-01,0.05,0.05,0.05,0.05,000,0.05
2015-09-02,0.043,0.055,0.043,0.055,508300,0.055
2015-09-03,0.055,0.055,0.055,0.055,000,0.055
2015-09-04,0.056,0.056,0.056,0.056,9000,0.056
2015-09-07,0.056,0.056,0.056,0.056,000,0.056
2015-09-08,0.056,0.056,0.056,0.056,000,0.056
2015-09-09,0.055,0.055,0.055,0.055,80000,0.055
2015-09-10,0.047,0.047,0.046,0.046,18000,0.046
2015-09-11,0.046,0.046,0.046,0.046,000,0.046
2015-09-14,0.05,0.05,0.05,0.05,35000,0.05
2015-09-15,0.05,0.05,0.05,0.05,150000,0.05
2015-09-16,0.05,0.052,0.05,0.052,75000,0.052
2015-09-17,0.051,0.052,0.05,0.05,177900,0.05
2015-09-18,0.05,0.05,0.05,0.05,9300,0.05
2015-09-21,0.045,0.045,0.045,0.045,24000,0.045
2015-09-22,0.045,0.045,0.045,0.045,40600,0.045
2015-09-23,0.045,0.045,0.045,0.045,000,0.045
2015-09-24,0.045,0.045,0.045,0.045,000,0.045
2015-09-25,0.045,0.045,0.045,0.045,000,0.045
2015-09-28,0.05,0.05,0.05,0.05,135000,0.05
2015-09-29,0.05,0.05,0.05,0.05,88400,0.05
2015-09-30,0.046,0.046,0.044,0.044,225900,0.044
2015-10-01,0.044,0.044,0.044,0.044,000,0.044
2015-10-02,0.044,0.044,0.044,0.044,000,0.044
2015-10-05,0.044,0.044,0.044,0.044,000,0.044
2015-10-06,0.05,0.052,0.05,0.052,79900,0.052
2015-10-07,0.05,0.05,0.044,0.044,402000,0.044
2015-10-08,0.05,0.052,0.05,0.052,50000,0.052
2015-10-09,0.056,0.069,0.056,0.069,296500,0.069
2015-10-12,0.069,0.069,0.065,0.069,137200,0.069
2015-10-13,0.069,0.069,0.069,0.069,41500,0.069
2015-10-14,0.069,0.075,0.069,0.075,332500,0.075
2015-10-15,0.075,0.078,0.075,0.078,160500,0.078
2015-10-16,0.078,0.078,0.078,0.078,258800,0.078
2015-10-19,0.078,0.08,0.078,0.078,282100,0.078
2015-10-20,0.078,0.078,0.078,0.078,000,0.078
2015-10-21,0.077,0.077,0.077,0.077,483500,0.077
2015-10-22,0.075,0.075,0.071,0.071,108400,0.071
2015-10-23,0.068,0.068,0.068,0.068,16500,0.068
2015-10-26,0.071,0.071,0.071,0.071,9500,0.071
2015-10-27,0.071,0.071,0.071,0.071,000,0.071
2015-10-28,0.061,0.061,0.06,0.06,60000,0.06
2015-10-29,0.06,0.06,0.06,0.06,000,0.06
2015-10-30,0.06,0.06,0.06,0.06,000,0.06
2015-11-02,0.062,0.062,0.054,0.054,150000,0.054
2015-11-03,0.054,0.054,0.054,0.054,000,0.054
2015-11-04,0.054,0.054,0.054,0.054,60000,0.054
2015-11-05,0.054,0.054,0.054,0.054,000,0.054
2015-11-06,0.054,0.054,0.054,0.054,000,0.054
2015-11-09,0.054,0.054,0.054,0.054,000,0.054
2015-11-10,0.054,0.054,0.054,0.054,000,0.054
2015-11-11,0.054,0.054,0.054,0.054,000,0.054
2015-11-12,0.05,0.05,0.05,0.05,25000,0.05
2015-11-13,0.05,0.05,0.05,0.05,000,0.05
2015-11-16,0.05,0.05,0.05,0.05,000,0.05
2015-11-17,0.05,0.05,0.05,0.05,000,0.05
2015-11-18,0.05,0.05,0.05,0.05,000,0.05
2015-11-19,0.042,0.042,0.042,0.042,208500,0.042
2015-11-20,0.042,0.042,0.04,0.041,110000,0.041
2015-11-23,0.041,0.041,0.041,0.041,600,0.041
2015-11-24,0.041,0.041,0.041,0.041,000,0.041
2015-11-25,0.041,0.041,0.041,0.041,000,0.041
2015-11-26,0.041,0.041,0.041,0.041,000,0.041
2015-11-27,0.041,0.041,0.041,0.041,000,0.041
2015-11-30,0.041,0.041,0.041,0.041,000,0.041
2015-12-01,0.041,0.041,0.041,0.041,000,0.041
2015-12-02,0.043,0.043,0.043,0.043,15000,0.043
2015-12-03,0.041,0.041,0.041,0.041,40000,0.041
2015-12-04,0.041,0.041,0.041,0.041,000,0.041
2015-12-07,0.04,0.04,0.04,0.04,132700,0.04
2015-12-08,0.04,0.04,0.04,0.04,000,0.04
2015-12-09,0.04,0.04,0.04,0.04,000,0.04
2015-12-10,0.04,0.04,0.04,0.04,000,0.04
2015-12-11,0.037,0.04,0.037,0.04,37200,0.04
2015-12-14,0.04,0.04,0.04,0.04,000,0.04
2015-12-15,0.04,0.04,0.04,0.04,25000,0.04
2015-12-16,0.04,0.04,0.04,0.04,000,0.04
2015-12-17,0.04,0.04,0.04,0.04,000,0.04
2015-12-18,0.04,0.04,0.04,0.04,000,0.04
2015-12-21,0.04,0.04,0.04,0.04,000,0.04
2015-12-22,0.04,0.04,0.04,0.04,000,0.04
2015-12-23,0.04,0.04,0.04,0.04,000,0.04
2015-12-24,0.04,0.04,0.04,0.04,000,0.04
2015-12-25,0.04,0.04,0.04,0.04,000,0.04
2015-12-28,0.04,0.04,0.04,0.04,000,0.04
2015-12-29,0.037,0.037,0.037,0.037,100,0.037
2015-12-30,0.037,0.037,0.037,0.037,000,0.037
2015-12-31,0.037,0.037,0.037,0.037,000,0.037
2016-01-01,0.037,0.037,0.037,0.037,000,0.037
2016-01-04,0.022,0.022,0.022,0.022,6600,0.022
2016-01-05,0.022,0.022,0.022,0.022,000,0.022
2016-01-06,0.03,0.039,0.03,0.039,240600,0.039
2016-01-07,0.039,0.039,0.034,0.034,55600,0.034
2016-01-08,0.038,0.04,0.038,0.04,35000,0.04
2016-01-11,0.04,0.04,0.04,0.04,000,0.04
2016-01-12,0.04,0.04,0.04,0.04,000,0.04
2016-01-13,0.038,0.038,0.038,0.038,25000,0.038
2016-01-14,0.038,0.038,0.038,0.038,000,0.038
2016-01-15,0.038,0.04,0.038,0.04,12000,0.04
2016-01-18,0.04,0.04,0.04,0.04,50000,0.04
2016-01-19,0.04,0.04,0.04,0.04,000,0.04
2016-01-20,0.04,0.04,0.04,0.04,000,0.04
2016-01-21,0.04,0.04,0.04,0.04,000,0.04
2016-01-22,0.04,0.04,0.04,0.04,000,0.04
2016-01-25,0.034,0.037,0.034,0.037,218500,0.037
2016-01-26,0.037,0.037,0.037,0.037,000,0.037
2016-01-27,0.04,0.043,0.04,0.043,81400,0.043
2016-01-28,0.042,0.043,0.042,0.043,160000,0.043
2016-01-29,0.043,0.044,0.043,0.044,217500,0.044
2016-02-01,0.044,0.044,0.044,0.044,000,0.044
2016-02-02,0.044,0.044,0.044,0.044,000,0.044
2016-02-03,0.044,0.044,0.044,0.044,000,0.044
2016-02-04,0.04,0.04,0.04,0.04,100000,0.04
2016-02-05,0.04,0.04,0.035,0.04,149400,0.04
2016-02-08,0.04,0.04,0.04,0.04,000,0.04
2016-02-09,0.04,0.04,0.04,0.04,000,0.04
2016-02-10,0.04,0.04,0.04,0.04,000,0.04
2016-02-11,0.04,0.04,0.04,0.04,000,0.04
2016-02-12,0.04,0.04,0.04,0.04,000,0.04
2016-02-15,0.04,0.04,0.04,0.04,000,0.04
2016-02-16,0.029,0.037,0.029,0.037,85000,0.037
2016-02-17,0.037,0.037,0.037,0.037,000,0.037
2016-02-18,0.037,0.037,0.037,0.037,000,0.037
2016-02-19,0.035,0.035,0.035,0.035,40000,0.035
2016-02-22,0.035,0.035,0.035,0.035,000,0.035
2016-02-23,0.035,0.035,0.035,0.035,000,0.035
2016-02-24,0.035,0.035,0.035,0.035,000,0.035
2016-02-25,0.035,0.035,0.035,0.035,000,0.035
2016-02-26,0.035,0.035,0.035,0.035,000,0.035
2016-02-29,0.035,0.035,0.035,0.035,000,0.035
2016-03-01,0.035,0.035,0.035,0.035,000,0.035
2016-03-02,0.035,0.035,0.035,0.035,000,0.035
2016-03-03,0.03,0.034,0.03,0.034,90000,0.034
2016-03-04,0.034,0.034,0.034,0.034,15000,0.034
2016-03-07,0.023,0.023,0.022,0.022,90000,0.022
2016-03-08,0.025,0.025,0.022,0.022,172200,0.022
2016-03-09,0.022,0.022,0.022,0.022,000,0.022
2016-03-10,0.022,0.022,0.022,0.022,000,0.022
2016-03-11,0.022,0.022,0.022,0.022,000,0.022
2016-03-14,0.025,0.025,0.025,0.025,67200,0.025
2016-03-15,0.025,0.025,0.025,0.025,000,0.025
2016-03-16,0.025,0.025,0.025,0.025,000,0.025
2016-03-17,0.032,0.032,0.032,0.032,59300,0.032
2016-03-18,0.035,0.035,0.035,0.035,592000,0.035
2016-03-21,0.035,0.035,0.035,0.035,000,0.035
2016-03-22,0.037,0.037,0.036,0.036,62000,0.036
2016-03-23,0.038,0.038,0.036,0.036,44000,0.036
2016-03-24,0.038,0.038,0.038,0.038,23300,0.038
2016-03-25,0.038,0.038,0.038,0.038,000,0.038
2016-03-28,0.038,0.038,0.038,0.038,000,0.038
2016-03-29,0.036,0.036,0.036,0.036,25000,0.036
2016-03-30,0.035,0.035,0.035,0.035,50000,0.035
2016-03-31,0.035,0.035,0.035,0.035,100000,0.035
2016-04-01,0.035,0.035,0.035,0.035,000,0.035
2016-04-04,0.033,0.033,0.033,0.033,25100,0.033
2016-04-05,0.033,0.033,0.033,0.033,98800,0.033
2016-04-06,0.026,0.026,0.026,0.026,15000,0.026
2016-04-07,0.026,0.026,0.026,0.026,000,0.026
2016-04-08,0.03,0.033,0.03,0.033,70000,0.033
2016-04-11,0.034,0.035,0.034,0.035,50000,0.035
2016-04-12,0.035,0.035,0.035,0.035,000,0.035
2016-04-13,0.035,0.038,0.035,0.038,500000,0.038
2016-04-14,0.035,0.035,0.035,0.035,20000,0.035
2016-04-15,0.035,0.037,0.035,0.037,100000,0.037


2016-04-18,0.037,0.037,0.037,0.037,000,0.037
2016-04-19,0.037,0.037,0.037,0.037,000,0.037
2016-04-20,0.037,0.037,0.037,0.037,000,0.037
2016-04-21,0.037,0.037,0.037,0.037,000,0.037
2016-04-22,0.037,0.037,0.037,0.037,000,0.037


2016-04-25,0.037,0.037,0.037,0.037,000,0.037
2016-04-26,0.037,0.037,0.037,0.037,000,0.037
2016-04-27,0.037,0.037,0.037,0.037,000,0.037
2016-04-28,0.037,0.037,0.037,0.037,000,0.037
2016-04-29,0.037,0.037,0.037,0.037,000,0.037


2016-05-02,0.037,0.037,0.037,0.037,000,0.037
2016-05-03,0.037,0.037,0.037,0.037,000,0.037
2016-05-04,0.037,0.037,0.037,0.037,000,0.037
2016-05-05,0.037,0.037,0.037,0.037,000,0.037
2016-05-16,0.037,0.037,0.037,0.037,000,0.037
2016-05-17,0.037,0.037,0.037,0.037,000,0.037
2016-05-18,0.037,0.037,0.037,0.037,000,0.037
2016-05-19,0.037,0.037,0.037,0.037,000,0.037
2016-05-20,0.037,0.037,0.037,0.037,000,0.037


2016-05-23,0.037,0.037,0.037,0.037,000,0.037
2016-05-24,0.037,0.037,0.037,0.037,000,0.037
