Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.185,0.185,0.185,0.185,000,0.185
2015-01-02,0.185,0.185,0.185,0.185,000,0.185
2015-01-05,0.185,0.185,0.185,0.185,000,0.185
2015-01-06,0.185,0.185,0.185,0.185,000,0.185
2015-01-07,0.185,0.185,0.185,0.185,000,0.185
2015-01-08,0.185,0.185,0.185,0.185,000,0.185
2015-01-09,0.185,0.185,0.185,0.185,000,0.185
2015-01-12,0.185,0.185,0.185,0.185,000,0.185
2015-01-13,0.185,0.185,0.185,0.185,000,0.185
2015-01-14,0.185,0.185,0.185,0.185,000,0.185
2015-01-15,0.185,0.185,0.185,0.185,000,0.185
2015-01-16,0.185,0.185,0.185,0.185,000,0.185
2015-01-19,0.185,0.185,0.185,0.185,000,0.185
2015-01-20,0.185,0.185,0.185,0.185,000,0.185
2015-01-21,0.185,0.185,0.185,0.185,000,0.185
2015-01-22,0.185,0.185,0.185,0.185,000,0.185
2015-01-23,0.185,0.185,0.185,0.185,000,0.185
2015-01-26,0.185,0.185,0.185,0.185,000,0.185
2015-01-27,0.185,0.185,0.185,0.185,000,0.185
2015-01-28,0.185,0.185,0.185,0.185,000,0.185
2015-01-29,0.091,0.091,0.037,0.045,7576300,0.045
2015-01-30,0.052,0.052,0.04,0.04,4411500,0.04
2015-02-02,0.039,0.039,0.034,0.034,400000,0.034
2015-02-03,0.035,0.043,0.035,0.043,614400,0.043
2015-02-04,0.044,0.044,0.044,0.044,217400,0.044
2015-02-05,0.044,0.044,0.044,0.044,000,0.044
2015-02-06,0.04,0.041,0.04,0.041,90000,0.041
2015-02-09,0.041,0.041,0.041,0.041,000,0.041
2015-02-10,0.041,0.041,0.041,0.041,000,0.041
2015-02-11,0.036,0.038,0.036,0.038,173400,0.038
2015-02-12,0.038,0.04,0.038,0.04,63600,0.04
2015-02-13,0.04,0.04,0.039,0.039,42500,0.039
2015-02-16,0.037,0.037,0.027,0.03,1172100,0.03
2015-02-17,0.03,0.033,0.03,0.032,349700,0.032
2015-02-18,0.03,0.03,0.03,0.03,135000,0.03
2015-02-19,0.03,0.031,0.03,0.031,117600,0.031
2015-02-20,0.032,0.032,0.03,0.03,66000,0.03
2015-02-23,0.031,0.031,0.03,0.03,180000,0.03
2015-02-24,0.03,0.03,0.03,0.03,000,0.03
2015-02-25,0.03,0.03,0.03,0.03,000,0.03
2015-02-26,0.031,0.031,0.029,0.029,100000,0.029
2015-02-27,0.029,0.029,0.029,0.029,000,0.029
2015-03-02,0.028,0.029,0.028,0.029,126100,0.029
2015-03-03,0.03,0.031,0.03,0.031,32000,0.031
2015-03-04,0.032,0.032,0.031,0.031,22300,0.031
2015-03-05,0.028,0.029,0.028,0.029,70000,0.029
2015-03-06,0.028,0.028,0.025,0.027,510200,0.027
2015-03-09,0.027,0.027,0.027,0.027,000,0.027
2015-03-10,0.027,0.03,0.027,0.03,467600,0.03
2015-03-11,0.03,0.03,0.03,0.03,000,0.03
2015-03-12,0.03,0.03,0.03,0.03,000,0.03
2015-03-13,0.03,0.03,0.03,0.03,000,0.03
2015-03-16,0.03,0.03,0.03,0.03,000,0.03
2015-03-17,0.03,0.03,0.03,0.03,000,0.03
2015-03-18,0.03,0.03,0.03,0.03,000,0.03
2015-03-19,0.025,0.027,0.025,0.025,366200,0.025
2015-03-20,0.025,0.025,0.025,0.025,000,0.025
2015-03-23,0.021,0.022,0.021,0.021,1090000,0.021
2015-03-24,0.022,0.023,0.022,0.023,939000,0.023
2015-03-25,0.022,0.022,0.021,0.021,300000,0.021
