Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.30297,1.30297,1.30297,1.30297,000,1.07944
2015-01-02,1.30779,1.3464,1.29332,1.3271,2061100,1.09943
2015-01-05,1.33192,1.3464,1.29814,1.32227,3093600,1.09543
2015-01-06,1.29332,1.29332,1.24023,1.24506,4540900,1.03146
2015-01-07,1.24506,1.25471,1.18232,1.25471,3288200,1.03946
2015-01-08,1.27401,1.27884,1.23541,1.24506,2477400,1.03146
2015-01-09,1.25471,1.25953,1.24988,1.25471,4150500,1.03946
2015-01-12,1.25471,1.25953,1.24699,1.25953,2957100,1.04345
2015-01-13,1.24988,1.25471,1.21128,1.22093,3552100,1.01147
2015-01-14,1.2161,1.24988,1.21128,1.22575,2775300,1.01547
2015-01-15,1.2161,1.23541,1.18232,1.2161,3891300,1.00747
2015-01-16,1.20162,1.20645,1.16784,1.18232,2286500,0.97949
2015-01-19,1.1968,1.21128,1.18232,1.18715,1942200,0.98349
2015-01-20,1.18715,1.23541,1.1775,1.21128,3682200,1.00348
2015-01-21,1.23058,1.24506,1.1968,1.20162,3181700,0.99548
2015-01-22,1.20645,1.20645,1.18232,1.18232,3176900,0.97949
2015-01-23,1.1968,1.24506,1.1968,1.24023,4917100,1.02746
2015-01-26,1.24023,1.24023,1.24023,1.24023,000,1.02746
2015-01-27,1.25471,1.26629,1.23541,1.24988,2714400,1.03546
2015-01-28,1.24988,1.24988,1.20645,1.20645,2463400,0.99948
2015-01-29,1.20645,1.24023,1.20645,1.22575,1952000,1.01547
2015-01-30,1.22575,1.26919,1.2161,1.26436,3671200,1.04745
2015-02-02,1.26436,1.26436,1.22093,1.23541,2811000,1.02347
2015-02-03,1.24506,1.30779,1.24506,1.28849,3175900,1.06744
2015-02-04,1.30779,1.37053,1.30297,1.37053,7052100,1.13541
2015-02-05,1.35605,1.35605,1.32227,1.34157,4068200,1.11142
2015-02-06,1.36088,1.40913,1.34833,1.39466,4894800,1.1554
2015-02-09,1.39948,1.40913,1.36088,1.38018,9548300,1.1434
2015-02-10,1.37053,1.37535,1.3271,1.3271,4642500,1.09943
2015-02-11,1.35122,1.35122,1.30779,1.3271,7485800,1.09943
2015-02-12,1.33675,1.33675,1.30297,1.31262,10252500,1.08743
2015-02-13,1.32227,1.39224,1.32227,1.37535,4242300,1.1394
2015-02-16,1.38501,1.42844,1.37728,1.39948,3389300,1.15939
2015-02-17,1.40431,1.41396,1.36088,1.37053,2793400,1.13541
2015-02-18,1.39948,1.42361,1.3657,1.37053,3983700,1.13541
2015-02-19,1.36088,1.40431,1.32227,1.39948,5195700,1.15939
2015-02-20,1.40431,1.40913,1.37053,1.38018,3424600,1.1434
2015-02-23,1.38983,1.42361,1.37535,1.39466,4923400,1.1554
2015-02-24,1.40431,1.42361,1.39466,1.40913,3987500,1.16739
2015-02-25,1.41879,1.43809,1.39948,1.41396,4039700,1.17139
2015-02-26,1.41396,1.43326,1.40913,1.42844,3236900,1.18338
2015-02-27,1.43326,1.44292,1.41879,1.42844,2918200,1.18338
2015-03-02,1.43809,1.57321,1.42844,1.55873,6241000,1.29132
2015-03-03,1.54426,1.54426,1.48635,1.51048,4961200,1.25135
2015-03-04,1.52013,1.54908,1.51048,1.53943,7846800,1.27533
2015-03-05,1.53461,1.53461,1.50758,1.52978,2255100,1.26734
2015-03-06,1.53461,1.53461,1.496,1.5153,2073400,1.25534
2015-03-09,1.50082,1.50565,1.46222,1.49117,3146000,1.23535
2015-03-10,1.49117,1.496,1.46222,1.48152,2209400,1.22736
2015-03-11,1.36088,1.40913,1.3271,1.40431,3821000,1.23483
2015-03-12,1.40431,1.42361,1.38983,1.40913,3472500,1.23907
2015-03-13,1.40431,1.42554,1.38501,1.39466,2673700,1.22635
2015-03-16,1.38018,1.40431,1.35605,1.39466,2758600,1.22635
2015-03-17,1.39466,1.40431,1.37535,1.38983,2227800,1.2221
2015-03-18,1.38501,1.40913,1.3271,1.39948,5244600,1.23059
2015-03-19,1.43326,1.45739,1.40913,1.44774,7712100,1.27302
2015-03-20,1.41396,1.44292,1.40141,1.40913,5087900,1.23907
2015-03-23,1.39948,1.41879,1.37053,1.39948,2457400,1.23059
2015-03-24,1.39948,1.40913,1.37053,1.38983,2761400,1.2221
2015-03-25,1.38983,1.44774,1.37535,1.42844,3430600,1.25605
2015-03-26,1.40913,1.40913,1.35605,1.37053,3554100,1.20513
2015-03-27,1.35605,1.38018,1.35605,1.37535,2625700,1.20937
2015-03-30,1.35122,1.37535,1.33675,1.35122,2106800,1.18815
2015-03-31,1.35605,1.38018,1.28849,1.29332,4669600,1.13724
2015-04-01,1.33192,1.3464,1.30779,1.33192,6348000,1.17118
2015-04-02,1.33192,1.35122,1.30297,1.34157,1885600,1.17967
2015-04-03,1.34157,1.34157,1.34157,1.34157,000,1.17967
2015-04-06,1.34157,1.34157,1.34157,1.34157,000,1.17967
2015-04-07,1.3464,1.3657,1.33192,1.33675,2387000,1.17543
2015-04-08,1.3464,1.38018,1.3464,1.3657,2212600,1.20088
2015-04-09,1.35122,1.39466,1.35122,1.36088,1984100,1.19665
2015-04-10,1.36088,1.37535,1.3464,1.35122,3311700,1.18815
2015-04-13,1.35122,1.37053,1.3271,1.3271,1917700,1.16694
2015-04-14,1.3271,1.3271,1.29332,1.29814,2458900,1.14148
2015-04-15,1.29814,1.31744,1.29332,1.30297,1559000,1.14572
2015-04-16,1.33192,1.38983,1.32227,1.3657,3559900,1.20088
