Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.32,0.32,0.32,0.32,000,0.32
2015-01-02,0.32,0.345,0.32,0.345,2390000,0.345
2015-01-05,0.335,0.37,0.335,0.365,5743200,0.365
2015-01-06,0.345,0.3475,0.33,0.335,6197700,0.335
2015-01-07,0.335,0.345,0.325,0.33,3637700,0.33
2015-01-08,0.335,0.337,0.29,0.30,7126400,0.30
2015-01-09,0.31,0.32,0.30,0.31,7181100,0.31
2015-01-12,0.31,0.31,0.29,0.295,6950900,0.295
2015-01-13,0.285,0.295,0.275,0.285,5681600,0.285
2015-01-14,0.285,0.305,0.275,0.275,5947900,0.275
2015-01-15,0.29,0.295,0.285,0.29,3219600,0.29
2015-01-16,0.29,0.29,0.275,0.28,2972400,0.28
2015-01-19,0.295,0.31,0.28,0.285,5804500,0.285
2015-01-20,0.28,0.282,0.26,0.265,10435400,0.265
2015-01-21,0.265,0.27,0.255,0.26,5746000,0.26
2015-01-22,0.265,0.28,0.26,0.26,6849800,0.26
2015-01-23,0.265,0.285,0.265,0.28,5644300,0.28
2015-01-26,0.28,0.28,0.28,0.28,000,0.28
2015-01-27,0.28,0.305,0.275,0.295,5686000,0.295
2015-01-28,0.295,0.2975,0.28,0.285,3984100,0.285
2015-01-29,0.275,0.29,0.27,0.275,5068100,0.275
2015-01-30,0.285,0.287,0.275,0.275,3001800,0.275
2015-02-02,0.295,0.2975,0.285,0.285,4352900,0.285
2015-02-03,0.30,0.335,0.30,0.325,13610100,0.325
2015-02-04,0.36,0.395,0.355,0.375,24369400,0.375
2015-02-05,0.345,0.365,0.335,0.36,19616000,0.36
2015-02-06,0.385,0.3975,0.375,0.385,11725400,0.385
2015-02-09,0.385,0.40,0.37,0.39,11772300,0.39
2015-02-10,0.39,0.39,0.365,0.37,5819700,0.37
2015-02-11,0.36,0.362,0.34,0.345,4707200,0.345
2015-02-12,0.335,0.355,0.327,0.35,5031800,0.35
2015-02-13,0.37,0.3725,0.355,0.355,4545800,0.355
2015-02-16,0.375,0.385,0.372,0.385,6626000,0.385
2015-02-17,0.385,0.385,0.355,0.37,6095100,0.37
2015-02-18,0.37,0.375,0.35,0.355,4305900,0.355
2015-02-19,0.35,0.355,0.34,0.35,2777900,0.35
2015-02-20,0.35,0.3525,0.345,0.345,4952800,0.345
2015-02-23,0.345,0.345,0.33,0.335,3526700,0.335
2015-02-24,0.34,0.345,0.332,0.335,2221600,0.335
2015-02-25,0.34,0.34,0.32,0.325,3792900,0.325
2015-02-26,0.335,0.34,0.325,0.34,3492600,0.34
2015-02-27,0.335,0.345,0.332,0.34,2999000,0.34
2015-03-02,0.345,0.35,0.34,0.345,2455800,0.345
2015-03-03,0.35,0.35,0.34,0.34,2348300,0.34
2015-03-04,0.345,0.365,0.34,0.355,3447300,0.355
2015-03-05,0.36,0.36,0.345,0.355,1778000,0.355
2015-03-06,0.35,0.35,0.335,0.34,2617900,0.34
2015-03-09,0.335,0.34,0.33,0.335,2791700,0.335
2015-03-10,0.335,0.34,0.325,0.33,2158300,0.33
2015-03-11,0.32,0.325,0.31,0.32,3730100,0.32
2015-03-12,0.32,0.33,0.315,0.33,2317000,0.33
2015-03-13,0.33,0.335,0.325,0.335,1749700,0.335
2015-03-16,0.325,0.327,0.31,0.31,3451300,0.31
2015-03-17,0.31,0.32,0.30,0.315,10155900,0.315
2015-03-18,0.305,0.305,0.295,0.295,8331200,0.295
2015-03-19,0.31,0.315,0.305,0.305,3959600,0.305
2015-03-20,0.31,0.31,0.295,0.305,2974200,0.305
2015-03-23,0.305,0.31,0.302,0.305,1099700,0.305
2015-03-24,0.31,0.325,0.305,0.325,3880500,0.325
2015-03-25,0.325,0.335,0.325,0.325,1785800,0.325
2015-03-26,0.325,0.34,0.315,0.34,4433800,0.34
2015-03-27,0.34,0.345,0.32,0.325,4798500,0.325
2015-03-30,0.315,0.32,0.31,0.31,2691500,0.31
2015-03-31,0.315,0.32,0.307,0.315,2027300,0.315
2015-04-01,0.31,0.32,0.31,0.31,1473200,0.31
2015-04-02,0.32,0.322,0.31,0.31,2209000,0.31
2015-04-03,0.31,0.31,0.31,0.31,000,0.31
2015-04-06,0.31,0.31,0.31,0.31,000,0.31
2015-04-07,0.32,0.325,0.31,0.31,3367500,0.31
2015-04-08,0.315,0.325,0.31,0.315,2743500,0.315
2015-04-09,0.315,0.3175,0.31,0.31,1000700,0.31
2015-04-10,0.315,0.32,0.315,0.32,683400,0.32
2015-04-13,0.32,0.325,0.31,0.315,2289200,0.315
