Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.15,4.15,4.15,4.15,000,3.76595
2015-01-02,4.12,4.19,4.12,4.16,900600,3.77502
2015-01-05,4.17,4.21,4.12,4.13,1079200,3.7478
2015-01-06,4.10,4.17,4.09,4.11,2460800,3.72965
2015-01-07,4.08,4.15,4.04,4.12,1390800,3.73873
2015-01-08,4.11,4.19,4.11,4.15,2393200,3.76595
2015-01-09,4.15,4.25,4.15,4.23,2261900,3.83855
2015-01-12,4.23,4.26,4.18,4.18,1776100,3.79317
2015-01-13,4.17,4.24,4.17,4.21,2530500,3.8204
2015-01-14,4.28,4.29,4.23,4.27,2049700,3.87484
2015-01-15,4.27,4.30,4.24,4.24,3316400,3.84762
2015-01-16,4.24,4.26,4.19,4.22,2079500,3.82947
2015-01-19,4.24,4.27,4.18,4.22,1952300,3.82947
2015-01-20,4.18,4.22,4.145,4.20,2411900,3.81132
2015-01-21,4.16,4.28,4.16,4.27,2191700,3.87484
2015-01-22,4.30,4.38,4.28,4.33,3592500,3.92929
2015-01-23,4.36,4.47,4.34,4.45,2059600,4.03819
2015-01-26,4.45,4.45,4.45,4.45,000,4.03819
2015-01-27,4.49,4.56,4.465,4.52,2919500,4.10171
2015-01-28,4.50,4.56,4.49,4.52,2184800,4.10171
2015-01-29,4.49,4.60,4.48,4.51,2442200,4.09263
2015-01-30,4.50,4.615,4.50,4.57,4481900,4.14708
2015-02-02,4.60,4.645,4.59,4.63,2305900,4.20153
2015-02-03,4.65,4.76,4.62,4.74,3256200,4.30135
2015-02-04,4.75,4.76,4.67,4.71,2674800,4.27413
2015-02-05,4.71,4.71,4.71,4.71,000,4.27413
2015-02-06,4.71,4.71,4.71,4.71,000,4.27413
2015-02-09,4.71,4.71,4.71,4.71,000,4.27413
2015-02-10,5.02,5.155,4.92,4.98,13358200,4.51914
2015-02-11,5.05,5.05,4.86,4.86,6735600,4.41024
2015-02-12,4.90,4.94,4.84,4.84,3931600,4.39209
2015-02-13,4.92,4.95,4.89,4.89,3394800,4.43747
2015-02-16,4.89,4.91,4.85,4.88,1879000,4.42839
2015-02-17,4.88,4.90,4.84,4.90,2041500,4.44654
2015-02-18,4.90,4.92,4.87,4.88,4445600,4.42839
2015-02-19,4.89,4.91,4.85,4.90,3974700,4.44654
2015-02-20,4.89,5.02,4.87,5.00,6122500,4.53729
2015-02-23,5.03,5.12,4.99,5.10,2707500,4.62803
2015-02-24,5.10,5.12,4.98,4.98,3607700,4.51914
2015-02-25,5.02,5.09,5.02,5.09,2820500,4.61896
2015-02-26,5.09,5.09,4.99,5.00,2599600,4.53729
2015-02-27,5.08,5.11,5.03,5.07,3420300,4.60081
2015-03-02,5.15,5.26,5.125,5.19,3874000,4.7097
2015-03-03,5.25,5.25,5.06,5.12,4649800,4.64618
