Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.42,0.42,0.42,0.42,000,0.42
2015-01-02,0.42,0.42,0.40,0.415,88300,0.415
2015-01-05,0.415,0.415,0.405,0.415,50100,0.415
2015-01-06,0.40,0.41,0.395,0.405,79500,0.405
2015-01-07,0.40,0.40,0.37,0.37,363500,0.37
2015-01-08,0.38,0.395,0.375,0.38,314200,0.38
2015-01-09,0.375,0.385,0.375,0.38,265900,0.38
2015-01-12,0.38,0.39,0.38,0.39,124800,0.39
2015-01-13,0.39,0.395,0.375,0.38,335400,0.38
2015-01-14,0.38,0.38,0.35,0.35,1894900,0.35
2015-01-15,0.36,0.37,0.35,0.355,4146900,0.355
2015-01-16,0.35,0.36,0.35,0.35,2232600,0.35
2015-01-19,0.35,0.365,0.35,0.355,3313900,0.355
2015-01-20,0.38,0.38,0.37,0.37,3426500,0.37
2015-01-21,0.38,0.38,0.37,0.38,2728900,0.38
2015-01-22,0.39,0.392,0.385,0.39,9705100,0.39
2015-01-23,0.395,0.405,0.39,0.405,519800,0.405
2015-01-26,0.405,0.405,0.405,0.405,000,0.405
2015-01-27,0.41,0.415,0.39,0.39,10501000,0.39
2015-01-28,0.39,0.395,0.385,0.39,359200,0.39
2015-01-29,0.39,0.39,0.375,0.38,278200,0.38
2015-01-30,0.385,0.385,0.37,0.375,527200,0.375
2015-02-02,0.37,0.375,0.355,0.36,934400,0.36
2015-02-03,0.37,0.387,0.365,0.365,635000,0.365
2015-02-04,0.39,0.395,0.375,0.375,2338700,0.375
2015-02-05,0.38,0.39,0.375,0.39,435400,0.39
2015-02-06,0.395,0.41,0.39,0.395,371600,0.395
2015-02-09,0.405,0.415,0.395,0.40,225000,0.40
2015-02-10,0.40,0.40,0.395,0.40,523200,0.40
2015-02-11,0.395,0.40,0.39,0.39,90900,0.39
2015-02-12,0.39,0.39,0.37,0.375,333600,0.375
2015-02-13,0.38,0.39,0.375,0.375,60900,0.375
2015-02-16,0.38,0.385,0.375,0.38,93400,0.38
2015-02-17,0.385,0.41,0.385,0.39,194700,0.39
2015-02-18,0.395,0.405,0.375,0.40,535200,0.40
2015-02-19,0.39,0.40,0.39,0.39,88400,0.39
2015-02-20,0.385,0.39,0.375,0.375,394900,0.375
2015-02-23,0.375,0.38,0.375,0.375,18800,0.375
2015-02-24,0.37,0.37,0.365,0.365,153400,0.365
2015-02-25,0.365,0.37,0.355,0.355,302800,0.355
2015-02-26,0.36,0.36,0.36,0.36,159800,0.36
2015-02-27,0.36,0.36,0.35,0.35,126100,0.35
2015-03-02,0.35,0.365,0.32,0.32,952400,0.32
2015-03-03,0.32,0.32,0.26,0.28,1540000,0.28
2015-03-04,0.28,0.305,0.27,0.295,1544200,0.295
2015-03-05,0.295,0.30,0.29,0.30,86200,0.30
2015-03-06,0.30,0.31,0.28,0.28,2377300,0.28
2015-03-09,0.28,0.29,0.28,0.285,300500,0.285
2015-03-10,0.285,0.295,0.285,0.295,221700,0.295
2015-03-11,0.29,0.295,0.29,0.29,218400,0.29
2015-03-12,0.295,0.295,0.29,0.29,163200,0.29
2015-03-13,0.295,0.302,0.295,0.30,583500,0.30
2015-03-16,0.295,0.30,0.295,0.295,344700,0.295
2015-03-17,0.30,0.30,0.28,0.28,1109500,0.28
2015-03-18,0.29,0.29,0.275,0.275,113900,0.275
2015-03-19,0.28,0.285,0.27,0.275,315000,0.275
2015-03-20,0.275,0.275,0.27,0.27,103500,0.27
2015-03-23,0.27,0.27,0.26,0.26,276000,0.26
2015-03-24,0.265,0.27,0.26,0.265,158000,0.265
2015-03-25,0.26,0.27,0.26,0.26,143500,0.26
2015-03-26,0.25,0.25,0.22,0.23,1433400,0.23
2015-03-27,0.23,0.245,0.23,0.24,592400,0.24
2015-03-30,0.24,0.242,0.24,0.24,429300,0.24
2015-03-31,0.24,0.245,0.24,0.245,165100,0.245
2015-04-01,0.245,0.245,0.235,0.24,32000,0.24
2015-04-02,0.235,0.2375,0.23,0.23,239400,0.23
2015-04-03,0.23,0.23,0.23,0.23,000,0.23
2015-04-06,0.23,0.23,0.23,0.23,000,0.23
2015-04-07,0.23,0.24,0.23,0.23,103800,0.23
2015-04-08,0.235,0.24,0.235,0.24,101800,0.24
2015-04-09,0.24,0.245,0.237,0.24,126700,0.24
2015-04-10,0.24,0.245,0.237,0.24,173100,0.24
2015-04-13,0.245,0.30,0.245,0.275,773600,0.275
2015-04-14,0.28,0.29,0.275,0.28,174900,0.28
2015-04-15,0.275,0.2775,0.245,0.245,499500,0.245
2015-04-16,0.26,0.295,0.245,0.29,1698700,0.29
2015-04-17,0.29,0.29,0.285,0.29,120300,0.29
2015-04-20,0.28,0.29,0.275,0.28,656200,0.28
2015-04-21,0.285,0.29,0.28,0.285,264300,0.285
2015-04-22,0.28,0.285,0.275,0.285,589700,0.285
2015-04-23,0.275,0.285,0.27,0.285,434900,0.285
2015-04-24,0.285,0.295,0.28,0.295,537300,0.295
2015-04-27,0.295,0.295,0.285,0.29,94300,0.29
2015-04-28,0.29,0.33,0.29,0.32,417700,0.32
2015-04-29,0.315,0.315,0.28,0.295,746500,0.295
2015-04-30,0.30,0.305,0.295,0.30,190500,0.30
2015-05-01,0.305,0.325,0.305,0.315,37000,0.315
2015-05-04,0.325,0.325,0.30,0.30,163000,0.30
2015-05-05,0.30,0.30,0.285,0.285,115400,0.285
2015-05-06,0.31,0.34,0.31,0.34,1496200,0.34
2015-05-07,0.33,0.335,0.33,0.33,634300,0.33
2015-05-08,0.33,0.33,0.33,0.33,139800,0.33
2015-05-11,0.33,0.335,0.325,0.325,165700,0.325
2015-05-12,0.33,0.33,0.33,0.33,51800,0.33
2015-05-13,0.33,0.34,0.33,0.335,232500,0.335
2015-05-14,0.34,0.375,0.34,0.375,538500,0.375
2015-05-15,0.37,0.39,0.37,0.38,338500,0.38
2015-05-18,0.385,0.385,0.37,0.37,218100,0.37
2015-05-19,0.36,0.38,0.35,0.36,98300,0.36
2015-05-20,0.355,0.36,0.355,0.355,71500,0.355
2015-05-21,0.36,0.36,0.35,0.35,16900,0.35
2015-05-22,0.35,0.35,0.32,0.35,708300,0.35
2015-05-25,0.335,0.34,0.335,0.34,157900,0.34
2015-05-26,0.335,0.35,0.335,0.35,108600,0.35
2015-05-27,0.335,0.365,0.335,0.35,59800,0.35
2015-05-28,0.35,0.375,0.34,0.36,6088300,0.36
2015-05-29,0.36,0.36,0.35,0.35,115000,0.35
2015-06-01,0.34,0.345,0.34,0.345,99400,0.345
2015-06-02,0.345,0.35,0.345,0.35,346100,0.35
2015-06-03,0.36,0.36,0.35,0.35,55100,0.35
2015-06-04,0.35,0.36,0.35,0.36,18400,0.36
2015-06-05,0.36,0.36,0.345,0.35,72700,0.35
2015-06-08,0.35,0.35,0.35,0.35,000,0.35
2015-06-09,0.35,0.355,0.345,0.345,252600,0.345
2015-06-10,0.345,0.35,0.335,0.34,415300,0.34
2015-06-11,0.345,0.36,0.345,0.345,141700,0.345
2015-06-12,0.335,0.36,0.335,0.345,122200,0.345
2015-06-15,0.345,0.347,0.345,0.345,271200,0.345
2015-06-16,0.345,0.3525,0.345,0.345,208100,0.345
2015-06-17,0.345,0.36,0.345,0.345,315100,0.345
2015-06-18,0.355,0.38,0.355,0.38,537900,0.38
2015-06-19,0.38,0.38,0.365,0.375,188800,0.375
2015-06-22,0.37,0.375,0.365,0.365,63200,0.365
2015-06-23,0.365,0.365,0.355,0.355,121100,0.355
2015-06-24,0.355,0.355,0.355,0.355,108100,0.355
2015-06-25,0.355,0.36,0.355,0.355,197900,0.355
2015-06-26,0.355,0.38,0.355,0.38,217200,0.38
2015-06-29,0.38,0.38,0.355,0.355,56200,0.355
2015-06-30,0.355,0.365,0.355,0.36,206700,0.36
2015-07-01,0.37,0.375,0.37,0.37,106200,0.37
2015-07-02,0.37,0.37,0.37,0.37,67500,0.37
2015-07-03,0.37,0.375,0.37,0.37,51100,0.37
2015-07-06,0.37,0.37,0.36,0.36,26900,0.36
2015-07-07,0.35,0.35,0.35,0.35,20000,0.35
2015-07-08,0.35,0.35,0.332,0.345,245000,0.345
2015-07-09,0.347,0.35,0.345,0.35,51100,0.35
2015-07-10,0.35,0.35,0.34,0.34,118900,0.34
2015-07-13,0.33,0.36,0.33,0.335,80000,0.335
2015-07-14,0.35,0.35,0.35,0.35,44000,0.35
2015-07-15,0.35,0.35,0.34,0.34,44700,0.34
2015-07-16,0.34,0.34,0.34,0.34,15500,0.34
2015-07-17,0.34,0.345,0.34,0.34,84800,0.34
2015-07-20,0.34,0.34,0.34,0.34,60600,0.34
2015-07-21,0.34,0.35,0.34,0.34,28000,0.34
2015-07-22,0.34,0.34,0.34,0.34,32800,0.34
2015-07-23,0.345,0.345,0.34,0.34,25400,0.34
2015-07-24,0.34,0.34,0.34,0.34,6800,0.34
2015-07-27,0.34,0.34,0.34,0.34,167200,0.34
2015-07-28,0.34,0.34,0.34,0.34,117900,0.34
2015-07-29,0.34,0.34,0.322,0.34,259400,0.34
2015-07-30,0.34,0.34,0.34,0.34,201100,0.34
2015-07-31,0.35,0.355,0.35,0.355,37300,0.355
2015-08-03,0.35,0.35,0.335,0.335,221100,0.335
2015-08-04,0.335,0.34,0.33,0.33,1629700,0.33
2015-08-05,0.32,0.325,0.31,0.31,199500,0.31
2015-08-06,0.31,0.325,0.31,0.31,174000,0.31
2015-08-07,0.31,0.33,0.31,0.31,110100,0.31
2015-08-10,0.31,0.31,0.31,0.31,159400,0.31
2015-08-11,0.31,0.31,0.31,0.31,24300,0.31
2015-08-12,0.31,0.315,0.30,0.315,397700,0.315
2015-08-13,0.30,0.30,0.30,0.30,27000,0.30
2015-08-14,0.30,0.30,0.30,0.30,82900,0.30
2015-08-17,0.30,0.30,0.295,0.295,52900,0.295
2015-08-18,0.295,0.30,0.295,0.295,294000,0.295
2015-08-19,0.28,0.285,0.27,0.285,370000,0.285
2015-08-20,0.28,0.28,0.26,0.26,171600,0.26
2015-08-21,0.265,0.285,0.26,0.28,51100,0.28
2015-08-24,0.25,0.25,0.24,0.245,117100,0.245
2015-08-25,0.245,0.25,0.245,0.25,61000,0.25
2015-08-26,0.25,0.255,0.25,0.25,48600,0.25
2015-08-27,0.25,0.275,0.25,0.26,95000,0.26
2015-08-28,0.27,0.285,0.27,0.275,120600,0.275
2015-08-31,0.275,0.275,0.275,0.275,10500,0.275
2015-09-01,0.26,0.265,0.25,0.25,3599900,0.25
2015-09-02,0.25,0.25,0.25,0.25,16400,0.25
2015-09-03,0.25,0.26,0.25,0.255,2039600,0.255
2015-09-04,0.25,0.26,0.25,0.26,86000,0.26
2015-09-07,0.255,0.255,0.245,0.245,92100,0.245
2015-09-08,0.245,0.245,0.237,0.237,321100,0.237
2015-09-09,0.24,0.24,0.24,0.24,15000,0.24
2015-09-10,0.235,0.24,0.23,0.23,55600,0.23
2015-09-11,0.23,0.235,0.23,0.235,57500,0.235
2015-09-14,0.23,0.235,0.23,0.23,75500,0.23
2015-09-15,0.23,0.235,0.23,0.235,4500,0.235
2015-09-16,0.23,0.24,0.22,0.22,320700,0.22
2015-09-17,0.225,0.23,0.18,0.18,1291600,0.18
2015-09-18,0.19,0.20,0.18,0.18,717200,0.18
2015-09-21,0.18,0.185,0.177,0.177,392000,0.177
2015-09-22,0.175,0.18,0.175,0.18,168400,0.18
2015-09-23,0.18,0.195,0.18,0.18,796800,0.18
2015-09-24,0.192,0.192,0.185,0.185,80200,0.185
2015-09-25,0.187,0.20,0.187,0.19,233800,0.19
2015-09-28,0.195,0.195,0.195,0.195,39300,0.195
2015-09-29,0.20,0.205,0.195,0.195,333400,0.195
2015-09-30,0.21,0.21,0.20,0.20,21200,0.20
2015-10-01,0.21,0.21,0.21,0.21,900,0.21
2015-10-02,0.21,0.215,0.21,0.215,47300,0.215
2015-10-05,0.212,0.225,0.21,0.225,206400,0.225
2015-10-06,0.23,0.23,0.21,0.21,84100,0.21
2015-10-07,0.22,0.22,0.217,0.22,20300,0.22
2015-10-08,0.21,0.23,0.21,0.23,243000,0.23
2015-10-09,0.23,0.25,0.23,0.24,122600,0.24
2015-10-12,0.24,0.25,0.24,0.242,2405600,0.242
2015-10-13,0.24,0.24,0.232,0.24,349700,0.24
2015-10-14,0.235,0.24,0.235,0.24,53500,0.24
2015-10-15,0.24,0.24,0.24,0.24,000,0.24
2015-10-16,0.24,0.255,0.24,0.255,524400,0.255
2015-10-19,0.255,0.255,0.255,0.255,31700,0.255
2015-10-20,0.26,0.26,0.25,0.25,19300,0.25
2015-10-21,0.25,0.25,0.24,0.24,30000,0.24
2015-10-22,0.24,0.2525,0.24,0.25,100700,0.25
2015-10-23,0.255,0.27,0.255,0.255,56500,0.255
2015-10-26,0.24,0.255,0.24,0.245,42600,0.245
2015-10-27,0.25,0.25,0.245,0.245,43700,0.245
2015-10-28,0.245,0.245,0.245,0.245,6800,0.245
2015-10-29,0.245,0.245,0.245,0.245,500,0.245
2015-10-30,0.245,0.245,0.245,0.245,000,0.245
2015-11-02,0.245,0.245,0.245,0.245,7800,0.245
2015-11-03,0.24,0.24,0.225,0.225,75100,0.225
2015-11-04,0.23,0.235,0.23,0.235,25000,0.235
2015-11-05,0.235,0.235,0.22,0.22,55300,0.22
2015-11-06,0.22,0.22,0.22,0.22,000,0.22
2015-11-09,0.22,0.22,0.22,0.22,141900,0.22
2015-11-10,0.22,0.22,0.22,0.22,000,0.22
2015-11-11,0.225,0.225,0.22,0.225,500800,0.225
2015-11-12,0.235,0.245,0.235,0.24,74100,0.24
2015-11-13,0.235,0.235,0.225,0.225,30600,0.225
2015-11-16,0.22,0.225,0.22,0.22,58300,0.22
2015-11-17,0.22,0.22,0.215,0.215,21300,0.215
2015-11-18,0.215,0.215,0.215,0.215,2400,0.215
2015-11-19,0.215,0.215,0.215,0.215,000,0.215
2015-11-20,0.215,0.215,0.215,0.215,000,0.215
2015-11-23,0.215,0.215,0.205,0.205,34000,0.205
2015-11-24,0.205,0.215,0.205,0.215,63300,0.215
2015-11-25,0.205,0.205,0.195,0.195,302100,0.195
2015-11-26,0.195,0.20,0.195,0.195,957500,0.195
2015-11-27,0.215,0.215,0.195,0.195,28100,0.195
