Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,8.54849,8.54849,8.54849,8.54849,000,8.1662
2015-01-02,8.60827,8.70292,8.57838,8.64812,1629000,8.26137
2015-01-05,8.71787,8.74277,8.64812,8.7079,2845900,8.31848
2015-01-06,8.7079,8.78761,8.63816,8.72783,4227500,8.33752
2015-01-07,8.68798,8.72285,8.60827,8.63816,3403200,8.25186
2015-01-08,8.68798,8.79757,8.67801,8.77765,3030700,8.38511
2015-01-09,8.79757,8.83743,8.69794,8.74776,2794900,8.35656
2015-01-12,8.78761,8.8175,8.73779,8.76768,2077100,8.37559
2015-01-13,8.72783,8.81252,8.72783,8.78761,1959200,8.39462
2015-01-14,8.8175,8.83743,8.74776,8.79757,3346600,8.40414
2015-01-15,8.86732,8.97691,8.82248,8.95698,5987000,8.55642
2015-01-16,8.95698,9.01676,8.88724,8.92709,4428400,8.52787
2015-01-19,8.96695,8.96695,8.85735,8.87728,2318500,8.48028
2015-01-20,8.88724,8.98687,8.86732,8.95698,5179900,8.55642
2015-01-21,8.98687,9.22599,8.97691,9.22599,6181000,8.8134
2015-01-22,9.26585,9.26585,9.17618,9.23596,4601300,8.82292
2015-01-23,9.26585,9.27581,9.17618,9.20607,5365100,8.79437
2015-01-26,9.20607,9.20607,9.20607,9.20607,000,8.79437
2015-01-27,9.26585,9.29574,9.20607,9.23596,4932300,8.82292
2015-01-28,9.26585,9.28577,9.18614,9.1961,3043000,8.78485
2015-01-29,9.16621,9.21603,9.14629,9.17618,3967300,8.76582
2015-01-30,9.21603,9.23596,9.16621,9.17618,4828900,8.76582
2015-02-02,9.13632,9.27581,9.09647,9.26585,2756900,8.85148
2015-02-03,9.33559,9.35552,9.1164,9.20607,6340500,8.79437
2015-02-04,9.31566,9.32563,9.19112,9.24592,4646200,8.83244
2015-02-05,9.26585,9.35552,9.22101,9.29574,4046900,8.88003
2015-02-06,9.28577,9.34555,9.22599,9.26585,2980000,8.85148
2015-02-09,9.23596,9.26585,9.17618,9.18614,7332700,8.77533
2015-02-10,9.22599,9.25588,9.18116,9.22599,3633200,8.8134
2015-02-11,9.29574,9.35552,9.25588,9.26585,5517600,8.85148
2015-02-12,9.4153,9.4153,9.1961,9.1961,7311300,8.78485
2015-02-13,9.36548,9.39537,9.27581,9.3057,6109300,8.88955
2015-02-16,9.33559,9.34555,9.25588,9.27581,3099200,8.86099
2015-02-17,9.26585,9.32563,9.24094,9.3057,2537700,8.88955
2015-02-18,9.39537,9.40533,9.26585,9.28577,4012700,8.87051
2015-02-19,9.31566,9.33559,9.24592,9.24592,4291300,8.83244
