Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,5.61,5.61,5.61,5.61,000,5.50295
2015-01-02,5.66,5.74,5.61,5.71,1114600,5.60104
2015-01-05,5.65,5.78,5.65,5.76,943800,5.65009
2015-01-06,5.67,5.685,5.53,5.55,1796800,5.4441
2015-01-07,5.52,5.54,5.36,5.39,2294700,5.28715
2015-01-08,5.45,5.48,5.37,5.44,1378800,5.3362
2015-01-09,5.52,5.62,5.48,5.60,2163600,5.49314
2015-01-12,5.50,5.54,5.43,5.50,1256900,5.39505
2015-01-13,5.41,5.49,5.36,5.47,1373900,5.36562
2015-01-14,5.46,5.46,5.21,5.23,1676400,5.1302
2015-01-15,5.21,5.21,5.07,5.10,2069700,5.00268
2015-01-16,5.02,5.09,4.99,5.07,1250000,4.97326
2015-01-19,5.16,5.17,4.99,5.01,1292200,4.9144
2015-01-20,4.99,5.12,4.91,5.06,899400,4.96345
2015-01-21,5.06,5.17,5.03,5.17,1801300,5.07135
2015-01-22,5.20,5.32,5.17,5.22,1517900,5.12039
2015-01-23,5.29,5.35,5.24,5.26,1134800,5.15963
2015-01-26,5.26,5.26,5.26,5.26,000,5.15963
2015-01-27,5.26,5.26,5.13,5.17,1751500,5.07135
2015-01-28,5.10,5.10,5.01,5.06,2396000,4.96345
2015-01-29,5.00,5.065,4.96,5.01,3095400,4.9144
2015-01-30,5.07,5.14,5.02,5.03,4642000,4.93402
2015-02-02,5.02,5.14,4.90,5.08,4497700,4.98307
2015-02-03,5.11,5.15,4.99,5.14,4137500,5.04192
2015-02-04,5.25,5.44,5.25,5.40,5477300,5.29696
2015-02-05,5.28,5.38,5.28,5.31,1878600,5.20868
2015-02-06,5.35,5.53,5.28,5.44,3450700,5.3362
2015-02-09,5.42,5.50,5.40,5.45,2286100,5.346
2015-02-10,5.50,5.52,5.43,5.47,1964100,5.36562
2015-02-11,5.52,5.54,5.25,5.30,3139900,5.19887
2015-02-12,5.35,5.53,5.35,5.43,2289300,5.32639
2015-02-13,5.48,5.66,5.48,5.63,2310900,5.52257
2015-02-16,5.61,5.70,5.58,5.60,2148200,5.49314
2015-02-17,5.59,5.61,5.50,5.53,1615000,5.42448
2015-02-18,5.54,5.645,5.52,5.58,4536400,5.47352
2015-02-19,5.60,5.67,5.52,5.53,1546900,5.42448
2015-02-20,5.59,5.59,5.53,5.55,1978500,5.4441
2015-02-23,5.24,5.24,4.95,5.10,8989400,5.00268
2015-02-24,5.12,5.20,4.93,4.96,8581000,4.86536
2015-02-25,5.02,5.06,4.93,4.96,2842900,4.86536
2015-02-26,4.94,4.975,4.83,4.87,4899400,4.77707
2015-02-27,4.90,4.93,4.80,4.82,2879800,4.72803
2015-03-02,4.80,4.84,4.715,4.74,4136400,4.64955
2015-03-03,4.75,4.81,4.66,4.73,2093200,4.68208
2015-03-04,4.78,4.79,4.63,4.64,2940600,4.59299
2015-03-05,4.60,4.71,4.53,4.67,4857000,4.62269
2015-03-06,4.73,4.75,4.64,4.67,3024400,4.62269
2015-03-09,4.59,4.68,4.47,4.52,3208700,4.4742
2015-03-10,4.51,4.53,4.39,4.42,6773700,4.37522
2015-03-11,4.36,4.45,4.29,4.41,6189300,4.36532
2015-03-12,4.40,4.44,4.34,4.41,2010400,4.36532
2015-03-13,4.41,4.43,4.355,4.41,3320200,4.36532
2015-03-16,4.37,4.43,4.32,4.35,1641600,4.30593
2015-03-17,4.35,4.44,4.34,4.41,2765100,4.36532
2015-03-18,4.48,4.51,4.36,4.47,3957900,4.42471
2015-03-19,4.59,4.63,4.52,4.60,3738100,4.55339
2015-03-20,4.60,4.60,4.50,4.52,4358200,4.4742
2015-03-23,4.52,4.55,4.43,4.51,2140500,4.46431
2015-03-24,4.49,4.67,4.49,4.64,3014800,4.59299
2015-03-25,4.66,4.69,4.61,4.65,2619200,4.60289
2015-03-26,4.52,4.56,4.46,4.54,3957000,4.494
2015-03-27,4.54,4.56,4.34,4.37,4336500,4.32572
2015-03-30,4.31,4.32,4.16,4.17,5505400,4.12775
2015-03-31,4.17,4.24,4.08,4.18,6416300,4.13765
2015-04-01,4.14,4.15,4.03,4.04,3503500,3.99907
2015-04-02,4.00,4.11,3.98,4.10,2612500,4.05846
2015-04-03,4.10,4.10,4.10,4.10,000,4.05846
2015-04-06,4.10,4.10,4.10,4.10,000,4.05846
2015-04-07,4.10,4.11,4.02,4.06,2832500,4.01887
2015-04-08,4.05,4.17,4.05,4.14,3494400,4.09805
2015-04-09,4.11,4.15,4.02,4.07,1708600,4.02876
2015-04-10,4.10,4.13,4.05,4.11,846400,4.06836
2015-04-13,4.10,4.16,4.00,4.02,1787500,3.97927
2015-04-14,3.96,4.02,3.87,3.92,4107300,3.88028
2015-04-15,3.91,4.05,3.91,4.01,2304500,3.96937
2015-04-16,4.05,4.10,4.00,4.04,2274800,3.99907
2015-04-17,4.01,4.05,3.94,3.96,1909900,3.91988
2015-04-20,3.89,3.89,3.70,3.73,4492100,3.69221
2015-04-21,3.73,3.79,3.66,3.71,2639300,3.67241
2015-04-22,3.66,3.69,3.56,3.61,3735600,3.57342
2015-04-23,3.67,3.72,3.60,3.61,2615700,3.57342
2015-04-24,3.69,3.79,3.69,3.72,5038100,3.68231
2015-04-27,3.71,3.74,3.65,3.68,4624900,3.64272
2015-04-28,3.68,3.77,3.67,3.72,7360700,3.68231
2015-04-29,3.72,3.74,3.56,3.57,6806500,3.53383
2015-04-30,3.52,3.55,3.47,3.50,3190500,3.46454
2015-05-01,3.49,3.62,3.46,3.60,2693200,3.56353
2015-05-04,3.60,3.79,3.60,3.79,2819700,3.7516
