Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.555,1.555,1.555,1.555,000,1.51187
2015-01-02,1.59,1.745,1.565,1.635,1284500,1.58965
2015-01-05,1.64,1.64,1.55,1.575,945400,1.53131
2015-01-06,1.55,1.62,1.53,1.58,600100,1.53617
2015-01-07,1.605,1.63,1.595,1.625,1006900,1.57992
2015-01-08,1.62,1.68,1.595,1.60,673600,1.55562
2015-01-09,1.61,1.615,1.585,1.60,958600,1.55562
2015-01-12,1.61,1.68,1.60,1.62,923700,1.57506
2015-01-13,1.64,1.685,1.63,1.65,351400,1.60423
2015-01-14,1.675,1.75,1.66,1.72,1195600,1.67229
2015-01-15,1.74,1.74,1.65,1.675,451200,1.62854
2015-01-16,1.74,1.74,1.595,1.625,663500,1.57992
2015-01-19,1.63,1.635,1.58,1.58,318500,1.53617
2015-01-20,1.60,1.60,1.46,1.465,930500,1.42436
2015-01-21,1.50,1.555,1.50,1.53,479600,1.48756
2015-01-22,1.515,1.53,1.435,1.435,1065100,1.39519
2015-01-23,1.44,1.49,1.44,1.46,555100,1.4195
2015-01-26,1.46,1.46,1.46,1.46,000,1.4195
2015-01-27,1.465,1.48,1.435,1.455,539800,1.41464
2015-01-28,1.435,1.445,1.405,1.41,400300,1.37089
2015-01-29,1.44,1.475,1.435,1.47,677200,1.42922
2015-01-30,1.475,1.495,1.43,1.47,678700,1.42922
2015-02-02,1.475,1.485,1.40,1.415,578300,1.37575
2015-02-03,1.42,1.485,1.42,1.46,1052600,1.4195
2015-02-04,1.48,1.485,1.425,1.435,567100,1.39519
2015-02-05,1.41,1.46,1.405,1.45,470300,1.40978
2015-02-06,1.46,1.46,1.415,1.42,472400,1.38061
2015-02-09,1.415,1.43,1.41,1.41,252100,1.37089
2015-02-10,1.435,1.44,1.385,1.39,859600,1.35144
2015-02-11,1.40,1.415,1.35,1.35,1193300,1.31255
2015-02-12,1.38,1.38,1.255,1.285,1371500,1.24936
2015-02-13,1.285,1.355,1.285,1.34,1286000,1.30283
2015-02-16,1.36,1.505,1.355,1.45,2424300,1.40978
2015-02-17,1.48,1.63,1.472,1.615,2517100,1.5702
2015-02-18,1.59,1.605,1.56,1.585,873600,1.54103
2015-02-19,1.59,1.61,1.54,1.59,1556900,1.54589
2015-02-20,1.57,1.58,1.56,1.58,484100,1.53617
2015-02-23,1.60,1.605,1.575,1.60,1213900,1.55562
2015-02-24,1.60,1.61,1.575,1.61,933900,1.56534
2015-02-25,1.615,1.715,1.605,1.715,1104100,1.66743
2015-02-26,1.75,1.90,1.725,1.83,4630800,1.77924
2015-02-27,1.81,1.84,1.745,1.84,4932200,1.78896
2015-03-02,1.85,1.86,1.785,1.825,1992900,1.77438
2015-03-03,1.82,1.825,1.76,1.81,885800,1.75979
2015-03-04,1.80,1.805,1.76,1.79,943700,1.74035
2015-03-05,1.79,1.82,1.76,1.81,1469600,1.75979
2015-03-06,1.815,1.82,1.80,1.81,603600,1.75979
2015-03-09,1.80,1.82,1.79,1.80,966900,1.75007
2015-03-10,1.805,1.81,1.78,1.80,364100,1.75007
2015-03-11,1.80,1.80,1.77,1.79,206200,1.74035
2015-03-12,1.785,1.785,1.75,1.76,275100,1.71118
2015-03-13,1.76,1.785,1.72,1.76,321200,1.71118
2015-03-16,1.77,1.78,1.755,1.765,476200,1.71604
2015-03-17,1.755,1.76,1.71,1.71,925500,1.66257
2015-03-18,1.685,1.69,1.61,1.69,677500,1.64312
2015-03-19,1.69,1.70,1.63,1.655,455200,1.60909
2015-03-20,1.65,1.68,1.645,1.645,439800,1.59937
2015-03-23,1.665,1.725,1.65,1.725,395600,1.67715
2015-03-24,1.715,1.76,1.70,1.725,238700,1.67715
2015-03-25,1.74,1.745,1.69,1.695,243800,1.64798
2015-03-26,1.735,1.735,1.67,1.70,311500,1.65284
2015-03-27,1.68,1.73,1.645,1.73,243500,1.68201
2015-03-30,1.70,1.72,1.65,1.715,176300,1.66743
2015-03-31,1.73,1.79,1.715,1.76,770000,1.71118
2015-04-01,1.79,1.79,1.74,1.76,377300,1.71118
2015-04-02,1.725,1.78,1.725,1.735,236100,1.68687
2015-04-03,1.735,1.735,1.735,1.735,000,1.68687
2015-04-06,1.735,1.735,1.735,1.735,000,1.68687
2015-04-07,1.76,1.76,1.72,1.72,309200,1.67229
2015-04-08,1.72,1.76,1.715,1.715,285900,1.66743
2015-04-09,1.75,1.76,1.715,1.75,209300,1.70146
2015-04-10,1.70,1.75,1.67,1.69,510300,1.64312
2015-04-13,1.69,1.70,1.62,1.68,428300,1.6334
2015-04-14,1.66,1.66,1.625,1.66,544000,1.61395
2015-04-15,1.65,1.655,1.61,1.63,304300,1.58479
2015-04-16,1.63,1.655,1.62,1.635,327800,1.58965
2015-04-17,1.65,1.675,1.635,1.635,532600,1.58965
2015-04-20,1.65,1.675,1.605,1.635,311100,1.58965
2015-04-21,1.67,1.69,1.645,1.69,173100,1.64312
2015-04-22,1.69,1.70,1.61,1.625,423100,1.57992
2015-04-23,1.625,1.63,1.59,1.60,466700,1.55562
2015-04-24,1.615,1.66,1.59,1.655,420700,1.60909
2015-04-27,1.645,1.685,1.61,1.67,586100,1.62368
2015-04-28,1.625,1.70,1.625,1.70,402700,1.65284
2015-04-29,1.69,1.70,1.66,1.67,245600,1.62368
2015-04-30,1.685,1.69,1.625,1.66,1142800,1.61395
2015-05-01,1.68,1.72,1.67,1.72,142500,1.67229
2015-05-04,1.73,1.79,1.73,1.79,434200,1.74035
2015-05-05,1.78,1.84,1.78,1.83,913800,1.77924
2015-05-06,1.84,1.85,1.80,1.835,334200,1.7841
2015-05-07,1.81,1.82,1.76,1.795,272000,1.74521
2015-05-08,1.80,1.83,1.78,1.80,214100,1.75007
2015-05-11,1.80,1.80,1.755,1.78,129400,1.73062
2015-05-12,1.78,1.81,1.75,1.81,373100,1.75979
2015-05-13,1.805,1.835,1.785,1.83,542400,1.77924
2015-05-14,1.83,1.85,1.81,1.845,274500,1.79382
2015-05-15,1.845,1.89,1.83,1.87,996200,1.81813
2015-05-18,1.88,1.95,1.865,1.95,2026200,1.89591
2015-05-19,1.98,2.03,1.965,1.975,2053600,1.92022
2015-05-20,1.985,1.99,1.85,1.875,897100,1.82299
2015-05-21,1.89,1.915,1.87,1.88,205900,1.82785
2015-05-22,1.89,1.915,1.88,1.90,287200,1.8473
2015-05-25,1.915,1.915,1.87,1.90,172600,1.8473
2015-05-26,1.89,1.91,1.87,1.90,270600,1.8473
2015-05-27,1.885,1.885,1.82,1.85,212700,1.79868
2015-05-28,1.85,1.885,1.815,1.875,167300,1.82299
2015-05-29,1.885,1.93,1.87,1.895,519700,1.84243
2015-06-01,1.88,1.895,1.825,1.855,219500,1.80354
2015-06-02,1.865,1.90,1.82,1.82,188000,1.76951
2015-06-03,1.82,1.825,1.75,1.765,408500,1.71604
2015-06-04,1.785,1.785,1.65,1.65,747500,1.60423
2015-06-05,1.67,1.74,1.67,1.74,469600,1.69173
2015-06-08,1.74,1.74,1.74,1.74,000,1.69173
2015-06-09,1.78,1.85,1.76,1.795,581300,1.74521
2015-06-10,1.815,1.85,1.76,1.77,1427600,1.7209
2015-06-11,1.80,1.84,1.785,1.80,561200,1.75007
2015-06-12,1.825,1.83,1.78,1.80,594200,1.75007
2015-06-15,1.80,1.80,1.75,1.75,246800,1.70146
2015-06-16,1.745,1.81,1.725,1.76,330100,1.71118
2015-06-17,1.78,1.80,1.76,1.77,299700,1.7209
2015-06-18,1.78,1.81,1.735,1.755,296200,1.70632
2015-06-19,1.70,1.705,1.64,1.675,2338400,1.62854
2015-06-22,1.67,1.68,1.615,1.67,1383500,1.62368
2015-06-23,1.67,1.695,1.65,1.685,596800,1.63826
2015-06-24,1.685,1.71,1.67,1.69,728800,1.64312
2015-06-25,1.68,1.695,1.645,1.675,781100,1.62854
2015-06-26,1.68,1.70,1.67,1.69,421600,1.64312
2015-06-29,1.66,1.675,1.63,1.645,1216400,1.59937
2015-06-30,1.62,1.625,1.58,1.605,2906600,1.56048
2015-07-01,1.61,1.62,1.525,1.585,1753300,1.54103
2015-07-02,1.58,1.58,1.48,1.495,2049100,1.45353
2015-07-03,1.52,1.525,1.455,1.47,2142200,1.42922
2015-07-06,1.44,1.52,1.435,1.50,1058200,1.45839
2015-07-07,1.52,1.52,1.465,1.465,1045400,1.42436
2015-07-08,1.47,1.485,1.435,1.45,658500,1.40978
2015-07-09,1.44,1.465,1.425,1.445,649000,1.40492
2015-07-10,1.45,1.455,1.425,1.425,471700,1.38547
2015-07-13,1.425,1.43,1.38,1.41,1380100,1.37089
2015-07-14,1.41,1.48,1.405,1.435,825400,1.39519
2015-07-15,1.44,1.50,1.44,1.475,749200,1.43408
2015-07-16,1.50,1.52,1.48,1.50,657000,1.45839
2015-07-17,1.49,1.525,1.47,1.495,421600,1.45353
2015-07-20,1.49,1.49,1.45,1.455,621800,1.41464
2015-07-21,1.45,1.49,1.43,1.46,323800,1.4195
2015-07-22,1.46,1.495,1.45,1.495,535700,1.45353
2015-07-23,1.50,1.525,1.48,1.50,369000,1.45839
2015-07-24,1.495,1.505,1.46,1.465,202100,1.42436
2015-07-27,1.465,1.485,1.44,1.45,422200,1.40978
2015-07-28,1.45,1.475,1.44,1.46,440500,1.4195
2015-07-29,1.485,1.50,1.47,1.485,293300,1.44381
2015-07-30,1.475,1.505,1.47,1.495,386300,1.45353
2015-07-31,1.49,1.495,1.465,1.47,412500,1.42922
2015-08-03,1.48,1.505,1.47,1.50,262700,1.45839
2015-08-04,1.50,1.62,1.475,1.61,835700,1.56534
2015-08-05,1.60,1.60,1.54,1.55,318200,1.507
2015-08-06,1.56,1.585,1.535,1.55,495400,1.507
2015-08-07,1.56,1.56,1.49,1.49,445800,1.44867
2015-08-10,1.49,1.575,1.48,1.56,263600,1.51673
2015-08-11,1.57,1.57,1.55,1.56,137600,1.51673
2015-08-12,1.56,1.61,1.56,1.61,538400,1.56534
2015-08-13,1.61,1.61,1.58,1.61,234200,1.56534
2015-08-14,1.61,1.655,1.595,1.60,634300,1.55562
2015-08-17,1.60,1.61,1.55,1.57,210200,1.52645
2015-08-18,1.60,1.615,1.55,1.61,273100,1.56534
2015-08-19,1.63,1.64,1.50,1.56,453400,1.51673
2015-08-20,1.59,1.595,1.50,1.50,344900,1.45839
2015-08-21,1.50,1.515,1.45,1.47,574800,1.42922
2015-08-24,1.46,1.47,1.39,1.42,481300,1.38061
2015-08-25,1.385,1.50,1.38,1.455,635600,1.41464
2015-08-26,1.455,1.50,1.435,1.45,423200,1.40978
2015-08-27,1.50,1.505,1.465,1.495,362200,1.45353
2015-08-28,1.495,1.495,1.495,1.495,000,1.45353
2015-08-31,1.60,1.615,1.50,1.54,1080400,1.49728
2015-09-01,1.55,1.555,1.485,1.51,589600,1.46811
2015-09-02,1.50,1.58,1.495,1.52,926400,1.47784
2015-09-03,1.53,1.545,1.50,1.52,346300,1.47784
