Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.26,0.26,0.26,0.26,000,0.26
2015-01-02,0.26,0.26,0.26,0.26,000,0.26
2015-01-05,0.26,0.26,0.26,0.26,000,0.26
2015-01-06,0.26,0.26,0.255,0.26,172000,0.26
2015-01-07,0.255,0.255,0.255,0.255,24200,0.255
2015-01-08,0.255,0.255,0.255,0.255,000,0.255
2015-01-09,0.27,0.27,0.27,0.27,223000,0.27
2015-01-12,0.27,0.27,0.27,0.27,355000,0.27
2015-01-13,0.27,0.27,0.26,0.26,28000,0.26
2015-01-14,0.26,0.26,0.26,0.26,000,0.26
2015-01-15,0.26,0.27,0.26,0.27,21600,0.27
2015-01-16,0.27,0.27,0.27,0.27,220000,0.27
2015-01-19,0.26,0.26,0.25,0.25,54000,0.25
2015-01-20,0.26,0.26,0.25,0.25,150000,0.25
2015-01-21,0.255,0.255,0.25,0.255,1862500,0.255
2015-01-22,0.26,0.27,0.26,0.265,243500,0.265
2015-01-23,0.265,0.265,0.265,0.265,487500,0.265
2015-01-26,0.265,0.265,0.265,0.265,000,0.265
2015-01-27,0.265,0.265,0.265,0.265,000,0.265
2015-01-28,0.265,0.265,0.265,0.265,000,0.265
2015-01-29,0.29,0.29,0.285,0.287,862700,0.287
2015-01-30,0.29,0.29,0.287,0.287,2098500,0.287
2015-02-02,0.285,0.29,0.285,0.287,1117900,0.287
2015-02-03,0.285,0.29,0.285,0.29,3534800,0.29
2015-02-04,0.29,0.29,0.29,0.29,50000,0.29
2015-02-05,0.29,0.29,0.29,0.29,000,0.29
2015-02-06,0.29,0.29,0.29,0.29,000,0.29
2015-02-09,0.287,0.287,0.287,0.287,80000,0.287
2015-02-10,0.287,0.2875,0.287,0.287,34700,0.287
2015-02-11,0.29,0.29,0.29,0.29,881700,0.29
2015-02-12,0.285,0.29,0.285,0.29,278700,0.29
2015-02-13,0.29,0.29,0.285,0.285,13200,0.285
2015-02-16,0.285,0.285,0.285,0.285,000,0.285
2015-02-17,0.29,0.29,0.29,0.29,5715800,0.29
