Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.46,0.46,0.46,0.46,000,0.46
2015-01-02,0.46,0.46,0.46,0.46,000,0.46
2015-01-05,0.46,0.53,0.46,0.48,9100,0.48
2015-01-06,0.48,0.54,0.475,0.52,150900,0.52
2015-01-07,0.52,0.52,0.49,0.50,175100,0.50
2015-01-08,0.50,0.50,0.50,0.50,2000,0.50
2015-01-09,0.51,0.51,0.505,0.51,209400,0.51
2015-01-12,0.51,0.54,0.51,0.525,167200,0.525
2015-01-13,0.53,0.535,0.525,0.535,129000,0.535
2015-01-14,0.53,0.53,0.515,0.52,117500,0.52
2015-01-15,0.525,0.525,0.51,0.51,111500,0.51
2015-01-16,0.515,0.515,0.515,0.515,6000,0.515
2015-01-19,0.52,0.545,0.52,0.53,29500,0.53
2015-01-20,0.55,0.59,0.535,0.58,61500,0.58
2015-01-21,0.635,0.70,0.635,0.65,60400,0.65
2015-01-22,0.635,0.635,0.62,0.62,17300,0.62
2015-01-23,0.62,0.62,0.62,0.62,400,0.62
2015-01-26,0.62,0.62,0.62,0.62,000,0.62
2015-01-27,0.60,0.65,0.57,0.61,117800,0.61
2015-01-28,0.62,0.65,0.60,0.65,66800,0.65
2015-01-29,0.65,0.65,0.65,0.65,000,0.65
2015-01-30,0.595,0.595,0.57,0.59,57800,0.59
2015-02-02,0.62,0.62,0.605,0.62,27800,0.62
2015-02-03,0.62,0.62,0.59,0.61,561300,0.61
2015-02-04,0.61,0.62,0.61,0.62,2020300,0.62
2015-02-05,0.625,0.625,0.615,0.625,834100,0.625
2015-02-06,0.63,0.63,0.615,0.63,422800,0.63
2015-02-09,0.61,0.61,0.59,0.59,173300,0.59
2015-02-10,0.59,0.60,0.59,0.59,42400,0.59
2015-02-11,0.58,0.605,0.58,0.605,26200,0.605
2015-02-12,0.58,0.58,0.575,0.58,59200,0.58
2015-02-13,0.595,0.60,0.59,0.60,437000,0.60
2015-02-16,0.59,0.59,0.585,0.585,26700,0.585
2015-02-17,0.60,0.60,0.585,0.585,33400,0.585
2015-02-18,0.585,0.585,0.585,0.585,000,0.585
2015-02-19,0.575,0.575,0.57,0.57,4000,0.57
2015-02-20,0.60,0.60,0.595,0.595,51300,0.595
2015-02-23,0.61,0.61,0.61,0.61,20000,0.61
2015-02-24,0.62,0.62,0.62,0.62,8300,0.62
2015-02-25,0.66,0.665,0.66,0.665,33600,0.665
2015-02-26,0.695,0.71,0.685,0.71,192900,0.71
2015-02-27,0.70,0.71,0.70,0.71,53300,0.71
2015-03-02,0.695,0.71,0.69,0.71,26700,0.71
2015-03-03,0.655,0.655,0.645,0.645,8000,0.645
2015-03-04,0.635,0.635,0.60,0.625,139000,0.625
2015-03-05,0.63,0.63,0.63,0.63,89000,0.63
2015-03-06,0.63,0.63,0.63,0.63,000,0.63
2015-03-09,0.63,0.63,0.63,0.63,3000,0.63
2015-03-10,0.63,0.63,0.60,0.61,27000,0.61
2015-03-11,0.595,0.595,0.56,0.575,83900,0.575
2015-03-12,0.595,0.605,0.58,0.58,102100,0.58
2015-03-13,0.57,0.57,0.57,0.57,500,0.57
2015-03-16,0.57,0.57,0.57,0.57,000,0.57
2015-03-17,0.59,0.60,0.59,0.60,1036800,0.60
2015-03-18,0.59,0.59,0.585,0.585,803500,0.585
2015-03-19,0.63,0.64,0.625,0.625,535000,0.625
2015-03-20,0.625,0.625,0.625,0.625,000,0.625
2015-03-23,0.65,0.66,0.645,0.65,1286000,0.65
2015-03-24,0.66,0.665,0.65,0.655,530200,0.655
2015-03-25,0.65,0.65,0.635,0.635,252000,0.635
2015-03-26,0.65,0.65,0.645,0.645,50900,0.645
2015-03-27,0.635,0.635,0.635,0.635,20100,0.635
2015-03-30,0.645,0.65,0.64,0.65,70400,0.65
2015-03-31,0.625,0.625,0.625,0.625,25000,0.625
2015-04-01,0.645,0.65,0.645,0.65,7100,0.65
2015-04-02,0.67,0.685,0.67,0.68,396900,0.68
2015-04-03,0.68,0.68,0.68,0.68,000,0.68
2015-04-06,0.68,0.68,0.68,0.68,000,0.68
2015-04-07,0.685,0.69,0.68,0.68,54100,0.68
2015-04-08,0.655,0.66,0.65,0.655,156200,0.655
2015-04-09,0.625,0.63,0.625,0.63,262800,0.63
2015-04-10,0.64,0.64,0.64,0.64,122300,0.64
2015-04-13,0.65,0.67,0.65,0.655,34300,0.655
2015-04-14,0.655,0.655,0.655,0.655,000,0.655
2015-04-15,0.665,0.665,0.645,0.655,51900,0.655
2015-04-16,0.67,0.68,0.66,0.67,79500,0.67
2015-04-17,0.70,0.70,0.68,0.68,83900,0.68
2015-04-20,0.68,0.69,0.68,0.69,17500,0.69
2015-04-21,0.68,0.68,0.68,0.68,10000,0.68
2015-04-22,0.665,0.67,0.665,0.665,7500,0.665
2015-04-23,0.665,0.68,0.665,0.67,50900,0.67
2015-04-24,0.68,0.68,0.635,0.655,336000,0.655
2015-04-27,0.65,0.65,0.65,0.65,280000,0.65
2015-04-28,0.675,0.69,0.675,0.69,368400,0.69
2015-04-29,0.735,0.735,0.72,0.72,33300,0.72
2015-04-30,0.75,0.75,0.735,0.75,464400,0.75
2015-05-01,0.735,0.76,0.73,0.745,225700,0.745
2015-05-04,0.73,0.73,0.705,0.715,755300,0.715
2015-05-05,0.73,0.76,0.73,0.745,476800,0.745
2015-05-06,0.75,0.75,0.745,0.75,916700,0.75
2015-05-07,0.75,0.75,0.745,0.745,269600,0.745
2015-05-08,0.75,0.76,0.74,0.76,439400,0.76
2015-05-11,0.745,0.75,0.745,0.75,454200,0.75
2015-05-12,0.75,0.75,0.75,0.75,000,0.75
2015-05-13,0.75,0.775,0.75,0.775,16800,0.775
2015-05-14,0.785,0.785,0.785,0.785,102000,0.785
2015-05-15,0.785,0.79,0.78,0.79,56000,0.79
2015-05-18,0.785,0.785,0.77,0.77,5200,0.77
2015-05-19,0.77,0.77,0.77,0.77,800,0.77
2015-05-20,0.77,0.77,0.77,0.77,000,0.77
2015-05-21,0.77,0.775,0.77,0.775,20500,0.775
2015-05-22,0.77,0.77,0.77,0.77,27200,0.77
2015-05-25,0.80,0.80,0.795,0.795,63800,0.795
2015-05-26,0.80,0.81,0.80,0.81,14900,0.81
2015-05-27,0.77,0.77,0.765,0.765,84800,0.765
2015-05-28,0.77,0.77,0.765,0.77,29400,0.77
2015-05-29,0.79,0.80,0.775,0.795,7600,0.795
2015-06-01,0.79,0.80,0.79,0.80,7500,0.80
2015-06-02,0.755,0.755,0.755,0.755,400,0.755
2015-06-03,0.755,0.755,0.75,0.755,49000,0.755
2015-06-04,0.755,0.755,0.755,0.755,000,0.755
2015-06-05,0.77,0.77,0.755,0.755,45900,0.755
2015-06-08,0.755,0.755,0.755,0.755,000,0.755
2015-06-09,0.74,0.74,0.74,0.74,10000,0.74
2015-06-10,0.745,0.77,0.745,0.77,7200,0.77
2015-06-11,0.77,0.77,0.77,0.77,11000,0.77
2015-06-12,0.81,0.82,0.81,0.82,27100,0.82
2015-06-15,0.81,0.81,0.80,0.805,5900,0.805
2015-06-16,0.805,0.805,0.805,0.805,000,0.805
2015-06-17,0.79,0.79,0.75,0.78,110700,0.78
2015-06-18,0.80,0.80,0.79,0.79,18000,0.79
2015-06-19,0.805,0.805,0.80,0.805,846400,0.805
2015-06-22,0.80,0.80,0.80,0.80,802000,0.80
2015-06-23,0.795,0.795,0.79,0.795,276200,0.795
2015-06-24,0.775,0.79,0.77,0.79,114200,0.79
2015-06-25,0.78,0.80,0.775,0.775,162400,0.775
2015-06-26,0.79,0.79,0.79,0.79,78400,0.79
2015-06-29,0.79,0.80,0.79,0.80,10300,0.80
2015-06-30,0.775,0.775,0.775,0.775,4200,0.775
2015-07-01,0.73,0.73,0.725,0.725,57700,0.725
2015-07-02,0.725,0.725,0.725,0.725,5000,0.725
2015-07-03,0.74,0.75,0.74,0.74,519900,0.74
