Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.12,0.12,0.12,0.12,000,0.12
2015-01-02,0.14,0.145,0.14,0.145,13500,0.145
2015-01-05,0.145,0.145,0.145,0.145,000,0.145
2015-01-06,0.14,0.14,0.14,0.14,30000,0.14
2015-01-07,0.14,0.14,0.14,0.14,000,0.14
2015-01-08,0.14,0.14,0.14,0.14,000,0.14
2015-01-09,0.14,0.14,0.14,0.14,5000,0.14
2015-01-12,0.14,0.14,0.14,0.14,000,0.14
2015-01-13,0.13,0.13,0.13,0.13,13000,0.13
2015-01-14,0.13,0.13,0.13,0.13,000,0.13
2015-01-15,0.13,0.13,0.13,0.13,80000,0.13
2015-01-16,0.13,0.13,0.125,0.125,40000,0.125
2015-01-19,0.125,0.125,0.125,0.125,21000,0.125
2015-01-20,0.125,0.125,0.125,0.125,000,0.125
2015-01-21,0.125,0.125,0.125,0.125,000,0.125
2015-01-22,0.125,0.125,0.125,0.125,000,0.125
2015-01-23,0.13,0.13,0.13,0.13,36000,0.13
2015-01-26,0.13,0.13,0.13,0.13,000,0.13
2015-01-27,0.13,0.13,0.13,0.13,000,0.13
2015-01-28,0.13,0.13,0.13,0.13,10000,0.13
2015-01-29,0.13,0.13,0.13,0.13,000,0.13
2015-01-30,0.13,0.13,0.13,0.13,000,0.13
2015-02-02,0.13,0.13,0.13,0.13,000,0.13
2015-02-03,0.13,0.13,0.13,0.13,000,0.13
2015-02-04,0.135,0.135,0.135,0.135,496900,0.135
2015-02-05,0.135,0.135,0.135,0.135,400,0.135
2015-02-06,0.135,0.135,0.135,0.135,000,0.135
2015-02-09,0.135,0.135,0.135,0.135,000,0.135
2015-02-10,0.135,0.135,0.13,0.13,20200,0.13
2015-02-11,0.13,0.13,0.13,0.13,000,0.13
2015-02-12,0.115,0.115,0.115,0.115,54000,0.115
2015-02-13,0.115,0.115,0.115,0.115,000,0.115
2015-02-16,0.115,0.115,0.115,0.115,000,0.115
2015-02-17,0.115,0.115,0.115,0.115,000,0.115
2015-02-18,0.115,0.115,0.115,0.115,000,0.115
2015-02-19,0.115,0.115,0.115,0.115,000,0.115
2015-02-20,0.12,0.12,0.12,0.12,45000,0.12
2015-02-23,0.12,0.12,0.12,0.12,000,0.12
2015-02-24,0.12,0.12,0.12,0.12,000,0.12
2015-02-25,0.12,0.12,0.12,0.12,000,0.12
2015-02-26,0.13,0.13,0.13,0.13,38000,0.13
2015-02-27,0.13,0.13,0.13,0.13,33300,0.13
2015-03-02,0.13,0.13,0.125,0.125,200000,0.125
2015-03-03,0.125,0.125,0.125,0.125,1300,0.125
2015-03-04,0.125,0.125,0.12,0.12,16300,0.12
2015-03-05,0.12,0.12,0.12,0.12,135300,0.12
2015-03-06,0.125,0.14,0.125,0.14,70700,0.14
2015-03-09,0.14,0.14,0.135,0.135,255900,0.135
