Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.19,0.19,0.19,0.19,000,0.19
2015-01-02,0.19,0.19,0.19,0.19,000,0.19
2015-01-05,0.19,0.19,0.19,0.19,000,0.19
2015-01-06,0.19,0.19,0.19,0.19,000,0.19
2015-01-07,0.19,0.19,0.19,0.19,000,0.19
2015-01-08,0.19,0.19,0.19,0.19,000,0.19
2015-01-09,0.19,0.19,0.19,0.19,000,0.19
2015-01-12,0.19,0.19,0.19,0.19,000,0.19
2015-01-13,0.19,0.19,0.19,0.19,000,0.19
2015-01-14,0.19,0.19,0.19,0.19,000,0.19
2015-01-15,0.19,0.19,0.19,0.19,000,0.19
2015-01-16,0.19,0.19,0.19,0.19,000,0.19
2015-01-19,0.19,0.19,0.19,0.19,000,0.19
2015-01-20,0.19,0.19,0.19,0.19,000,0.19
2015-01-21,0.19,0.19,0.19,0.19,000,0.19
2015-01-22,0.19,0.19,0.19,0.19,000,0.19
2015-01-23,0.19,0.19,0.19,0.19,000,0.19
2015-01-26,0.19,0.19,0.19,0.19,000,0.19
2015-01-27,0.20,0.20,0.20,0.20,45000,0.20
2015-01-28,0.20,0.20,0.20,0.20,000,0.20
2015-01-29,0.20,0.20,0.20,0.20,000,0.20
2015-01-30,0.20,0.20,0.20,0.20,000,0.20
2015-02-02,0.20,0.20,0.20,0.20,000,0.20
2015-02-03,0.21,0.22,0.21,0.22,29500,0.22
2015-02-04,0.22,0.22,0.22,0.22,000,0.22
2015-02-05,0.22,0.22,0.22,0.22,000,0.22
2015-02-06,0.22,0.22,0.22,0.22,000,0.22
2015-02-09,0.22,0.22,0.22,0.22,000,0.22
2015-02-10,0.22,0.22,0.22,0.22,000,0.22
2015-02-11,0.22,0.22,0.22,0.22,000,0.22
2015-02-12,0.23,0.23,0.22,0.22,39500,0.22
2015-02-13,0.22,0.23,0.22,0.23,40900,0.23
2015-02-16,0.23,0.23,0.23,0.23,000,0.23
2015-02-17,0.23,0.23,0.23,0.23,000,0.23
2015-02-18,0.23,0.23,0.23,0.23,000,0.23
2015-02-19,0.23,0.23,0.23,0.23,000,0.23
2015-02-20,0.23,0.23,0.23,0.23,000,0.23
2015-02-23,0.23,0.23,0.23,0.23,000,0.23
2015-02-24,0.21,0.21,0.21,0.21,2000,0.21
2015-02-25,0.21,0.21,0.21,0.21,45000,0.21
2015-02-26,0.21,0.21,0.21,0.21,000,0.21
2015-02-27,0.20,0.20,0.20,0.20,5000,0.20
2015-03-02,0.20,0.20,0.20,0.20,000,0.20
2015-03-03,0.20,0.20,0.20,0.20,000,0.20
2015-03-04,0.20,0.20,0.20,0.20,000,0.20
2015-03-05,0.21,0.21,0.21,0.21,7900,0.21
2015-03-06,0.21,0.21,0.21,0.21,000,0.21
2015-03-09,0.21,0.21,0.21,0.21,000,0.21
2015-03-10,0.21,0.21,0.21,0.21,000,0.21
2015-03-11,0.21,0.21,0.21,0.21,000,0.21
2015-03-12,0.20,0.20,0.20,0.20,350000,0.20
2015-03-13,0.20,0.20,0.20,0.20,000,0.20
2015-03-16,0.20,0.20,0.20,0.20,17000,0.20
2015-03-17,0.20,0.20,0.20,0.20,000,0.20
2015-03-18,0.20,0.20,0.20,0.20,000,0.20
2015-03-19,0.22,0.23,0.22,0.23,37600,0.23
2015-03-20,0.22,0.22,0.22,0.22,50800,0.22
2015-03-23,0.23,0.25,0.23,0.25,44800,0.25
2015-03-24,0.25,0.25,0.25,0.25,000,0.25
2015-03-25,0.25,0.25,0.25,0.25,000,0.25
2015-03-26,0.275,0.36,0.275,0.30,1070900,0.30
2015-03-27,0.27,0.28,0.265,0.275,244000,0.275
2015-03-30,0.275,0.28,0.275,0.28,73600,0.28
2015-03-31,0.28,0.28,0.27,0.27,39300,0.27
2015-04-01,0.26,0.27,0.25,0.27,225500,0.27
2015-04-02,0.27,0.30,0.27,0.30,59500,0.30
2015-04-03,0.30,0.30,0.30,0.30,000,0.30
2015-04-06,0.30,0.30,0.30,0.30,000,0.30
2015-04-07,0.28,0.28,0.28,0.28,46700,0.28
2015-04-08,0.28,0.285,0.28,0.28,155100,0.28
2015-04-09,0.28,0.28,0.28,0.28,000,0.28
2015-04-10,0.28,0.285,0.28,0.28,72000,0.28
2015-04-13,0.285,0.30,0.285,0.30,242200,0.30
2015-04-14,0.30,0.30,0.30,0.30,40000,0.30
2015-04-15,0.28,0.30,0.28,0.30,130900,0.30
2015-04-16,0.31,0.32,0.31,0.32,20000,0.32
2015-04-17,0.32,0.34,0.305,0.32,199700,0.32
2015-04-20,0.32,0.32,0.28,0.28,145000,0.28
2015-04-21,0.29,0.30,0.29,0.30,17200,0.30
2015-04-22,0.30,0.30,0.30,0.30,10000,0.30
2015-04-23,0.30,0.30,0.30,0.30,7300,0.30
2015-04-24,0.30,0.30,0.30,0.30,13000,0.30
2015-04-27,0.32,0.32,0.30,0.31,116700,0.31
2015-04-28,0.31,0.31,0.31,0.31,000,0.31
2015-04-29,0.31,0.31,0.31,0.31,000,0.31
2015-04-30,0.33,0.35,0.33,0.34,146500,0.34
2015-05-01,0.32,0.35,0.32,0.35,71500,0.35
2015-05-04,0.35,0.35,0.34,0.34,55500,0.34
2015-05-05,0.33,0.35,0.33,0.35,15000,0.35
2015-05-06,0.34,0.34,0.34,0.34,10000,0.34
2015-05-07,0.34,0.34,0.34,0.34,15000,0.34
2015-05-08,0.34,0.34,0.325,0.325,35000,0.325
2015-05-11,0.325,0.33,0.325,0.33,40000,0.33
2015-05-12,0.33,0.33,0.33,0.33,25000,0.33
2015-05-13,0.33,0.33,0.315,0.315,43300,0.315
2015-05-14,0.32,0.32,0.305,0.315,145800,0.315
2015-05-15,0.37,0.37,0.32,0.32,40400,0.32
2015-05-18,0.32,0.34,0.32,0.34,35000,0.34
2015-05-19,0.35,0.36,0.35,0.35,123400,0.35
2015-05-20,0.35,0.36,0.33,0.34,48000,0.34
2015-05-21,0.335,0.335,0.335,0.335,2500,0.335
2015-05-22,0.35,0.35,0.35,0.35,55000,0.35
2015-05-25,0.335,0.335,0.33,0.33,28400,0.33
2015-05-26,0.32,0.345,0.32,0.345,103900,0.345
2015-05-27,0.345,0.345,0.345,0.345,000,0.345
2015-05-28,0.325,0.325,0.325,0.325,19700,0.325
2015-05-29,0.34,0.34,0.325,0.325,46500,0.325
2015-06-01,0.33,0.33,0.32,0.32,101100,0.32
2015-06-02,0.315,0.315,0.31,0.31,112100,0.31
2015-06-03,0.32,0.335,0.32,0.335,56300,0.335
2015-06-04,0.33,0.34,0.33,0.34,98600,0.34
2015-06-05,0.34,0.34,0.34,0.34,000,0.34
2015-06-08,0.34,0.34,0.34,0.34,000,0.34
2015-06-09,0.34,0.34,0.34,0.34,000,0.34
2015-06-10,0.34,0.34,0.34,0.34,000,0.34
2015-06-11,0.34,0.34,0.34,0.34,000,0.34
2015-06-12,0.34,0.34,0.34,0.34,000,0.34
2015-06-15,0.34,0.34,0.34,0.34,000,0.34
2015-06-16,0.34,0.34,0.34,0.34,000,0.34
2015-06-17,0.34,0.34,0.34,0.34,000,0.34
2015-06-18,0.34,0.34,0.34,0.34,000,0.34
2015-06-19,0.34,0.34,0.34,0.34,000,0.34
2015-06-22,0.34,0.34,0.34,0.34,000,0.34
