Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.004,0.004,0.004,0.004,000,0.132
2015-01-02,0.004,0.004,0.004,0.004,000,0.132
2015-01-05,0.004,0.004,0.004,0.004,000,0.132
2015-01-06,0.004,0.004,0.004,0.004,100,0.132
2015-01-07,0.004,0.004,0.004,0.004,6300,0.132
2015-01-08,0.004,0.004,0.004,0.004,000,0.132
2015-01-09,0.004,0.004,0.004,0.004,000,0.132
2015-01-12,0.004,0.004,0.004,0.004,000,0.132
2015-01-13,0.004,0.004,0.004,0.004,14500,0.132
2015-01-14,0.004,0.004,0.004,0.004,000,0.132
2015-01-15,0.004,0.004,0.004,0.004,000,0.132
2015-01-16,0.004,0.004,0.004,0.004,000,0.132
2015-01-19,0.004,0.004,0.004,0.004,000,0.132
2015-01-20,0.004,0.004,0.004,0.004,000,0.132
2015-01-21,0.004,0.004,0.004,0.004,100,0.132
2015-01-22,0.005,0.005,0.005,0.005,7500,0.165
2015-01-23,0.005,0.005,0.004,0.004,16900,0.132
2015-01-26,0.004,0.004,0.004,0.004,000,0.132
2015-01-27,0.004,0.004,0.004,0.004,47200,0.132
2015-01-28,0.004,0.004,0.003,0.003,11900,0.099
2015-01-29,0.099,0.099,0.099,0.099,1800,3.267
2015-01-30,0.099,0.099,0.099,0.099,34000,3.267
2015-02-02,0.099,0.099,0.099,0.099,600,3.267
2015-02-03,0.099,0.099,0.099,0.099,000,3.267
2015-02-04,0.099,0.099,0.099,0.099,000,3.267
2015-02-05,0.099,0.099,0.099,0.099,000,3.267
2015-02-06,0.099,0.099,0.099,0.099,000,3.267
2015-02-09,0.099,0.099,0.099,0.099,000,3.267
2015-02-10,0.099,0.099,0.099,0.099,000,3.267
2015-02-11,0.099,0.099,0.099,0.099,800,3.267
2015-02-12,0.099,0.099,0.099,0.099,000,3.267
2015-02-13,0.099,0.099,0.099,0.099,000,3.267
2015-02-16,0.099,0.099,0.099,0.099,000,3.267
2015-02-17,0.132,0.165,0.132,0.165,4800,5.445
2015-02-18,0.165,0.165,0.165,0.165,000,5.445
2015-02-19,0.165,0.165,0.165,0.165,000,5.445
2015-02-20,0.165,0.165,0.165,0.165,000,5.445
2015-02-23,0.165,0.165,0.165,0.165,000,5.445
2015-02-24,0.165,0.165,0.165,0.165,000,5.445
2015-02-25,0.165,0.165,0.165,0.165,000,5.445
2015-02-26,0.132,0.132,0.132,0.132,10200,4.356
2015-02-27,0.132,0.132,0.132,0.132,000,4.356
