Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.44,0.44,0.44,0.44,000,0.42652
2015-01-02,0.44,0.44,0.44,0.44,10000,0.42652
2015-01-05,0.44,0.44,0.435,0.44,60000,0.42652
2015-01-06,0.435,0.435,0.425,0.425,223800,0.41198
2015-01-07,0.425,0.425,0.425,0.425,000,0.41198
2015-01-08,0.43,0.43,0.43,0.43,19400,0.41683
2015-01-09,0.43,0.43,0.41,0.43,510000,0.41683
2015-01-12,0.43,0.43,0.43,0.43,000,0.41683
2015-01-13,0.44,0.44,0.435,0.44,156700,0.42652
2015-01-14,0.45,0.45,0.44,0.44,147500,0.42652
2015-01-15,0.44,0.44,0.44,0.44,50200,0.42652
2015-01-16,0.435,0.44,0.43,0.44,150900,0.42652
2015-01-19,0.44,0.44,0.44,0.44,62000,0.42652
2015-01-20,0.44,0.44,0.435,0.435,36200,0.42168
2015-01-21,0.435,0.435,0.435,0.435,000,0.42168
2015-01-22,0.44,0.445,0.44,0.44,145000,0.42652
2015-01-23,0.44,0.445,0.44,0.44,150000,0.42652
2015-01-26,0.44,0.44,0.44,0.44,000,0.42652
2015-01-27,0.44,0.44,0.43,0.43,243500,0.41683
2015-01-28,0.425,0.425,0.425,0.425,647700,0.41198
2015-01-29,0.425,0.44,0.425,0.43,173400,0.41683
2015-01-30,0.435,0.435,0.435,0.435,52000,0.42168
2015-02-02,0.44,0.44,0.43,0.43,242100,0.41683
2015-02-03,0.44,0.44,0.435,0.44,133600,0.42652
2015-02-04,0.44,0.445,0.44,0.44,140800,0.42652
2015-02-05,0.44,0.45,0.44,0.45,240000,0.43622
2015-02-06,0.445,0.455,0.445,0.455,277500,0.44107
2015-02-09,0.455,0.455,0.45,0.45,98300,0.43622
2015-02-10,0.45,0.455,0.45,0.45,124000,0.43622
2015-02-11,0.45,0.455,0.445,0.445,36800,0.43137
2015-02-12,0.455,0.46,0.455,0.46,78000,0.44591
2015-02-13,0.44,0.44,0.44,0.44,24000,0.42652
2015-02-16,0.455,0.46,0.455,0.455,27000,0.44107
2015-02-17,0.46,0.46,0.455,0.455,157400,0.44107
2015-02-18,0.46,0.46,0.455,0.46,793200,0.44591
2015-02-19,0.465,0.47,0.46,0.47,386400,0.45561
2015-02-20,0.47,0.47,0.465,0.47,246700,0.45561
2015-02-23,0.48,0.485,0.46,0.485,150800,0.47015
2015-02-24,0.47,0.47,0.46,0.465,37000,0.45076
2015-02-25,0.46,0.46,0.46,0.46,42000,0.44591
2015-02-26,0.465,0.465,0.465,0.465,720000,0.45076
2015-02-27,0.465,0.485,0.46,0.48,168300,0.4653
2015-03-02,0.485,0.485,0.46,0.47,41500,0.45561
2015-03-03,0.47,0.47,0.47,0.47,17700,0.45561
2015-03-04,0.47,0.47,0.47,0.47,9000,0.45561
2015-03-05,0.47,0.47,0.45,0.45,350500,0.43622
2015-03-06,0.45,0.45,0.45,0.45,000,0.43622
2015-03-09,0.45,0.45,0.44,0.44,94500,0.42652
2015-03-10,0.45,0.45,0.45,0.45,2500,0.43622
2015-03-11,0.455,0.455,0.45,0.45,12200,0.43622
2015-03-12,0.45,0.46,0.45,0.45,144800,0.43622
2015-03-13,0.45,0.45,0.45,0.45,000,0.43622
2015-03-16,0.45,0.46,0.45,0.46,54000,0.44591
2015-03-17,0.46,0.46,0.455,0.46,62000,0.44591
2015-03-18,0.465,0.465,0.46,0.46,113100,0.44591
2015-03-19,0.46,0.46,0.46,0.46,000,0.44591
2015-03-20,0.465,0.47,0.45,0.45,248600,0.43622
2015-03-23,0.48,0.48,0.48,0.48,20000,0.4653
2015-03-24,0.48,0.49,0.48,0.49,117300,0.47499
2015-03-25,0.48,0.49,0.47,0.49,3350400,0.47499
2015-03-26,0.49,0.49,0.49,0.49,000,0.47499
2015-03-27,0.475,0.485,0.47,0.485,270500,0.47015
2015-03-30,0.475,0.475,0.475,0.475,10000,0.46045
2015-03-31,0.475,0.475,0.47,0.47,52700,0.45561
2015-04-01,0.47,0.47,0.45,0.46,333600,0.44591
2015-04-02,0.46,0.46,0.455,0.46,109700,0.44591
2015-04-03,0.46,0.46,0.46,0.46,000,0.44591
2015-04-06,0.46,0.46,0.46,0.46,000,0.44591
2015-04-07,0.475,0.475,0.465,0.465,97800,0.45076
2015-04-08,0.475,0.48,0.475,0.48,27200,0.4653
2015-04-09,0.475,0.475,0.465,0.475,89700,0.46045
2015-04-10,0.475,0.475,0.475,0.475,148300,0.46045
2015-04-13,0.475,0.475,0.47,0.475,127700,0.46045
2015-04-14,0.475,0.475,0.47,0.47,13600,0.45561
2015-04-15,0.47,0.475,0.465,0.47,88200,0.45561
2015-04-16,0.47,0.47,0.465,0.465,68800,0.45076
2015-04-17,0.47,0.47,0.47,0.47,123000,0.45561
2015-04-20,0.47,0.47,0.465,0.465,80900,0.45076
2015-04-21,0.465,0.465,0.465,0.465,50000,0.45076
2015-04-22,0.465,0.47,0.465,0.47,117100,0.45561
2015-04-23,0.465,0.47,0.465,0.465,3000,0.45076
2015-04-24,0.47,0.47,0.465,0.465,38000,0.45076
2015-04-27,0.47,0.47,0.47,0.47,190000,0.45561
2015-04-28,0.47,0.47,0.47,0.47,370000,0.45561
2015-04-29,0.465,0.47,0.465,0.47,834700,0.45561
2015-04-30,0.465,0.47,0.465,0.465,57200,0.45076
2015-05-01,0.465,0.47,0.465,0.47,36700,0.45561
2015-05-04,0.465,0.465,0.465,0.465,1100,0.45076
2015-05-05,0.465,0.465,0.46,0.46,20800,0.44591
2015-05-06,0.46,0.46,0.46,0.46,000,0.44591
2015-05-07,0.46,0.46,0.455,0.455,245000,0.44107
2015-05-08,0.47,0.47,0.465,0.465,235000,0.45076
2015-05-11,0.47,0.47,0.47,0.47,225000,0.45561
2015-05-12,0.47,0.47,0.455,0.455,11600,0.44107
2015-05-13,0.47,0.47,0.47,0.47,2000,0.45561
2015-05-14,0.465,0.465,0.465,0.465,1000,0.45076
2015-05-15,0.46,0.48,0.46,0.48,421700,0.4653
2015-05-18,0.475,0.48,0.47,0.47,68600,0.45561
2015-05-19,0.47,0.47,0.47,0.47,43100,0.45561
2015-05-20,0.47,0.47,0.47,0.47,146000,0.45561
2015-05-21,0.47,0.47,0.465,0.465,389900,0.45076
2015-05-22,0.475,0.475,0.465,0.47,123500,0.45561
2015-05-25,0.47,0.475,0.47,0.47,156200,0.45561
2015-05-26,0.47,0.47,0.455,0.455,109800,0.44107
2015-05-27,0.46,0.46,0.46,0.46,21600,0.44591
2015-05-28,0.47,0.475,0.465,0.475,276000,0.46045
2015-05-29,0.475,0.475,0.465,0.465,39500,0.45076
2015-06-01,0.47,0.47,0.47,0.47,30000,0.45561
2015-06-02,0.475,0.475,0.475,0.475,93000,0.46045
2015-06-03,0.475,0.475,0.475,0.475,75000,0.46045
2015-06-04,0.475,0.475,0.47,0.47,106000,0.45561
2015-06-05,0.465,0.47,0.455,0.455,318200,0.44107
2015-06-08,0.455,0.455,0.455,0.455,000,0.44107
2015-06-09,0.46,0.46,0.46,0.46,58100,0.44591
2015-06-10,0.465,0.47,0.465,0.47,7100,0.45561
2015-06-11,0.47,0.47,0.47,0.47,34700,0.45561
2015-06-12,0.465,0.465,0.46,0.46,88000,0.44591
2015-06-15,0.46,0.46,0.455,0.46,114700,0.44591
2015-06-16,0.455,0.455,0.45,0.45,125000,0.43622
2015-06-17,0.45,0.455,0.45,0.455,165000,0.44107
2015-06-18,0.46,0.47,0.46,0.47,210000,0.45561
2015-06-19,0.465,0.465,0.465,0.465,92000,0.45076
2015-06-22,0.465,0.465,0.465,0.465,50000,0.45076
2015-06-23,0.465,0.465,0.465,0.465,50500,0.45076
2015-06-24,0.465,0.465,0.465,0.465,77500,0.45076
2015-06-25,0.465,0.465,0.46,0.46,44700,0.44591
2015-06-26,0.46,0.465,0.455,0.465,38200,0.45076
2015-06-29,0.46,0.465,0.455,0.46,40800,0.44591
2015-06-30,0.46,0.465,0.46,0.465,80700,0.45076
2015-07-01,0.465,0.47,0.46,0.46,172400,0.44591
2015-07-02,0.46,0.47,0.455,0.47,75000,0.45561
2015-07-03,0.47,0.47,0.47,0.47,000,0.45561
2015-07-06,0.47,0.47,0.47,0.47,000,0.45561
2015-07-07,0.465,0.465,0.465,0.465,192800,0.45076
2015-07-08,0.465,0.465,0.455,0.455,149000,0.44107
2015-07-09,0.45,0.45,0.445,0.445,132100,0.43137
2015-07-10,0.445,0.445,0.445,0.445,185700,0.43137
2015-07-13,0.465,0.465,0.45,0.46,70000,0.44591
2015-07-14,0.46,0.46,0.45,0.45,12200,0.43622
2015-07-15,0.45,0.46,0.45,0.45,95900,0.43622
2015-07-16,0.455,0.455,0.45,0.45,170000,0.43622
2015-07-17,0.45,0.455,0.45,0.455,38500,0.44107
2015-07-20,0.455,0.47,0.455,0.47,655900,0.45561
2015-07-21,0.47,0.475,0.465,0.475,106400,0.46045
2015-07-22,0.48,0.49,0.48,0.48,99700,0.4653
2015-07-23,0.485,0.485,0.485,0.485,22000,0.47015
2015-07-24,0.48,0.49,0.48,0.48,82400,0.4653
2015-07-27,0.49,0.49,0.49,0.49,50000,0.47499
2015-07-28,0.48,0.485,0.47,0.47,102700,0.45561
2015-07-29,0.47,0.47,0.47,0.47,000,0.45561
2015-07-30,0.485,0.505,0.475,0.475,76900,0.46045
2015-07-31,0.48,0.49,0.48,0.49,50000,0.47499
2015-08-03,0.49,0.49,0.49,0.49,72000,0.47499
2015-08-04,0.485,0.49,0.48,0.49,75000,0.47499
2015-08-05,0.485,0.485,0.485,0.485,35000,0.47015
2015-08-06,0.475,0.475,0.47,0.475,63000,0.46045
2015-08-07,0.47,0.47,0.47,0.47,65300,0.45561
2015-08-10,0.47,0.47,0.46,0.46,31400,0.44591
2015-08-11,0.46,0.46,0.46,0.46,000,0.44591
2015-08-12,0.46,0.46,0.46,0.46,000,0.44591
