Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,1.35,1.35,1.335,1.35,2000,1.25
2015-04-23,1.30,1.30,1.29,1.29,67000,1.194
2015-04-24,1.29,1.295,1.29,1.29,181000,1.194
2015-04-27,1.29,1.31,1.29,1.29,155800,1.194
2015-04-28,1.29,1.29,1.29,1.29,000,1.194
2015-04-29,1.29,1.29,1.29,1.29,46000,1.194
2015-04-30,1.29,1.29,1.28,1.29,24900,1.194
2015-05-01,1.28,1.31,1.28,1.31,34600,1.213
2015-05-04,1.31,1.31,1.31,1.31,000,1.213
2015-05-05,1.29,1.29,1.285,1.285,65500,1.189
2015-05-06,1.29,1.29,1.28,1.285,60500,1.189
2015-05-07,1.28,1.285,1.26,1.26,59500,1.166
2015-05-08,1.255,1.255,1.25,1.25,137200,1.157
2015-05-11,1.26,1.26,1.25,1.25,40000,1.157
2015-05-12,1.25,1.25,1.25,1.25,10000,1.157
2015-05-13,1.26,1.26,1.25,1.25,46600,1.157
2015-05-14,1.25,1.25,1.25,1.25,000,1.157
2015-05-15,1.25,1.25,1.25,1.25,000,1.157
2015-05-18,1.24,1.25,1.24,1.25,8500,1.157
2015-05-19,1.25,1.25,1.25,1.25,000,1.157
2015-05-20,1.25,1.25,1.25,1.25,000,1.157
2015-05-21,1.22,1.25,1.20,1.25,47200,1.157
2015-05-22,1.20,1.25,1.20,1.25,30200,1.157
2015-05-25,1.25,1.25,1.23,1.23,83000,1.139
2015-05-26,1.22,1.22,1.22,1.22,30100,1.129
2015-05-27,1.22,1.22,1.22,1.22,4900,1.129
2015-05-28,1.21,1.21,1.16,1.20,47500,1.111
2015-05-29,1.20,1.20,1.20,1.20,000,1.111
2015-06-01,1.20,1.22,1.20,1.22,23200,1.129
2015-06-02,1.23,1.23,1.23,1.23,3400,1.139
2015-06-03,1.23,1.25,1.22,1.25,30300,1.157
2015-06-04,1.22,1.22,1.20,1.20,20000,1.111
2015-06-05,1.20,1.20,1.20,1.20,5800,1.111
2015-06-08,1.20,1.20,1.20,1.20,000,1.111
2015-06-09,1.20,1.20,1.20,1.20,4000,1.111
2015-06-10,1.20,1.20,1.18,1.18,16400,1.092
2015-06-11,1.18,1.18,1.17,1.18,32500,1.092
2015-06-12,1.18,1.18,1.18,1.18,000,1.092
2015-06-15,1.17,1.17,1.17,1.17,10000,1.083
2015-06-16,1.18,1.18,1.17,1.17,121100,1.083
2015-06-17,1.18,1.19,1.18,1.18,15000,1.092
2015-06-18,1.18,1.19,1.18,1.19,10000,1.101
2015-06-19,1.19,1.19,1.19,1.19,9600,1.101
2015-06-22,1.19,1.19,1.19,1.19,300,1.101
2015-06-23,1.20,1.20,1.19,1.19,10000,1.101
2015-06-24,1.17,1.19,1.17,1.19,8700,1.101
2015-06-25,1.19,1.19,1.17,1.17,5000,1.083
2015-06-26,1.17,1.17,1.17,1.17,000,1.11
2015-06-29,1.17,1.17,1.17,1.17,000,1.11
2015-06-30,1.17,1.17,1.17,1.17,000,1.11
2015-07-01,1.17,1.17,1.17,1.17,000,1.11
2015-07-02,1.17,1.17,1.17,1.17,000,1.11
2015-07-03,1.13,1.18,1.13,1.18,6000,1.119
2015-07-06,1.16,1.16,1.16,1.16,30000,1.10
2015-07-07,1.17,1.19,1.17,1.19,14000,1.129
2015-07-08,1.18,1.19,1.18,1.19,2500,1.129
2015-07-09,1.18,1.18,1.18,1.18,1000,1.119
2015-07-10,1.18,1.19,1.18,1.19,26300,1.129
2015-07-13,1.14,1.14,1.14,1.14,1000,1.081
2015-07-14,1.17,1.17,1.17,1.17,1000,1.11
2015-07-15,1.15,1.175,1.15,1.175,28500,1.114
2015-07-16,1.15,1.15,1.15,1.15,1000,1.091
2015-07-17,1.165,1.19,1.135,1.135,45000,1.076
2015-07-20,1.16,1.16,1.16,1.16,12000,1.10
2015-07-21,1.16,1.16,1.16,1.16,35000,1.10
2015-07-22,1.15,1.15,1.14,1.14,42000,1.081
2015-07-23,1.14,1.15,1.14,1.15,16000,1.091
2015-07-24,1.14,1.14,1.14,1.14,1000,1.081
2015-07-27,1.14,1.14,1.14,1.14,11000,1.081
2015-07-28,1.14,1.14,1.14,1.14,10500,1.081
2015-07-29,1.14,1.16,1.14,1.16,45500,1.10
2015-07-30,1.16,1.16,1.16,1.16,25600,1.10
2015-07-31,1.15,1.15,1.12,1.14,12500,1.081
2015-08-03,1.14,1.16,1.14,1.16,22800,1.10
2015-08-04,1.16,1.16,1.15,1.155,49100,1.095
2015-08-05,1.155,1.16,1.15,1.16,55500,1.10
2015-08-06,1.15,1.15,1.135,1.14,39000,1.081
2015-08-07,1.14,1.14,1.12,1.12,44500,1.062
2015-08-10,1.105,1.125,1.10,1.125,23000,1.067
2015-08-11,1.125,1.125,1.125,1.125,000,1.067
2015-08-12,1.12,1.12,1.12,1.12,3000,1.062
2015-08-13,1.11,1.11,1.11,1.11,17500,1.053
2015-08-14,1.11,1.11,1.11,1.11,000,1.053
2015-08-17,1.11,1.11,1.11,1.11,20500,1.053
2015-08-18,1.11,1.11,1.11,1.11,31900,1.053
2015-08-19,1.11,1.11,1.11,1.11,000,1.053
2015-08-20,1.11,1.11,1.10,1.11,20800,1.053
2015-08-21,1.08,1.08,1.08,1.08,6000,1.024
2015-08-24,1.02,1.05,1.02,1.035,23300,0.982
2015-08-25,1.03,1.05,1.00,1.05,69500,0.996
2015-08-26,1.02,1.13,1.02,1.11,133500,1.053
2015-08-27,1.11,1.11,1.07,1.07,6200,1.015
2015-08-28,1.10,1.10,1.06,1.06,1606700,1.005
2015-08-31,1.06,1.06,1.06,1.06,000,1.005
2015-09-01,1.06,1.06,1.06,1.06,000,1.005
2015-09-02,1.025,1.025,1.02,1.02,21200,0.967
2015-09-03,1.05,1.05,1.05,1.05,22200,0.996
2015-09-04,1.01,1.01,1.00,1.01,26000,0.958
2015-09-07,1.01,1.01,1.01,1.01,000,0.958
2015-09-08,1.04,1.05,1.04,1.05,9700,0.996
2015-09-09,1.01,1.05,1.01,1.05,20200,0.996
2015-09-10,1.05,1.05,1.05,1.05,4700,0.996
2015-09-11,1.065,1.085,1.065,1.07,74700,1.015
2015-09-14,1.065,1.065,1.065,1.065,23500,1.01
2015-09-15,1.065,1.065,1.065,1.065,20000,1.01
2015-09-16,1.05,1.065,1.05,1.065,30000,1.01
2015-09-17,1.065,1.065,1.065,1.065,29000,1.01
2015-09-18,1.07,1.09,1.065,1.09,26300,1.034
2015-09-21,1.10,1.10,1.10,1.10,10000,1.043
2015-09-22,1.10,1.10,1.10,1.10,4000,1.043
2015-09-23,1.10,1.10,1.10,1.10,13000,1.043
2015-09-24,1.10,1.10,1.10,1.10,51000,1.043
2015-09-25,1.10,1.10,1.10,1.10,13000,1.043
2015-09-28,1.10,1.10,1.10,1.10,000,1.071
2015-09-29,1.08,1.08,1.08,1.08,8000,1.051
2015-09-30,1.08,1.08,1.08,1.08,3800,1.051
2015-10-01,1.08,1.08,1.08,1.08,000,1.051
2015-10-02,1.08,1.08,1.08,1.08,000,1.051
2015-10-05,1.08,1.08,1.08,1.08,000,1.051
2015-10-06,1.08,1.08,1.08,1.08,000,1.051
2015-10-07,1.08,1.08,1.08,1.08,000,1.051
2015-10-08,1.10,1.10,1.10,1.10,2200,1.071
2015-10-09,1.10,1.10,1.10,1.10,1118800,1.071
2015-10-12,1.10,1.10,1.10,1.10,68000,1.071
2015-10-13,1.115,1.115,1.10,1.10,51200,1.071
2015-10-14,1.10,1.10,1.10,1.10,304500,1.071
2015-10-15,1.10,1.10,1.08,1.08,126700,1.051
2015-10-16,1.10,1.10,1.08,1.08,35400,1.051
2015-10-19,1.08,1.08,1.08,1.08,000,1.051
2015-10-20,1.08,1.08,1.08,1.08,000,1.051
2015-10-21,1.07,1.07,1.07,1.07,7800,1.041
2015-10-22,1.05,1.06,1.05,1.055,64900,1.027
2015-10-23,1.06,1.06,1.01,1.05,90000,1.022
2015-10-26,1.05,1.05,1.05,1.05,000,1.022
2015-10-27,1.05,1.05,1.01,1.01,13000,0.983
2015-10-28,1.03,1.03,1.00,1.02,60000,0.993
2015-10-29,1.03,1.03,1.025,1.025,25000,0.998
2015-10-30,1.05,1.05,1.05,1.05,40000,1.022
2015-11-02,1.05,1.05,1.05,1.05,15000,1.022
2015-11-03,1.05,1.05,1.05,1.05,000,1.022
2015-11-04,1.03,1.03,1.02,1.02,35600,0.993
2015-11-05,1.06,1.10,1.06,1.07,110700,1.041
2015-11-06,1.09,1.11,1.09,1.10,200000,1.071
2015-11-09,1.10,1.10,1.10,1.10,000,1.071
2015-11-10,1.07,1.10,1.07,1.10,13600,1.071
2015-11-11,1.07,1.10,1.07,1.10,37000,1.071
2015-11-12,1.10,1.10,1.10,1.10,000,1.071
2015-11-13,1.10,1.10,1.10,1.10,000,1.071
2015-11-16,1.06,1.06,1.055,1.055,20400,1.027
2015-11-17,1.065,1.065,1.065,1.065,5000,1.037
2015-11-18,1.065,1.065,1.065,1.065,10000,1.037
2015-11-19,1.07,1.07,1.035,1.04,122000,1.012
2015-11-20,1.06,1.08,1.06,1.08,41000,1.051
2015-11-23,1.085,1.10,1.085,1.10,83100,1.071
2015-11-24,1.10,1.10,1.095,1.10,135700,1.071
2015-11-25,1.12,1.12,1.10,1.10,24400,1.071
2015-11-26,1.10,1.10,1.10,1.10,20000,1.071
2015-11-27,1.10,1.10,1.10,1.10,16900,1.071
2015-11-30,1.11,1.12,1.11,1.12,122500,1.09
2015-12-01,1.12,1.12,1.12,1.12,42000,1.09
2015-12-02,1.12,1.12,1.12,1.12,275000,1.09
2015-12-03,1.12,1.12,1.12,1.12,10000,1.09
2015-12-04,1.12,1.125,1.12,1.125,80000,1.095
2015-12-07,1.12,1.13,1.12,1.13,22000,1.10
2015-12-08,1.135,1.14,1.13,1.14,39000,1.11
2015-12-09,1.18,1.185,1.12,1.12,765000,1.09
2015-12-10,1.09,1.09,1.04,1.04,14600,1.012
2015-12-11,1.04,1.04,1.04,1.04,000,1.012
2015-12-14,1.04,1.04,1.04,1.04,000,1.012
2015-12-15,1.04,1.04,1.04,1.04,000,1.012
2015-12-16,1.04,1.04,1.04,1.04,000,1.012
2015-12-17,1.04,1.04,1.04,1.04,12000,1.012
2015-12-18,1.04,1.04,1.04,1.04,000,1.012
2015-12-21,1.04,1.04,1.04,1.04,000,1.012
2015-12-22,1.04,1.04,1.04,1.04,000,1.012
2015-12-23,1.10,1.10,1.10,1.10,17800,1.071
2015-12-24,1.10,1.10,1.10,1.10,000,1.071
2015-12-25,1.10,1.10,1.10,1.10,000,1.071
2015-12-28,1.10,1.10,1.10,1.10,000,1.071
2015-12-29,1.12,1.15,1.12,1.15,22000,1.135
2015-12-30,1.14,1.20,1.14,1.20,16200,1.184
2015-12-31,1.165,1.165,1.165,1.165,10000,1.15
2016-01-01,1.165,1.165,1.165,1.165,000,1.15
2016-01-04,1.165,1.165,1.165,1.165,000,1.15
2016-01-05,1.165,1.165,1.165,1.165,390700,1.15
2016-01-06,1.165,1.165,1.165,1.165,372200,1.15
2016-01-07,1.165,1.165,1.165,1.165,826000,1.15
2016-01-08,1.165,1.165,1.165,1.165,000,1.15
2016-01-11,1.165,1.165,1.165,1.165,000,1.15
2016-01-12,1.165,1.165,1.165,1.165,000,1.15
2016-01-13,1.04,1.06,1.04,1.06,92400,1.046
2016-01-14,1.05,1.06,1.05,1.06,33600,1.046
2016-01-15,1.06,1.06,1.06,1.06,000,1.046
2016-01-18,1.06,1.06,1.06,1.06,000,1.046
2016-01-19,1.06,1.06,1.06,1.06,35000,1.046
2016-01-20,1.06,1.06,1.06,1.06,7400,1.046
2016-01-21,1.06,1.06,1.06,1.06,000,1.046
2016-01-22,1.06,1.06,1.06,1.06,000,1.046
2016-01-25,1.06,1.06,1.06,1.06,000,1.046
2016-01-26,1.06,1.06,1.06,1.06,000,1.046
2016-01-27,1.06,1.06,1.05,1.05,12000,1.036
2016-01-28,1.05,1.05,1.05,1.05,000,1.036
2016-01-29,1.05,1.05,1.05,1.05,000,1.036
2016-02-01,1.07,1.07,1.07,1.07,16000,1.056
2016-02-02,1.07,1.07,1.07,1.07,12000,1.056
2016-02-03,1.07,1.07,1.07,1.07,000,1.056
2016-02-04,1.07,1.07,1.07,1.07,000,1.056
2016-02-05,1.07,1.07,1.07,1.07,000,1.056
2016-02-08,1.07,1.07,1.07,1.07,000,1.056
2016-02-09,1.07,1.07,1.07,1.07,000,1.056
2016-02-10,1.07,1.07,1.07,1.07,000,1.056
2016-02-11,1.07,1.07,1.06,1.06,21300,1.046
2016-02-12,1.05,1.05,1.05,1.05,50000,1.036
2016-02-15,1.04,1.04,1.03,1.03,13300,1.016
2016-02-16,1.03,1.03,1.03,1.03,000,1.016
2016-02-17,1.03,1.03,1.03,1.03,000,1.016
2016-02-18,1.05,1.05,1.04,1.05,40000,1.036
2016-02-19,1.10,1.10,1.10,1.10,9500,1.085
2016-02-22,1.10,1.10,1.075,1.075,9000,1.061
2016-02-23,1.075,1.075,1.075,1.075,000,1.061
2016-02-24,1.075,1.075,1.075,1.075,000,1.061
2016-02-25,1.075,1.075,1.075,1.075,000,1.061
2016-02-26,1.12,1.12,1.12,1.12,49000,1.105
2016-02-29,1.12,1.12,1.12,1.12,1000,1.105
2016-03-01,1.12,1.12,1.12,1.12,000,1.105
2016-03-02,1.12,1.12,1.12,1.12,000,1.105
2016-03-03,1.12,1.12,1.095,1.095,12300,1.08
2016-03-04,1.10,1.10,1.10,1.10,13900,1.085
2016-03-07,1.10,1.10,1.10,1.10,000,1.085
2016-03-08,1.105,1.105,1.10,1.10,15500,1.085
