Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.38,2.38,2.38,2.38,000,2.22
2015-01-02,2.38,2.46,2.32,2.43,135900,2.267
2015-01-05,2.45,2.46,2.38,2.39,91200,2.229
2015-01-06,2.41,2.43,2.38,2.40,134500,2.239
2015-01-07,2.49,2.50,2.40,2.48,166100,2.313
2015-01-08,2.49,2.50,2.41,2.43,87700,2.267
2015-01-09,2.46,2.52,2.46,2.50,69900,2.332
2015-01-12,2.48,2.52,2.46,2.50,83100,2.332
2015-01-13,2.49,2.52,2.42,2.49,127200,2.323
2015-01-14,2.48,2.49,2.41,2.41,112500,2.248
2015-01-15,2.41,2.44,2.33,2.36,297300,2.201
2015-01-16,2.39,2.39,2.29,2.30,228100,2.145
2015-01-19,2.31,2.38,2.31,2.38,74100,2.22
2015-01-20,2.35,2.40,2.35,2.40,23600,2.239
2015-01-21,2.38,2.475,2.38,2.47,124600,2.304
2015-01-22,2.60,2.68,2.55,2.58,836000,2.407
2015-01-23,2.60,2.67,2.60,2.60,657500,2.425
2015-01-26,2.60,2.60,2.60,2.60,000,2.425
2015-01-27,2.65,2.74,2.65,2.69,329200,2.509
2015-01-28,2.69,2.76,2.67,2.74,461800,2.556
2015-01-29,2.74,2.80,2.70,2.77,281200,2.584
2015-01-30,2.79,2.93,2.75,2.91,478900,2.714
2015-02-02,2.89,2.89,2.82,2.86,330100,2.668
2015-02-03,2.85,2.86,2.73,2.76,174900,2.574
2015-02-04,2.77,2.87,2.76,2.85,343100,2.658
2015-02-05,2.85,2.86,2.80,2.85,248500,2.658
2015-02-06,2.84,2.85,2.815,2.83,88600,2.64
2015-02-09,2.82,2.86,2.81,2.85,72100,2.658
2015-02-10,2.85,2.86,2.83,2.85,127800,2.658
2015-02-11,2.85,2.90,2.83,2.85,227200,2.658
2015-02-12,2.82,2.85,2.795,2.84,388400,2.649
2015-02-13,2.85,2.85,2.79,2.83,234300,2.64
2015-02-16,2.83,2.83,2.80,2.82,78400,2.63
2015-02-17,2.79,2.81,2.75,2.81,145300,2.621
2015-02-18,2.81,2.82,2.75,2.75,277300,2.565
2015-02-19,2.76,2.81,2.76,2.80,261800,2.612
2015-02-20,2.81,2.82,2.77,2.80,395600,2.612
2015-02-23,2.78,2.83,2.78,2.83,518900,2.64
2015-02-24,2.84,2.97,2.84,2.93,616600,2.733
2015-02-25,2.93,2.94,2.85,2.94,344800,2.742
2015-02-26,2.90,3.02,2.90,2.98,474800,2.78
2015-02-27,2.98,3.02,2.96,3.00,339700,2.798
2015-03-02,3.01,3.12,2.985,3.10,475600,2.892
2015-03-03,3.10,3.10,2.97,3.08,268000,2.873
2015-03-04,3.03,3.04,2.93,2.98,271400,2.78
2015-03-05,2.98,2.98,2.90,2.91,278400,2.714
2015-03-06,2.92,2.935,2.81,2.89,1708100,2.696
2015-03-09,2.94,2.99,2.90,2.90,260400,2.705
2015-03-10,2.90,2.98,2.78,2.91,350600,2.769
2015-03-11,2.87,3.02,2.87,2.97,228300,2.826
2015-03-12,2.94,3.01,2.90,2.92,229800,2.778
2015-03-13,3.00,3.00,2.83,2.92,71500,2.778
2015-03-16,2.90,2.90,2.83,2.89,55900,2.75
2015-03-17,2.95,2.97,2.86,2.86,117700,2.721
2015-03-18,2.89,2.94,2.82,2.94,85500,2.797
2015-03-19,2.91,3.00,2.90,2.92,80600,2.778
2015-03-20,2.90,2.96,2.89,2.95,186300,2.807
2015-03-23,2.96,2.99,2.96,2.98,640100,2.836
2015-03-24,2.96,2.96,2.89,2.90,304000,2.759
2015-03-25,2.92,2.94,2.86,2.89,81000,2.75
2015-03-26,2.88,2.92,2.83,2.90,109300,2.759
2015-03-27,2.91,2.96,2.905,2.94,260400,2.797
2015-03-30,2.93,2.95,2.88,2.88,39500,2.74
2015-03-31,2.92,2.92,2.82,2.83,110000,2.693
2015-04-01,2.83,2.945,2.83,2.93,140900,2.788
2015-04-02,2.94,2.96,2.92,2.92,79400,2.778
2015-04-03,2.92,2.92,2.92,2.92,000,2.778
2015-04-06,2.92,2.92,2.92,2.92,000,2.778
2015-04-07,2.84,2.93,2.82,2.89,189200,2.75
2015-04-08,2.90,2.94,2.90,2.93,210000,2.788
2015-04-09,2.93,2.95,2.90,2.95,55600,2.807
2015-04-10,2.93,2.95,2.92,2.95,170400,2.807
2015-04-13,2.95,2.97,2.93,2.97,186900,2.826
2015-04-14,2.96,2.96,2.86,2.91,126100,2.769
2015-04-15,2.91,2.91,2.86,2.90,492900,2.759
2015-04-16,2.90,2.95,2.89,2.90,110400,2.759
2015-04-17,2.98,2.98,2.89,2.90,123300,2.759
2015-04-20,2.90,2.92,2.82,2.92,575500,2.778
2015-04-21,2.90,2.90,2.85,2.87,35400,2.731
2015-04-22,2.87,2.91,2.84,2.90,179100,2.759
2015-04-23,2.90,2.96,2.89,2.96,346100,2.817
2015-04-24,2.93,2.95,2.87,2.93,1237200,2.788
2015-04-27,2.93,3.05,2.895,3.02,368500,2.874
2015-04-28,3.01,3.04,2.98,3.04,164100,2.893
2015-04-29,3.06,3.06,2.97,3.01,241700,2.864
2015-04-30,2.98,3.07,2.98,3.02,359000,2.874
2015-05-01,3.07,3.07,3.01,3.04,96600,2.893
2015-05-04,3.02,3.08,3.02,3.07,166500,2.921
2015-05-05,3.05,3.11,3.05,3.11,167700,2.959
2015-05-06,3.11,3.15,3.07,3.13,124000,2.978
2015-05-07,3.13,3.13,3.02,3.02,179500,2.874
2015-05-08,3.03,3.06,3.00,3.02,126100,2.874
2015-05-11,3.06,3.15,3.06,3.11,107700,2.959
2015-05-12,3.07,3.15,3.04,3.09,168600,2.94
2015-05-13,3.13,3.17,3.10,3.15,174200,2.997
2015-05-14,3.12,3.12,3.06,3.09,41800,2.94
2015-05-15,3.11,3.12,3.08,3.10,70500,2.95
2015-05-18,3.10,3.11,3.08,3.08,12500,2.931
2015-05-19,3.07,3.09,3.02,3.09,152000,2.94
2015-05-20,3.10,3.12,3.05,3.11,191300,2.959
2015-05-21,3.11,3.11,3.05,3.07,80800,2.921
2015-05-22,3.08,3.11,3.03,3.08,125300,2.931
2015-05-25,3.08,3.10,3.06,3.08,304300,2.931
2015-05-26,3.06,3.19,3.06,3.17,133600,3.016
2015-05-27,3.17,3.17,3.12,3.15,232400,2.997
2015-05-28,3.135,3.17,3.13,3.15,145100,2.997
2015-05-29,3.15,3.25,3.15,3.15,232300,2.997
2015-06-01,3.18,3.18,3.12,3.14,79700,2.988
2015-06-02,3.17,3.19,3.06,3.12,220900,2.969
2015-06-03,3.11,3.19,3.11,3.16,87500,3.007
2015-06-04,3.08,3.18,3.06,3.13,151600,2.978
2015-06-05,3.17,3.30,3.15,3.25,150700,3.092
2015-06-08,3.25,3.25,3.25,3.25,000,3.092
2015-06-09,3.18,3.24,3.11,3.11,255000,2.959
2015-06-10,3.20,3.20,3.09,3.10,155500,2.95
2015-06-11,3.08,3.16,3.08,3.10,51200,2.95
2015-06-12,3.11,3.14,2.96,3.04,137500,2.893
2015-06-15,3.04,3.11,2.99,3.04,65800,2.893
