Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,6.75,6.75,6.75,6.75,000,6.58065
2015-01-02,6.77,6.84,6.72,6.80,428800,6.6294
2015-01-05,6.81,6.83,6.635,6.69,1106600,6.52216
2015-01-06,6.50,6.515,6.37,6.45,2031100,6.28818
2015-01-07,6.43,6.51,6.41,6.42,1965400,6.25893
2015-01-08,6.48,6.51,6.43,6.49,1138600,6.32718
2015-01-09,6.51,6.65,6.51,6.64,1359800,6.47341
2015-01-12,6.54,6.54,6.47,6.50,1095900,6.33693
2015-01-13,6.45,6.52,6.45,6.49,877900,6.32718
2015-01-14,6.46,6.48,6.39,6.44,1616700,6.27843
2015-01-15,6.38,6.42,6.29,6.35,1667800,6.19069
2015-01-16,6.30,6.38,6.28,6.34,966500,6.18094
2015-01-19,6.40,6.405,6.26,6.35,861700,6.19069
2015-01-20,6.34,6.47,6.29,6.46,1109800,6.29793
2015-01-21,6.47,6.54,6.39,6.45,2422100,6.28818
2015-01-22,6.45,6.58,6.42,6.57,1562000,6.40517
2015-01-23,6.60,6.69,6.55,6.66,2440900,6.49291
2015-01-26,6.66,6.66,6.66,6.66,000,6.49291
2015-01-27,6.70,6.88,6.69,6.86,1708900,6.68789
2015-01-28,6.85,6.85,6.63,6.70,2086600,6.53191
2015-01-29,6.69,6.76,6.63,6.69,1244100,6.52216
2015-01-30,6.79,6.84,6.70,6.70,1296900,6.53191
2015-02-02,6.74,6.98,6.72,6.93,1574500,6.75614
2015-02-03,6.98,7.05,6.80,7.00,1737300,6.82438
2015-02-04,7.15,7.20,7.00,7.09,2138200,6.91212
2015-02-05,7.14,7.39,7.14,7.31,1821900,7.1266
2015-02-06,7.35,7.47,7.25,7.28,1761400,7.09736
2015-02-09,7.30,7.45,7.255,7.30,974300,7.11685
2015-02-10,7.30,7.35,7.17,7.25,709800,7.06811
2015-02-11,7.32,7.40,7.22,7.25,791300,7.06811
2015-02-12,7.32,7.38,7.25,7.29,1318000,7.10711
2015-02-13,7.39,7.47,7.27,7.30,1074200,7.11685
2015-02-16,7.35,7.38,7.28,7.37,1221100,7.1851
2015-02-17,7.37,7.37,7.20,7.29,659100,7.10711
2015-02-18,7.30,7.44,7.28,7.43,823400,7.24359
2015-02-19,7.40,7.42,7.20,7.25,1176100,7.06811
2015-02-20,7.27,7.33,7.20,7.32,968300,7.13635
2015-02-23,7.35,7.45,7.28,7.44,1057600,7.25334
2015-02-24,7.46,7.50,7.305,7.35,850800,7.1656
2015-02-25,7.41,7.52,7.39,7.50,1081700,7.31184
2015-02-26,7.48,7.73,7.40,7.62,1679600,7.42883
2015-02-27,7.67,7.71,7.525,7.62,1032300,7.42883
2015-03-02,7.68,7.80,7.66,7.80,1278100,7.60431
2015-03-03,7.81,7.87,7.72,7.81,1672700,7.61406
2015-03-04,7.80,7.80,7.70,7.72,1409400,7.52632
2015-03-05,7.69,7.69,7.47,7.56,1042400,7.37033
2015-03-06,7.58,7.68,7.46,7.54,882400,7.35083
2015-03-09,7.45,7.535,7.31,7.45,856000,7.26309
2015-03-10,7.45,7.59,7.45,7.51,916400,7.32159
2015-03-11,7.40,7.60,7.35,7.47,749000,7.28259
2015-03-12,7.49,7.82,7.48,7.74,1007800,7.54582
2015-03-13,8.51,9.24,8.50,9.11,5046500,8.88144
2015-03-16,9.00,9.01,8.61,8.86,3370600,8.63772
2015-03-17,8.91,8.96,8.78,8.91,1451500,8.68646
2015-03-18,8.91,8.91,8.54,8.66,3035800,8.44273
2015-03-19,8.70,8.91,8.68,8.84,2705000,8.61822
2015-03-20,8.79,8.82,8.70,8.80,1571200,8.57922
2015-03-23,8.72,8.88,8.72,8.83,1373800,8.60847
2015-03-24,9.11,9.32,8.96,9.14,2205600,8.91069
2015-03-25,9.15,9.45,9.08,9.16,1529600,8.93019
2015-03-26,8.90,9.02,8.75,8.98,2494100,8.75471
2015-03-27,8.98,9.19,8.96,9.07,1060700,8.84245
2015-03-30,9.01,9.14,9.00,9.10,1740900,8.8717
2015-03-31,9.18,9.28,9.11,9.17,1504300,8.93994
2015-04-01,9.23,9.43,9.19,9.36,1707300,9.12517
2015-04-02,9.44,9.54,9.36,9.44,1702700,9.20316
2015-04-03,9.44,9.44,9.44,9.44,000,9.20316
2015-04-06,9.44,9.44,9.44,9.44,000,9.20316
2015-04-07,9.54,9.72,9.44,9.61,1347300,9.3689
2015-04-08,9.61,9.63,9.355,9.37,1156000,9.13492
2015-04-09,9.51,9.56,9.40,9.45,1216000,9.21291
2015-04-10,9.40,9.46,9.32,9.42,859900,9.26066
2015-04-13,9.42,9.62,9.41,9.55,1012400,9.38846
2015-04-14,9.55,9.58,9.46,9.53,771700,9.3688
2015-04-15,9.47,9.47,9.24,9.33,1459500,9.17219
2015-04-16,9.40,9.45,9.36,9.43,702500,9.27049
2015-04-17,9.40,9.43,9.31,9.38,1458300,9.22134
2015-04-20,9.33,9.37,9.18,9.27,884900,9.1132
2015-04-21,9.37,9.49,9.27,9.49,2132300,9.32948
2015-04-22,9.47,9.48,9.30,9.35,706100,9.19185
2015-04-23,9.40,9.51,9.27,9.51,1375500,9.34914
2015-04-24,9.60,9.60,9.43,9.60,836500,9.43762
2015-04-27,9.19,9.26,8.72,9.01,4959400,8.8576
2015-04-28,9.04,9.23,8.99,9.17,2150600,9.01489
2015-04-29,9.23,9.26,9.01,9.01,1115100,8.8576
2015-04-30,8.70,8.95,8.48,8.94,2258600,8.78878
2015-05-01,8.70,8.90,8.50,8.90,1576400,8.74946
2015-05-04,8.85,9.04,8.85,8.94,2429100,8.78878
2015-05-05,8.98,8.98,8.57,8.79,2302000,8.64132
2015-05-06,8.95,9.26,8.74,9.16,2238300,9.00506
2015-05-07,9.04,9.04,8.91,8.99,1793200,8.83794
2015-05-08,9.10,9.14,9.00,9.06,956700,8.90675
2015-05-11,9.10,9.15,8.89,9.00,1277200,8.84777
2015-05-12,8.98,9.07,8.96,8.99,1015300,8.83794
2015-05-13,9.00,9.01,8.75,9.00,941600,8.84777
2015-05-14,8.90,9.05,8.90,9.00,879700,8.84777
2015-05-15,9.02,9.05,8.95,9.00,965200,8.84777
2015-05-18,9.00,9.045,8.80,8.81,1069800,8.66098
2015-05-19,8.80,8.87,8.77,8.80,959100,8.65115
2015-05-20,8.80,8.96,8.80,8.91,757900,8.75929
2015-05-21,9.02,9.20,8.95,9.16,1034400,9.00506
2015-05-22,9.19,9.235,9.06,9.10,972700,8.94608
2015-05-25,9.17,9.20,9.05,9.09,476300,8.93625
2015-05-26,9.09,9.14,9.035,9.09,535400,8.93625
2015-05-27,9.00,9.03,8.71,8.91,2635900,8.75929
2015-05-28,8.98,8.98,8.80,8.93,1356700,8.77895
2015-05-29,8.96,9.10,8.96,9.04,1366400,8.88709
2015-06-01,8.96,9.07,8.93,9.04,1066300,8.88709
2015-06-02,9.01,9.105,8.86,8.91,1223000,8.75929
2015-06-03,8.86,8.91,8.73,8.80,1538100,8.65115
2015-06-04,8.81,8.85,8.62,8.63,1435900,8.48403
2015-06-05,8.63,8.76,8.60,8.65,706600,8.50369
2015-06-08,8.65,8.65,8.65,8.65,000,8.50369
2015-06-09,8.60,8.79,8.57,8.62,986900,8.47419
2015-06-10,8.60,8.65,8.45,8.55,1836100,8.40538
2015-06-11,8.62,8.71,8.62,8.68,1409300,8.53318
2015-06-12,8.60,8.75,8.59,8.64,955700,8.49386
2015-06-15,8.56,8.60,8.48,8.60,973900,8.45453
2015-06-16,8.60,8.66,8.51,8.58,913500,8.43487
2015-06-17,8.65,8.71,8.63,8.68,788300,8.53318
2015-06-18,8.60,8.62,8.51,8.58,1629700,8.43487
2015-06-19,8.61,8.83,8.61,8.73,1491600,8.58233
2015-06-22,8.77,9.07,8.76,9.05,811300,8.89692
2015-06-23,9.20,9.49,9.20,9.36,1937300,9.20168
2015-06-24,9.45,9.45,9.31,9.37,853100,9.21151
2015-06-25,9.37,9.38,9.23,9.23,1054700,9.07388
2015-06-26,9.13,9.23,8.96,9.15,1024900,8.99523
2015-06-29,8.95,8.97,8.77,8.92,1412800,8.76912
2015-06-30,8.80,9.06,8.78,8.97,1742600,8.81828
2015-07-01,8.96,9.14,8.93,9.01,1405400,8.8576
2015-07-02,8.99,9.17,8.96,9.16,1078700,9.00506
2015-07-03,9.12,9.16,8.92,9.07,881200,8.91658
2015-07-06,8.98,9.00,8.84,8.87,899200,8.71997
2015-07-07,8.87,9.16,8.87,9.10,975700,8.94608
2015-07-08,9.08,9.12,8.90,8.91,889300,8.75929
2015-07-09,8.73,8.92,8.67,8.88,886500,8.7298
2015-07-10,8.97,9.00,8.83,8.85,659100,8.70031
2015-07-13,8.81,9.00,8.75,8.87,561700,8.71997
2015-07-14,9.06,9.20,9.02,9.19,656800,9.03455
2015-07-15,9.22,9.32,9.08,9.10,609100,8.94608
2015-07-16,9.14,9.38,9.13,9.19,715500,9.03455
2015-07-17,9.23,9.30,9.16,9.23,463500,9.07388
2015-07-20,9.31,9.31,9.19,9.20,661200,9.04438
2015-07-21,9.25,9.325,9.15,9.27,749200,9.1132
2015-07-22,9.27,9.34,9.05,9.06,1090400,8.90675
2015-07-23,9.01,9.25,8.95,9.21,1735000,9.05422
2015-07-24,9.21,9.24,9.03,9.14,855000,8.9854
2015-07-27,9.05,9.25,8.99,9.22,759900,9.06405
2015-07-28,9.25,9.26,9.09,9.25,1566500,9.09354
2015-07-29,9.25,9.50,9.21,9.38,1856100,9.22134
2015-07-30,9.45,9.49,9.32,9.44,1101700,9.28032
2015-07-31,9.45,9.51,9.43,9.51,802700,9.34914
2015-08-03,9.50,9.52,9.37,9.46,635800,9.29999
2015-08-04,9.45,9.47,9.39,9.42,680200,9.26066
2015-08-05,9.38,9.45,9.31,9.40,1171400,9.241
2015-08-06,9.34,9.43,9.34,9.38,971200,9.22134
2015-08-07,9.29,9.32,9.10,9.11,882400,8.95591
2015-08-10,9.09,9.32,9.05,9.31,955000,9.15252
2015-08-11,9.35,9.35,9.195,9.27,1047800,9.1132
2015-08-12,9.25,9.295,9.06,9.07,882400,8.91658
2015-08-13,9.05,9.10,8.98,9.01,1494100,8.8576
2015-08-14,8.98,9.10,8.98,9.08,837500,8.92641
2015-08-17,9.10,9.29,9.07,9.27,1169100,9.1132
2015-08-18,9.20,9.36,9.17,9.17,1174800,9.01489
2015-08-19,9.20,9.24,9.06,9.16,933400,9.00506
2015-08-20,9.26,9.42,9.24,9.40,3810600,9.241
2015-08-21,9.32,9.32,9.13,9.20,2026800,9.04438
2015-08-24,9.09,9.18,9.03,9.06,2796300,8.90675
2015-08-25,8.80,9.11,8.68,9.09,2697900,8.93625
2015-08-26,8.98,9.15,8.92,9.14,962500,8.9854
2015-08-27,9.30,9.405,9.25,9.33,1198200,9.17219
2015-08-28,9.38,9.45,9.28,9.38,1125300,9.22134
2015-08-31,9.27,9.44,9.21,9.39,1421100,9.23117
2015-09-01,9.33,9.36,9.10,9.11,741800,8.95591
2015-09-02,9.00,9.01,8.82,8.93,1661300,8.77895
2015-09-03,8.99,9.12,8.65,8.70,1332200,8.55284
2015-09-04,8.70,8.90,8.67,8.75,1146700,8.602
2015-09-07,8.96,9.26,8.91,9.18,1663300,9.02472
2015-09-08,9.25,9.49,9.25,9.46,1216900,9.29999
2015-09-09,9.53,9.98,9.53,9.95,1827800,9.7817
2015-09-10,9.70,9.70,9.44,9.45,2245400,9.29016
2015-09-11,9.45,9.50,9.26,9.45,1158100,9.29016
2015-09-14,9.62,9.64,9.37,9.46,987100,9.29999
2015-09-15,9.45,9.51,9.32,9.39,1270600,9.23117
2015-09-16,9.49,9.70,9.41,9.70,1100600,9.53593
2015-09-17,9.91,10.11,9.89,9.99,2998200,9.82102
2015-09-18,9.98,10.25,9.97,10.18,2897100,10.00781
2015-09-21,10.14,10.52,10.14,10.48,2202500,10.30273
2015-09-22,10.55,10.75,9.93,10.00,3647500,9.83085
2015-09-23,10.15,10.58,10.09,10.48,3324900,10.30273
2015-09-24,10.52,10.85,10.52,10.81,3625700,10.62715
2015-09-25,10.82,10.91,10.66,10.69,1870700,10.50918
2015-09-28,10.65,10.84,10.60,10.73,2636400,10.5485
2015-09-29,10.57,10.67,10.12,10.14,4090500,9.96849
2015-09-30,10.66,10.94,10.50,10.86,3419600,10.67631
2015-10-01,10.94,11.06,10.85,10.91,2154600,10.72546
2015-10-02,10.80,10.95,10.66,10.67,2366300,10.48952
2015-10-05,10.75,10.83,10.75,10.80,722800,10.61732
2015-10-06,10.90,10.92,10.63,10.67,1199000,10.48952
2015-10-07,10.85,10.85,10.64,10.73,1748800,10.5485
2015-10-08,10.84,10.92,10.69,10.71,1280700,10.52884
2015-10-09,10.77,10.84,10.68,10.79,1706600,10.69305
2015-10-12,10.75,10.92,10.69,10.87,1981800,10.77234
2015-10-13,10.94,11.00,10.57,10.67,2096600,10.57413
2015-10-14,10.55,10.71,10.50,10.64,1761000,10.5444
2015-10-15,10.65,10.73,10.55,10.70,1102900,10.60386
2015-10-16,10.80,10.94,10.75,10.80,1194900,10.70296
2015-10-19,10.77,10.82,10.69,10.73,916800,10.63359
2015-10-20,10.72,10.79,10.65,10.65,1357400,10.55431
2015-10-21,10.63,10.67,10.42,10.51,2882800,10.41557
2015-10-22,10.49,10.56,10.45,10.48,1002600,10.38584
2015-10-23,10.59,10.71,10.58,10.60,3250900,10.50476
2015-10-26,10.61,10.81,10.61,10.79,1100000,10.69305
2015-10-27,10.83,11.04,10.74,10.94,1971900,10.84171
2015-10-28,11.01,11.12,10.98,11.11,1836600,11.01018
2015-10-29,11.13,11.14,10.84,10.85,924600,10.75252
2015-10-30,10.80,11.09,10.73,11.06,1263600,10.96063
2015-11-02,11.11,11.11,10.97,11.02,848300,10.92099
2015-11-03,11.10,11.18,11.05,11.13,1267900,11.03
2015-11-04,11.21,11.25,10.90,11.01,1631600,10.91108
2015-11-05,11.00,11.015,10.625,10.92,2231600,10.82189
2015-11-06,11.01,11.15,10.95,11.05,1577600,10.95072
2015-11-09,11.00,11.11,10.855,10.95,1482700,10.85162
2015-11-10,10.90,10.96,10.75,10.82,1546500,10.72278
2015-11-11,10.82,10.82,10.82,10.82,000,10.72278
2015-11-12,10.50,10.61,10.30,10.40,4830300,10.30656
2015-11-13,10.30,10.33,10.02,10.28,3178100,10.18764
2015-11-16,10.11,10.28,10.11,10.21,2514800,10.11827
2015-11-17,10.29,10.48,10.27,10.47,3833400,10.37593
2015-11-18,10.44,10.47,10.18,10.22,2091200,10.12818
