Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.46,0.46,0.46,0.46,000,0.46
2015-01-02,0.46,0.49,0.45,0.48,568500,0.48
2015-01-05,0.49,0.515,0.47,0.505,984900,0.505
2015-01-06,0.52,0.535,0.49,0.525,1579100,0.525
2015-01-07,0.54,0.57,0.525,0.535,1528900,0.535
2015-01-08,0.535,0.55,0.51,0.51,1089100,0.51
2015-01-09,0.535,0.55,0.52,0.55,1106100,0.55
2015-01-12,0.58,0.62,0.58,0.585,2449500,0.585
2015-01-13,0.605,0.635,0.585,0.625,1575900,0.625
2015-01-14,0.62,0.635,0.595,0.605,2325900,0.605
2015-01-15,0.605,0.625,0.585,0.625,1093700,0.625
2015-01-16,0.67,0.69,0.655,0.68,1704300,0.68
2015-01-19,0.71,0.77,0.705,0.72,2265100,0.72
2015-01-20,0.72,0.735,0.705,0.725,625600,0.725
2015-01-21,0.755,0.77,0.74,0.765,1595100,0.765
2015-01-22,0.76,0.765,0.72,0.725,1305600,0.725
2015-01-23,0.75,0.75,0.705,0.72,608100,0.72
2015-01-26,0.72,0.72,0.72,0.72,000,0.72
2015-01-27,0.70,0.70,0.64,0.65,1926300,0.65
2015-01-28,0.675,0.69,0.66,0.66,744900,0.66
2015-01-29,0.64,0.655,0.60,0.605,1167500,0.605
2015-01-30,0.56,0.57,0.525,0.555,3000200,0.555
2015-02-02,0.59,0.625,0.59,0.605,1316700,0.605
2015-02-03,0.605,0.61,0.58,0.585,1043500,0.585
2015-02-04,0.565,0.62,0.555,0.58,1184300,0.58
2015-02-05,0.59,0.625,0.585,0.62,1244000,0.62
2015-02-06,0.61,0.62,0.59,0.60,1090000,0.60
2015-02-09,0.565,0.595,0.565,0.58,1022900,0.58
2015-02-10,0.585,0.605,0.575,0.595,1126300,0.595
2015-02-11,0.58,0.585,0.565,0.575,655900,0.575
2015-02-12,0.565,0.57,0.54,0.545,1156000,0.545
2015-02-13,0.555,0.60,0.55,0.585,1556000,0.585
2015-02-16,0.595,0.60,0.585,0.59,329900,0.59
2015-02-17,0.59,0.61,0.59,0.60,735600,0.60
2015-02-18,0.59,0.59,0.57,0.58,423700,0.58
2015-02-19,0.595,0.615,0.595,0.61,692300,0.61
2015-02-20,0.60,0.605,0.575,0.575,671600,0.575
2015-02-23,0.585,0.585,0.56,0.565,628600,0.565
2015-02-24,0.57,0.585,0.555,0.555,178100,0.555
2015-02-25,0.56,0.585,0.55,0.55,384900,0.55
2015-02-26,0.55,0.58,0.55,0.58,439000,0.58
2015-02-27,0.58,0.58,0.55,0.555,1124900,0.555
2015-03-02,0.555,0.57,0.55,0.565,481000,0.565
2015-03-03,0.56,0.575,0.55,0.565,1090100,0.565
2015-03-04,0.57,0.575,0.54,0.54,890200,0.54
2015-03-05,0.54,0.57,0.535,0.565,577600,0.565
2015-03-06,0.56,0.56,0.535,0.535,927300,0.535
2015-03-09,0.51,0.54,0.49,0.495,1182800,0.495
2015-03-10,0.495,0.50,0.45,0.45,2691000,0.45
2015-03-11,0.45,0.46,0.425,0.43,1989800,0.43
2015-03-12,0.43,0.44,0.41,0.42,1287000,0.42
2015-03-13,0.435,0.44,0.42,0.43,342500,0.43
2015-03-16,0.435,0.46,0.435,0.46,618300,0.46
2015-03-17,0.47,0.48,0.45,0.48,1047700,0.48
2015-03-18,0.455,0.475,0.435,0.435,1636700,0.435
2015-03-19,0.455,0.47,0.45,0.45,967500,0.45
2015-03-20,0.445,0.46,0.43,0.46,3455700,0.46
2015-03-23,0.48,0.495,0.46,0.475,1386200,0.475
2015-03-24,0.48,0.51,0.48,0.51,1133000,0.51
2015-03-25,0.515,0.54,0.515,0.525,2351300,0.525
2015-03-26,0.525,0.525,0.505,0.52,1352900,0.52
2015-03-27,0.515,0.53,0.495,0.505,736300,0.505
2015-03-30,0.50,0.50,0.47,0.475,644600,0.475
2015-03-31,0.47,0.475,0.44,0.45,1799600,0.45
2015-04-01,0.455,0.455,0.435,0.445,875500,0.445
2015-04-02,0.47,0.48,0.465,0.48,905900,0.48
2015-04-03,0.48,0.48,0.48,0.48,000,0.48
2015-04-06,0.48,0.48,0.48,0.48,000,0.48
2015-04-07,0.50,0.50,0.485,0.50,436500,0.50
2015-04-08,0.485,0.49,0.48,0.48,284900,0.48
2015-04-09,0.49,0.49,0.45,0.45,488400,0.45
2015-04-10,0.45,0.47,0.45,0.465,273200,0.465
2015-04-13,0.475,0.485,0.46,0.46,389400,0.46
2015-04-14,0.46,0.465,0.44,0.44,569100,0.44
2015-04-15,0.445,0.46,0.44,0.45,544700,0.45
2015-04-16,0.455,0.47,0.455,0.465,484800,0.465
2015-04-17,0.45,0.465,0.45,0.46,384700,0.46
2015-04-20,0.46,0.47,0.46,0.46,363400,0.46
2015-04-21,0.45,0.46,0.44,0.455,323100,0.455
2015-04-22,0.45,0.465,0.45,0.46,205400,0.46
2015-04-23,0.45,0.455,0.44,0.445,579400,0.445
2015-04-24,0.445,0.475,0.445,0.46,465000,0.46
2015-04-27,0.445,0.46,0.44,0.445,565900,0.445
2015-04-28,0.445,0.445,0.445,0.445,000,0.445
2015-04-29,0.445,0.445,0.445,0.445,000,0.445
2015-04-30,0.445,0.445,0.445,0.445,000,0.445
2015-05-01,0.40,0.41,0.385,0.405,1302900,0.405
2015-05-04,0.405,0.41,0.40,0.40,1187200,0.40
2015-05-05,0.40,0.42,0.40,0.41,879800,0.41
2015-05-06,0.405,0.415,0.40,0.405,524000,0.405
2015-05-07,0.405,0.42,0.405,0.41,384500,0.41
2015-05-08,0.41,0.415,0.405,0.405,197900,0.405
