Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.335,0.335,0.335,0.335,000,0.28547
2015-01-02,0.33,0.33,0.33,0.33,18200,0.28121
2015-01-05,0.335,0.335,0.335,0.335,10000,0.28547
2015-01-06,0.335,0.335,0.33,0.33,75400,0.28121
2015-01-07,0.33,0.33,0.33,0.33,23700,0.28121
2015-01-08,0.325,0.33,0.325,0.33,3900,0.28121
2015-01-09,0.33,0.33,0.33,0.33,111700,0.28121
2015-01-12,0.34,0.34,0.34,0.34,140500,0.28973
2015-01-13,0.33,0.33,0.33,0.33,188000,0.28121
2015-01-14,0.33,0.33,0.33,0.33,36800,0.28121
2015-01-15,0.33,0.34,0.33,0.34,94000,0.28973
2015-01-16,0.32,0.345,0.32,0.345,39800,0.294
2015-01-19,0.34,0.34,0.34,0.34,163200,0.28973
2015-01-20,0.34,0.34,0.335,0.335,72500,0.28547
2015-01-21,0.335,0.335,0.335,0.335,105400,0.28547
2015-01-22,0.335,0.335,0.335,0.335,14700,0.28547
2015-01-23,0.335,0.335,0.335,0.335,000,0.28547
2015-01-26,0.335,0.335,0.335,0.335,000,0.28547
2015-01-27,0.345,0.35,0.33,0.35,289900,0.29826
2015-01-28,0.35,0.35,0.35,0.35,000,0.29826
2015-01-29,0.35,0.355,0.345,0.355,75000,0.30252
2015-01-30,0.355,0.355,0.35,0.355,45400,0.30252
2015-02-02,0.355,0.355,0.35,0.35,34500,0.29826
2015-02-03,0.35,0.355,0.345,0.35,60300,0.29826
2015-02-04,0.355,0.355,0.35,0.355,47500,0.30252
2015-02-05,0.355,0.355,0.345,0.345,34500,0.294
2015-02-06,0.35,0.355,0.345,0.355,92100,0.30252
2015-02-09,0.35,0.35,0.35,0.35,33700,0.29826
2015-02-10,0.35,0.35,0.34,0.35,116800,0.29826
2015-02-11,0.35,0.35,0.34,0.345,121700,0.294
2015-02-12,0.345,0.345,0.33,0.34,60400,0.28973
2015-02-13,0.34,0.34,0.34,0.34,000,0.28973
2015-02-16,0.34,0.34,0.34,0.34,13500,0.28973
2015-02-17,0.345,0.35,0.345,0.35,70900,0.29826
2015-02-18,0.355,0.355,0.34,0.355,165000,0.30252
2015-02-19,0.36,0.37,0.36,0.37,191100,0.3153
2015-02-20,0.36,0.36,0.36,0.36,122700,0.30678
2015-02-23,0.365,0.365,0.365,0.365,8200,0.31104
2015-02-24,0.35,0.35,0.34,0.35,162000,0.29826
2015-02-25,0.35,0.35,0.35,0.35,25500,0.29826
2015-02-26,0.35,0.36,0.35,0.36,48100,0.30678
2015-02-27,0.36,0.36,0.35,0.35,147700,0.29826
2015-03-02,0.35,0.35,0.35,0.35,65200,0.29826
2015-03-03,0.35,0.35,0.35,0.35,3324900,0.29826
2015-03-04,0.35,0.38,0.35,0.38,390800,0.32382
2015-03-05,0.37,0.37,0.37,0.37,32000,0.3153
2015-03-06,0.375,0.38,0.375,0.38,60600,0.32382
2015-03-09,0.37,0.38,0.37,0.38,10700,0.32382
