Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.20,0.20,0.20,0.20,000,0.20
2015-01-02,0.20,0.20,0.20,0.20,000,0.20
2015-01-05,0.20,0.20,0.20,0.20,000,0.20
2015-01-06,0.20,0.20,0.20,0.20,000,0.20
2015-01-07,0.20,0.20,0.20,0.20,000,0.20
2015-01-08,0.20,0.20,0.20,0.20,000,0.20
2015-01-09,0.20,0.20,0.20,0.20,000,0.20
2015-01-12,0.20,0.20,0.20,0.20,000,0.20
2015-01-13,0.13,0.18,0.13,0.18,1262100,0.18
2015-01-14,0.18,0.18,0.165,0.175,231000,0.175
2015-01-15,0.16,0.16,0.145,0.145,534400,0.145
2015-01-16,0.15,0.155,0.145,0.145,212300,0.145
2015-01-19,0.15,0.15,0.145,0.145,100500,0.145
2015-01-20,0.145,0.145,0.145,0.145,50600,0.145
2015-01-21,0.15,0.15,0.14,0.14,543600,0.14
2015-01-22,0.14,0.15,0.14,0.145,326600,0.145
2015-01-23,0.145,0.15,0.145,0.145,86800,0.145
2015-01-26,0.145,0.145,0.145,0.145,000,0.145
2015-01-27,0.15,0.15,0.145,0.145,270200,0.145
2015-01-28,0.145,0.15,0.14,0.15,90200,0.15
2015-01-29,0.15,0.15,0.15,0.15,106400,0.15
2015-01-30,0.145,0.145,0.145,0.145,34900,0.145
2015-02-02,0.145,0.145,0.14,0.145,312900,0.145
2015-02-03,0.145,0.15,0.14,0.145,103900,0.145
2015-02-04,0.145,0.145,0.14,0.14,75000,0.14
2015-02-05,0.145,0.145,0.14,0.14,284400,0.14
2015-02-06,0.145,0.15,0.14,0.145,227000,0.145
2015-02-09,0.15,0.155,0.15,0.15,214400,0.15
2015-02-10,0.155,0.155,0.145,0.145,469600,0.145
2015-02-11,0.15,0.15,0.15,0.15,112500,0.15
2015-02-12,0.15,0.15,0.145,0.15,36500,0.15
2015-02-13,0.15,0.15,0.145,0.145,35700,0.145
2015-02-16,0.145,0.145,0.145,0.145,52000,0.145
2015-02-17,0.145,0.145,0.145,0.145,44500,0.145
2015-02-18,0.15,0.155,0.15,0.15,579200,0.15
2015-02-19,0.15,0.155,0.15,0.15,142300,0.15
2015-02-20,0.145,0.15,0.145,0.145,705900,0.145
2015-02-23,0.145,0.145,0.14,0.145,130000,0.145
2015-02-24,0.145,0.145,0.14,0.14,154000,0.14
2015-02-25,0.14,0.15,0.14,0.145,110900,0.145
2015-02-26,0.15,0.15,0.145,0.15,138200,0.15
2015-02-27,0.15,0.15,0.14,0.15,39300,0.15
2015-03-02,0.145,0.145,0.14,0.14,255600,0.14
2015-03-03,0.14,0.145,0.14,0.145,25800,0.145
2015-03-04,0.14,0.14,0.14,0.14,22900,0.14
2015-03-05,0.14,0.14,0.14,0.14,221200,0.14
2015-03-06,0.14,0.14,0.13,0.13,166200,0.13
2015-03-09,0.13,0.145,0.13,0.145,123300,0.145
2015-03-10,0.135,0.14,0.13,0.13,160200,0.13
2015-03-11,0.13,0.13,0.13,0.13,22700,0.13
2015-03-12,0.13,0.13,0.13,0.13,35600,0.13
2015-03-13,0.13,0.13,0.12,0.12,234800,0.12
2015-03-16,0.12,0.12,0.115,0.115,286700,0.115
2015-03-17,0.115,0.115,0.105,0.105,200800,0.105
2015-03-18,0.11,0.115,0.105,0.11,195400,0.11
2015-03-19,0.105,0.11,0.105,0.11,60500,0.11
2015-03-20,0.11,0.11,0.105,0.105,93600,0.105
2015-03-23,0.105,0.105,0.105,0.105,67500,0.105
2015-03-24,0.105,0.11,0.105,0.11,50300,0.11
2015-03-25,0.11,0.11,0.11,0.11,6000,0.11
2015-03-26,0.105,0.105,0.10,0.10,529700,0.10
2015-03-27,0.10,0.10,0.10,0.10,101900,0.10
2015-03-30,0.10,0.105,0.095,0.095,362100,0.095
2015-03-31,0.095,0.10,0.095,0.10,79900,0.10
2015-04-01,0.095,0.10,0.095,0.10,94700,0.10
2015-04-02,0.095,0.095,0.095,0.095,3000,0.095
2015-04-03,0.095,0.095,0.095,0.095,000,0.095
2015-04-06,0.095,0.095,0.095,0.095,000,0.095
2015-04-07,0.095,0.095,0.09,0.09,49500,0.09
2015-04-08,0.09,0.09,0.09,0.09,92600,0.09
2015-04-09,0.09,0.09,0.087,0.087,28300,0.087
2015-04-10,0.087,0.087,0.087,0.087,105200,0.087
2015-04-13,0.087,0.087,0.085,0.085,162100,0.085
2015-04-14,0.083,0.083,0.075,0.075,334600,0.075
2015-04-15,0.073,0.073,0.059,0.061,1339700,0.061
2015-04-16,0.062,0.065,0.062,0.065,201100,0.065
2015-04-17,0.067,0.068,0.067,0.067,120000,0.067
2015-04-20,0.068,0.068,0.067,0.067,152400,0.067
2015-04-21,0.067,0.067,0.065,0.065,97500,0.065
2015-04-22,0.065,0.065,0.063,0.063,142500,0.063
2015-04-23,0.064,0.064,0.064,0.064,85100,0.064
2015-04-24,0.066,0.066,0.064,0.065,635700,0.065
2015-04-27,0.064,0.067,0.064,0.067,336500,0.067
2015-04-28,0.067,0.067,0.066,0.066,81300,0.066
2015-04-29,0.072,0.085,0.072,0.08,750000,0.08
2015-04-30,0.077,0.08,0.077,0.077,86900,0.077
2015-05-01,0.077,0.077,0.077,0.077,000,0.077
2015-05-04,0.08,0.081,0.08,0.08,60000,0.08
2015-05-05,0.085,0.09,0.085,0.085,169700,0.085
2015-05-06,0.085,0.085,0.085,0.085,000,0.085
2015-05-07,0.085,0.085,0.085,0.085,000,0.085
2015-05-08,0.085,0.085,0.085,0.085,000,0.085
2015-05-11,0.085,0.085,0.085,0.085,000,0.085
2015-05-12,0.085,0.085,0.085,0.085,000,0.085
2015-05-13,0.085,0.085,0.085,0.085,000,0.085
2015-05-14,0.085,0.085,0.085,0.085,000,0.085
2015-05-15,0.094,0.12,0.094,0.099,2375800,0.099
2015-05-18,0.097,0.11,0.096,0.10,83000,0.10
2015-05-19,0.10,0.10,0.097,0.097,132000,0.097
2015-05-20,0.098,0.098,0.095,0.095,164000,0.095
2015-05-21,0.095,0.095,0.095,0.095,23000,0.095
2015-05-22,0.095,0.095,0.095,0.095,000,0.095
2015-05-25,0.095,0.095,0.095,0.095,18000,0.095
2015-05-26,0.095,0.095,0.095,0.095,10000,0.095
2015-05-27,0.10,0.11,0.10,0.11,144800,0.11
2015-05-28,0.11,0.11,0.105,0.105,73600,0.105
2015-05-29,0.10,0.10,0.10,0.10,32600,0.10
2015-06-01,0.097,0.10,0.095,0.095,92900,0.095
2015-06-02,0.095,0.095,0.095,0.095,109800,0.095
2015-06-03,0.095,0.095,0.095,0.095,42400,0.095
2015-06-04,0.095,0.095,0.093,0.093,22600,0.093
2015-06-05,0.095,0.096,0.095,0.096,28200,0.096
2015-06-08,0.096,0.096,0.096,0.096,000,0.096
2015-06-09,0.098,0.098,0.092,0.092,131700,0.092
2015-06-10,0.09,0.09,0.088,0.088,244300,0.088
2015-06-11,0.085,0.087,0.085,0.087,45200,0.087
