Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,2.06,2.06,2.06,2.06,000,1.85378
2015-01-02,2.06,2.06,2.06,2.06,000,1.85378
2015-01-05,2.10,2.10,2.07,2.10,35100,1.88977
2015-01-06,2.03,2.04,2.03,2.04,1100,1.83578
2015-01-07,2.08,2.12,2.08,2.12,53500,1.90777
2015-01-08,2.08,2.14,2.08,2.14,6100,1.92577
2015-01-09,2.10,2.15,2.10,2.15,16700,1.93477
2015-01-12,2.15,2.17,2.14,2.17,15400,1.95277
2015-01-13,2.17,2.27,2.17,2.21,15600,1.98876
2015-01-14,2.22,2.22,2.18,2.18,12500,1.96177
2015-01-15,2.17,2.17,2.15,2.17,12900,1.95277
2015-01-16,2.22,2.22,2.10,2.10,11500,1.88977
2015-01-19,2.10,2.10,2.10,2.10,000,1.88977
2015-01-20,2.10,2.10,2.10,2.10,2800,1.96462
2015-01-21,2.06,2.06,2.06,2.06,25000,1.9272
2015-01-22,2.03,2.04,2.00,2.00,43800,1.87106
2015-01-23,2.00,2.00,2.00,2.00,000,1.87106
2015-01-26,2.00,2.00,2.00,2.00,000,1.87106
2015-01-27,2.00,2.00,2.00,2.00,200,1.87106
2015-01-28,2.00,2.00,2.00,2.00,000,1.87106
2015-01-29,2.11,2.11,2.11,2.11,15200,1.97397
2015-01-30,2.12,2.12,2.05,2.10,7500,1.96462
2015-02-02,2.15,2.15,2.13,2.15,25200,2.01139
2015-02-03,2.06,2.06,2.06,2.06,3000,1.9272
2015-02-04,2.04,2.06,2.04,2.05,3400,1.91784
2015-02-05,2.05,2.05,2.05,2.05,000,1.91784
2015-02-06,2.02,2.02,2.02,2.02,3300,1.88977
2015-02-09,2.02,2.03,2.02,2.02,1700,1.88977
2015-02-10,2.06,2.06,2.05,2.05,880300,1.91784
2015-02-11,2.05,2.05,2.05,2.05,000,1.91784
2015-02-12,2.20,2.23,2.15,2.23,10300,2.08624
2015-02-13,2.23,2.23,2.23,2.23,000,2.08624
2015-02-16,2.21,2.21,2.20,2.20,19900,2.05817
2015-02-17,2.20,2.20,2.19,2.19,400,2.04882
2015-02-18,2.06,2.07,2.06,2.07,800,1.93655
2015-02-19,2.20,2.30,2.20,2.30,11000,2.15172
2015-02-20,2.25,2.25,2.25,2.25,1700,2.10495
2015-02-23,2.25,2.25,2.25,2.25,2300,2.10495
2015-02-24,2.25,2.25,2.20,2.20,4500,2.05817
2015-02-25,2.20,2.20,2.20,2.20,000,2.05817
2015-02-26,2.20,2.20,2.20,2.20,000,2.05817
2015-02-27,2.17,2.17,2.17,2.17,900,2.0301
2015-03-02,2.17,2.17,2.17,2.17,000,2.0301
2015-03-03,2.28,2.29,2.28,2.29,4500,2.14237
2015-03-04,2.29,2.29,2.29,2.29,000,2.14237
2015-03-05,2.23,2.29,2.23,2.29,9200,2.14237
2015-03-06,2.29,2.29,2.29,2.29,000,2.14237
2015-03-09,2.21,2.21,2.21,2.21,4400,2.06753
2015-03-10,2.20,2.20,2.20,2.20,4700,2.05817
2015-03-11,2.20,2.22,2.20,2.22,29900,2.07688
2015-03-12,2.22,2.22,2.22,2.22,000,2.07688
2015-03-13,2.22,2.22,2.22,2.22,000,2.07688
2015-03-16,2.22,2.28,2.22,2.25,6600,2.10495
2015-03-17,2.22,2.22,2.22,2.22,1000,2.07688
2015-03-18,2.16,2.16,2.16,2.16,200,2.02075
2015-03-19,2.16,2.24,2.16,2.24,5800,2.09559
2015-03-20,2.24,2.24,2.24,2.24,400,2.09559
2015-03-23,2.20,2.30,2.20,2.30,21600,2.15172
2015-03-24,2.30,2.30,2.30,2.30,000,2.15172
2015-03-25,2.30,2.30,2.30,2.30,000,2.15172
2015-03-26,2.30,2.30,2.30,2.30,000,2.15172
2015-03-27,2.30,2.30,2.30,2.30,2700,2.15172
2015-03-30,2.30,2.30,2.30,2.30,000,2.15172
2015-03-31,2.30,2.30,2.30,2.30,500,2.15172
2015-04-01,2.30,2.30,2.30,2.30,000,2.15172
2015-04-02,2.26,2.26,2.26,2.26,250000,2.1143
2015-04-03,2.26,2.26,2.26,2.26,000,2.1143
2015-04-06,2.26,2.26,2.26,2.26,000,2.1143
2015-04-07,2.28,2.28,2.26,2.28,297200,2.13301
2015-04-08,2.28,2.28,2.28,2.28,000,2.13301
2015-04-09,2.01,2.24,2.01,2.24,1600,2.09559
2015-04-10,2.26,2.26,2.26,2.26,600,2.1143
2015-04-13,2.26,2.26,2.26,2.26,3600,2.1143
2015-04-14,2.24,2.24,2.24,2.24,300,2.09559
2015-04-15,2.25,2.25,2.24,2.24,2100,2.09559
2015-04-16,2.24,2.24,2.24,2.24,23400,2.09559
2015-04-17,2.24,2.24,2.24,2.24,000,2.09559
2015-04-20,2.20,2.23,2.20,2.23,28200,2.08624
2015-04-21,2.22,2.22,2.20,2.20,9400,2.05817
2015-04-22,2.21,2.26,2.21,2.26,33400,2.1143
2015-04-23,2.21,2.21,2.21,2.21,125400,2.06753
2015-04-24,2.17,2.17,2.02,2.04,216600,1.90849
2015-04-27,2.15,2.15,2.15,2.15,1300,2.01139
2015-04-28,2.10,2.10,2.10,2.10,15800,1.96462
2015-04-29,2.10,2.10,2.10,2.10,000,1.96462
2015-04-30,2.10,2.10,2.10,2.10,000,1.96462
2015-05-01,2.05,2.07,2.05,2.05,84800,1.91784
2015-05-04,2.02,2.02,1.92,1.92,3700,1.79622
2015-05-05,1.95,1.97,1.92,1.97,1219300,1.843
2015-05-06,1.98,1.98,1.955,1.98,41800,1.85235
2015-05-07,1.98,1.98,1.98,1.98,000,1.85235
2015-05-08,1.96,2.00,1.95,2.00,7100,1.87106
2015-05-11,2.00,2.00,2.00,2.00,000,1.87106
2015-05-12,1.93,1.93,1.93,1.93,5400,1.80558
2015-05-13,1.92,1.92,1.92,1.92,000,1.79622
2015-05-14,1.92,1.92,1.92,1.92,1200,1.79622
2015-05-15,1.93,1.93,1.93,1.93,500,1.80558
2015-05-18,1.93,1.93,1.91,1.91,3900,1.78687
2015-05-19,1.91,1.91,1.91,1.91,200,1.78687
2015-05-20,1.91,1.92,1.91,1.92,134800,1.79622
2015-05-21,1.92,1.92,1.92,1.92,000,1.79622
2015-05-22,1.92,1.93,1.92,1.93,3900,1.80558
2015-05-25,1.93,1.93,1.93,1.93,1700,1.80558
2015-05-26,2.06,2.20,2.06,2.06,610000,1.9272
2015-05-27,2.06,2.13,2.06,2.13,18500,1.99268
2015-05-28,2.16,2.16,2.13,2.13,27800,1.99268
2015-05-29,2.10,2.10,2.10,2.10,1600,1.96462
2015-06-01,2.10,2.14,2.10,2.14,2800,2.00204
2015-06-02,2.15,2.15,2.15,2.15,1800,2.01139
2015-06-03,2.15,2.15,2.14,2.15,214600,2.01139
2015-06-04,2.16,2.16,2.13,2.16,80000,2.02075
2015-06-05,2.13,2.13,2.13,2.13,45400,1.99268
2015-06-08,2.13,2.13,2.13,2.13,000,1.99268
2015-06-09,2.13,2.13,2.10,2.13,76300,1.99268
2015-06-10,2.03,2.15,1.99,2.09,233700,2.01642
2015-06-11,2.03,2.03,2.03,2.03,242700,1.95853
2015-06-12,2.03,2.03,2.03,2.03,1700,1.95853
2015-06-15,2.03,2.03,2.03,2.03,800,1.95853
2015-06-16,2.00,2.00,2.00,2.00,1100,1.92959
2015-06-17,2.00,2.00,2.00,2.00,17700,1.92959
2015-06-18,2.00,2.00,2.00,2.00,400,1.92959
2015-06-19,2.05,2.05,1.995,1.995,8500,1.92476
2015-06-22,2.01,2.01,1.91,1.97,6400,1.90064
2015-06-23,1.95,2.00,1.95,2.00,16400,1.92959
2015-06-24,1.94,1.94,1.94,1.94,1400,1.8717
2015-06-25,1.94,1.995,1.90,1.995,6100,1.92476
2015-06-26,1.99,2.00,1.90,1.995,15600,1.92476
2015-06-29,1.995,1.995,1.995,1.995,000,1.92476
2015-06-30,1.995,1.995,1.995,1.995,000,1.92476
2015-07-01,1.92,1.98,1.92,1.98,5000,1.91029
2015-07-02,1.98,1.98,1.98,1.98,000,1.91029
2015-07-03,1.92,1.95,1.92,1.95,23600,1.88135
2015-07-06,1.90,1.90,1.90,1.90,12100,1.83311
2015-07-07,1.95,1.95,1.90,1.90,6400,1.83311
2015-07-08,1.90,1.90,1.90,1.90,1000,1.83311
2015-07-09,1.90,1.90,1.90,1.90,000,1.83311
2015-07-10,1.90,1.90,1.90,1.90,600,1.83311
2015-07-13,1.91,1.91,1.91,1.91,400,1.84275
2015-07-14,1.92,1.92,1.90,1.90,6000,1.83311
2015-07-15,1.91,1.91,1.91,1.91,4600,1.84275
2015-07-16,1.90,1.92,1.90,1.92,6300,1.8524
2015-07-17,1.90,1.90,1.845,1.88,34600,1.81381
2015-07-20,1.88,1.90,1.88,1.90,27100,1.83311
2015-07-21,1.91,1.95,1.91,1.95,2100,1.88135
2015-07-22,1.90,1.90,1.90,1.90,300,1.83311
2015-07-23,1.90,1.90,1.90,1.90,1000,1.83311
2015-07-24,1.90,1.90,1.90,1.90,300,1.83311
2015-07-27,1.90,1.90,1.90,1.90,61500,1.83311
2015-07-28,1.905,1.91,1.905,1.91,2000,1.84275
2015-07-29,1.91,1.95,1.91,1.95,1400,1.88135
2015-07-30,1.95,1.97,1.93,1.97,178600,1.90064
2015-07-31,1.91,1.91,1.91,1.91,21200,1.84275
2015-08-03,1.91,1.91,1.91,1.91,000,1.84275
2015-08-04,1.92,1.92,1.90,1.90,9200,1.83311
2015-08-05,1.90,1.90,1.90,1.90,000,1.83311
2015-08-06,1.85,1.90,1.85,1.90,8700,1.83311
2015-08-07,1.86,1.90,1.86,1.90,1800,1.83311
2015-08-10,1.90,1.90,1.90,1.90,400,1.83311
2015-08-11,1.90,1.95,1.90,1.95,1000,1.88135
2015-08-12,1.91,1.93,1.91,1.91,507400,1.84275
2015-08-13,1.91,1.91,1.91,1.91,000,1.84275
2015-08-14,1.90,1.92,1.90,1.92,633800,1.8524
2015-08-17,1.93,1.93,1.865,1.865,3200,1.79934
2015-08-18,1.865,1.92,1.865,1.865,502900,1.79934
2015-08-19,1.88,1.88,1.88,1.88,900,1.81381
2015-08-20,1.89,1.89,1.86,1.86,1800,1.79451
2015-08-21,1.90,1.90,1.90,1.90,2700,1.83311
2015-08-24,1.87,1.87,1.87,1.87,5300,1.80416
2015-08-25,1.86,1.86,1.86,1.86,100,1.79451
2015-08-26,1.85,1.86,1.85,1.85,1100,1.78487
2015-08-27,1.85,1.87,1.835,1.86,503100,1.79451
2015-08-28,1.86,1.86,1.86,1.86,000,1.79451
2015-08-31,1.87,1.87,1.87,1.87,000,1.80416
2015-09-01,1.85,1.86,1.85,1.86,500000,1.79451
2015-09-02,1.81,1.81,1.81,1.81,500,1.74628
2015-09-03,1.81,1.81,1.81,1.81,000,1.74628
2015-09-04,1.82,1.82,1.82,1.82,500,1.75592
2015-09-07,1.82,1.82,1.82,1.82,000,1.75592
2015-09-08,1.87,1.87,1.87,1.87,500,1.80416
2015-09-09,1.87,1.87,1.87,1.87,31900,1.80416
2015-09-10,1.87,1.87,1.87,1.87,000,1.80416
2015-09-11,1.84,1.85,1.76,1.76,703900,1.69804
2015-09-14,1.80,1.81,1.80,1.81,800,1.74628
2015-09-15,1.83,1.88,1.83,1.88,302900,1.81381
2015-09-16,1.88,1.88,1.88,1.88,000,1.81381
2015-09-17,1.88,1.88,1.88,1.88,000,1.81381
2015-09-18,1.88,1.88,1.88,1.88,000,1.81381
2015-09-21,1.83,1.83,1.83,1.83,800,1.76557
2015-09-22,1.83,1.83,1.83,1.83,100,1.76557
2015-09-23,1.81,1.81,1.81,1.81,900,1.74628
2015-09-24,1.81,1.85,1.81,1.85,8000,1.78487
2015-09-25,1.85,1.85,1.85,1.85,200,1.78487
2015-09-28,1.85,1.85,1.85,1.85,000,1.78487
2015-09-29,1.88,1.88,1.88,1.88,300,1.81381
2015-09-30,1.88,1.88,1.88,1.88,000,1.81381
2015-10-01,1.88,1.88,1.88,1.88,000,1.81381
2015-10-02,1.88,1.88,1.88,1.88,1400,1.81381
2015-10-05,1.80,1.80,1.80,1.80,000,1.73663
2015-10-06,1.80,1.80,1.80,1.80,000,1.73663
2015-10-07,1.72,1.72,1.72,1.72,400,1.65944
2015-10-08,1.735,1.735,1.735,1.735,1000,1.67392
2015-10-09,1.735,1.735,1.735,1.735,000,1.67392
2015-10-12,1.74,1.74,1.74,1.74,800,1.67874
2015-10-13,1.74,1.79,1.735,1.735,18300,1.67392
2015-10-14,1.74,1.74,1.74,1.74,453400,1.67874
2015-10-15,1.74,1.74,1.74,1.74,000,1.67874
2015-10-16,1.74,1.74,1.74,1.74,000,1.67874
2015-10-19,1.76,1.76,1.76,1.76,100,1.69804
2015-10-20,1.78,1.78,1.78,1.78,000,1.71733
2015-10-21,1.78,1.78,1.78,1.78,000,1.71733
2015-10-22,1.88,1.88,1.76,1.76,1200,1.69804
2015-10-23,1.88,1.88,1.88,1.88,200900,1.81381
2015-10-26,1.88,1.88,1.88,1.88,000,1.81381
2015-10-27,1.91,2.02,1.865,1.87,57400,1.80416
2015-10-28,1.87,1.87,1.87,1.87,000,1.80416
2015-10-29,1.96,1.96,1.96,1.96,000,1.89099
2015-10-30,1.96,1.96,1.96,1.96,200,1.89099
2015-11-02,1.96,1.96,1.96,1.96,000,1.89099
2015-11-03,1.935,1.94,1.935,1.935,1200,1.86687
2015-11-04,1.935,1.935,1.935,1.935,000,1.86687
2015-11-05,1.935,1.935,1.935,1.935,000,1.86687
2015-11-06,1.85,1.87,1.85,1.86,400,1.79451
2015-11-09,1.88,1.88,1.88,1.88,5300,1.81381
2015-11-10,1.88,1.88,1.88,1.88,000,1.81381
2015-11-11,1.91,1.91,1.91,1.91,300,1.84275
2015-11-12,1.91,1.91,1.91,1.91,000,1.84275
2015-11-13,1.91,1.935,1.91,1.935,1000,1.86687
2015-11-16,1.935,1.935,1.935,1.935,000,1.86687
2015-11-17,1.88,1.88,1.88,1.88,300,1.81381
2015-11-18,1.88,1.88,1.88,1.88,000,1.81381
2015-11-19,1.88,1.88,1.88,1.88,000,1.81381
2015-11-20,1.88,1.88,1.88,1.88,000,1.81381
2015-11-23,1.78,1.78,1.78,1.78,6700,1.71733
2015-11-24,1.78,1.78,1.78,1.78,000,1.71733
2015-11-25,1.78,1.78,1.78,1.78,000,1.71733
2015-11-26,1.73,1.78,1.72,1.78,500,1.71733
2015-11-27,1.72,1.72,1.72,1.72,3400,1.65944
2015-11-30,1.72,1.72,1.72,1.72,000,1.65944
2015-12-01,1.72,1.72,1.72,1.72,000,1.65944
2015-12-02,1.72,1.72,1.72,1.72,000,1.65944
2015-12-03,1.72,1.72,1.72,1.72,000,1.65944
2015-12-04,1.72,1.72,1.72,1.72,000,1.65944
2015-12-07,1.72,1.72,1.72,1.72,000,1.65944
2015-12-08,1.69,1.69,1.69,1.69,1900,1.6305
2015-12-09,1.69,1.69,1.69,1.69,000,1.6305
2015-12-10,1.80,1.80,1.795,1.795,15100,1.7318
2015-12-11,1.72,1.72,1.72,1.72,6200,1.65944
2015-12-14,1.72,1.72,1.72,1.72,000,1.65944
2015-12-15,1.72,1.72,1.72,1.72,000,1.65944
2015-12-16,1.72,1.72,1.72,1.72,000,1.65944
2015-12-17,1.72,1.72,1.72,1.72,000,1.65944
2015-12-18,1.72,1.72,1.72,1.72,000,1.65944
2015-12-21,1.68,1.68,1.68,1.68,8100,1.62085
2015-12-22,1.72,1.72,1.72,1.72,800,1.65944
2015-12-23,1.795,1.795,1.79,1.795,9700,1.7318
2015-12-24,1.795,1.795,1.795,1.795,000,1.7318
2015-12-25,1.795,1.795,1.795,1.795,000,1.7318
2015-12-28,1.795,1.795,1.795,1.795,000,1.7318
2015-12-29,1.85,1.85,1.85,1.85,10000,1.78487
2015-12-30,1.85,1.85,1.85,1.85,000,1.78487
2015-12-31,1.85,1.85,1.85,1.85,000,1.78487
2016-01-01,1.85,1.85,1.85,1.85,000,1.78487
2016-01-04,1.85,1.85,1.85,1.85,000,1.78487
2016-01-05,1.765,1.78,1.765,1.78,2400,1.71733
2016-01-06,1.78,1.78,1.78,1.78,000,1.71733
2016-01-07,1.78,1.78,1.78,1.78,000,1.71733
2016-01-08,1.77,1.78,1.70,1.71,65500,1.6498
2016-01-11,1.71,1.71,1.71,1.71,40800,1.6498
2016-01-12,1.71,1.71,1.71,1.71,000,1.6498
2016-01-13,1.75,1.75,1.71,1.75,36700,1.68839
