Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.18,0.18,0.18,0.18,000,0.18
2015-01-02,0.18,0.18,0.18,0.18,000,0.18
2015-01-05,0.17,0.17,0.17,0.17,25000,0.17
2015-01-06,0.17,0.17,0.17,0.17,000,0.17
2015-01-07,0.175,0.175,0.175,0.175,28100,0.175
2015-01-08,0.175,0.175,0.175,0.175,10000,0.175
2015-01-09,0.18,0.185,0.18,0.185,151200,0.185
2015-01-12,0.185,0.195,0.185,0.19,117600,0.19
2015-01-13,0.185,0.19,0.185,0.185,224200,0.185
2015-01-14,0.195,0.195,0.195,0.195,58700,0.195
2015-01-15,0.195,0.215,0.19,0.21,257200,0.21
2015-01-16,0.21,0.22,0.205,0.205,209400,0.205
2015-01-19,0.20,0.21,0.20,0.20,76900,0.20
2015-01-20,0.215,0.23,0.205,0.205,402000,0.205
2015-01-21,0.21,0.21,0.20,0.21,404600,0.21
2015-01-22,0.22,0.25,0.22,0.25,569000,0.25
2015-01-23,0.255,0.255,0.25,0.255,320800,0.255
2015-01-26,0.255,0.255,0.255,0.255,000,0.255
2015-01-27,0.255,0.275,0.25,0.25,156200,0.25
2015-01-28,0.25,0.25,0.23,0.23,163500,0.23
2015-01-29,0.235,0.235,0.235,0.235,4200,0.235
2015-01-30,0.235,0.235,0.23,0.23,21300,0.23
2015-02-02,0.22,0.22,0.21,0.215,232400,0.215
2015-02-03,0.23,0.24,0.225,0.23,460000,0.23
2015-02-04,0.24,0.24,0.23,0.23,24000,0.23
2015-02-05,0.23,0.23,0.23,0.23,000,0.23
2015-02-06,0.23,0.23,0.225,0.225,309800,0.225
2015-02-09,0.225,0.225,0.22,0.22,170100,0.22
2015-02-10,0.22,0.22,0.21,0.22,70000,0.22
2015-02-11,0.21,0.22,0.21,0.22,314800,0.22
2015-02-12,0.22,0.22,0.22,0.22,55200,0.22
2015-02-13,0.22,0.225,0.22,0.225,93000,0.225
2015-02-16,0.225,0.24,0.225,0.24,256400,0.24
2015-02-17,0.245,0.26,0.245,0.255,287200,0.255
2015-02-18,0.255,0.295,0.255,0.295,470000,0.295
2015-02-19,0.295,0.325,0.28,0.29,851800,0.29
2015-02-20,0.29,0.315,0.29,0.295,592600,0.295
2015-02-23,0.295,0.295,0.285,0.285,150000,0.285
2015-02-24,0.285,0.29,0.285,0.29,327700,0.29
2015-02-25,0.29,0.35,0.29,0.35,1193500,0.35
