Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.20,0.20,0.20,0.20,000,0.20
2015-01-02,0.20,0.20,0.20,0.20,000,0.20
2015-01-05,0.20,0.20,0.20,0.20,000,0.20
2015-01-06,0.20,0.20,0.20,0.20,3000,0.20
2015-01-07,0.20,0.20,0.20,0.20,4000,0.20
2015-01-08,0.20,0.20,0.20,0.20,000,0.20
2015-01-09,0.20,0.20,0.20,0.20,000,0.20
2015-01-12,0.20,0.20,0.20,0.20,1000,0.20
2015-01-13,0.20,0.20,0.20,0.20,000,0.20
2015-01-14,0.20,0.20,0.20,0.20,000,0.20
2015-01-15,0.20,0.20,0.20,0.20,000,0.20
2015-01-16,0.20,0.20,0.20,0.20,000,0.20
2015-01-19,0.20,0.20,0.20,0.20,000,0.20
2015-01-20,0.20,0.20,0.20,0.20,000,0.20
2015-01-21,0.20,0.20,0.20,0.20,000,0.20
2015-01-22,0.20,0.20,0.20,0.20,000,0.20
2015-01-23,0.20,0.20,0.20,0.20,000,0.20
2015-01-26,0.20,0.20,0.20,0.20,000,0.20
2015-01-27,0.20,0.20,0.20,0.20,000,0.20
2015-01-28,0.20,0.20,0.20,0.20,000,0.20
2015-01-29,0.20,0.20,0.20,0.20,000,0.20
2015-01-30,0.20,0.20,0.20,0.20,000,0.20
2015-02-02,0.20,0.20,0.20,0.20,100000,0.20
2015-02-03,0.20,0.20,0.20,0.20,000,0.20
2015-02-04,0.20,0.20,0.20,0.20,125000,0.20
2015-02-05,0.20,0.20,0.20,0.20,000,0.20
2015-02-06,0.20,0.20,0.20,0.20,000,0.20
2015-02-09,0.20,0.20,0.20,0.20,000,0.20
2015-02-10,0.20,0.20,0.20,0.20,000,0.20
2015-02-11,0.20,0.20,0.20,0.20,000,0.20
2015-02-12,0.20,0.20,0.20,0.20,000,0.20
2015-02-13,0.20,0.20,0.20,0.20,000,0.20
2015-02-16,0.20,0.20,0.20,0.20,000,0.20
2015-02-17,0.18,0.18,0.18,0.18,1000,0.18
2015-02-18,0.185,0.19,0.185,0.19,25000,0.19
2015-02-19,0.19,0.19,0.19,0.19,20000,0.19
2015-02-20,0.19,0.19,0.19,0.19,000,0.19
2015-02-23,0.19,0.19,0.19,0.19,000,0.19
2015-02-24,0.19,0.19,0.19,0.19,000,0.19
2015-02-25,0.20,0.20,0.20,0.20,499000,0.20
2015-02-26,0.20,0.20,0.20,0.20,55000,0.20
2015-02-27,0.20,0.20,0.20,0.20,117000,0.20
2015-03-02,0.195,0.195,0.195,0.195,97300,0.195
2015-03-03,0.20,0.20,0.20,0.20,30200,0.20
2015-03-04,0.20,0.20,0.195,0.195,50000,0.195
2015-03-05,0.195,0.195,0.195,0.195,000,0.195
2015-03-06,0.195,0.195,0.195,0.195,000,0.195
2015-03-09,0.20,0.20,0.20,0.20,260000,0.20
2015-03-10,0.20,0.20,0.20,0.20,85000,0.20
2015-03-11,0.20,0.20,0.20,0.20,000,0.20
2015-03-12,0.20,0.20,0.20,0.20,000,0.20
2015-03-13,0.20,0.20,0.20,0.20,000,0.20
2015-03-16,0.20,0.20,0.20,0.20,000,0.20
2015-03-17,0.22,0.22,0.22,0.22,20000,0.22
2015-03-18,0.22,0.22,0.22,0.22,000,0.22
2015-03-19,0.22,0.22,0.22,0.22,000,0.22
2015-03-20,0.22,0.22,0.22,0.22,000,0.22
2015-03-23,0.205,0.205,0.20,0.20,40000,0.20
2015-03-24,0.20,0.20,0.20,0.20,000,0.20
2015-03-25,0.20,0.20,0.20,0.20,000,0.20
2015-03-26,0.20,0.20,0.20,0.20,000,0.20
2015-03-27,0.20,0.20,0.20,0.20,000,0.20
2015-03-30,0.20,0.20,0.20,0.20,000,0.20
2015-03-31,0.20,0.21,0.20,0.21,87000,0.21
2015-04-01,0.22,0.22,0.22,0.22,22700,0.22
2015-04-02,0.22,0.22,0.22,0.22,30000,0.22
2015-04-03,0.22,0.22,0.22,0.22,000,0.22
2015-04-06,0.22,0.22,0.22,0.22,000,0.22
2015-04-07,0.205,0.205,0.20,0.20,33700,0.20
2015-04-08,0.20,0.20,0.20,0.20,000,0.20
2015-04-09,0.20,0.20,0.20,0.20,000,0.20
2015-04-10,0.20,0.20,0.20,0.20,000,0.20
2015-04-13,0.20,0.20,0.20,0.20,000,0.20
2015-04-14,0.20,0.20,0.20,0.20,000,0.20
2015-04-15,0.20,0.20,0.20,0.20,000,0.20
2015-04-16,0.20,0.20,0.16,0.19,101000,0.19
2015-04-17,0.19,0.19,0.19,0.19,000,0.19
2015-04-20,0.19,0.19,0.19,0.19,000,0.19
2015-04-21,0.205,0.21,0.20,0.21,328300,0.21
2015-04-22,0.21,0.21,0.21,0.21,000,0.21
2015-04-23,0.21,0.21,0.21,0.21,000,0.21
2015-04-24,0.22,0.22,0.22,0.22,23000,0.22
2015-04-27,0.21,0.21,0.21,0.21,100000,0.21
2015-04-28,0.21,0.21,0.21,0.21,20000,0.21
2015-04-29,0.21,0.21,0.21,0.21,000,0.21
2015-04-30,0.21,0.21,0.21,0.21,000,0.21
2015-05-01,0.21,0.21,0.21,0.21,000,0.21
2015-05-04,0.21,0.21,0.21,0.21,000,0.21
2015-05-05,0.21,0.21,0.21,0.21,000,0.21
2015-05-06,0.21,0.21,0.21,0.21,000,0.21
2015-05-07,0.21,0.21,0.21,0.21,000,0.21
2015-05-08,0.20,0.20,0.20,0.20,16600,0.20
2015-05-11,0.20,0.20,0.20,0.20,000,0.20
2015-05-12,0.16,0.16,0.16,0.16,9300,0.16
2015-05-13,0.20,0.20,0.20,0.20,25000,0.20
2015-05-14,0.20,0.20,0.20,0.20,000,0.20
2015-05-15,0.20,0.20,0.20,0.20,000,0.20
2015-05-18,0.20,0.20,0.20,0.20,000,0.20
2015-05-19,0.20,0.20,0.20,0.20,000,0.20
2015-05-20,0.20,0.20,0.18,0.195,31000,0.195
2015-05-21,0.195,0.195,0.195,0.195,000,0.195
2015-05-22,0.195,0.195,0.195,0.195,000,0.195
2015-05-25,0.195,0.195,0.195,0.195,000,0.195
2015-05-26,0.195,0.195,0.195,0.195,000,0.195
2015-05-27,0.21,0.21,0.21,0.21,20000,0.21
2015-05-28,0.21,0.21,0.21,0.21,000,0.21
2015-05-29,0.21,0.21,0.21,0.21,000,0.21
2015-06-01,0.21,0.21,0.21,0.21,000,0.21
2015-06-02,0.21,0.21,0.21,0.21,000,0.21
2015-06-03,0.21,0.21,0.21,0.21,000,0.21
2015-06-04,0.21,0.21,0.21,0.21,000,0.21
2015-06-05,0.21,0.21,0.21,0.21,000,0.21
2015-06-08,0.21,0.21,0.21,0.21,000,0.21
2015-06-09,0.21,0.21,0.21,0.21,000,0.21
2015-06-10,0.21,0.21,0.21,0.21,000,0.21
2015-06-11,0.21,0.21,0.21,0.21,000,0.21
2015-06-12,0.21,0.21,0.21,0.21,000,0.21
2015-06-15,0.21,0.21,0.21,0.21,000,0.21
