Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.007,0.007,0.007,0.007,000,0.007
2015-01-02,0.007,0.007,0.007,0.007,000,0.007
2015-01-05,0.007,0.007,0.007,0.007,000,0.007
2015-01-06,0.006,0.007,0.006,0.006,430600,0.006
2015-01-07,0.007,0.007,0.007,0.007,600000,0.007
2015-01-08,0.007,0.007,0.007,0.007,341000,0.007
2015-01-09,0.007,0.009,0.007,0.009,499700,0.009
2015-01-12,0.009,0.009,0.009,0.009,000,0.009
2015-01-13,0.009,0.009,0.009,0.009,465500,0.009
2015-01-14,0.009,0.009,0.009,0.009,000,0.009
2015-01-15,0.009,0.009,0.009,0.009,000,0.009
2015-01-16,0.009,0.009,0.009,0.009,192200,0.009
2015-01-19,0.009,0.009,0.009,0.009,000,0.009
2015-01-20,0.008,0.008,0.008,0.008,180000,0.008
2015-01-21,0.008,0.008,0.008,0.008,000,0.008
2015-01-22,0.008,0.008,0.008,0.008,000,0.008
2015-01-23,0.008,0.008,0.008,0.008,000,0.008
2015-01-26,0.008,0.008,0.008,0.008,000,0.008
2015-01-27,0.008,0.008,0.008,0.008,20000,0.008
2015-01-28,0.008,0.008,0.008,0.008,000,0.008
2015-01-29,0.008,0.008,0.008,0.008,000,0.008
2015-01-30,0.007,0.007,0.006,0.006,254400,0.006
2015-02-02,0.008,0.008,0.007,0.007,642100,0.007
2015-02-03,0.007,0.007,0.007,0.007,000,0.007
2015-02-04,0.007,0.007,0.007,0.007,500000,0.007
2015-02-05,0.007,0.007,0.007,0.007,000,0.007
2015-02-06,0.007,0.007,0.007,0.007,350000,0.007
2015-02-09,0.007,0.007,0.007,0.007,000,0.007
2015-02-10,0.007,0.007,0.007,0.007,000,0.007
2015-02-11,0.007,0.007,0.007,0.007,139700,0.007
2015-02-12,0.008,0.008,0.007,0.007,265000,0.007
2015-02-13,0.008,0.008,0.008,0.008,175000,0.008
2015-02-16,0.007,0.008,0.007,0.008,103700,0.008
2015-02-17,0.007,0.008,0.007,0.008,141500,0.008
2015-02-18,0.007,0.008,0.007,0.008,1179800,0.008
2015-02-19,0.008,0.008,0.008,0.008,507600,0.008
2015-02-20,0.008,0.008,0.008,0.008,000,0.008
2015-02-23,0.008,0.008,0.008,0.008,68500,0.008
2015-02-24,0.008,0.008,0.008,0.008,000,0.008
2015-02-25,0.008,0.008,0.008,0.008,000,0.008
2015-02-26,0.008,0.009,0.008,0.009,200000,0.009
2015-02-27,0.009,0.009,0.008,0.008,238700,0.008
2015-03-02,0.008,0.008,0.008,0.008,000,0.008
2015-03-03,0.008,0.008,0.008,0.008,000,0.008
2015-03-04,0.009,0.01,0.009,0.01,535900,0.01
2015-03-05,0.009,0.009,0.009,0.009,215000,0.009
2015-03-06,0.01,0.01,0.008,0.008,167300,0.008
2015-03-09,0.01,0.01,0.01,0.01,51200,0.01
2015-03-10,0.01,0.01,0.01,0.01,000,0.01
2015-03-11,0.01,0.011,0.01,0.011,250000,0.011
2015-03-12,0.011,0.011,0.011,0.011,000,0.011
2015-03-13,0.009,0.009,0.008,0.008,1168300,0.008
2015-03-16,0.008,0.008,0.008,0.008,000,0.008
2015-03-17,0.008,0.008,0.007,0.007,1234400,0.007
2015-03-18,0.007,0.007,0.007,0.007,1452000,0.007
2015-03-19,0.007,0.007,0.007,0.007,170000,0.007
2015-03-20,0.007,0.007,0.007,0.007,000,0.007
2015-03-23,0.007,0.008,0.007,0.008,666500,0.008
2015-03-24,0.007,0.007,0.007,0.007,100000,0.007
2015-03-25,0.008,0.009,0.008,0.009,1352000,0.009
2015-03-26,0.009,0.009,0.009,0.009,000,0.009
2015-03-27,0.008,0.008,0.008,0.008,760000,0.008
2015-03-30,0.008,0.008,0.008,0.008,319900,0.008
2015-03-31,0.008,0.008,0.008,0.008,2000,0.008
2015-04-01,0.008,0.008,0.008,0.008,7000,0.008
2015-04-02,0.008,0.009,0.008,0.009,64600,0.009
