Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.69,0.69,0.69,0.69,000,0.69
2015-01-02,0.68,0.68,0.665,0.665,44000,0.665
2015-01-05,0.68,0.705,0.675,0.705,305400,0.705
2015-01-06,0.70,0.70,0.685,0.695,233200,0.695
2015-01-07,0.71,0.725,0.70,0.71,486900,0.71
2015-01-08,0.725,0.735,0.72,0.73,517400,0.73
2015-01-09,0.77,0.795,0.77,0.775,1112900,0.775
2015-01-12,0.815,0.83,0.815,0.825,956200,0.825
2015-01-13,0.83,0.84,0.82,0.82,742700,0.82
2015-01-14,0.855,0.895,0.855,0.89,1276900,0.89
2015-01-15,0.925,0.93,0.895,0.90,1272400,0.90
2015-01-16,0.88,0.88,0.815,0.825,1720400,0.825
2015-01-19,0.825,0.835,0.815,0.825,863900,0.825
2015-01-20,0.825,0.85,0.815,0.85,290900,0.85
2015-01-21,0.88,0.91,0.88,0.91,1871000,0.91
2015-01-22,0.895,0.895,0.875,0.89,305400,0.89
2015-01-23,0.915,0.925,0.90,0.90,1076200,0.90
2015-01-26,0.90,0.90,0.90,0.90,000,0.90
2015-01-27,0.95,0.975,0.945,0.95,1805000,0.95
2015-01-28,0.96,0.97,0.955,0.96,1147700,0.96
2015-01-29,0.88,0.885,0.865,0.87,617500,0.87
2015-01-30,0.87,0.87,0.87,0.87,000,0.87
2015-02-02,0.86,0.87,0.85,0.85,1057800,0.85
2015-02-03,0.85,0.86,0.85,0.86,288600,0.86
2015-02-04,0.86,0.86,0.845,0.845,476700,0.845
2015-02-05,0.835,0.835,0.815,0.815,451900,0.815
2015-02-06,0.85,0.88,0.85,0.87,943500,0.87
2015-02-09,0.85,0.89,0.85,0.885,574300,0.885
2015-02-10,0.865,0.87,0.845,0.845,226100,0.845
2015-02-11,0.955,1.00,0.955,0.975,2345600,0.975
2015-02-12,0.96,0.975,0.96,0.975,1094700,0.975
2015-02-13,0.91,0.93,0.905,0.915,714600,0.915
2015-02-16,0.92,0.93,0.905,0.91,188100,0.91
2015-02-17,0.91,0.93,0.905,0.91,328000,0.91
2015-02-18,0.88,0.90,0.875,0.895,498600,0.895
2015-02-19,0.88,0.885,0.865,0.87,234700,0.87
2015-02-20,0.86,0.865,0.855,0.855,192800,0.855
2015-02-23,0.845,0.845,0.83,0.84,214200,0.84
2015-02-24,0.855,0.87,0.855,0.855,228900,0.855
2015-02-25,0.855,0.86,0.85,0.855,230100,0.855
2015-02-26,0.85,0.885,0.85,0.885,333300,0.885
2015-02-27,0.89,0.90,0.88,0.88,150100,0.88
2015-03-02,0.85,0.85,0.83,0.83,410800,0.83
2015-03-03,0.83,0.83,0.82,0.825,68700,0.825
2015-03-04,0.815,0.815,0.80,0.805,153200,0.805
2015-03-05,0.815,0.84,0.815,0.825,174600,0.825
2015-03-06,0.84,0.85,0.84,0.85,136200,0.85
2015-03-09,0.845,0.845,0.82,0.82,82100,0.82
