Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.14,0.14,0.14,0.14,000,0.14
2015-01-02,0.135,0.14,0.13,0.14,340000,0.14
2015-01-05,0.14,0.14,0.135,0.14,370800,0.14
2015-01-06,0.135,0.14,0.135,0.14,617000,0.14
2015-01-07,0.14,0.14,0.135,0.14,462300,0.14
2015-01-08,0.135,0.14,0.135,0.135,921400,0.135
2015-01-09,0.135,0.14,0.135,0.14,536500,0.14
2015-01-12,0.14,0.14,0.13,0.14,489500,0.14
2015-01-13,0.14,0.145,0.14,0.145,106700,0.145
2015-01-14,0.145,0.145,0.145,0.145,000,0.145
2015-01-15,0.145,0.145,0.145,0.145,000,0.145
2015-01-16,0.14,0.14,0.13,0.135,200000,0.135
2015-01-19,0.135,0.14,0.125,0.135,581800,0.135
2015-01-20,0.13,0.135,0.13,0.135,168000,0.135
2015-01-21,0.13,0.135,0.13,0.135,78000,0.135
2015-01-22,0.13,0.14,0.13,0.14,400000,0.14
2015-01-23,0.14,0.14,0.14,0.14,000,0.14
2015-01-26,0.14,0.14,0.14,0.14,000,0.14
2015-01-27,0.14,0.14,0.14,0.14,000,0.14
2015-01-28,0.13,0.13,0.125,0.125,106800,0.125
2015-01-29,0.125,0.125,0.115,0.115,195000,0.115
2015-01-30,0.115,0.12,0.10,0.10,321400,0.10
2015-02-02,0.11,0.115,0.11,0.11,229900,0.11
2015-02-03,0.115,0.12,0.115,0.115,281100,0.115
2015-02-04,0.115,0.12,0.115,0.115,370000,0.115
2015-02-05,0.115,0.115,0.11,0.11,33900,0.11
2015-02-06,0.115,0.12,0.115,0.12,300000,0.12
2015-02-09,0.115,0.12,0.115,0.12,250000,0.12
2015-02-10,0.115,0.13,0.115,0.13,300000,0.13
2015-02-11,0.125,0.13,0.125,0.13,130600,0.13
2015-02-12,0.13,0.13,0.12,0.13,409000,0.13
2015-02-13,0.125,0.135,0.125,0.135,310000,0.135
2015-02-16,0.135,0.14,0.135,0.135,408800,0.135
2015-02-17,0.135,0.14,0.13,0.14,417500,0.14
2015-02-18,0.135,0.14,0.135,0.14,300000,0.14
2015-02-19,0.13,0.14,0.13,0.14,356000,0.14
2015-02-20,0.135,0.14,0.135,0.14,250000,0.14
2015-02-23,0.13,0.14,0.13,0.14,252200,0.14
2015-02-24,0.13,0.14,0.13,0.14,310000,0.14
2015-02-25,0.135,0.135,0.13,0.13,200000,0.13
2015-02-26,0.13,0.13,0.125,0.13,292200,0.13
2015-02-27,0.135,0.135,0.13,0.13,308200,0.13
2015-03-02,0.125,0.125,0.125,0.125,354900,0.125
2015-03-03,0.13,0.13,0.125,0.125,731500,0.125
2015-03-04,0.13,0.135,0.125,0.13,347400,0.13
2015-03-05,0.13,0.135,0.125,0.13,729700,0.13
2015-03-06,0.13,0.135,0.125,0.125,304900,0.125
2015-03-09,0.13,0.135,0.13,0.13,734900,0.13
2015-03-10,0.125,0.125,0.125,0.125,9000,0.125
2015-03-11,0.125,0.125,0.125,0.125,000,0.125
2015-03-12,0.125,0.125,0.125,0.125,18200,0.125
2015-03-13,0.125,0.125,0.125,0.125,286800,0.125
2015-03-16,0.125,0.125,0.125,0.125,000,0.125
2015-03-17,0.125,0.125,0.125,0.125,000,0.125
2015-03-18,0.12,0.12,0.105,0.105,275400,0.105
2015-03-19,0.12,0.12,0.12,0.12,158300,0.12
2015-03-20,0.115,0.12,0.115,0.115,194600,0.115
2015-03-23,0.115,0.115,0.115,0.115,39200,0.115
2015-03-24,0.115,0.115,0.11,0.11,82000,0.11
2015-03-25,0.11,0.11,0.105,0.105,312700,0.105
2015-03-26,0.11,0.12,0.11,0.12,481300,0.12
2015-03-27,0.11,0.11,0.11,0.11,705600,0.11
2015-03-30,0.11,0.115,0.11,0.115,296900,0.115
2015-03-31,0.11,0.11,0.105,0.11,63700,0.11
2015-04-01,0.11,0.11,0.11,0.11,1200,0.11
2015-04-02,0.105,0.105,0.105,0.105,30000,0.105
2015-04-03,0.105,0.105,0.105,0.105,000,0.105
2015-04-06,0.105,0.105,0.105,0.105,000,0.105
2015-04-07,0.105,0.11,0.105,0.11,150700,0.11
2015-04-08,0.105,0.105,0.105,0.105,37000,0.105
2015-04-09,0.105,0.115,0.105,0.115,210000,0.115
2015-04-10,0.115,0.115,0.115,0.115,147000,0.115
2015-04-13,0.115,0.115,0.105,0.105,426900,0.105
2015-04-14,0.105,0.11,0.105,0.11,12200,0.11
2015-04-15,0.105,0.105,0.10,0.10,162400,0.10
2015-04-16,0.10,0.10,0.10,0.10,12600,0.10
2015-04-17,0.10,0.10,0.10,0.10,225000,0.10
2015-04-20,0.10,0.11,0.10,0.11,290000,0.11
2015-04-21,0.11,0.11,0.11,0.11,10000,0.11
2015-04-22,0.10,0.11,0.10,0.11,140700,0.11
2015-04-23,0.10,0.10,0.096,0.10,819500,0.10
2015-04-24,0.10,0.10,0.10,0.10,370000,0.10
2015-04-27,0.10,0.10,0.096,0.10,246400,0.10
2015-04-28,0.096,0.096,0.096,0.096,25000,0.096
2015-04-29,0.096,0.096,0.096,0.096,84100,0.096
2015-04-30,0.10,0.10,0.097,0.097,396700,0.097
2015-05-01,0.10,0.10,0.097,0.097,259600,0.097
2015-05-04,0.097,0.097,0.097,0.097,000,0.097
2015-05-05,0.097,0.097,0.096,0.097,99200,0.097
2015-05-06,0.097,0.097,0.097,0.097,000,0.097
2015-05-07,0.097,0.098,0.097,0.097,120000,0.097
2015-05-08,0.097,0.097,0.097,0.097,000,0.097
2015-05-11,0.097,0.097,0.097,0.097,000,0.097
2015-05-12,0.098,0.098,0.096,0.096,299900,0.096
2015-05-13,0.096,0.096,0.096,0.096,205900,0.096
2015-05-14,0.096,0.096,0.096,0.096,7500,0.096
2015-05-15,0.097,0.097,0.097,0.097,10000,0.097
