Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.54,1.54,1.54,1.54,000,1.54
2015-01-02,1.54,1.54,1.54,1.54,000,1.54
2015-01-05,1.54,1.54,1.54,1.54,000,1.54
2015-01-06,1.54,1.54,1.54,1.54,000,1.54
2015-01-07,1.54,1.54,1.54,1.54,000,1.54
2015-01-08,1.54,1.54,1.54,1.54,000,1.54
2015-01-09,1.54,1.54,1.54,1.54,000,1.54
2015-01-12,2.00,2.00,2.00,2.00,9200,2.00
2015-01-13,1.54,1.54,1.54,1.54,000,1.54
2015-01-14,1.54,1.54,1.54,1.54,000,1.54
2015-01-15,1.54,1.54,1.54,1.54,000,1.54
2015-01-16,1.99,1.99,1.99,1.99,4000,1.99
2015-01-19,1.54,1.54,1.54,1.54,000,1.54
2015-01-20,1.54,1.54,1.54,1.54,000,1.54
2015-01-21,1.54,1.54,1.54,1.54,000,1.54
2015-01-22,1.54,1.54,1.54,1.54,000,1.54
2015-01-23,1.54,1.54,1.54,1.54,000,1.54
2015-01-27,1.54,1.54,1.54,1.54,000,1.54
2015-01-28,1.54,1.54,1.54,1.54,000,1.54
2015-01-29,1.54,1.54,1.54,1.54,000,1.54
2015-01-30,1.54,1.54,1.54,1.54,000,1.54
2015-02-02,2.10,2.10,2.10,2.10,10300,2.10
2015-02-03,1.54,1.54,1.54,1.54,000,1.54
2015-02-04,1.54,1.54,1.54,1.54,000,1.54
2015-02-05,2.11,2.11,2.11,2.11,14200,2.11
2015-02-06,1.54,1.54,1.54,1.54,000,1.54
2015-02-09,2.11,2.11,2.11,2.11,5800,2.11
2015-02-10,1.54,1.54,1.54,1.54,000,1.54
2015-02-11,1.54,1.54,1.54,1.54,000,1.54
2015-02-12,1.54,1.54,1.54,1.54,000,1.54
2015-02-13,1.54,1.54,1.54,1.54,000,1.54
2015-02-16,1.54,1.54,1.54,1.54,000,1.54
2015-02-17,1.54,1.54,1.54,1.54,000,1.54
2015-02-18,1.54,1.54,1.54,1.54,000,1.54
2015-02-19,1.54,1.54,1.54,1.54,000,1.54
2015-02-20,1.54,1.54,1.54,1.54,000,1.54
2015-02-23,1.54,1.54,1.54,1.54,000,1.54
2015-02-24,1.54,1.54,1.54,1.54,000,1.54
2015-02-25,1.54,1.54,1.54,1.54,000,1.54
2015-02-26,1.54,1.54,1.54,1.54,000,1.54
2015-02-27,1.54,1.54,1.54,1.54,000,1.54
2015-03-02,1.54,1.54,1.54,1.54,000,1.54
2015-03-03,1.54,1.54,1.54,1.54,000,1.54
2015-03-04,1.54,1.54,1.54,1.54,000,1.54
2015-03-05,1.54,1.54,1.54,1.54,000,1.54
2015-03-06,2.13,2.13,2.12,2.12,32800,2.12
2015-03-09,1.54,1.54,1.54,1.54,000,1.54
2015-03-10,1.54,1.54,1.54,1.54,000,1.54
2015-03-11,1.54,1.54,1.54,1.54,000,1.54
2015-03-12,1.54,1.54,1.54,1.54,000,1.54
2015-03-13,1.54,1.54,1.54,1.54,000,1.54
2015-03-16,1.54,1.54,1.54,1.54,000,1.54
2015-03-17,1.54,1.54,1.54,1.54,000,1.54
2015-03-18,1.54,1.54,1.54,1.54,000,1.54
2015-03-19,1.54,1.54,1.54,1.54,000,1.54
2015-03-20,1.54,1.54,1.54,1.54,000,1.54
2015-03-23,1.54,1.54,1.54,1.54,000,1.54
2015-03-24,1.54,1.54,1.54,1.54,000,1.54
2015-03-25,1.54,1.54,1.54,1.54,000,1.54
2015-03-26,1.54,1.54,1.54,1.54,000,1.54
2015-03-27,1.54,1.54,1.54,1.54,000,1.54
2015-03-30,1.54,1.54,1.54,1.54,000,1.54
2015-03-31,2.13,2.13,2.13,2.13,000,2.13
2015-04-01,1.54,1.54,1.54,1.54,000,1.54
2015-04-02,2.20,2.20,2.20,2.20,44000,2.20
2015-04-07,2.20,2.20,2.20,2.20,9200,2.20
2015-04-08,1.54,1.54,1.54,1.54,000,1.54
2015-04-09,1.54,1.54,1.54,1.54,000,1.54
2015-04-10,1.54,1.54,1.54,1.54,000,1.54
2015-04-13,1.54,1.54,1.54,1.54,000,1.54
2015-04-14,2.20,2.20,2.20,2.20,34300,2.20
2015-04-15,1.54,1.54,1.54,1.54,000,1.54
2015-04-16,1.54,1.54,1.54,1.54,000,1.54
2015-04-17,1.54,1.54,1.54,1.54,000,1.54
2015-04-20,1.54,1.54,1.54,1.54,000,1.54
2015-04-21,2.19,2.19,2.19,2.19,35600,2.19
2015-04-22,2.19,2.19,2.19,2.19,6900,2.19
2015-04-23,1.54,1.54,1.54,1.54,000,1.54
2015-04-24,1.54,1.54,1.54,1.54,000,1.54
2015-04-27,1.54,1.54,1.54,1.54,000,1.54
2015-04-28,1.54,1.54,1.54,1.54,000,1.54
2015-04-29,1.54,1.54,1.54,1.54,000,1.54
2015-04-30,2.04,2.04,2.04,2.04,000,2.04
2015-05-01,1.54,1.54,1.54,1.54,000,1.54
2015-05-04,2.16,2.16,2.16,2.16,20000,2.16
2015-05-05,1.54,1.54,1.54,1.54,000,1.54
2015-05-06,1.54,1.54,1.54,1.54,000,1.54
2015-05-07,1.54,1.54,1.54,1.54,000,1.54
2015-05-08,1.54,1.54,1.54,1.54,000,1.54
2015-05-11,1.54,1.54,1.54,1.54,000,1.54
2015-05-12,1.54,1.54,1.54,1.54,000,1.54
2015-05-13,1.54,1.54,1.54,1.54,000,1.54
2015-05-14,1.54,1.54,1.54,1.54,000,1.54
2015-05-15,1.54,1.54,1.54,1.54,000,1.54
2015-05-18,1.54,1.54,1.54,1.54,000,1.54
2015-05-19,1.54,1.54,1.54,1.54,000,1.54
2015-05-20,1.54,1.54,1.54,1.54,000,1.54
2015-05-21,1.54,1.54,1.54,1.54,000,1.54
2015-05-22,1.54,1.54,1.54,1.54,000,1.54
2015-05-25,1.54,1.54,1.54,1.54,000,1.54
2015-05-26,2.15,2.15,2.15,2.15,15100,2.15
2015-05-27,1.54,1.54,1.54,1.54,000,1.54
2015-05-28,2.18,2.18,2.18,2.18,11500,2.18
2015-05-29,1.54,1.54,1.54,1.54,000,1.54
2015-06-01,1.54,1.54,1.54,1.54,000,1.54
2015-06-02,2.21,2.21,2.21,2.21,11200,2.21
2015-06-03,1.54,1.54,1.54,1.54,000,1.54
2015-06-04,1.54,1.54,1.54,1.54,000,1.54
2015-06-05,1.54,1.54,1.54,1.54,000,1.54
2015-06-09,1.54,1.54,1.54,1.54,000,1.54
2015-06-10,1.54,1.54,1.54,1.54,000,1.54
2015-06-11,1.54,1.54,1.54,1.54,000,1.54
2015-06-12,1.54,1.54,1.54,1.54,000,1.54
2015-06-15,2.23,2.23,2.23,2.23,5000,2.23
2015-06-16,1.54,1.54,1.54,1.54,000,1.54
2015-06-17,1.54,1.54,1.54,1.54,000,1.54
2015-06-18,1.54,1.54,1.54,1.54,000,1.54
2015-06-19,1.54,1.54,1.54,1.54,000,1.54
2015-06-22,2.22,2.22,2.22,2.22,14200,2.22
2015-06-23,1.54,1.54,1.54,1.54,000,1.54
