Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.42,0.42,0.42,0.42,000,0.42
2015-01-02,0.415,0.42,0.41,0.41,304000,0.41
2015-01-05,0.41,0.425,0.41,0.425,1271700,0.425
2015-01-06,0.415,0.43,0.415,0.43,1010500,0.43
2015-01-07,0.43,0.435,0.425,0.435,1754000,0.435
2015-01-08,0.435,0.44,0.43,0.435,1617700,0.435
2015-01-09,0.44,0.44,0.43,0.435,430900,0.435
2015-01-12,0.43,0.435,0.425,0.435,1156700,0.435
2015-01-13,0.435,0.45,0.432,0.45,2408200,0.45
2015-01-14,0.445,0.45,0.44,0.44,929700,0.44
2015-01-15,0.44,0.45,0.435,0.445,1257800,0.445
2015-01-16,0.44,0.445,0.432,0.445,1846600,0.445
2015-01-19,0.445,0.445,0.44,0.44,90900,0.44
2015-01-20,0.44,0.445,0.44,0.445,406900,0.445
2015-01-21,0.45,0.46,0.45,0.46,2603000,0.46
2015-01-22,0.465,0.475,0.465,0.47,3576600,0.47
2015-01-23,0.47,0.47,0.46,0.465,1477700,0.465
2015-01-26,0.465,0.465,0.465,0.465,000,0.465
2015-01-27,0.465,0.47,0.46,0.47,1037500,0.47
2015-01-28,0.46,0.47,0.46,0.47,1310500,0.47
2015-01-29,0.47,0.47,0.465,0.47,1759000,0.47
2015-01-30,0.47,0.47,0.465,0.47,2011800,0.47
2015-02-02,0.465,0.47,0.46,0.46,1458300,0.46
2015-02-03,0.455,0.46,0.45,0.45,1639200,0.45
2015-02-04,0.45,0.45,0.43,0.435,3316400,0.435
2015-02-05,0.435,0.45,0.435,0.445,845300,0.445
2015-02-06,0.455,0.467,0.445,0.455,4347300,0.455
2015-02-09,0.46,0.47,0.455,0.47,1147900,0.47
2015-02-10,0.47,0.47,0.465,0.47,922800,0.47
2015-02-11,0.47,0.47,0.465,0.47,402400,0.47
2015-02-12,0.47,0.47,0.46,0.46,1489300,0.46
2015-02-13,0.46,0.47,0.46,0.47,1310100,0.47
2015-02-16,0.47,0.475,0.465,0.475,1419000,0.475
2015-02-17,0.47,0.475,0.465,0.47,842900,0.47
2015-02-18,0.47,0.475,0.465,0.475,1072000,0.475
2015-02-19,0.47,0.48,0.47,0.48,989100,0.48
2015-02-20,0.48,0.485,0.475,0.485,1433000,0.485
2015-02-23,0.48,0.49,0.48,0.48,978100,0.48
2015-02-24,0.48,0.485,0.48,0.485,219600,0.485
2015-02-25,0.485,0.485,0.48,0.485,294300,0.485
2015-02-26,0.48,0.49,0.48,0.49,901000,0.49
2015-02-27,0.49,0.50,0.48,0.50,3135700,0.50
2015-03-02,0.495,0.4975,0.49,0.495,807200,0.495
2015-03-03,0.495,0.495,0.48,0.48,1042300,0.48
2015-03-04,0.485,0.49,0.48,0.49,367200,0.49
2015-03-05,0.49,0.49,0.477,0.485,483100,0.485
2015-03-06,0.48,0.49,0.48,0.49,593900,0.49
2015-03-09,0.485,0.49,0.48,0.48,362200,0.48
2015-03-10,0.48,0.49,0.48,0.49,716200,0.49
2015-03-11,0.49,0.495,0.48,0.495,1715700,0.495
2015-03-12,0.495,0.495,0.485,0.485,1153700,0.485
2015-03-13,0.49,0.49,0.485,0.49,203600,0.49
2015-03-16,0.49,0.50,0.487,0.495,2281100,0.495
2015-03-17,0.495,0.51,0.492,0.51,3374100,0.51
2015-03-18,0.51,0.52,0.51,0.515,1158800,0.515
2015-03-19,0.52,0.52,0.505,0.515,823100,0.515
2015-03-20,0.51,0.515,0.505,0.51,3190100,0.51
2015-03-23,0.51,0.515,0.51,0.51,1512900,0.51
2015-03-24,0.51,0.515,0.51,0.51,383900,0.51
2015-03-25,0.515,0.52,0.51,0.515,619400,0.515
2015-03-26,0.51,0.5125,0.495,0.495,1421700,0.495
2015-03-27,0.495,0.495,0.485,0.495,897600,0.495
2015-03-30,0.50,0.51,0.495,0.51,1053600,0.51
2015-03-31,0.51,0.515,0.505,0.515,1224200,0.515
2015-04-01,0.515,0.55,0.515,0.55,3016400,0.55
2015-04-02,0.54,0.55,0.54,0.55,1005400,0.55
2015-04-03,0.55,0.55,0.55,0.55,000,0.55
2015-04-06,0.55,0.55,0.55,0.55,000,0.55
2015-04-07,0.55,0.555,0.54,0.54,932900,0.54
2015-04-08,0.545,0.555,0.54,0.555,1582300,0.555
