Date,Open,High,Low,Close,Volume,Adj Close
2016-05-05,0.39,0.45,0.39,0.43,114900,0.43
2016-05-06,0.44,0.50,0.44,0.48,115000,0.48


2016-05-09,0.50,0.50,0.46,0.46,62800,0.46
2016-05-10,0.48,0.48,0.45,0.45,32400,0.45
2016-05-11,0.45,0.455,0.45,0.45,14600,0.45
2016-05-12,0.45,0.45,0.45,0.45,10000,0.45
2016-05-13,0.44,0.44,0.43,0.43,8000,0.43


2016-05-16,0.43,0.43,0.43,0.43,000,0.43
2016-05-17,0.415,0.415,0.40,0.41,63000,0.41
2016-05-18,0.41,0.41,0.41,0.41,000,0.41
2016-05-19,0.46,0.46,0.43,0.432,91600,0.432
2016-05-20,0.45,0.45,0.415,0.42,46800,0.42


2016-05-23,0.42,0.42,0.40,0.42,42400,0.42
2016-05-24,0.42,0.42,0.41,0.41,24700,0.41
2016-05-25,0.40,0.40,0.38,0.39,150600,0.39
2016-05-26,0.40,0.40,0.39,0.39,17000,0.39
2016-05-27,0.39,0.48,0.38,0.48,173000,0.48


2016-05-30,0.43,0.45,0.43,0.45,158500,0.45
2016-05-31,0.47,0.47,0.43,0.45,59700,0.45
2016-06-01,0.46,0.46,0.45,0.45,33700,0.45
2016-06-02,0.45,0.45,0.42,0.45,18500,0.45
2016-06-03,0.43,0.43,0.43,0.43,5000,0.43


2016-06-06,0.43,0.43,0.42,0.42,18800,0.42
2016-06-07,0.42,0.42,0.41,0.41,16000,0.41
2016-06-08,0.425,0.425,0.425,0.425,1200,0.425
2016-06-09,0.41,0.42,0.41,0.42,21100,0.42
2016-06-10,0.42,0.42,0.42,0.42,4800,0.42


2016-06-13,0.42,0.42,0.42,0.42,000,0.42
2016-06-14,0.42,0.42,0.41,0.41,23200,0.41
