Date,Open,High,Low,Close,Volume,Adj Close
2015-09-16,2.50,2.59,2.31,2.38,12431600,2.3546
2015-09-17,2.49,2.495,2.44,2.46,5382900,2.4338
2015-09-18,2.53,2.57,2.51,2.52,3974000,2.4931
2015-09-21,2.53,2.56,2.53,2.55,2450000,2.5228
2015-09-22,2.60,2.78,2.60,2.70,4482900,2.6712
2015-09-23,2.72,2.94,2.71,2.89,4278800,2.8592
2015-09-24,2.98,3.025,2.76,2.81,4169900,2.78
2015-09-25,2.82,2.84,2.62,2.69,1658900,2.6613
2015-09-28,2.72,2.75,2.57,2.62,1153900,2.5921
2015-09-29,2.55,2.64,2.53,2.58,775900,2.5525
2015-09-30,2.63,2.72,2.58,2.72,1032900,2.691
2015-10-01,2.78,2.84,2.76,2.82,1004900,2.7899
2015-10-02,2.83,2.84,2.75,2.76,333300,2.7306
2015-10-05,2.79,2.83,2.76,2.77,179500,2.7405
2015-10-06,2.82,2.82,2.67,2.69,893000,2.6613
2015-10-07,2.72,2.73,2.66,2.70,501100,2.6712
2015-10-08,2.74,2.74,2.63,2.65,1084400,2.6217
2015-10-09,2.70,2.70,2.56,2.59,1886700,2.5624
2015-10-12,2.60,2.62,2.54,2.55,866100,2.5228
2015-10-13,2.54,2.64,2.54,2.64,467500,2.6119
2015-10-14,2.65,2.68,2.61,2.66,293600,2.6316
2015-10-15,2.68,2.72,2.66,2.72,481400,2.691
2015-10-16,2.73,2.74,2.70,2.71,331400,2.6811
2015-10-19,2.70,2.76,2.69,2.69,441700,2.6613
2015-10-20,2.74,2.89,2.74,2.83,2124600,2.7998
2015-10-21,2.86,2.90,2.78,2.78,1348300,2.7504
2015-10-22,2.80,2.84,2.76,2.79,577200,2.7603
2015-10-23,2.83,2.84,2.80,2.80,473800,2.7701
2015-10-26,2.85,2.90,2.84,2.90,881700,2.8691
2015-10-27,2.91,2.93,2.88,2.88,760600,2.8493
2015-10-28,2.89,2.91,2.87,2.90,677600,2.8691
2015-10-29,2.90,3.14,2.89,2.99,2604200,2.9581
2015-10-30,3.12,3.20,3.08,3.11,2421900,3.0768
2015-11-02,3.15,3.23,3.11,3.11,1467200,3.0768
2015-11-03,3.15,3.20,3.10,3.12,869600,3.0867
2015-11-04,3.15,3.19,3.13,3.16,1091000,3.1263
2015-11-05,3.20,3.20,3.15,3.15,803800,3.1164
2015-11-06,3.15,3.17,2.98,2.98,1541300,2.9482
2015-11-09,3.04,3.16,3.01,3.09,960800,3.0571
2015-11-10,3.10,3.13,3.07,3.07,575300,3.0373
2015-11-11,3.10,3.15,3.07,3.08,778200,3.0472
2015-11-12,3.08,3.11,3.07,3.09,583000,3.0571
2015-11-13,3.10,3.11,3.00,3.00,697300,2.968
2015-11-16,2.97,3.02,2.95,3.00,641200,2.968
2015-11-17,3.02,3.04,2.98,3.00,480000,2.968
2015-11-18,2.99,3.00,2.88,2.88,896900,2.8493
2015-11-19,2.92,2.92,2.83,2.85,1104800,2.8196
2015-11-20,2.83,2.89,2.80,2.84,781000,2.8097
2015-11-23,2.84,2.95,2.84,2.90,792300,2.8691
2015-11-24,2.93,2.94,2.875,2.91,436500,2.879
2015-11-25,2.93,2.93,2.84,2.85,754400,2.8196
2015-11-26,2.88,2.88,2.82,2.83,798400,2.7998
2015-11-27,2.82,2.84,2.67,2.73,1303300,2.7009
2015-11-30,2.70,2.72,2.60,2.72,1298400,2.691
2015-12-01,2.68,2.70,2.62,2.65,1141000,2.6217
2015-12-02,2.67,2.81,2.67,2.81,650000,2.78
2015-12-03,2.80,2.87,2.76,2.77,515500,2.7405
2015-12-04,2.75,2.79,2.71,2.71,182400,2.6811
2015-12-07,2.73,2.77,2.655,2.69,424300,2.6613
2015-12-08,2.66,2.66,2.60,2.60,304900,2.5723
2015-12-09,2.63,2.65,2.55,2.59,909100,2.5624
2015-12-10,2.56,2.56,2.41,2.45,948100,2.4239
2015-12-11,2.52,2.60,2.46,2.48,1134700,2.4536
2015-12-14,2.47,2.58,2.45,2.52,412700,2.4931
2015-12-15,2.59,2.60,2.49,2.51,345900,2.4832
2015-12-16,2.55,2.55,2.46,2.49,630100,2.4635
2015-12-17,2.52,2.52,2.45,2.45,767000,2.4239
2015-12-18,2.43,2.45,2.31,2.36,1580800,2.3348
2015-12-21,2.36,2.52,2.34,2.48,923400,2.4536
2015-12-22,2.54,2.67,2.51,2.63,1553200,2.602
2015-12-23,2.69,2.72,2.64,2.71,664700,2.6811
2015-12-24,2.75,2.77,2.66,2.72,415300,2.691
2015-12-25,2.72,2.72,2.72,2.72,000,2.691
2015-12-28,2.72,2.72,2.72,2.72,000,2.691
2015-12-29,2.71,2.74,2.61,2.64,463200,2.6119
2015-12-30,2.66,2.69,2.56,2.66,499500,2.6316
2015-12-31,2.65,2.69,2.62,2.65,259000,2.6217
2016-01-01,2.65,2.65,2.65,2.65,000,2.6217
2016-01-04,2.66,2.67,2.60,2.65,525500,2.6217
2016-01-05,2.65,2.66,2.58,2.58,404200,2.5525
2016-01-06,2.57,2.575,2.49,2.49,553600,2.4635
2016-01-07,2.50,2.53,2.37,2.41,859500,2.3843
2016-01-08,2.39,2.51,2.35,2.45,758600,2.4239
2016-01-11,2.43,2.50,2.43,2.49,566100,2.4635
2016-01-12,2.49,2.63,2.49,2.59,450000,2.5624
2016-01-13,2.56,2.68,2.54,2.67,610500,2.6415
2016-01-14,2.59,2.64,2.52,2.55,262400,2.5228
2016-01-15,2.59,2.59,2.46,2.50,486300,2.4733
2016-01-18,2.48,2.50,2.44,2.47,417700,2.4437
2016-01-19,2.45,2.57,2.45,2.57,322800,2.5426
2016-01-20,2.56,2.57,2.49,2.51,234100,2.4832
2016-01-21,2.51,2.57,2.51,2.55,302100,2.5228
2016-01-22,2.54,2.64,2.52,2.60,578700,2.5723
2016-01-25,2.61,2.63,2.54,2.62,300400,2.5921
2016-01-26,2.62,2.62,2.62,2.62,000,2.5921
2016-01-27,2.63,2.63,2.52,2.54,403100,2.5129
2016-01-28,2.54,2.64,2.52,2.52,602800,2.4931
2016-01-29,2.60,2.60,2.48,2.55,491800,2.5228
2016-02-01,2.55,2.56,2.41,2.45,715500,2.4239
2016-02-02,2.45,2.46,2.39,2.43,870400,2.4041
2016-02-03,2.36,2.44,2.36,2.39,631600,2.3645
2016-02-04,2.40,2.41,2.36,2.36,744600,2.3348
2016-02-05,2.36,2.40,2.29,2.38,951700,2.3546
2016-02-08,2.37,2.37,2.26,2.33,334200,2.3052
2016-02-09,2.32,2.32,1.97,2.15,3248500,2.1271
2016-02-10,2.16,2.16,2.01,2.16,1169800,2.137
2016-02-11,2.21,2.22,2.04,2.04,804600,2.0182
2016-02-12,2.06,2.14,2.05,2.05,747300,2.0281
