Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.031,0.031,0.031,0.031,000,0.031
2015-01-02,0.031,0.031,0.031,0.031,000,0.031
2015-01-05,0.031,0.031,0.031,0.031,000,0.031
2015-01-06,0.033,0.035,0.033,0.035,442400,0.035
2015-01-07,0.035,0.038,0.035,0.037,367100,0.037
2015-01-08,0.038,0.038,0.035,0.035,77200,0.035
2015-01-09,0.038,0.039,0.037,0.039,167400,0.039
2015-01-12,0.045,0.05,0.044,0.048,227700,0.048
2015-01-13,0.055,0.055,0.046,0.046,358100,0.046
2015-01-14,0.044,0.044,0.038,0.038,721900,0.038
2015-01-15,0.038,0.041,0.029,0.03,1607000,0.03
2015-01-16,0.032,0.034,0.032,0.034,126000,0.034
2015-01-19,0.036,0.042,0.036,0.042,90300,0.042
2015-01-20,0.046,0.047,0.038,0.042,389100,0.042
2015-01-21,0.043,0.043,0.043,0.043,90000,0.043
2015-01-22,0.043,0.043,0.043,0.043,000,0.043
2015-01-23,0.04,0.04,0.039,0.039,202500,0.039
2015-01-26,0.039,0.039,0.039,0.039,000,0.039
2015-01-27,0.04,0.04,0.036,0.036,90000,0.036
2015-01-28,0.036,0.036,0.035,0.035,62500,0.035
2015-01-29,0.035,0.035,0.035,0.035,29200,0.035
2015-01-30,0.035,0.037,0.035,0.037,81000,0.037
2015-02-02,0.037,0.04,0.035,0.04,96800,0.04
2015-02-03,0.036,0.036,0.036,0.036,40000,0.036
2015-02-04,0.036,0.036,0.035,0.035,68500,0.035
2015-02-05,0.037,0.038,0.035,0.035,260900,0.035
2015-02-06,0.035,0.038,0.034,0.034,239500,0.034
2015-02-09,0.033,0.033,0.033,0.033,11000,0.033
2015-02-10,0.033,0.033,0.033,0.033,18100,0.033
2015-02-11,0.034,0.034,0.034,0.034,25000,0.034
2015-02-12,0.033,0.033,0.033,0.033,160800,0.033
2015-02-13,0.034,0.036,0.034,0.036,230000,0.036
2015-02-16,0.035,0.037,0.035,0.037,61000,0.037
2015-02-17,0.037,0.037,0.037,0.037,000,0.037
2015-02-18,0.034,0.034,0.033,0.033,143000,0.033
2015-02-19,0.034,0.034,0.034,0.034,24400,0.034
2015-02-20,0.034,0.034,0.034,0.034,000,0.034
2015-02-23,0.033,0.033,0.032,0.032,585000,0.032
2015-02-24,0.031,0.031,0.03,0.03,107000,0.03
2015-02-25,0.032,0.032,0.031,0.032,366200,0.032
2015-02-26,0.032,0.032,0.032,0.032,000,0.032
2015-02-27,0.032,0.032,0.032,0.032,35700,0.032
2015-03-02,0.032,0.032,0.032,0.032,103100,0.032
2015-03-03,0.032,0.033,0.032,0.033,54500,0.033
2015-03-04,0.033,0.033,0.033,0.033,102000,0.033
2015-03-05,0.033,0.033,0.033,0.033,19400,0.033
2015-03-06,0.033,0.033,0.033,0.033,000,0.033
2015-03-09,0.033,0.033,0.032,0.033,78700,0.033
2015-03-10,0.033,0.033,0.033,0.033,75500,0.033
2015-03-11,0.032,0.033,0.032,0.033,56700,0.033
2015-03-12,0.033,0.033,0.033,0.033,000,0.033
2015-03-13,0.033,0.033,0.03,0.03,210200,0.03
2015-03-16,0.03,0.03,0.03,0.03,000,0.03
2015-03-17,0.03,0.03,0.03,0.03,000,0.03
2015-03-18,0.032,0.033,0.03,0.03,189400,0.03
2015-03-19,0.03,0.03,0.03,0.03,46800,0.03
2015-03-20,0.031,0.031,0.029,0.03,41900,0.03
2015-03-23,0.031,0.032,0.028,0.028,145900,0.028
2015-03-24,0.028,0.031,0.028,0.031,50000,0.031
2015-03-25,0.028,0.028,0.028,0.028,9000,0.028
2015-03-26,0.028,0.028,0.025,0.025,475300,0.025
2015-03-27,0.026,0.028,0.026,0.028,229000,0.028
2015-03-30,0.027,0.028,0.025,0.028,158900,0.028
2015-03-31,0.028,0.03,0.025,0.026,499300,0.026
2015-04-01,0.025,0.026,0.025,0.026,70000,0.026
2015-04-02,0.026,0.028,0.026,0.026,147700,0.026
2015-04-03,0.026,0.026,0.026,0.026,000,0.026
2015-04-06,0.026,0.026,0.026,0.026,000,0.026
2015-04-07,0.025,0.025,0.025,0.025,203900,0.025
2015-04-08,0.025,0.026,0.025,0.025,196000,0.025
2015-04-09,0.025,0.025,0.025,0.025,000,0.025
2015-04-10,0.025,0.025,0.025,0.025,000,0.025
2015-04-13,0.025,0.025,0.025,0.025,32800,0.025
2015-04-14,0.025,0.025,0.025,0.025,16600,0.025
2015-04-15,0.026,0.026,0.026,0.026,116000,0.026
2015-04-16,0.025,0.025,0.025,0.025,32000,0.025
2015-04-17,0.025,0.025,0.024,0.025,212000,0.025
2015-04-20,0.026,0.026,0.026,0.026,125000,0.026
2015-04-21,0.026,0.026,0.026,0.026,49900,0.026
2015-04-22,0.028,0.028,0.026,0.026,96900,0.026
2015-04-23,0.024,0.024,0.022,0.022,433500,0.022
2015-04-24,0.022,0.024,0.02,0.02,330800,0.02
2015-04-27,0.022,0.022,0.022,0.022,75000,0.022
2015-04-28,0.022,0.022,0.022,0.022,000,0.022
2015-04-29,0.021,0.021,0.02,0.021,448800,0.021
2015-04-30,0.021,0.021,0.02,0.02,37000,0.02
2015-05-01,0.02,0.022,0.02,0.02,289000,0.02
2015-05-04,0.018,0.018,0.018,0.018,2000,0.018
2015-05-05,0.018,0.018,0.018,0.018,147900,0.018
2015-05-06,0.021,0.028,0.021,0.028,97700,0.028
2015-05-07,0.027,0.027,0.027,0.027,25000,0.027
2015-05-08,0.025,0.03,0.025,0.03,45100,0.03
2015-05-11,0.026,0.027,0.026,0.027,55300,0.027
2015-05-12,0.026,0.026,0.026,0.026,35900,0.026
2015-05-13,0.028,0.03,0.028,0.03,484200,0.03
2015-05-14,0.033,0.034,0.032,0.033,86800,0.033
2015-05-15,0.035,0.035,0.034,0.034,257000,0.034
2015-05-18,0.034,0.034,0.033,0.033,166500,0.033
2015-05-19,0.033,0.033,0.03,0.03,778900,0.03
2015-05-20,0.032,0.032,0.029,0.031,346500,0.031
2015-05-21,0.032,0.032,0.03,0.032,560000,0.032
