Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.76,1.76,1.76,1.76,000,1.76
2015-01-02,1.76,1.76,1.76,1.76,000,1.76
2015-01-05,1.76,1.76,1.76,1.76,000,1.76
2015-01-06,1.76,1.76,1.76,1.76,000,1.76
2015-01-07,1.76,1.76,1.76,1.76,000,1.76
2015-01-08,1.76,1.76,1.76,1.76,000,1.76
2015-01-09,1.774,1.774,1.774,1.774,000,1.774
2015-01-12,1.774,1.774,1.774,1.774,000,1.774
2015-01-13,1.774,1.774,1.774,1.774,000,1.774
2015-01-14,1.774,1.774,1.774,1.774,000,1.774
2015-01-15,1.774,1.774,1.774,1.774,000,1.774
2015-01-16,1.774,1.774,1.774,1.774,000,1.774
2015-01-19,1.774,1.774,1.774,1.774,000,1.774
2015-01-20,1.774,1.774,1.774,1.774,000,1.774
2015-01-21,1.774,1.774,1.774,1.774,000,1.774
2015-01-22,1.774,1.774,1.774,1.774,000,1.774
2015-01-23,2.02,2.03,2.00,2.00,320300,2.00
2015-01-27,1.774,1.774,1.774,1.774,000,1.774
2015-01-28,1.774,1.774,1.774,1.774,000,1.774
2015-01-29,1.774,1.774,1.774,1.774,000,1.774
2015-01-30,1.774,1.774,1.774,1.774,000,1.774
2015-02-02,1.774,1.774,1.774,1.774,000,1.774
2015-02-03,1.774,1.774,1.774,1.774,000,1.774
2015-02-04,1.774,1.774,1.774,1.774,000,1.774
2015-02-05,1.774,1.774,1.774,1.774,000,1.774
2015-02-06,1.774,1.774,1.774,1.774,000,1.774
2015-02-09,1.774,1.774,1.774,1.774,000,1.774
2015-02-10,1.774,1.774,1.774,1.774,000,1.774
2015-02-11,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-12,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-13,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-16,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-17,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-18,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-19,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-20,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-23,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-24,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-25,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-26,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-02-27,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-02,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-03,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-04,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-05,2.06,2.07,2.04,2.04,339100,2.04
2015-03-06,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-09,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-10,1.7782,1.7782,1.7782,1.7782,000,1.7782
2015-03-11,1.8787,1.8787,1.8787,1.8787,000,1.8787
2015-03-12,1.8787,1.8787,1.8787,1.8787,000,1.8787
2015-03-13,1.8787,1.8787,1.8787,1.8787,000,1.8787
2015-03-16,1.8787,1.8787,1.8787,1.8787,000,1.8787
2015-03-17,1.451,1.451,1.451,1.451,000,1.451
2015-03-18,1.451,1.451,1.451,1.451,000,1.451
2015-03-19,1.451,1.451,1.451,1.451,000,1.451
2015-03-20,1.451,1.451,1.451,1.451,000,1.451
2015-03-23,1.99,2.01,1.985,2.00,895000,2.00
2015-03-24,1.451,1.451,1.451,1.451,000,1.451
2015-03-25,1.451,1.451,1.451,1.451,000,1.451
2015-03-26,1.451,1.451,1.451,1.451,000,1.451
2015-03-27,1.451,1.451,1.451,1.451,000,1.451
2015-03-30,1.451,1.451,1.451,1.451,000,1.451
2015-03-31,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-01,1.451,1.451,1.451,1.451,000,1.451
2015-04-02,2.01,2.02,1.995,2.02,858200,2.02
2015-04-07,1.451,1.451,1.451,1.451,000,1.451
2015-04-08,1.451,1.451,1.451,1.451,000,1.451
2015-04-09,1.451,1.451,1.451,1.451,000,1.451
2015-04-10,2.02,2.05,2.02,2.04,538500,2.04
2015-04-13,1.451,1.451,1.451,1.451,000,1.451
2015-04-14,1.451,1.451,1.451,1.451,000,1.451
2015-04-15,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-16,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-17,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-20,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-21,1.96,1.98,1.96,1.965,519600,1.965
2015-04-22,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-23,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-24,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-27,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-28,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-29,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-04-30,1.8346,1.8346,1.8346,1.8346,000,1.8346
2015-05-01,1.9035,1.9035,1.9035,1.9035,000,1.9035
2015-05-04,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-05,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-06,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-07,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-08,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-11,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-12,1.8873,1.8873,1.8873,1.8873,000,1.8873
2015-05-13,1.819,1.819,1.819,1.819,000,1.819
2015-05-14,1.819,1.819,1.819,1.819,000,1.819
2015-05-15,1.819,1.819,1.819,1.819,000,1.819
2015-05-18,1.819,1.819,1.819,1.819,000,1.819
2015-05-19,1.819,1.819,1.819,1.819,000,1.819
2015-05-20,1.819,1.819,1.819,1.819,000,1.819
2015-05-21,1.819,1.819,1.819,1.819,000,1.819
2015-05-22,1.819,1.819,1.819,1.819,000,1.819
2015-05-25,1.819,1.819,1.819,1.819,000,1.819
2015-05-26,1.819,1.819,1.819,1.819,000,1.819
2015-05-27,1.819,1.819,1.819,1.819,000,1.819
2015-05-28,1.819,1.819,1.819,1.819,000,1.819
2015-05-29,1.819,1.819,1.819,1.819,000,1.819
2015-06-01,1.819,1.819,1.819,1.819,000,1.819
2015-06-02,1.819,1.819,1.819,1.819,000,1.819
2015-06-03,1.819,1.819,1.819,1.819,000,1.819
2015-06-04,1.819,1.819,1.819,1.819,000,1.819
2015-06-05,1.97,1.97,1.96,1.965,246200,1.965
2015-06-09,1.819,1.819,1.819,1.819,000,1.819
2015-06-10,1.819,1.819,1.819,1.819,000,1.819
2015-06-11,1.819,1.819,1.819,1.819,000,1.819
2015-06-12,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-15,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-16,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-17,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-18,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-19,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-22,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-23,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-24,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-25,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-26,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-29,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-06-30,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-01,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-02,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-03,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-06,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-07,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-08,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-09,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-10,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-13,1.8523,1.8523,1.8523,1.8523,000,1.8523
2015-07-14,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-15,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-16,1.812,1.812,1.812,1.812,000,1.812
2015-07-17,1.812,1.812,1.812,1.812,000,1.812
2015-07-20,1.812,1.812,1.812,1.812,000,1.812
2015-07-21,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-22,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-23,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-24,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-27,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-28,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-29,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-30,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-07-31,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-03,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-04,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-05,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-06,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-07,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-10,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-11,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-12,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-13,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-14,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-17,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-18,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-19,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-20,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-21,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-24,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-25,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-26,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-27,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-28,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-08-31,1.8561,1.8561,1.8561,1.8561,000,1.8561
2015-09-01,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-09-02,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-09-03,1.8118,1.8118,1.8118,1.8118,000,1.8118
2015-09-04,1.8118,1.8118,1.8118,1.8118,000,1.8118
