Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,1.16,1.16,1.16,1.16,000,1.0234
2015-01-02,1.16,1.16,1.16,1.16,4100,1.0234
2015-01-05,1.155,1.155,1.155,1.155,27200,1.019
2015-01-06,1.155,1.17,1.15,1.15,104900,1.0146
2015-01-07,1.15,1.15,1.15,1.15,22600,1.0146
2015-01-08,1.155,1.16,1.155,1.155,78900,1.019
2015-01-09,1.17,1.17,1.17,1.17,22700,1.0322
2015-01-12,1.17,1.17,1.16,1.16,87300,1.0234
2015-01-13,1.17,1.17,1.16,1.17,58800,1.0322
2015-01-14,1.165,1.17,1.165,1.165,63700,1.0278
2015-01-15,1.165,1.165,1.16,1.165,56000,1.0278
2015-01-16,1.17,1.175,1.165,1.165,89900,1.0278
2015-01-19,1.175,1.18,1.175,1.18,41600,1.041
2015-01-20,1.18,1.19,1.175,1.19,57600,1.0499
2015-01-21,1.165,1.185,1.165,1.185,18700,1.0454
2015-01-22,1.185,1.195,1.17,1.17,151300,1.0322
2015-01-23,1.175,1.185,1.175,1.185,56900,1.0454
2015-01-26,1.185,1.185,1.185,1.185,000,1.0454
2015-01-27,1.185,1.21,1.185,1.21,142000,1.0675
2015-01-28,1.22,1.23,1.205,1.23,164000,1.0851
2015-01-29,1.22,1.23,1.205,1.205,128900,1.0631
2015-01-30,1.22,1.22,1.19,1.195,163300,1.0543
2015-02-02,1.19,1.20,1.17,1.20,197800,1.0587
2015-02-03,1.195,1.21,1.195,1.21,65900,1.0675
2015-02-04,1.215,1.23,1.20,1.23,231000,1.0851
2015-02-05,1.23,1.23,1.22,1.22,19000,1.0763
2015-02-06,1.22,1.245,1.21,1.21,248000,1.0675
2015-02-09,1.215,1.23,1.215,1.23,55500,1.0851
2015-02-10,1.225,1.225,1.21,1.21,48000,1.0675
2015-02-11,1.21,1.21,1.21,1.21,14600,1.0675
2015-02-12,1.21,1.21,1.195,1.205,85400,1.0631
2015-02-13,1.21,1.23,1.19,1.22,84500,1.0763
2015-02-16,1.205,1.22,1.205,1.21,53500,1.0675
2015-02-17,1.215,1.22,1.215,1.215,75300,1.0719
2015-02-18,1.215,1.225,1.215,1.215,145100,1.0719
2015-02-19,1.22,1.22,1.21,1.21,212200,1.0675
2015-02-20,1.21,1.215,1.20,1.215,62000,1.0719
2015-02-23,1.215,1.215,1.21,1.215,91400,1.0719
2015-02-24,1.215,1.215,1.21,1.21,95200,1.0675
2015-02-25,1.22,1.22,1.205,1.22,94400,1.0763
2015-02-26,1.22,1.225,1.215,1.225,131000,1.0807
2015-02-27,1.225,1.225,1.215,1.225,187300,1.0807
2015-03-02,1.225,1.225,1.205,1.21,48800,1.0675
2015-03-03,1.225,1.225,1.21,1.21,90400,1.0675
2015-03-04,1.215,1.215,1.205,1.205,21900,1.0631
2015-03-05,1.205,1.22,1.205,1.22,49000,1.0763
2015-03-06,1.205,1.205,1.195,1.195,62400,1.0543
2015-03-09,1.20,1.20,1.195,1.20,51400,1.0587
2015-03-10,1.20,1.21,1.195,1.195,41100,1.0543
2015-03-11,1.19,1.22,1.19,1.22,145200,1.0763
2015-03-12,1.21,1.22,1.21,1.21,38600,1.0675
2015-03-13,1.21,1.22,1.21,1.215,116600,1.0719
2015-03-16,1.21,1.215,1.20,1.215,129700,1.0719
2015-03-17,1.21,1.22,1.20,1.215,52500,1.0719
2015-03-18,1.21,1.21,1.205,1.205,23500,1.0631
2015-03-19,1.215,1.215,1.195,1.20,47400,1.0587
2015-03-20,1.215,1.215,1.215,1.215,23000,1.0719
2015-03-23,1.215,1.22,1.205,1.22,81500,1.0763
2015-03-24,1.22,1.22,1.22,1.22,15900,1.0763
2015-03-25,1.22,1.23,1.22,1.22,153000,1.0763
2015-03-26,1.22,1.23,1.22,1.225,102900,1.0807
2015-03-27,1.225,1.24,1.225,1.225,168200,1.0807
2015-03-30,1.23,1.235,1.225,1.225,54700,1.0807
2015-03-31,1.23,1.23,1.23,1.23,29000,1.0851
2015-04-01,1.225,1.225,1.22,1.225,93100,1.0807
2015-04-02,1.22,1.225,1.215,1.215,105500,1.0719
2015-04-03,1.215,1.215,1.215,1.215,000,1.0719
2015-04-06,1.215,1.215,1.215,1.215,000,1.0719
2015-04-07,1.22,1.22,1.215,1.215,57500,1.0719
2015-04-08,1.215,1.22,1.215,1.22,127200,1.0763
2015-04-09,1.22,1.22,1.21,1.22,114600,1.0763
2015-04-10,1.22,1.225,1.215,1.22,180900,1.0763
2015-04-13,1.22,1.22,1.22,1.22,226800,1.0763
2015-04-14,1.215,1.22,1.215,1.22,67600,1.0763
2015-04-15,1.22,1.22,1.215,1.22,166800,1.0763
2015-04-16,1.22,1.225,1.22,1.225,273100,1.0807
2015-04-17,1.225,1.23,1.22,1.22,121800,1.0763
2015-04-20,1.225,1.225,1.22,1.225,78100,1.0807
2015-04-21,1.22,1.225,1.22,1.22,628000,1.0763
2015-04-22,1.22,1.22,1.21,1.21,135200,1.0675
2015-04-23,1.215,1.215,1.21,1.21,124500,1.0675
2015-04-24,1.22,1.22,1.21,1.215,91000,1.0719
2015-04-27,1.21,1.215,1.21,1.215,141700,1.0719
2015-04-28,1.215,1.215,1.21,1.215,228600,1.0719
2015-04-29,1.21,1.215,1.20,1.20,321500,1.0587
2015-04-30,1.205,1.21,1.205,1.21,100100,1.0675
2015-05-01,1.205,1.21,1.205,1.205,106700,1.0631
2015-05-04,1.205,1.21,1.205,1.21,206700,1.0675
2015-05-05,1.215,1.215,1.205,1.205,329800,1.0631
2015-05-06,1.205,1.21,1.20,1.21,142800,1.0675
2015-05-07,1.20,1.21,1.20,1.205,193000,1.0631
2015-05-08,1.205,1.21,1.20,1.21,204000,1.0675
2015-05-11,1.205,1.21,1.205,1.205,184700,1.0631
2015-05-12,1.205,1.21,1.20,1.205,367200,1.0631
2015-05-13,1.20,1.205,1.20,1.20,292800,1.0587
2015-05-14,1.20,1.205,1.20,1.20,247800,1.0587
2015-05-15,1.205,1.21,1.205,1.21,598800,1.0675
2015-05-18,1.165,1.17,1.155,1.165,221800,1.0629
2015-05-19,1.17,1.17,1.16,1.16,108900,1.0584
2015-05-20,1.17,1.17,1.16,1.17,171700,1.0675
2015-05-21,1.17,1.175,1.17,1.17,69000,1.0675
2015-05-22,1.17,1.175,1.16,1.175,148500,1.0721
2015-05-25,1.17,1.175,1.16,1.175,61700,1.0721
2015-05-26,1.165,1.195,1.165,1.195,307600,1.0903
2015-05-27,1.185,1.19,1.185,1.19,60100,1.0857
2015-05-28,1.19,1.19,1.185,1.185,107500,1.0812
2015-05-29,1.185,1.19,1.185,1.19,52200,1.0857
2015-06-01,1.195,1.195,1.185,1.19,68600,1.0857
2015-06-02,1.19,1.195,1.18,1.185,37200,1.0812
2015-06-03,1.185,1.185,1.175,1.175,174100,1.0721
2015-06-04,1.17,1.17,1.165,1.165,52500,1.0629
2015-06-05,1.17,1.175,1.15,1.17,323600,1.0675
2015-06-08,1.17,1.17,1.17,1.17,000,1.0675
2015-06-09,1.17,1.17,1.165,1.17,109200,1.0675
2015-06-10,1.17,1.17,1.16,1.16,61700,1.0584
2015-06-11,1.16,1.17,1.16,1.16,134600,1.0584
2015-06-12,1.17,1.17,1.16,1.165,74500,1.0629
2015-06-15,1.165,1.175,1.165,1.175,73600,1.0721
2015-06-16,1.17,1.18,1.16,1.18,226500,1.0766
2015-06-17,1.185,1.19,1.185,1.19,104200,1.0857
2015-06-18,1.19,1.19,1.17,1.17,102300,1.0675
2015-06-19,1.17,1.18,1.165,1.17,120100,1.0675
2015-06-22,1.18,1.195,1.18,1.195,97000,1.0903
2015-06-23,1.19,1.19,1.17,1.19,102500,1.0857
2015-06-24,1.18,1.195,1.17,1.17,136600,1.0675
2015-06-25,1.185,1.185,1.165,1.165,182800,1.0629
2015-06-26,1.18,1.18,1.16,1.16,52500,1.0584
2015-06-29,1.17,1.17,1.15,1.15,207400,1.0493
2015-06-30,1.15,1.16,1.15,1.16,117400,1.0584
2015-07-01,1.165,1.165,1.155,1.155,98700,1.0538
2015-07-02,1.155,1.16,1.155,1.16,43400,1.0584
2015-07-03,1.16,1.175,1.16,1.16,67900,1.0584
2015-07-06,1.16,1.16,1.155,1.16,104700,1.0584
2015-07-07,1.17,1.18,1.16,1.16,81000,1.0584
2015-07-08,1.165,1.17,1.16,1.16,80000,1.0584
2015-07-09,1.16,1.17,1.16,1.17,97300,1.0675
2015-07-10,1.17,1.18,1.17,1.17,92800,1.0675
2015-07-13,1.17,1.17,1.16,1.16,19400,1.0584
2015-07-14,1.165,1.18,1.165,1.18,103800,1.0766
2015-07-15,1.18,1.185,1.175,1.185,85800,1.0812
2015-07-16,1.185,1.185,1.18,1.18,33900,1.0766
2015-07-17,1.175,1.185,1.175,1.185,19000,1.0812
2015-07-20,1.18,1.185,1.175,1.18,23900,1.0766
2015-07-21,1.175,1.18,1.175,1.18,80400,1.0766
2015-07-22,1.17,1.18,1.17,1.18,46700,1.0766
2015-07-23,1.18,1.19,1.18,1.18,105400,1.0766
2015-07-24,1.185,1.185,1.175,1.175,113900,1.0721
2015-07-27,1.175,1.175,1.165,1.165,410600,1.0629
2015-07-28,1.16,1.185,1.16,1.18,185700,1.0766
2015-07-29,1.18,1.185,1.18,1.185,65100,1.0812
2015-07-30,1.185,1.185,1.17,1.185,176600,1.0812
2015-07-31,1.18,1.185,1.18,1.18,79100,1.0766
2015-08-03,1.175,1.185,1.17,1.185,97800,1.0812
2015-08-04,1.19,1.22,1.19,1.19,480900,1.0857
2015-08-05,1.20,1.215,1.20,1.21,179300,1.104
2015-08-06,1.215,1.22,1.21,1.22,262900,1.1131
2015-08-07,1.215,1.22,1.20,1.20,246300,1.0949
2015-08-10,1.20,1.21,1.20,1.21,35100,1.104
2015-08-11,1.22,1.24,1.21,1.24,224500,1.1314
2015-08-12,1.22,1.22,1.20,1.21,144100,1.104
2015-08-13,1.21,1.22,1.205,1.21,86800,1.104
2015-08-14,1.205,1.215,1.20,1.215,72900,1.1086
2015-08-17,1.22,1.23,1.22,1.23,184000,1.1222
2015-08-18,1.23,1.23,1.23,1.23,15100,1.1222
2015-08-19,1.22,1.23,1.21,1.225,127000,1.1177
2015-08-20,1.23,1.23,1.225,1.225,57000,1.1177
2015-08-21,1.21,1.21,1.195,1.20,352100,1.0949
2015-08-24,1.19,1.20,1.175,1.18,394900,1.0766
2015-08-25,1.18,1.20,1.16,1.19,314600,1.0857
2015-08-26,1.21,1.225,1.20,1.225,178600,1.1177
2015-08-27,1.22,1.225,1.215,1.225,215500,1.1177
2015-08-28,1.23,1.25,1.215,1.245,266900,1.1359
2015-08-31,1.25,1.255,1.24,1.25,317700,1.1405
2015-09-01,1.25,1.26,1.225,1.225,165400,1.1177
2015-09-02,1.22,1.245,1.21,1.22,106500,1.1131
2015-09-03,1.24,1.245,1.23,1.24,46500,1.1314
2015-09-04,1.24,1.24,1.23,1.24,34400,1.1314
2015-09-07,1.24,1.24,1.22,1.24,53700,1.1314
2015-09-08,1.24,1.245,1.235,1.235,81900,1.1268
2015-09-09,1.25,1.26,1.25,1.25,84800,1.1405
2015-09-10,1.25,1.265,1.245,1.255,99700,1.1451
2015-09-11,1.255,1.26,1.24,1.26,71100,1.1496
2015-09-14,1.26,1.265,1.26,1.26,153000,1.1496
2015-09-15,1.25,1.25,1.24,1.24,34500,1.1314
2015-09-16,1.24,1.25,1.235,1.25,28500,1.1405
2015-09-17,1.25,1.26,1.25,1.25,59800,1.1405
2015-09-18,1.26,1.265,1.255,1.255,53500,1.1451
2015-09-21,1.25,1.26,1.24,1.26,112900,1.1496
2015-09-22,1.25,1.27,1.25,1.255,138600,1.1451
2015-09-23,1.255,1.255,1.245,1.245,72500,1.1359
2015-09-24,1.25,1.25,1.24,1.24,51900,1.1314
2015-09-25,1.235,1.24,1.23,1.24,54200,1.1314
2015-09-28,1.25,1.25,1.24,1.24,27900,1.1314
2015-09-29,1.24,1.25,1.23,1.24,182600,1.1314
2015-09-30,1.25,1.255,1.25,1.255,151400,1.1451
2015-10-01,1.255,1.265,1.255,1.26,87200,1.1496
2015-10-02,1.26,1.27,1.25,1.27,132100,1.1587
2015-10-05,1.27,1.27,1.25,1.25,54000,1.1405
2015-10-06,1.25,1.275,1.25,1.27,180900,1.1587
2015-10-07,1.27,1.27,1.24,1.27,334200,1.1587
2015-10-08,1.27,1.275,1.26,1.26,208300,1.1496
2015-10-09,1.275,1.28,1.265,1.28,304900,1.1679
2015-10-12,1.24,1.24,1.23,1.24,299900,1.1842
2015-10-13,1.24,1.24,1.23,1.235,134100,1.1795
2015-10-14,1.225,1.225,1.215,1.22,189000,1.1651
2015-10-15,1.215,1.235,1.20,1.21,278400,1.1556
2015-10-16,1.21,1.21,1.21,1.21,000,1.1556
2015-10-19,1.21,1.21,1.21,1.21,000,1.1556
2015-10-20,1.21,1.235,1.21,1.235,177900,1.1795
2015-10-21,1.235,1.235,1.22,1.22,54900,1.1651
2015-10-22,1.23,1.25,1.23,1.25,62500,1.1938
2015-10-23,1.26,1.26,1.245,1.26,149200,1.2033
2015-10-26,1.25,1.25,1.235,1.235,253400,1.1795
2015-10-27,1.24,1.24,1.215,1.22,543700,1.1651
2015-10-28,1.21,1.225,1.207,1.215,373900,1.1604
2015-10-29,1.215,1.235,1.205,1.23,408700,1.1747
2015-10-30,1.23,1.23,1.215,1.215,128200,1.1604
2015-11-02,1.23,1.23,1.21,1.225,214800,1.1699
2015-11-03,1.23,1.25,1.23,1.24,164000,1.1842
2015-11-04,1.24,1.25,1.215,1.245,239200,1.189
2015-11-05,1.24,1.245,1.23,1.235,122600,1.1795
2015-11-06,1.245,1.245,1.235,1.245,87100,1.189
2015-11-09,1.24,1.24,1.225,1.225,269900,1.1699
2015-11-10,1.225,1.235,1.22,1.23,162000,1.1747
2015-11-11,1.24,1.25,1.235,1.245,268500,1.189
2015-11-12,1.245,1.255,1.24,1.25,152800,1.1938
2015-11-13,1.25,1.25,1.24,1.245,118900,1.189
2015-11-16,1.23,1.24,1.225,1.24,125000,1.1842
2015-11-17,1.245,1.26,1.24,1.26,221300,1.2033
2015-11-18,1.255,1.255,1.25,1.255,54400,1.1986
2015-11-19,1.255,1.26,1.245,1.245,359400,1.189
2015-11-20,1.26,1.265,1.245,1.26,161200,1.2033
2015-11-23,1.265,1.265,1.25,1.25,103400,1.1938
2015-11-24,1.26,1.27,1.26,1.26,138500,1.2033
2015-11-25,1.27,1.27,1.255,1.265,162200,1.2081
2015-11-26,1.265,1.27,1.255,1.255,63300,1.1986
2015-11-27,1.27,1.27,1.255,1.27,152600,1.2129
2015-11-30,1.265,1.265,1.255,1.265,260600,1.2081
2015-12-01,1.26,1.27,1.255,1.27,116000,1.2129
2015-12-02,1.265,1.27,1.26,1.265,72300,1.2081
2015-12-03,1.265,1.27,1.265,1.27,90200,1.2129
2015-12-04,1.265,1.27,1.26,1.26,331400,1.2033
2015-12-07,1.265,1.27,1.265,1.27,44500,1.2129
2015-12-08,1.27,1.275,1.265,1.27,218300,1.2129
2015-12-09,1.265,1.275,1.265,1.275,176300,1.2177
2015-12-10,1.27,1.27,1.25,1.27,494200,1.2129
2015-12-11,1.265,1.275,1.26,1.27,125500,1.2129
2015-12-14,1.26,1.27,1.26,1.26,311500,1.2033
