Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.004,0.004,0.004,0.004,000,0.004
2015-01-02,0.004,0.004,0.004,0.004,000,0.004
2015-01-05,0.003,0.003,0.003,0.003,125000,0.003
2015-01-06,0.003,0.003,0.003,0.003,000,0.003
2015-01-07,0.003,0.003,0.003,0.003,000,0.003
2015-01-08,0.003,0.003,0.003,0.003,000,0.003
2015-01-09,0.003,0.003,0.003,0.003,000,0.003
2015-01-12,0.003,0.003,0.003,0.003,000,0.003
2015-01-13,0.003,0.003,0.003,0.003,000,0.003
2015-01-14,0.003,0.003,0.003,0.003,000,0.003
2015-01-15,0.003,0.003,0.003,0.003,000,0.003
2015-01-16,0.003,0.003,0.003,0.003,000,0.003
2015-01-19,0.003,0.003,0.003,0.003,000,0.003
2015-01-20,0.003,0.003,0.003,0.003,000,0.003
2015-01-21,0.003,0.003,0.003,0.003,000,0.003
2015-01-22,0.003,0.003,0.003,0.003,000,0.003
2015-01-23,0.003,0.003,0.003,0.003,000,0.003
2015-01-26,0.003,0.003,0.003,0.003,000,0.003
2015-01-27,0.003,0.003,0.003,0.003,000,0.003
2015-01-28,0.003,0.003,0.003,0.003,000,0.003
2015-01-29,0.003,0.003,0.003,0.003,000,0.003
2015-01-30,0.003,0.003,0.003,0.003,000,0.003
2015-02-02,0.003,0.003,0.003,0.003,000,0.003
2015-02-03,0.004,0.004,0.004,0.004,79900,0.004
2015-02-04,0.004,0.004,0.004,0.004,45000,0.004
2015-02-05,0.004,0.004,0.004,0.004,000,0.004
2015-02-06,0.004,0.004,0.004,0.004,000,0.004
2015-02-09,0.003,0.004,0.003,0.004,137800,0.004
2015-02-10,0.004,0.004,0.004,0.004,000,0.004
2015-02-11,0.004,0.004,0.004,0.004,000,0.004
2015-02-12,0.004,0.004,0.004,0.004,000,0.004
2015-02-13,0.004,0.004,0.004,0.004,000,0.004
2015-02-16,0.004,0.004,0.004,0.004,000,0.004
2015-02-17,0.003,0.003,0.003,0.003,12500,0.003
2015-02-18,0.003,0.003,0.003,0.003,000,0.003
2015-02-19,0.003,0.003,0.003,0.003,000,0.003
2015-02-20,0.003,0.003,0.003,0.003,35000,0.003
2015-02-23,0.003,0.003,0.003,0.003,39000,0.003
2015-02-24,0.003,0.003,0.003,0.003,000,0.003
2015-02-25,0.003,0.003,0.003,0.003,200,0.003
2015-02-26,0.003,0.003,0.003,0.003,000,0.003
2015-02-27,0.003,0.003,0.003,0.003,000,0.003
2015-03-02,0.003,0.003,0.003,0.003,000,0.003
2015-03-03,0.003,0.003,0.003,0.003,000,0.003
2015-03-04,0.003,0.003,0.003,0.003,100000,0.003
2015-03-05,0.003,0.003,0.003,0.003,000,0.003
2015-03-06,0.003,0.003,0.003,0.003,000,0.003
2015-03-09,0.003,0.003,0.003,0.003,000,0.003
2015-03-10,0.003,0.003,0.003,0.003,000,0.003
2015-03-11,0.003,0.003,0.003,0.003,000,0.003
2015-03-12,0.003,0.003,0.003,0.003,80000,0.003
2015-03-13,0.003,0.003,0.003,0.003,000,0.003
2015-03-16,0.003,0.003,0.003,0.003,000,0.003
2015-03-17,0.003,0.003,0.003,0.003,000,0.003
2015-03-18,0.003,0.003,0.003,0.003,000,0.003
2015-03-19,0.003,0.003,0.003,0.003,15000,0.003
2015-03-20,0.003,0.003,0.003,0.003,200000,0.003
2015-03-23,0.003,0.003,0.003,0.003,400000,0.003
2015-03-24,0.003,0.003,0.003,0.003,175000,0.003
2015-03-25,0.003,0.003,0.003,0.003,000,0.003
2015-03-26,0.003,0.003,0.003,0.003,4633300,0.003
2015-03-27,0.003,0.003,0.003,0.003,000,0.003
2015-03-30,0.003,0.003,0.003,0.003,000,0.003
2015-03-31,0.003,0.003,0.003,0.003,000,0.003
2015-04-01,0.003,0.003,0.002,0.002,40000,0.002
2015-04-02,0.002,0.002,0.002,0.002,000,0.002
2015-04-03,0.002,0.002,0.002,0.002,000,0.002
2015-04-06,0.002,0.002,0.002,0.002,000,0.002
2015-04-07,0.002,0.002,0.002,0.002,655300,0.002
2015-04-08,0.002,0.002,0.002,0.002,000,0.002
2015-04-09,0.002,0.002,0.002,0.002,300,0.002
2015-04-10,0.002,0.002,0.002,0.002,000,0.002
2015-04-13,0.002,0.002,0.002,0.002,000,0.002
2015-04-14,0.002,0.002,0.002,0.002,700000,0.002
2015-04-15,0.002,0.002,0.002,0.002,000,0.002
2015-04-16,0.002,0.002,0.002,0.002,000,0.002
2015-04-17,0.002,0.002,0.002,0.002,125900,0.002
2015-04-20,0.002,0.002,0.002,0.002,000,0.002
2015-04-21,0.002,0.002,0.002,0.002,000,0.002
2015-04-22,0.002,0.002,0.002,0.002,000,0.002
2015-04-23,0.002,0.002,0.002,0.002,000,0.002
2015-04-24,0.002,0.002,0.002,0.002,15500,0.002
2015-04-27,0.002,0.002,0.002,0.002,000,0.002
2015-04-28,0.002,0.002,0.002,0.002,000,0.002
2015-04-29,0.002,0.002,0.002,0.002,000,0.002
2015-04-30,0.002,0.002,0.002,0.002,000,0.002
2015-05-01,0.002,0.002,0.002,0.002,205100,0.002
2015-05-04,0.002,0.002,0.002,0.002,000,0.002
2015-05-05,0.002,0.002,0.002,0.002,000,0.002
2015-05-06,0.002,0.002,0.002,0.002,000,0.002
2015-05-07,0.002,0.002,0.002,0.002,000,0.002
2015-05-08,0.002,0.002,0.002,0.002,000,0.002
2015-05-11,0.002,0.002,0.002,0.002,000,0.002
2015-05-12,0.002,0.002,0.002,0.002,32500,0.002
2015-05-13,0.002,0.002,0.002,0.002,000,0.002
2015-05-14,0.002,0.002,0.002,0.002,000,0.002
2015-05-15,0.002,0.002,0.002,0.002,000,0.002
2015-05-18,0.002,0.002,0.002,0.002,000,0.002
2015-05-19,0.002,0.002,0.002,0.002,000,0.002
2015-05-20,0.002,0.002,0.002,0.002,000,0.002
2015-05-21,0.002,0.002,0.002,0.002,000,0.002
2015-05-22,0.002,0.002,0.002,0.002,000,0.002
2015-05-25,0.002,0.002,0.002,0.002,000,0.002
2015-05-26,0.002,0.002,0.002,0.002,000,0.002
2015-05-27,0.002,0.002,0.002,0.002,20000,0.002
2015-05-28,0.002,0.002,0.002,0.002,000,0.002
2015-05-29,0.002,0.002,0.002,0.002,000,0.002
2015-06-01,0.002,0.002,0.002,0.002,000,0.002
2015-06-02,0.002,0.002,0.002,0.002,000,0.002
2015-06-03,0.002,0.002,0.002,0.002,000,0.002
2015-06-04,0.002,0.002,0.002,0.002,000,0.002
2015-06-05,0.002,0.002,0.002,0.002,000,0.002
2015-06-08,0.002,0.002,0.002,0.002,000,0.002
2015-06-09,0.002,0.002,0.002,0.002,798000,0.002
2015-06-10,0.002,0.002,0.002,0.002,000,0.002
2015-06-11,0.002,0.002,0.002,0.002,000,0.002
2015-06-12,0.002,0.002,0.002,0.002,3841700,0.002
2015-06-15,0.002,0.002,0.002,0.002,000,0.002
2015-06-16,0.003,0.003,0.003,0.003,2058900,0.003
2015-06-17,0.003,0.003,0.003,0.003,649200,0.003
2015-06-18,0.003,0.003,0.003,0.003,104000,0.003
2015-06-19,0.003,0.003,0.003,0.003,000,0.003
2015-06-22,0.003,0.003,0.003,0.003,375900,0.003
2015-06-23,0.003,0.003,0.003,0.003,100000,0.003
2015-06-24,0.003,0.003,0.003,0.003,24000,0.003
2015-06-25,0.003,0.003,0.003,0.003,000,0.003
2015-06-26,0.003,0.003,0.003,0.003,000,0.003
2015-06-29,0.003,0.003,0.003,0.003,000,0.003
2015-06-30,0.003,0.003,0.003,0.003,000,0.003
2015-07-01,0.003,0.003,0.003,0.003,000,0.003
2015-07-02,0.003,0.003,0.003,0.003,000,0.003
2015-07-03,0.003,0.003,0.003,0.003,000,0.003
2015-07-06,0.003,0.003,0.003,0.003,000,0.003
2015-07-07,0.003,0.003,0.003,0.003,000,0.003
2015-07-08,0.002,0.002,0.002,0.002,87900,0.002
2015-07-09,0.002,0.002,0.002,0.002,000,0.002
2015-07-10,0.002,0.002,0.002,0.002,000,0.002
2015-07-13,0.002,0.002,0.002,0.002,000,0.002
2015-07-14,0.002,0.002,0.002,0.002,000,0.002
2015-07-15,0.002,0.002,0.002,0.002,000,0.002
2015-07-16,0.002,0.002,0.002,0.002,000,0.002
2015-07-17,0.002,0.002,0.002,0.002,000,0.002
2015-07-20,0.002,0.002,0.002,0.002,000,0.002
2015-07-21,0.002,0.002,0.002,0.002,000,0.002
2015-07-22,0.002,0.002,0.002,0.002,000,0.002
2015-07-23,0.002,0.002,0.002,0.002,000,0.002
2015-07-24,0.002,0.002,0.002,0.002,000,0.002
2015-07-27,0.002,0.002,0.002,0.002,000,0.002
2015-07-28,0.002,0.002,0.002,0.002,000,0.002
2015-07-29,0.002,0.002,0.002,0.002,000,0.002
2015-07-30,0.003,0.003,0.003,0.003,41500,0.003
2015-07-31,0.003,0.003,0.003,0.003,11000,0.003
2015-08-03,0.002,0.002,0.002,0.002,10000,0.002
2015-08-04,0.002,0.002,0.002,0.002,250000,0.002
2015-08-05,0.002,0.002,0.002,0.002,000,0.002
2015-08-06,0.003,0.003,0.003,0.003,1471300,0.003
2015-08-07,0.003,0.003,0.003,0.003,000,0.003
2015-08-10,0.003,0.003,0.003,0.003,300000,0.003
2015-08-11,0.003,0.003,0.003,0.003,4200000,0.003
2015-08-12,0.003,0.003,0.003,0.003,000,0.003
2015-08-13,0.003,0.003,0.003,0.003,000,0.003
2015-08-14,0.003,0.003,0.003,0.003,000,0.003
2015-08-17,0.003,0.003,0.003,0.003,000,0.003
2015-08-18,0.003,0.003,0.003,0.003,000,0.003
2015-08-19,0.003,0.003,0.003,0.003,000,0.003
2015-08-20,0.004,0.004,0.004,0.004,1250000,0.004
2015-08-24,0.004,0.004,0.004,0.004,000,0.004
2015-08-25,0.004,0.004,0.004,0.004,000,0.004
2015-08-26,0.004,0.004,0.004,0.004,000,0.004
2015-08-27,0.004,0.004,0.004,0.004,000,0.004
2015-08-28,0.003,0.003,0.003,0.003,500000,0.003
2015-08-31,0.003,0.003,0.003,0.003,1500000,0.003
2015-09-01,0.003,0.003,0.003,0.003,500000,0.003
2015-09-02,0.003,0.003,0.003,0.003,000,0.003
2015-09-03,0.003,0.003,0.003,0.003,000,0.003
2015-09-04,0.003,0.003,0.003,0.003,000,0.003
2015-09-07,0.003,0.003,0.003,0.003,000,0.003
2015-09-08,0.003,0.003,0.003,0.003,000,0.003
2015-09-09,0.003,0.003,0.003,0.003,000,0.003
2015-09-10,0.003,0.003,0.003,0.003,000,0.003
2015-09-11,0.003,0.003,0.003,0.003,000,0.003
2015-09-14,0.003,0.003,0.003,0.003,000,0.003
2015-09-15,0.003,0.003,0.003,0.003,533300,0.003
2015-09-16,0.003,0.003,0.003,0.003,000,0.003
2015-09-17,0.003,0.003,0.003,0.003,000,0.003
2015-09-18,0.003,0.003,0.003,0.003,000,0.003
2015-09-21,0.003,0.003,0.003,0.003,000,0.003
2015-09-22,0.003,0.004,0.003,0.004,300000,0.004
2015-09-23,0.004,0.004,0.004,0.004,000,0.004
2015-09-24,0.004,0.004,0.004,0.004,000,0.004
2015-09-25,0.004,0.004,0.004,0.004,000,0.004
2015-09-28,0.004,0.004,0.004,0.004,000,0.004
2015-09-29,0.004,0.004,0.004,0.004,000,0.004
2015-09-30,0.004,0.004,0.004,0.004,000,0.004
2015-10-01,0.004,0.004,0.004,0.004,000,0.004
2015-10-02,0.004,0.004,0.004,0.004,000,0.004
2015-10-05,0.004,0.004,0.004,0.004,000,0.004
2015-10-06,0.003,0.003,0.003,0.003,1574900,0.003
2015-10-07,0.003,0.003,0.003,0.003,000,0.003
2015-10-08,0.003,0.003,0.003,0.003,000,0.003
2015-10-09,0.003,0.003,0.003,0.003,000,0.003
2015-10-12,0.002,0.002,0.002,0.002,200000,0.002
2015-10-13,0.003,0.003,0.003,0.003,106600,0.003
2015-10-14,0.003,0.003,0.003,0.003,000,0.003
2015-10-15,0.003,0.003,0.003,0.003,533300,0.003
2015-10-16,0.003,0.003,0.003,0.003,000,0.003
2015-10-19,0.003,0.003,0.003,0.003,1538300,0.003
2015-10-20,0.004,0.004,0.004,0.004,300000,0.004
2015-10-21,0.003,0.003,0.003,0.003,206600,0.003
2015-10-22,0.003,0.003,0.003,0.003,000,0.003
