Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,4.411,4.411,4.411,4.411,000,4.411
2015-01-02,4.27,4.29,4.27,4.28,6100,4.28
2015-01-05,4.411,4.411,4.411,4.411,000,4.411
2015-01-06,4.411,4.411,4.411,4.411,000,4.411
2015-01-07,4.411,4.411,4.411,4.411,000,4.411
2015-01-08,4.411,4.411,4.411,4.411,000,4.411
2015-01-09,4.411,4.411,4.411,4.411,000,4.411
2015-01-12,4.34,4.35,4.30,4.34,5900,4.34
2015-01-13,4.56,4.56,4.56,4.56,000,4.56
2015-01-14,4.56,4.56,4.56,4.56,000,4.56
2015-01-15,4.56,4.56,4.56,4.56,000,4.56
2015-01-16,4.23,4.24,4.22,4.22,23600,4.22
2015-01-19,4.56,4.56,4.56,4.56,000,4.56
2015-01-20,4.56,4.56,4.56,4.56,000,4.56
2015-01-21,4.56,4.56,4.56,4.56,000,4.56
2015-01-22,4.56,4.56,4.56,4.56,000,4.56
2015-01-23,4.32,4.36,4.32,4.36,34800,4.36
2015-01-27,4.56,4.56,4.56,4.56,000,4.56
2015-01-28,4.56,4.56,4.56,4.56,000,4.56
2015-01-29,4.56,4.56,4.56,4.56,000,4.56
2015-01-30,4.56,4.56,4.56,4.56,000,4.56
2015-02-02,4.56,4.56,4.56,4.56,000,4.56
2015-02-03,4.56,4.56,4.56,4.56,000,4.56
2015-02-04,4.56,4.56,4.56,4.56,000,4.56
2015-02-05,4.56,4.56,4.56,4.56,000,4.56
2015-02-06,4.56,4.56,4.56,4.56,000,4.56
2015-02-09,4.56,4.56,4.56,4.56,000,4.56
2015-02-10,4.56,4.56,4.56,4.56,000,4.56
2015-02-11,4.75,4.75,4.75,4.75,000,4.75
2015-02-12,4.75,4.75,4.75,4.75,000,4.75
2015-02-13,4.47,4.60,4.47,4.55,54700,4.55
2015-02-16,4.75,4.75,4.75,4.75,000,4.75
2015-02-17,4.75,4.75,4.75,4.75,000,4.75
2015-02-18,4.75,4.75,4.75,4.75,000,4.75
2015-02-19,4.75,4.75,4.75,4.75,000,4.75
2015-02-20,4.75,4.75,4.75,4.75,000,4.75
2015-02-23,4.75,4.75,4.75,4.75,000,4.75
2015-02-24,4.75,4.75,4.75,4.75,000,4.75
2015-02-25,4.75,4.75,4.75,4.75,000,4.75
2015-02-26,4.61,4.62,4.61,4.62,17900,4.62
2015-02-27,4.75,4.75,4.75,4.75,000,4.75
2015-03-02,4.75,4.75,4.75,4.75,000,4.75
2015-03-03,4.75,4.75,4.75,4.75,000,4.75
2015-03-04,4.75,4.75,4.75,4.75,000,4.75
2015-03-05,4.68,4.70,4.68,4.70,6500,4.70
2015-03-06,5.10,5.10,5.10,5.10,000,5.10
2015-03-09,5.10,5.10,5.10,5.10,000,5.10
2015-03-10,5.10,5.10,5.10,5.10,000,5.10
2015-03-11,5.10,5.10,5.10,5.10,000,5.10
2015-03-12,5.10,5.10,5.10,5.10,000,5.10
2015-03-13,5.10,5.10,5.10,5.10,000,5.10
2015-03-16,5.10,5.10,5.10,5.10,000,5.10
2015-03-17,5.10,5.10,5.10,5.10,000,5.10
2015-03-18,5.10,5.10,5.10,5.10,000,5.10
2015-03-19,5.10,5.10,5.10,5.10,000,5.10
2015-03-20,5.10,5.10,5.10,5.10,000,5.10
2015-03-23,4.89,4.90,4.88,4.88,8800,4.88
2015-03-24,5.10,5.10,5.10,5.10,000,5.10
2015-03-25,5.10,5.10,5.10,5.10,000,5.10
2015-03-26,5.10,5.10,5.10,5.10,000,5.10
2015-03-27,5.10,5.10,5.10,5.10,000,5.10
