Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.16,0.16,0.16,0.16,000,0.16
2015-01-02,0.16,0.16,0.16,0.16,000,0.16
2015-01-05,0.16,0.16,0.16,0.16,10000,0.16
2015-01-06,0.155,0.155,0.155,0.155,20000,0.155
2015-01-07,0.155,0.16,0.155,0.16,5900,0.16
2015-01-08,0.16,0.16,0.16,0.16,000,0.16
2015-01-09,0.155,0.155,0.155,0.155,2800,0.155
2015-01-12,0.125,0.125,0.125,0.125,15000,0.125
2015-01-13,0.125,0.125,0.125,0.125,000,0.125
2015-01-14,0.13,0.13,0.12,0.12,43300,0.12
2015-01-15,0.12,0.12,0.12,0.12,000,0.12
2015-01-16,0.10,0.12,0.10,0.12,62000,0.12
2015-01-19,0.12,0.12,0.12,0.12,10000,0.12
2015-01-20,0.11,0.11,0.11,0.11,45200,0.11
2015-01-21,0.11,0.11,0.11,0.11,000,0.11
2015-01-22,0.10,0.11,0.10,0.11,22000,0.11
2015-01-23,0.105,0.105,0.105,0.105,26700,0.105
2015-01-26,0.105,0.105,0.105,0.105,000,0.105
2015-01-27,0.105,0.105,0.105,0.105,10000,0.105
2015-01-28,0.105,0.105,0.105,0.105,000,0.105
2015-01-29,0.125,0.13,0.125,0.125,108400,0.125
2015-01-30,0.125,0.125,0.125,0.125,000,0.125
2015-02-02,0.125,0.125,0.11,0.11,10000,0.11
2015-02-03,0.13,0.20,0.13,0.185,810500,0.185
2015-02-04,0.195,0.22,0.18,0.20,156700,0.20
2015-02-05,0.20,0.26,0.20,0.225,455700,0.225
2015-02-06,0.225,0.235,0.225,0.235,267000,0.235
2015-02-09,0.225,0.235,0.22,0.22,89500,0.22
2015-02-10,0.205,0.205,0.20,0.20,35000,0.20
2015-02-11,0.19,0.20,0.16,0.185,142300,0.185
2015-02-12,0.185,0.185,0.185,0.185,000,0.185
2015-02-13,0.175,0.19,0.175,0.19,143300,0.19
2015-02-16,0.19,0.19,0.18,0.18,107000,0.18
2015-02-17,0.18,0.19,0.18,0.19,12100,0.19
2015-02-18,0.18,0.18,0.17,0.18,303500,0.18
2015-02-19,0.18,0.19,0.17,0.18,97100,0.18
2015-02-20,0.17,0.17,0.17,0.17,1800,0.17
2015-02-23,0.18,0.18,0.18,0.18,10000,0.18
2015-02-24,0.17,0.17,0.17,0.17,6000,0.17
2015-02-25,0.18,0.18,0.18,0.18,12000,0.18
2015-02-26,0.18,0.18,0.18,0.18,7800,0.18
2015-02-27,0.17,0.17,0.16,0.16,180100,0.16
2015-03-02,0.18,0.20,0.18,0.20,354900,0.20
2015-03-03,0.20,0.21,0.19,0.19,539800,0.19
2015-03-04,0.195,0.195,0.17,0.17,307700,0.17
2015-03-05,0.165,0.18,0.155,0.155,260000,0.155
2015-03-06,0.16,0.225,0.16,0.225,793000,0.225
2015-03-09,0.31,0.355,0.26,0.32,15958600,0.32
2015-03-10,0.325,0.36,0.30,0.335,8912900,0.335
2015-03-11,0.325,0.335,0.31,0.31,2477200,0.31
2015-03-12,0.305,0.33,0.28,0.30,1219600,0.30
2015-03-13,0.295,0.375,0.28,0.355,4511000,0.355
2015-03-16,0.36,0.42,0.36,0.395,5023600,0.395
2015-03-17,0.395,0.40,0.365,0.39,1417900,0.39
2015-03-18,0.385,0.39,0.34,0.35,821300,0.35
2015-03-19,0.35,0.35,0.35,0.35,000,0.35
2015-03-20,0.35,0.35,0.35,0.35,000,0.35
