Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-01-02,0.00275,0.00275,0.00275,0.00275,1233200,0.00275
2015-01-05,0.00275,0.00275,0.00275,0.00275,60000,0.00275
2015-01-06,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-07,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-08,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-09,0.00275,0.00275,0.00275,0.00275,54500,0.00275
2015-01-12,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-13,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-14,0.00275,0.00275,0.00275,0.00275,196300,0.00275
2015-01-15,0.00275,0.00275,0.00275,0.00275,234500,0.00275
2015-01-16,0.00275,0.00275,0.00275,0.00275,218100,0.00275
2015-01-19,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-20,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-21,0.00275,0.00275,0.00275,0.00275,796300,0.00275
2015-01-22,0.00275,0.00275,0.00275,0.00275,763600,0.00275
2015-01-23,0.00367,0.00367,0.00367,0.00367,425400,0.00367
2015-01-26,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-01-27,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-01-28,0.00275,0.00275,0.00275,0.00275,294500,0.00275
2015-01-29,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-01-30,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-02,0.00275,0.00275,0.00275,0.00275,2700900,0.00275
2015-02-03,0.00275,0.00275,0.00183,0.00183,319700,0.00183
2015-02-04,0.00275,0.00367,0.00275,0.00367,6780900,0.00367
2015-02-05,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-02-06,0.00367,0.00367,0.00367,0.00367,490900,0.00367
2015-02-09,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-02-10,0.00367,0.00367,0.00367,0.00367,136300,0.00367
2015-02-11,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-02-12,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-02-13,0.00275,0.00275,0.00275,0.00275,354500,0.00275
2015-02-16,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-17,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-18,0.00275,0.00275,0.00275,0.00275,1200000,0.00275
2015-02-19,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-20,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-23,0.00275,0.00275,0.00275,0.00275,10900,0.00275
2015-02-24,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-25,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-02-26,0.00275,0.00275,0.00275,0.00275,1090900,0.00275
2015-02-27,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-02,0.00275,0.00275,0.00275,0.00275,54500,0.00275
2015-03-03,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-04,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-05,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-06,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-09,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-10,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-11,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-12,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-13,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-16,0.00275,0.00275,0.00275,0.00275,1930600,0.00275
2015-03-17,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-18,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-19,0.00275,0.00275,0.00275,0.00275,500900,0.00275
2015-03-20,0.00275,0.00275,0.00275,0.00275,119400,0.00275
2015-03-23,0.00275,0.00275,0.00275,0.00275,120000,0.00275
2015-03-24,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-25,0.00275,0.00275,0.00275,0.00275,292900,0.00275
2015-03-26,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-27,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-03-30,0.00275,0.00275,0.00275,0.00275,218100,0.00275
2015-03-31,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-01,0.00275,0.00275,0.00275,0.00275,109000,0.00275
2015-04-02,0.00275,0.00275,0.00275,0.00275,109000,0.00275
2015-04-03,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-06,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-07,0.00275,0.00275,0.00275,0.00275,136300,0.00275
2015-04-08,0.00275,0.00275,0.00275,0.00275,1186900,0.00275
2015-04-09,0.00183,0.00183,0.00183,0.00183,138800,0.00183
2015-04-10,0.00183,0.00183,0.00183,0.00183,36700,0.00183
2015-04-13,0.00183,0.00183,0.00183,0.00183,000,0.00183
2015-04-14,0.00183,0.00183,0.00183,0.00183,8918600,0.00183
2015-04-15,0.00092,0.00092,0.00092,0.00092,24300,0.00092
2015-04-16,0.00183,0.00183,0.00183,0.00183,2400500,0.00183
2015-04-17,0.00275,0.00275,0.00275,0.00275,109000,0.00275
2015-04-20,0.00275,0.00275,0.00275,0.00275,763600,0.00275
2015-04-21,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-22,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-23,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-24,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-04-27,0.00275,0.00275,0.00275,0.00275,185400,0.00275
2015-04-28,0.00183,0.00183,0.00183,0.00183,2500,0.00183
2015-04-29,0.00183,0.00183,0.00183,0.00183,000,0.00183
2015-04-30,0.00183,0.00183,0.00183,0.00183,000,0.00183
2015-05-01,0.00183,0.00275,0.00183,0.00275,1333600,0.00275
2015-05-04,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-05-05,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-05-06,0.00183,0.00275,0.00183,0.00183,6992800,0.00183
2015-05-07,0.00183,0.00183,0.00183,0.00183,000,0.00183
2015-05-08,0.00183,0.00183,0.00183,0.00183,1603600,0.00183
2015-05-11,0.00183,0.00183,0.00183,0.00183,151500,0.00183
2015-05-12,0.00183,0.00183,0.00183,0.00183,000,0.00183
2015-05-13,0.00275,0.00367,0.00275,0.00275,10211100,0.00275
2015-05-14,0.00367,0.00367,0.00367,0.00367,16734500,0.00367
2015-05-15,0.00367,0.00367,0.00367,0.00367,361300,0.00367
2015-05-18,0.00275,0.00275,0.00275,0.00275,8785000,0.00275
2015-05-19,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-05-20,0.00275,0.00275,0.00275,0.00275,1448700,0.00275
2015-05-21,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-05-22,0.00275,0.00275,0.00275,0.00275,327200,0.00275
2015-05-25,0.00367,0.00367,0.00367,0.00367,4007200,0.00367
2015-05-26,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-05-27,0.00367,0.00367,0.00367,0.00367,648600,0.00367
2015-05-28,0.00275,0.00275,0.00275,0.00275,4329400,0.00275
2015-05-29,0.00275,0.00275,0.00183,0.00275,4454900,0.00275
2015-06-01,0.00275,0.00275,0.00275,0.00275,1849900,0.00275
2015-06-02,0.00275,0.00275,0.00275,0.00275,000,0.00275
2015-06-03,0.00367,0.0055,0.00367,0.00367,32263600,0.00367
2015-06-04,0.00367,0.00367,0.00367,0.00367,7245000,0.00367
2015-06-05,0.00367,0.00367,0.00367,0.00367,568600,0.00367
2015-06-08,0.00367,0.00367,0.00367,0.00367,000,0.00367
2015-06-09,0.00367,0.00367,0.00367,0.00367,527700,0.00367
2015-06-10,0.00367,0.00367,0.00367,0.00367,1413500,0.00367
2015-06-11,0.004,0.004,0.003,0.003,1350000,0.003
2015-06-12,0.003,0.003,0.003,0.003,000,0.003
2015-06-15,0.003,0.003,0.003,0.003,000,0.003
2015-06-16,0.003,0.003,0.003,0.003,40000,0.003
2015-06-17,0.003,0.003,0.003,0.003,000,0.003
2015-06-18,0.003,0.003,0.003,0.003,000,0.003
2015-06-19,0.003,0.0035,0.003,0.003,16100,0.003
2015-06-22,0.004,0.004,0.004,0.004,2228600,0.004
2015-06-23,0.003,0.003,0.003,0.003,22000,0.003
2015-06-24,0.003,0.003,0.003,0.003,200000,0.003
2015-06-25,0.003,0.003,0.003,0.003,000,0.003
2015-06-26,0.003,0.003,0.003,0.003,20000,0.003
2015-06-29,0.003,0.004,0.003,0.004,655000,0.004
2015-06-30,0.003,0.004,0.003,0.004,3442000,0.004
2015-07-01,0.004,0.004,0.004,0.004,000,0.004
2015-07-02,0.004,0.004,0.004,0.004,125000,0.004
2015-07-03,0.003,0.004,0.003,0.004,2200000,0.004
2015-07-06,0.004,0.004,0.004,0.004,000,0.004
2015-07-07,0.004,0.004,0.004,0.004,000,0.004
2015-07-08,0.004,0.004,0.004,0.004,000,0.004
2015-07-09,0.004,0.004,0.004,0.004,3669600,0.004
2015-07-10,0.004,0.004,0.004,0.004,4434100,0.004
2015-07-13,0.004,0.004,0.004,0.004,450000,0.004
2015-07-14,0.004,0.004,0.004,0.004,3625500,0.004
2015-07-15,0.004,0.004,0.004,0.004,945000,0.004
2015-07-16,0.004,0.004,0.004,0.004,000,0.004
2015-07-17,0.004,0.004,0.004,0.004,000,0.004
2015-07-20,0.004,0.004,0.004,0.004,245000,0.004
2015-07-21,0.004,0.004,0.004,0.004,000,0.004
2015-07-22,0.004,0.004,0.004,0.004,000,0.004
2015-07-23,0.004,0.004,0.004,0.004,000,0.004
2015-07-24,0.004,0.004,0.004,0.004,1045000,0.004
2015-07-27,0.004,0.004,0.004,0.004,000,0.004
2015-07-28,0.004,0.004,0.004,0.004,2000000,0.004
2015-07-29,0.004,0.004,0.004,0.004,000,0.004
2015-07-30,0.004,0.005,0.004,0.005,8898700,0.005
2015-07-31,0.005,0.005,0.004,0.004,3423900,0.004
2015-08-03,0.004,0.004,0.004,0.004,1334300,0.004
2015-08-04,0.003,0.004,0.003,0.004,341000,0.004
2015-08-05,0.004,0.004,0.004,0.004,1000000,0.004
2015-08-06,0.004,0.004,0.004,0.004,1250000,0.004
2015-08-07,0.004,0.004,0.004,0.004,000,0.004
2015-08-10,0.004,0.004,0.004,0.004,000,0.004
2015-08-11,0.003,0.004,0.003,0.003,7149000,0.003
2015-08-12,0.003,0.0035,0.003,0.003,600000,0.003
2015-08-13,0.004,0.0045,0.003,0.004,31992400,0.004
2015-08-14,0.004,0.0045,0.004,0.004,10365100,0.004
2015-08-17,0.004,0.004,0.004,0.004,1500000,0.004
2015-08-18,0.004,0.004,0.004,0.004,1875000,0.004
2015-08-19,0.004,0.004,0.004,0.004,000,0.004
2015-08-20,0.004,0.004,0.004,0.004,1390000,0.004
2015-08-21,0.003,0.0035,0.003,0.003,5588800,0.003
2015-08-24,0.003,0.003,0.003,0.003,15042000,0.003
2015-08-25,0.003,0.003,0.003,0.003,2870000,0.003
2015-08-26,0.003,0.003,0.003,0.003,200000,0.003
2015-08-27,0.003,0.003,0.003,0.003,8631100,0.003
2015-08-28,0.004,0.004,0.004,0.004,2300000,0.004
2015-08-31,0.004,0.004,0.003,0.004,2428000,0.004
2015-09-01,0.004,0.004,0.004,0.004,1450000,0.004
2015-09-02,0.004,0.004,0.004,0.004,2000000,0.004
2015-09-03,0.003,0.004,0.003,0.004,3626500,0.004
2015-09-04,0.003,0.003,0.003,0.003,500000,0.003
2015-09-07,0.004,0.004,0.004,0.004,1250000,0.004
2015-09-08,0.004,0.0045,0.003,0.004,25754700,0.004
2015-09-09,0.004,0.004,0.004,0.004,12250000,0.004
2015-09-10,0.004,0.004,0.004,0.004,2246200,0.004
2015-09-11,0.004,0.004,0.004,0.004,1074900,0.004
2015-09-14,0.003,0.003,0.003,0.003,1620600,0.003
2015-09-15,0.003,0.004,0.003,0.003,2850000,0.003
2015-09-16,0.003,0.003,0.003,0.003,350000,0.003
2015-09-17,0.004,0.004,0.003,0.004,3840000,0.004
2015-09-18,0.004,0.004,0.004,0.004,3584600,0.004
2015-09-21,0.004,0.006,0.004,0.006,25003400,0.006
2015-09-22,0.006,0.0065,0.006,0.006,19046700,0.006
2015-09-23,0.006,0.006,0.004,0.004,16497700,0.004
2015-09-24,0.005,0.005,0.004,0.005,10496400,0.005
2015-09-25,0.005,0.0055,0.005,0.005,927800,0.005
2015-09-28,0.006,0.006,0.005,0.005,16252300,0.005
2015-09-29,0.006,0.006,0.005,0.006,20034700,0.006
2015-09-30,0.006,0.006,0.006,0.006,8752500,0.006
2015-10-01,0.006,0.007,0.006,0.007,4146800,0.007
2015-10-02,0.007,0.007,0.007,0.007,2364100,0.007
2015-10-05,0.01,0.013,0.009,0.011,102890900,0.011
2015-10-06,0.011,0.011,0.009,0.01,31517100,0.01
2015-10-07,0.01,0.01,0.009,0.009,5839500,0.009
2015-10-08,0.009,0.01,0.009,0.01,6068100,0.01
2015-10-09,0.01,0.011,0.01,0.01,7676300,0.01
2015-10-12,0.011,0.011,0.01,0.01,12247700,0.01
2015-10-13,0.01,0.011,0.01,0.011,4435900,0.011
2015-10-14,0.011,0.011,0.007,0.009,44172000,0.009
2015-10-15,0.009,0.009,0.008,0.009,6570200,0.009
2015-10-16,0.009,0.009,0.009,0.009,2133300,0.009
2015-10-19,0.009,0.009,0.009,0.009,7560900,0.009
2015-10-20,0.009,0.009,0.009,0.009,1172100,0.009
2015-10-21,0.009,0.009,0.009,0.009,2565200,0.009
2015-10-22,0.009,0.01,0.009,0.01,12192200,0.01
2015-10-23,0.01,0.01,0.009,0.009,5919900,0.009
2015-10-26,0.009,0.009,0.009,0.009,000,0.009
2015-10-27,0.009,0.009,0.009,0.009,3857600,0.009
2015-10-28,0.009,0.01,0.009,0.009,1231700,0.009
2015-10-29,0.009,0.009,0.009,0.009,4835000,0.009
2015-10-30,0.009,0.009,0.009,0.009,000,0.009
2015-11-02,0.009,0.009,0.009,0.009,000,0.009
2015-11-03,0.009,0.01,0.009,0.009,3308700,0.009
2015-11-04,0.01,0.01,0.009,0.009,6791800,0.009
2015-11-05,0.009,0.009,0.009,0.009,1807300,0.009
2015-11-06,0.009,0.009,0.008,0.009,1589100,0.009
2015-11-09,0.009,0.009,0.008,0.008,1254700,0.008
2015-11-10,0.009,0.009,0.008,0.008,1900500,0.008
2015-11-11,0.008,0.0085,0.008,0.008,2647700,0.008
2015-11-12,0.009,0.009,0.008,0.008,715600,0.008
2015-11-13,0.008,0.009,0.008,0.009,3272000,0.009
2015-11-16,0.008,0.008,0.008,0.008,6909700,0.008
2015-11-17,0.007,0.007,0.007,0.007,1800700,0.007
2015-11-18,0.007,0.007,0.006,0.007,13391600,0.007
2015-11-19,0.007,0.007,0.007,0.007,129900,0.007
2015-11-20,0.007,0.007,0.007,0.007,000,0.007
2015-11-23,0.007,0.007,0.007,0.007,1000000,0.007
2015-11-24,0.009,0.009,0.008,0.008,6331700,0.008
2015-11-25,0.008,0.008,0.007,0.008,1877500,0.008
2015-11-26,0.007,0.0075,0.007,0.007,1202000,0.007
2015-11-27,0.007,0.007,0.006,0.006,6219400,0.006
2015-11-30,0.006,0.007,0.006,0.006,4594200,0.006
2015-12-01,0.008,0.008,0.007,0.008,11883400,0.008
2015-12-02,0.008,0.008,0.008,0.008,000,0.008
2015-12-03,0.008,0.008,0.008,0.008,187500,0.008
2015-12-04,0.007,0.007,0.007,0.007,400000,0.007
2015-12-07,0.007,0.007,0.006,0.007,5662500,0.007
2015-12-08,0.008,0.008,0.007,0.007,14448000,0.007
2015-12-09,0.007,0.007,0.006,0.007,2753600,0.007
2015-12-10,0.007,0.007,0.007,0.007,921500,0.007
2015-12-11,0.007,0.007,0.007,0.007,000,0.007
2015-12-14,0.006,0.006,0.006,0.006,300000,0.006
2015-12-15,0.006,0.006,0.006,0.006,530000,0.006
2015-12-16,0.007,0.007,0.006,0.006,775000,0.006
2015-12-17,0.006,0.007,0.006,0.007,1182800,0.007
2015-12-18,0.006,0.006,0.006,0.006,2270000,0.006
2015-12-21,0.006,0.0065,0.006,0.006,3372500,0.006
2015-12-22,0.007,0.007,0.006,0.006,3475000,0.006
2015-12-23,0.007,0.007,0.006,0.006,2151200,0.006
2015-12-24,0.007,0.007,0.007,0.007,23800,0.007
2015-12-25,0.007,0.007,0.007,0.007,000,0.007
2015-12-28,0.007,0.007,0.007,0.007,000,0.007
2015-12-29,0.006,0.006,0.006,0.006,790800,0.006
2015-12-30,0.006,0.006,0.005,0.005,14154000,0.005
2015-12-31,0.006,0.006,0.006,0.006,82000,0.006
2016-01-01,0.006,0.006,0.006,0.006,000,0.006
2016-01-04,0.005,0.0055,0.005,0.005,2200300,0.005
2016-01-05,0.005,0.0055,0.005,0.005,1433300,0.005
2016-01-06,0.006,0.006,0.005,0.005,361600,0.005
2016-01-07,0.006,0.006,0.005,0.005,1500600,0.005
2016-01-08,0.007,0.007,0.006,0.006,15460400,0.006
2016-01-11,0.006,0.006,0.005,0.005,2776500,0.005
2016-01-12,0.005,0.005,0.005,0.005,15172100,0.005
2016-01-13,0.005,0.005,0.005,0.005,1355600,0.005
2016-01-14,0.005,0.005,0.005,0.005,000,0.005
2016-01-15,0.005,0.0055,0.005,0.005,1196300,0.005
2016-01-18,0.005,0.005,0.005,0.005,2964900,0.005
2016-01-19,0.005,0.005,0.004,0.005,9759300,0.005
2016-01-20,0.005,0.005,0.004,0.004,2075000,0.004
2016-01-21,0.004,0.004,0.004,0.004,000,0.004
2016-01-22,0.004,0.004,0.004,0.004,000,0.004
2016-01-25,0.004,0.004,0.004,0.004,000,0.004
2016-01-26,0.004,0.004,0.004,0.004,000,0.004
2016-01-27,0.004,0.004,0.004,0.004,000,0.004
2016-01-28,0.004,0.005,0.004,0.005,310500,0.005
2016-01-29,0.004,0.0045,0.004,0.004,700000,0.004
2016-02-01,0.004,0.004,0.003,0.003,10084200,0.003
2016-02-02,0.004,0.004,0.003,0.004,2011700,0.004
2016-02-03,0.004,0.004,0.004,0.004,000,0.004
2016-02-04,0.004,0.004,0.004,0.004,000,0.004
2016-02-05,0.004,0.004,0.004,0.004,000,0.004
2016-02-08,0.004,0.004,0.004,0.004,000,0.004
2016-02-09,0.003,0.0035,0.003,0.003,2000900,0.003
2016-02-10,0.003,0.003,0.003,0.003,000,0.003
2016-02-11,0.003,0.003,0.003,0.003,000,0.003
2016-02-12,0.003,0.003,0.003,0.003,000,0.003
2016-02-15,0.003,0.003,0.003,0.003,000,0.003
2016-02-16,0.004,0.004,0.003,0.003,4683300,0.003
2016-02-17,0.003,0.003,0.003,0.003,000,0.003
2016-02-18,0.003,0.003,0.003,0.003,000,0.003
2016-02-19,0.004,0.004,0.004,0.004,1125000,0.004
2016-02-22,0.004,0.004,0.004,0.004,000,0.004
2016-02-23,0.004,0.004,0.004,0.004,000,0.004
2016-02-24,0.003,0.0035,0.003,0.003,1859200,0.003
2016-02-25,0.003,0.004,0.003,0.004,1408700,0.004
2016-02-26,0.004,0.004,0.004,0.004,2808700,0.004
2016-02-29,0.004,0.004,0.004,0.004,504100,0.004
2016-03-01,0.004,0.004,0.004,0.004,500000,0.004
2016-03-02,0.004,0.004,0.003,0.004,455000,0.004
2016-03-03,0.004,0.004,0.004,0.004,204200,0.004
2016-03-04,0.003,0.003,0.003,0.003,500000,0.003
2016-03-07,0.004,0.004,0.004,0.004,1195000,0.004
2016-03-08,0.004,0.004,0.004,0.004,000,0.004
2016-03-09,0.004,0.004,0.004,0.004,000,0.004
2016-03-10,0.004,0.004,0.004,0.004,000,0.004
2016-03-11,0.003,0.0035,0.003,0.003,1268700,0.003
2016-03-14,0.003,0.003,0.003,0.003,812500,0.003
2016-03-15,0.003,0.003,0.003,0.003,899000,0.003
2016-03-16,0.003,0.003,0.003,0.003,000,0.003
2016-03-17,0.003,0.003,0.003,0.003,19800,0.003
2016-03-18,0.003,0.003,0.003,0.003,3900000,0.003
2016-03-21,0.003,0.004,0.003,0.004,1066000,0.004
2016-03-22,0.004,0.004,0.003,0.003,1403700,0.003
2016-03-23,0.003,0.0035,0.003,0.003,2184400,0.003
2016-03-24,0.003,0.0035,0.003,0.003,830000,0.003
2016-03-25,0.003,0.003,0.003,0.003,000,0.003
2016-03-28,0.003,0.003,0.003,0.003,000,0.003
2016-03-29,0.004,0.004,0.003,0.003,1296700,0.003
2016-03-30,0.003,0.003,0.003,0.003,550000,0.003
2016-03-31,0.003,0.003,0.003,0.003,1100000,0.003
2016-04-01,0.003,0.004,0.003,0.004,1955000,0.004
2016-04-04,0.003,0.003,0.003,0.003,2500000,0.003
2016-04-05,0.003,0.0035,0.003,0.0035,905000,0.0035
2016-04-06,0.003,0.0035,0.003,0.0035,10100000,0.0035
2016-04-07,0.004,0.005,0.004,0.004,60998800,0.004
2016-04-08,0.004,0.0045,0.003,0.004,18670600,0.004
2016-04-11,0.004,0.004,0.004,0.004,6350000,0.004
2016-04-12,0.003,0.004,0.003,0.004,2550000,0.004
2016-04-13,0.004,0.004,0.003,0.003,3866600,0.003
2016-04-14,0.003,0.0035,0.003,0.003,249900,0.003
2016-04-15,0.004,0.005,0.003,0.005,37051300,0.005


2016-04-18,0.005,0.0055,0.004,0.005,53296200,0.005
2016-04-19,0.006,0.007,0.006,0.006,66236300,0.006
