Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.014,0.014,0.014,0.014,000,0.014
2015-01-02,0.015,0.015,0.015,0.015,1000000,0.015
2015-01-05,0.013,0.013,0.013,0.013,4000,0.013
2015-01-06,0.013,0.013,0.013,0.013,000,0.013
2015-01-07,0.013,0.013,0.013,0.013,000,0.013
2015-01-08,0.013,0.013,0.013,0.013,000,0.013
2015-01-09,0.013,0.015,0.013,0.013,1303000,0.013
2015-01-12,0.013,0.015,0.013,0.015,418900,0.015
2015-01-13,0.015,0.015,0.015,0.015,000,0.015
2015-01-14,0.015,0.015,0.015,0.015,000,0.015
2015-01-15,0.015,0.015,0.015,0.015,000,0.015
2015-01-16,0.014,0.014,0.014,0.014,635600,0.014
2015-01-19,0.014,0.014,0.014,0.014,000,0.014
2015-01-20,0.014,0.014,0.014,0.014,000,0.014
2015-01-21,0.014,0.014,0.014,0.014,000,0.014
2015-01-22,0.013,0.013,0.013,0.013,230000,0.013
2015-01-23,0.013,0.014,0.013,0.014,340000,0.014
2015-01-26,0.014,0.014,0.014,0.014,000,0.014
2015-01-27,0.014,0.014,0.014,0.014,000,0.014
2015-01-28,0.014,0.014,0.014,0.014,000,0.014
2015-01-29,0.014,0.014,0.014,0.014,817300,0.014
2015-01-30,0.014,0.014,0.014,0.014,746800,0.014
2015-02-02,0.014,0.015,0.014,0.015,353100,0.015
2015-02-03,0.014,0.014,0.014,0.014,1638700,0.014
2015-02-04,0.014,0.014,0.014,0.014,100000,0.014
2015-02-05,0.013,0.014,0.013,0.014,1390000,0.014
2015-02-06,0.014,0.014,0.014,0.014,58700,0.014
2015-02-09,0.014,0.014,0.014,0.014,000,0.014
2015-02-10,0.013,0.013,0.013,0.013,900000,0.013
2015-02-11,0.013,0.014,0.013,0.013,303900,0.013
2015-02-12,0.013,0.013,0.013,0.013,000,0.013
2015-02-13,0.013,0.013,0.013,0.013,800000,0.013
2015-02-16,0.013,0.013,0.013,0.013,100,0.013
2015-02-17,0.013,0.013,0.013,0.013,000,0.013
2015-02-18,0.013,0.014,0.013,0.014,2800000,0.014
2015-02-19,0.014,0.014,0.013,0.014,5604300,0.014
2015-02-20,0.014,0.014,0.012,0.012,3943700,0.012
2015-02-23,0.013,0.014,0.013,0.014,857000,0.014
2015-02-24,0.014,0.014,0.014,0.014,000,0.014
2015-02-25,0.014,0.014,0.014,0.014,000,0.014
2015-02-26,0.014,0.014,0.014,0.014,1500000,0.014
2015-02-27,0.014,0.015,0.014,0.015,2350000,0.015
2015-03-02,0.014,0.014,0.013,0.013,339100,0.013
2015-03-03,0.014,0.014,0.014,0.014,36000,0.014
2015-03-04,0.014,0.014,0.014,0.014,000,0.014
2015-03-05,0.013,0.013,0.013,0.013,2500,0.013
2015-03-06,0.013,0.013,0.013,0.013,000,0.013
2015-03-09,0.013,0.013,0.013,0.013,000,0.013
2015-03-10,0.013,0.013,0.013,0.013,000,0.013
2015-03-11,0.013,0.013,0.013,0.013,901200,0.013
2015-03-12,0.013,0.014,0.013,0.014,1265000,0.014
2015-03-13,0.014,0.014,0.014,0.014,000,0.014
2015-03-16,0.014,0.014,0.014,0.014,000,0.014
2015-03-17,0.013,0.013,0.013,0.013,77600,0.013
2015-03-18,0.013,0.013,0.013,0.013,000,0.013
2015-03-19,0.013,0.013,0.013,0.013,000,0.013
2015-03-20,0.013,0.013,0.013,0.013,000,0.013
2015-03-23,0.013,0.013,0.013,0.013,000,0.013
2015-03-24,0.014,0.014,0.014,0.014,500000,0.014
2015-03-25,0.014,0.014,0.014,0.014,000,0.014
2015-03-26,0.013,0.013,0.013,0.013,200000,0.013
2015-03-27,0.013,0.013,0.013,0.013,000,0.013
2015-03-30,0.013,0.013,0.012,0.012,1000500,0.012
2015-03-31,0.012,0.012,0.012,0.012,000,0.012
2015-04-01,0.012,0.012,0.012,0.012,500500,0.012
2015-04-02,0.012,0.012,0.012,0.012,000,0.012
2015-04-03,0.012,0.012,0.012,0.012,000,0.012
2015-04-06,0.012,0.012,0.012,0.012,000,0.012
2015-04-07,0.013,0.013,0.013,0.013,1000000,0.013
2015-04-08,0.013,0.013,0.012,0.012,40200,0.012
2015-04-09,0.012,0.013,0.01,0.01,2746500,0.01
2015-04-10,0.01,0.01,0.01,0.01,000,0.01
2015-04-13,0.01,0.01,0.01,0.01,1000000,0.01
2015-04-14,0.01,0.01,0.01,0.01,500000,0.01
2015-04-15,0.01,0.01,0.01,0.01,000,0.01
2015-04-16,0.01,0.01,0.01,0.01,500000,0.01
2015-04-17,0.01,0.01,0.01,0.01,000,0.01
2015-04-20,0.01,0.01,0.01,0.01,1000000,0.01
2015-04-21,0.007,0.009,0.007,0.009,236000,0.009
2015-04-22,0.01,0.01,0.009,0.009,1308900,0.009
2015-04-23,0.009,0.009,0.009,0.009,73000,0.009
2015-04-24,0.009,0.009,0.009,0.009,000,0.009
2015-04-27,0.009,0.009,0.009,0.009,100000,0.009
2015-04-28,0.009,0.009,0.009,0.009,000,0.009
