Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,15.84,15.84,15.84,15.84,000,15.84
2015-01-02,15.60,15.83,15.50,15.57,6500,15.57
2015-01-05,15.55,15.70,15.44,15.52,9900,15.52
2015-01-06,15.30,15.58,15.30,15.40,18400,15.40
2015-01-07,15.40,15.61,15.31,15.56,13800,15.56
2015-01-08,15.58,15.69,15.50,15.69,6700,15.69
2015-01-09,15.70,16.00,15.64,15.80,15200,15.80
2015-01-12,15.84,15.84,15.30,15.67,18700,15.67
2015-01-13,15.67,15.80,15.30,15.35,12700,15.35
2015-01-14,15.40,15.42,15.25,15.35,10000,15.35
2015-01-15,15.20,15.20,15.00,15.10,19700,15.10
2015-01-16,15.13,15.49,15.12,15.49,16700,15.49
2015-01-19,15.38,15.39,15.21,15.34,12500,15.34
2015-01-20,15.21,15.38,15.12,15.16,8400,15.16
2015-01-21,15.10,15.10,14.90,14.90,13900,14.90
2015-01-22,14.95,15.12,14.87,14.96,19700,14.96
2015-01-23,15.01,15.49,15.00,15.44,12000,15.44
2015-01-26,15.44,15.44,15.44,15.44,000,15.44
2015-01-27,15.01,15.02,14.80,14.96,19600,14.96
2015-01-28,14.98,14.98,14.75,14.95,11300,14.95
2015-01-29,14.79,14.79,14.52,14.74,15400,14.74
2015-01-30,14.70,14.73,14.40,14.69,31800,14.69
2015-02-02,14.75,14.99,14.62,14.90,14100,14.90
2015-02-03,15.10,15.27,15.02,15.21,23300,15.21
2015-02-04,15.35,15.60,15.20,15.44,25700,15.44
2015-02-05,15.43,15.43,15.13,15.40,10100,15.40
2015-02-06,15.42,15.42,15.16,15.35,4600,15.35
2015-02-09,15.24,15.29,15.18,15.25,3800,15.25
2015-02-10,15.25,15.30,15.17,15.30,5300,15.30
2015-02-11,15.34,15.40,15.29,15.40,17900,15.40
2015-02-12,15.39,15.65,15.30,15.50,21500,15.50
2015-02-13,15.50,15.66,15.50,15.59,21900,15.59
2015-02-16,15.69,15.76,15.60,15.69,53000,15.69
2015-02-17,15.81,16.04,15.70,15.74,99900,15.74
2015-02-18,15.95,17.40,15.93,16.99,44000,16.99
2015-02-19,17.20,18.89,17.20,18.78,121700,18.78
2015-02-20,19.00,19.75,18.70,19.10,91000,19.10
2015-02-23,19.27,19.64,18.95,18.95,41400,18.95
2015-02-24,18.75,18.75,17.00,17.68,74500,17.68
2015-02-25,21.50,22.60,21.40,22.60,240600,22.60
