Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.43,0.43,0.43,0.43,000,0.43
2015-01-02,0.43,0.43,0.43,0.43,000,0.43
2015-01-05,0.43,0.43,0.43,0.43,000,0.43
2015-01-06,0.43,0.43,0.43,0.43,000,0.43
2015-01-07,0.45,0.45,0.45,0.45,29700,0.45
2015-01-08,0.45,0.45,0.45,0.45,000,0.45
2015-01-09,0.45,0.45,0.45,0.45,000,0.45
2015-01-12,0.45,0.45,0.45,0.45,000,0.45
2015-01-13,0.45,0.45,0.45,0.45,000,0.45
2015-01-14,0.45,0.45,0.45,0.45,25000,0.45
2015-01-15,0.44,0.45,0.44,0.45,26000,0.45
2015-01-16,0.45,0.45,0.45,0.45,9800,0.45
2015-01-19,0.445,0.445,0.445,0.445,10400,0.445
2015-01-20,0.445,0.445,0.445,0.445,000,0.445
2015-01-21,0.445,0.445,0.445,0.445,000,0.445
2015-01-22,0.45,0.45,0.415,0.415,43000,0.415
2015-01-23,0.42,0.45,0.42,0.45,13800,0.45
2015-01-26,0.45,0.45,0.45,0.45,000,0.45
2015-01-27,0.45,0.45,0.425,0.425,21700,0.425
2015-01-28,0.45,0.45,0.45,0.45,8000,0.45
2015-01-29,0.45,0.45,0.425,0.425,21400,0.425
2015-01-30,0.425,0.425,0.425,0.425,000,0.425
2015-02-02,0.425,0.425,0.425,0.425,000,0.425
2015-02-03,0.425,0.425,0.425,0.425,000,0.425
2015-02-04,0.425,0.425,0.425,0.425,000,0.425
2015-02-05,0.43,0.43,0.425,0.425,15900,0.425
2015-02-06,0.425,0.425,0.425,0.425,000,0.425
2015-02-09,0.425,0.425,0.425,0.425,000,0.425
2015-02-10,0.425,0.425,0.425,0.425,000,0.425
2015-02-11,0.41,0.415,0.41,0.415,14500,0.415
2015-02-12,0.415,0.415,0.415,0.415,000,0.415
2015-02-13,0.415,0.415,0.415,0.415,000,0.415
2015-02-16,0.415,0.415,0.415,0.415,000,0.415
2015-02-17,0.415,0.415,0.415,0.415,000,0.415
2015-02-18,0.41,0.41,0.38,0.38,55000,0.38
2015-02-19,0.38,0.38,0.38,0.38,000,0.38
2015-02-20,0.40,0.40,0.35,0.40,22900,0.40
2015-02-23,0.39,0.415,0.39,0.415,115700,0.415
2015-02-24,0.415,0.44,0.41,0.41,62900,0.41
2015-02-25,0.435,0.435,0.435,0.435,5000,0.435
2015-02-26,0.44,0.45,0.44,0.45,28600,0.45
