Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.60,0.60,0.60,0.60,000,0.60
2015-01-02,0.605,0.605,0.59,0.60,47600,0.60
2015-01-05,0.60,0.60,0.59,0.59,74000,0.59
2015-01-06,0.60,0.60,0.59,0.60,54400,0.60
2015-01-07,0.60,0.60,0.60,0.60,47700,0.60
2015-01-08,0.60,0.60,0.59,0.60,32800,0.60
2015-01-09,0.60,0.60,0.595,0.595,202900,0.595
2015-01-12,0.60,0.60,0.59,0.595,79600,0.595
2015-01-13,0.60,0.60,0.595,0.60,54000,0.60
2015-01-14,0.60,0.61,0.60,0.61,117300,0.61
2015-01-15,0.605,0.61,0.605,0.61,76100,0.61
2015-01-16,0.61,0.61,0.605,0.61,10600,0.61
2015-01-19,0.61,0.62,0.61,0.615,104100,0.615
2015-01-20,0.615,0.63,0.605,0.605,245200,0.605
2015-01-21,0.61,0.61,0.60,0.605,47900,0.605
2015-01-22,0.60,0.60,0.60,0.60,14300,0.60
2015-01-23,0.60,0.60,0.59,0.595,79600,0.595
2015-01-26,0.595,0.595,0.595,0.595,000,0.595
2015-01-27,0.595,0.605,0.595,0.60,41000,0.60
2015-01-28,0.60,0.60,0.595,0.60,34200,0.60
2015-01-29,0.60,0.60,0.595,0.60,45800,0.60
2015-01-30,0.595,0.60,0.59,0.60,88200,0.60
2015-02-02,0.60,0.605,0.60,0.605,253700,0.605
2015-02-03,0.61,0.63,0.60,0.60,373100,0.60
2015-02-04,0.61,0.615,0.60,0.615,73600,0.615
2015-02-05,0.615,0.615,0.60,0.61,74400,0.61
2015-02-06,0.615,0.62,0.61,0.61,80700,0.61
2015-02-09,0.61,0.61,0.605,0.61,24800,0.61
2015-02-10,0.61,0.615,0.61,0.61,24600,0.61
2015-02-11,0.605,0.615,0.60,0.60,40600,0.60
2015-02-12,0.60,0.61,0.60,0.60,75500,0.60
2015-02-13,0.605,0.605,0.59,0.60,103800,0.60
2015-02-16,0.60,0.60,0.59,0.60,235300,0.60
2015-02-17,0.60,0.60,0.59,0.59,205000,0.59
2015-02-18,0.59,0.605,0.59,0.605,6900,0.605
2015-02-19,0.605,0.61,0.59,0.61,69300,0.61
2015-02-20,0.61,0.61,0.60,0.61,96200,0.61
2015-02-23,0.60,0.615,0.59,0.615,69400,0.615
2015-02-24,0.60,0.615,0.585,0.60,123300,0.60
2015-02-25,0.61,0.615,0.595,0.60,25000,0.60
2015-02-26,0.60,0.60,0.59,0.60,64200,0.60
2015-02-27,0.61,0.615,0.60,0.61,80100,0.61
2015-03-02,0.61,0.61,0.59,0.60,385400,0.60
2015-03-03,0.60,0.605,0.595,0.60,136100,0.60
2015-03-04,0.60,0.605,0.595,0.60,16700,0.60
2015-03-05,0.60,0.615,0.60,0.60,88100,0.60
2015-03-06,0.60,0.61,0.60,0.61,10000,0.61
2015-03-09,0.61,0.61,0.605,0.61,48800,0.61
2015-03-10,0.60,0.60,0.60,0.60,79000,0.60
2015-03-11,0.60,0.60,0.59,0.59,19400,0.59
2015-03-12,0.59,0.61,0.59,0.61,37300,0.61
2015-03-13,0.61,0.61,0.59,0.59,33700,0.59
2015-03-16,0.59,0.59,0.57,0.57,98900,0.57
2015-03-17,0.57,0.585,0.57,0.58,51700,0.58
2015-03-18,0.59,0.59,0.575,0.58,11600,0.58
2015-03-19,0.58,0.58,0.575,0.58,85300,0.58
2015-03-20,0.58,0.58,0.57,0.57,51300,0.57
2015-03-23,0.58,0.59,0.57,0.57,55400,0.57
