Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.041,0.041,0.041,0.041,000,0.041
2015-01-02,0.041,0.041,0.041,0.041,000,0.041
2015-01-05,0.041,0.041,0.041,0.041,000,0.041
2015-01-06,0.041,0.041,0.041,0.041,000,0.041
2015-01-07,0.041,0.041,0.041,0.041,000,0.041
2015-01-08,0.041,0.041,0.041,0.041,000,0.041
2015-01-09,0.041,0.041,0.041,0.041,000,0.041
2015-01-12,0.041,0.041,0.041,0.041,000,0.041
2015-01-13,0.041,0.041,0.041,0.041,000,0.041
2015-01-14,0.047,0.049,0.047,0.049,262100,0.049
2015-01-15,0.049,0.049,0.049,0.049,000,0.049
2015-01-16,0.049,0.049,0.049,0.049,000,0.049
2015-01-19,0.049,0.049,0.049,0.049,000,0.049
2015-01-20,0.049,0.049,0.049,0.049,000,0.049
2015-01-21,0.049,0.049,0.049,0.049,000,0.049
2015-01-22,0.049,0.049,0.049,0.049,000,0.049
2015-01-23,0.049,0.049,0.049,0.049,000,0.049
2015-01-26,0.049,0.049,0.049,0.049,000,0.049
2015-01-27,0.049,0.049,0.049,0.049,000,0.049
2015-01-28,0.049,0.049,0.049,0.049,000,0.049
2015-01-29,0.049,0.049,0.049,0.049,000,0.049
2015-01-30,0.049,0.049,0.049,0.049,000,0.049
2015-02-02,0.049,0.049,0.049,0.049,000,0.049
2015-02-03,0.049,0.049,0.049,0.049,000,0.049
2015-02-04,0.049,0.049,0.049,0.049,000,0.049
2015-02-05,0.049,0.049,0.049,0.049,000,0.049
2015-02-06,0.049,0.049,0.049,0.049,000,0.049
2015-02-09,0.049,0.049,0.049,0.049,000,0.049
2015-02-10,0.049,0.049,0.049,0.049,000,0.049
2015-02-11,0.049,0.049,0.049,0.049,000,0.049
2015-02-12,0.049,0.049,0.049,0.049,000,0.049
2015-02-13,0.049,0.049,0.049,0.049,000,0.049
2015-02-16,0.049,0.049,0.049,0.049,000,0.049
2015-02-17,0.049,0.049,0.049,0.049,000,0.049
2015-02-18,0.049,0.049,0.049,0.049,000,0.049
2015-02-19,0.049,0.049,0.049,0.049,000,0.049
2015-02-20,0.049,0.049,0.049,0.049,000,0.049
2015-02-23,0.049,0.049,0.049,0.049,000,0.049
2015-02-24,0.041,0.041,0.041,0.041,1168500,0.041
2015-02-25,0.041,0.041,0.041,0.041,786400,0.041
2015-02-26,0.041,0.041,0.041,0.041,000,0.041
2015-02-27,0.041,0.041,0.041,0.041,000,0.041
2015-03-02,0.042,0.042,0.042,0.042,120000,0.042
2015-03-03,0.042,0.042,0.042,0.042,000,0.042
