Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.27,0.27,0.27,0.27,000,0.27
2015-01-02,0.28,0.28,0.27,0.27,207900,0.27
2015-01-05,0.27,0.28,0.265,0.28,65500,0.28
2015-01-06,0.28,0.285,0.27,0.28,80600,0.28
2015-01-07,0.28,0.33,0.28,0.315,618400,0.315
2015-01-08,0.34,0.40,0.34,0.385,2519400,0.385
2015-01-09,0.39,0.39,0.365,0.37,615200,0.37
2015-01-12,0.365,0.365,0.355,0.365,488200,0.365
2015-01-13,0.38,0.425,0.38,0.42,1165800,0.42
2015-01-14,0.42,0.49,0.395,0.475,1899800,0.475
2015-01-15,0.465,0.49,0.46,0.48,784700,0.48
2015-01-16,0.48,0.48,0.415,0.43,1388900,0.43
2015-01-19,0.45,0.48,0.45,0.45,511600,0.45
2015-01-20,0.465,0.54,0.46,0.51,4281100,0.51
2015-01-21,0.525,0.54,0.48,0.48,1476900,0.48
2015-01-22,0.48,0.51,0.475,0.49,378100,0.49
2015-01-23,0.505,0.54,0.50,0.525,1274600,0.525
2015-01-26,0.525,0.525,0.525,0.525,000,0.525
2015-01-27,0.525,0.525,0.47,0.49,1389300,0.49
2015-01-28,0.49,0.505,0.485,0.49,278500,0.49
2015-01-29,0.49,0.505,0.485,0.505,408100,0.505
2015-01-30,0.50,0.525,0.48,0.49,302300,0.49
2015-02-02,0.51,0.515,0.45,0.45,591300,0.45
2015-02-03,0.455,0.46,0.41,0.425,500500,0.425
2015-02-04,0.44,0.44,0.405,0.405,316700,0.405
2015-02-05,0.42,0.45,0.415,0.44,330100,0.44
2015-02-06,0.445,0.445,0.405,0.415,258300,0.415
2015-02-09,0.425,0.45,0.42,0.42,264400,0.42
2015-02-10,0.43,0.43,0.395,0.425,314200,0.425
2015-02-11,0.435,0.495,0.435,0.48,916700,0.48
2015-02-12,0.495,0.51,0.46,0.495,859800,0.495
2015-02-13,0.495,0.495,0.495,0.495,000,0.495
2015-02-16,0.495,0.495,0.495,0.495,000,0.495
2015-02-17,0.55,0.57,0.51,0.515,3629700,0.515
2015-02-18,0.53,0.54,0.475,0.495,861000,0.495
2015-02-19,0.495,0.50,0.465,0.48,607100,0.48
2015-02-20,0.47,0.47,0.46,0.47,189100,0.47
2015-02-23,0.465,0.465,0.445,0.445,326700,0.445
2015-02-24,0.44,0.45,0.43,0.44,176700,0.44
2015-02-25,0.44,0.475,0.44,0.47,297100,0.47
2015-02-26,0.47,0.51,0.47,0.48,361200,0.48
2015-02-27,0.48,0.49,0.47,0.47,159000,0.47
2015-03-02,0.475,0.475,0.445,0.445,158800,0.445
2015-03-03,0.445,0.45,0.415,0.45,466100,0.45
2015-03-04,0.46,0.46,0.435,0.45,199500,0.45
2015-03-05,0.45,0.46,0.44,0.44,250700,0.44
2015-03-06,0.45,0.455,0.44,0.455,58600,0.455
2015-03-09,0.455,0.455,0.435,0.435,379100,0.435
2015-03-10,0.425,0.45,0.425,0.44,238400,0.44
2015-03-11,0.43,0.44,0.42,0.435,255300,0.435
2015-03-12,0.435,0.435,0.42,0.42,28200,0.42
2015-03-13,0.42,0.435,0.405,0.435,164700,0.435
