Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.006,0.006,0.006,0.006,000,0.15
2015-01-02,0.006,0.006,0.006,0.006,000,0.15
2015-01-05,0.005,0.005,0.005,0.005,120000,0.125
2015-01-06,0.005,0.006,0.005,0.006,162000,0.15
2015-01-07,0.006,0.006,0.005,0.005,164200,0.125
2015-01-08,0.006,0.006,0.005,0.005,260800,0.125
2015-01-09,0.005,0.006,0.005,0.006,64000,0.15
2015-01-12,0.006,0.006,0.005,0.005,213400,0.125
2015-01-13,0.005,0.005,0.005,0.005,79400,0.125
2015-01-14,0.005,0.005,0.005,0.005,63800,0.125
2015-01-15,0.005,0.005,0.005,0.005,136800,0.125
2015-01-16,0.005,0.005,0.005,0.005,145100,0.125
2015-01-19,0.005,0.005,0.005,0.005,000,0.125
2015-01-20,0.005,0.0055,0.005,0.005,339300,0.125
2015-01-21,0.005,0.0055,0.005,0.005,190000,0.125
2015-01-22,0.006,0.007,0.006,0.007,701100,0.175
2015-01-23,0.007,0.007,0.006,0.006,555100,0.15
2015-01-26,0.006,0.006,0.006,0.006,000,0.15
2015-01-27,0.004,0.005,0.004,0.005,236500,0.125
2015-01-28,0.005,0.005,0.005,0.005,528400,0.125
2015-01-29,0.005,0.005,0.005,0.005,000,0.125
2015-01-30,0.004,0.0045,0.004,0.004,316200,0.10
2015-02-02,0.003,0.0035,0.003,0.003,264300,0.075
2015-02-03,0.004,0.004,0.004,0.004,127800,0.10
2015-02-04,0.004,0.004,0.003,0.003,68000,0.075
2015-02-05,0.003,0.003,0.003,0.003,82000,0.075
2015-02-06,0.003,0.003,0.003,0.003,187900,0.075
2015-02-09,0.003,0.003,0.003,0.003,829800,0.075
2015-02-10,0.003,0.003,0.002,0.002,30000,0.05
2015-02-11,0.003,0.003,0.002,0.003,215900,0.075
2015-02-12,0.003,0.003,0.002,0.003,174300,0.075
2015-02-13,0.003,0.003,0.002,0.003,297500,0.075
2015-02-16,0.003,0.003,0.003,0.003,211400,0.075
2015-02-17,0.003,0.003,0.003,0.003,000,0.075
2015-02-18,0.003,0.004,0.003,0.003,230800,0.075
2015-02-19,0.003,0.004,0.003,0.004,251100,0.10
2015-02-20,0.004,0.004,0.003,0.003,154400,0.075
2015-02-23,0.003,0.004,0.003,0.004,135700,0.10
2015-02-24,0.004,0.004,0.003,0.003,388800,0.075
2015-02-25,0.003,0.003,0.003,0.003,270700,0.075
2015-02-26,0.003,0.003,0.002,0.002,81100,0.05
2015-02-27,0.002,0.003,0.002,0.003,275700,0.075
2015-03-02,0.003,0.004,0.003,0.003,874800,0.075
2015-03-03,0.003,0.003,0.003,0.003,000,0.075
2015-03-04,0.003,0.003,0.003,0.003,000,0.075
2015-03-05,0.003,0.003,0.003,0.003,334300,0.075
2015-03-06,0.003,0.003,0.003,0.003,79000,0.075
2015-03-09,0.003,0.004,0.003,0.004,444600,0.10
2015-03-10,0.003,0.0035,0.003,0.003,636600,0.075
2015-03-11,0.004,0.004,0.003,0.003,684000,0.075
2015-03-12,0.003,0.003,0.003,0.003,366000,0.075
2015-03-13,0.003,0.003,0.003,0.003,298300,0.075
2015-03-16,0.003,0.003,0.003,0.003,557600,0.075
2015-03-17,0.003,0.003,0.003,0.003,000,0.075
2015-03-18,0.004,0.004,0.003,0.003,1352000,0.075
2015-03-19,0.004,0.004,0.003,0.003,707800,0.075
2015-03-20,0.003,0.003,0.003,0.003,258100,0.075
2015-03-23,0.003,0.003,0.003,0.003,226900,0.075
2015-03-24,0.003,0.003,0.003,0.003,122400,0.075
2015-03-25,0.003,0.003,0.003,0.003,576200,0.075
2015-03-26,0.003,0.004,0.003,0.004,566900,0.10
2015-03-27,0.003,0.004,0.003,0.004,103900,0.10
2015-03-30,0.004,0.004,0.003,0.003,730300,0.075
2015-03-31,0.003,0.0035,0.003,0.003,179800,0.075
2015-04-01,0.003,0.003,0.003,0.003,500100,0.075
2015-04-02,0.003,0.003,0.003,0.003,389400,0.075
2015-04-03,0.003,0.003,0.003,0.003,000,0.075
2015-04-06,0.003,0.003,0.003,0.003,000,0.075
2015-04-07,0.003,0.003,0.003,0.003,185900,0.075
2015-04-08,0.003,0.003,0.003,0.003,64000,0.075
2015-04-09,0.004,0.004,0.004,0.004,40000,0.10
2015-04-10,0.004,0.004,0.004,0.004,460200,0.10
2015-04-13,0.004,0.006,0.004,0.005,2624800,0.125
2015-04-14,0.006,0.006,0.004,0.004,2832500,0.10
2015-04-15,0.004,0.005,0.004,0.004,1045900,0.10
2015-04-16,0.004,0.004,0.004,0.004,870200,0.10
2015-04-17,0.004,0.004,0.004,0.004,129600,0.10
2015-04-20,0.003,0.004,0.003,0.003,434000,0.075
2015-04-21,0.003,0.003,0.003,0.003,395800,0.075
2015-04-22,0.003,0.003,0.002,0.002,2407900,0.05
2015-04-23,0.002,0.0025,0.002,0.002,203100,0.05
2015-04-24,0.003,0.003,0.002,0.002,616300,0.05
2015-04-27,0.002,0.0025,0.002,0.002,686100,0.05
2015-04-28,0.002,0.002,0.002,0.002,99000,0.05
2015-04-29,0.002,0.0025,0.001,0.002,3137000,0.05
2015-04-30,0.001,0.001,0.001,0.001,182100,0.025
2015-05-01,0.001,0.002,0.001,0.002,43200,0.05
2015-05-04,0.002,0.002,0.001,0.001,60000,0.025
2015-05-05,0.002,0.002,0.002,0.002,20000,0.05
2015-05-06,0.001,0.001,0.001,0.001,4000,0.025
2015-05-07,0.001,0.0015,0.001,0.001,38000,0.025
2015-05-08,0.001,0.001,0.001,0.001,4000,0.025
2015-05-11,0.001,0.001,0.001,0.001,4000,0.025
2015-05-12,0.001,0.001,0.001,0.001,000,0.025
2015-05-13,0.002,0.002,0.001,0.002,178000,0.05
2015-05-14,0.002,0.002,0.002,0.002,18000,0.05
2015-05-15,0.001,0.001,0.001,0.001,32000,0.025
2015-05-18,0.001,0.0015,0.001,0.001,46700,0.025
2015-05-19,0.001,0.0015,0.001,0.001,588200,0.025
2015-05-20,0.001,0.002,0.001,0.001,126000,0.025
2015-05-21,0.001,0.001,0.001,0.001,1512300,0.025
2015-05-22,0.001,0.001,0.001,0.001,000,0.025
2015-05-25,0.001,0.001,0.001,0.001,58000,0.025
2015-05-26,0.002,0.002,0.001,0.001,71900,0.025
2015-05-27,0.001,0.0015,0.001,0.001,39500,0.025
2015-05-28,0.001,0.001,0.001,0.001,108000,0.025
2015-05-29,0.001,0.0015,0.001,0.001,1008500,0.025
2015-06-01,0.001,0.001,0.001,0.001,80000,0.025
2015-06-02,0.001,0.001,0.001,0.001,48500,0.025
2015-06-03,0.001,0.001,0.001,0.001,417100,0.025
2015-06-04,0.005,0.005,0.005,0.005,1561800,0.125
2015-06-05,0.005,0.005,0.005,0.005,500000,0.125
2015-06-08,0.005,0.005,0.005,0.005,000,0.125
2015-06-09,0.005,0.005,0.005,0.005,61200,0.125
2015-06-10,0.005,0.005,0.005,0.005,658900,0.125
2015-06-11,0.005,0.005,0.005,0.005,630500,0.125
2015-06-12,0.005,0.005,0.005,0.005,153700,0.125
2015-06-15,0.005,0.005,0.005,0.005,201100,0.125
2015-06-16,0.005,0.005,0.005,0.005,80800,0.125
2015-06-17,0.005,0.005,0.005,0.005,154500,0.125
2015-06-18,0.005,0.005,0.005,0.005,909600,0.125
2015-06-19,0.005,0.005,0.005,0.005,242700,0.125
2015-06-22,0.005,0.005,0.005,0.005,753600,0.125
2015-06-23,0.005,0.005,0.005,0.005,000,0.125
2015-06-24,0.01,0.01,0.01,0.01,120000,0.25
2015-06-25,0.01,0.01,0.01,0.01,000,0.25
2015-06-26,0.005,0.01,0.005,0.01,50600,0.25
2015-06-29,0.005,0.005,0.005,0.005,500,0.125
2015-06-30,0.005,0.005,0.005,0.005,000,0.125
2015-07-01,0.005,0.005,0.005,0.005,000,0.125
2015-07-02,0.005,0.005,0.005,0.005,200000,0.125
